context: Damn! I can't move! response:	Fool! You can jump or run... but you can't escape my wind!
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind! response:	Blades!
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Blades! response:	My Sacred Jewel shards!
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Blades!\My Sacred Jewel shards! response:	Now is the time to escape...
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Blades!\My Sacred Jewel shards!\Now is the time to escape... response:	Now when Naraku's barrier is weak.
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Blades!\My Sacred Jewel shards!\Now is the time to escape...\Now when Naraku's barrier is weak. response:	But... Naraku has...
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Blades!\My Sacred Jewel shards!\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has... response:	Yes!
context: Damn! I can't move!\Fool! You can jump or run... but you can't escape my wind!\Blades!\My Sacred Jewel shards!\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\Yes! response:	That one!
context: Fool! You can jump or run... but you can't escape my wind!\Blades!\My Sacred Jewel shards!\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\Yes!\That one! response:	He has the power to sever the bond between me and Naraku!
context: Blades!\My Sacred Jewel shards!\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\Yes!\That one!\He has the power to sever the bond between me and Naraku! response:	W-What is this?!
context: My Sacred Jewel shards!\Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\Yes!\That one!\He has the power to sever the bond between me and Naraku!\W-What is this?! response:	Yo!
context: Now is the time to escape...\Now when Naraku's barrier is weak.\But... Naraku has...\Yes!\That one!\He has the power to sever the bond between me and Naraku!\W-What is this?!\Yo! response:	Yo?! Why you!
context: Now when Naraku's barrier is weak.\But... Naraku has...\Yes!\That one!\He has the power to sever the bond between me and Naraku!\W-What is this?!\Yo!\Yo?! Why you! response:	Wind Sorceress Kagura, I recall?
