context: Father, please speak. response:	I am giving you a golden lotus.
context: Father, please speak.\I am giving you a golden lotus. response:	Let it grow in Kunlun Mountain's lotus pond.
context: Father, please speak.\I am giving you a golden lotus.\Let it grow in Kunlun Mountain's lotus pond. response:	Use your immortal powers to take good care of it
context: Father, please speak.\I am giving you a golden lotus.\Let it grow in Kunlun Mountain's lotus pond.\Use your immortal powers to take good care of it response:	until it takes on a human form.
context: Father, please speak.\I am giving you a golden lotus.\Let it grow in Kunlun Mountain's lotus pond.\Use your immortal powers to take good care of it\until it takes on a human form. response:	A golden lotus?
context: Father, please speak.\I am giving you a golden lotus.\Let it grow in Kunlun Mountain's lotus pond.\Use your immortal powers to take good care of it\until it takes on a human form.\A golden lotus? response:	Xuan Nu has disturbed you.
context: Father, please speak.\I am giving you a golden lotus.\Let it grow in Kunlun Mountain's lotus pond.\Use your immortal powers to take good care of it\until it takes on a human form.\A golden lotus?\Xuan Nu has disturbed you. response:	You must be Si Yin's friend.
context: Father, please speak.\I am giving you a golden lotus.\Let it grow in Kunlun Mountain's lotus pond.\Use your immortal powers to take good care of it\until it takes on a human form.\A golden lotus?\Xuan Nu has disturbed you.\You must be Si Yin's friend. response:	Yes, I just came from the herb drying area.
context: I am giving you a golden lotus.\Let it grow in Kunlun Mountain's lotus pond.\Use your immortal powers to take good care of it\until it takes on a human form.\A golden lotus?\Xuan Nu has disturbed you.\You must be Si Yin's friend.\Yes, I just came from the herb drying area. response:	I am taking a walk around the area.
context: Let it grow in Kunlun Mountain's lotus pond.\Use your immortal powers to take good care of it\until it takes on a human form.\A golden lotus?\Xuan Nu has disturbed you.\You must be Si Yin's friend.\Yes, I just came from the herb drying area.\I am taking a walk around the area. response:	I'll take my leave.
context: Use your immortal powers to take good care of it\until it takes on a human form.\A golden lotus?\Xuan Nu has disturbed you.\You must be Si Yin's friend.\Yes, I just came from the herb drying area.\I am taking a walk around the area.\I'll take my leave. response:	Master.
context: until it takes on a human form.\A golden lotus?\Xuan Nu has disturbed you.\You must be Si Yin's friend.\Yes, I just came from the herb drying area.\I am taking a walk around the area.\I'll take my leave.\Master. response:	Xuan Nu looks quite graceful, much like Seventeenth.
context: A golden lotus?\Xuan Nu has disturbed you.\You must be Si Yin's friend.\Yes, I just came from the herb drying area.\I am taking a walk around the area.\I'll take my leave.\Master.\Xuan Nu looks quite graceful, much like Seventeenth. response:	I am going into seclusion tonight.
