context: Let's see... My dear Dark Kingdom, response:	as of today, I, Sailor Moon
context: Let's see... My dear Dark Kingdom,\as of today, I, Sailor Moon response:	have decided to quit being a sailor warrior.
context: Let's see... My dear Dark Kingdom,\as of today, I, Sailor Moon\have decided to quit being a sailor warrior. response:	Please let me join your organization. Sincerely.
context: Let's see... My dear Dark Kingdom,\as of today, I, Sailor Moon\have decided to quit being a sailor warrior.\Please let me join your organization. Sincerely. response:	Hey, Sailor Mars!
context: Let's see... My dear Dark Kingdom,\as of today, I, Sailor Moon\have decided to quit being a sailor warrior.\Please let me join your organization. Sincerely.\Hey, Sailor Mars! response:	Thanks so much for picking on me all this time!
context: Let's see... My dear Dark Kingdom,\as of today, I, Sailor Moon\have decided to quit being a sailor warrior.\Please let me join your organization. Sincerely.\Hey, Sailor Mars!\Thanks so much for picking on me all this time! response:	In the name of the moon, I'm gonna punish you!
context: Let's see... My dear Dark Kingdom,\as of today, I, Sailor Moon\have decided to quit being a sailor warrior.\Please let me join your organization. Sincerely.\Hey, Sailor Mars!\Thanks so much for picking on me all this time!\In the name of the moon, I'm gonna punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Let's see... My dear Dark Kingdom,\as of today, I, Sailor Moon\have decided to quit being a sailor warrior.\Please let me join your organization. Sincerely.\Hey, Sailor Mars!\Thanks so much for picking on me all this time!\In the name of the moon, I'm gonna punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: as of today, I, Sailor Moon\have decided to quit being a sailor warrior.\Please let me join your organization. Sincerely.\Hey, Sailor Mars!\Thanks so much for picking on me all this time!\In the name of the moon, I'm gonna punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: have decided to quit being a sailor warrior.\Please let me join your organization. Sincerely.\Hey, Sailor Mars!\Thanks so much for picking on me all this time!\In the name of the moon, I'm gonna punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Please let me join your organization. Sincerely.\Hey, Sailor Mars!\Thanks so much for picking on me all this time!\In the name of the moon, I'm gonna punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
