context: Kuu-chan, are you okay? response:	Why is it so hot every day?
context: Kuu-chan, are you okay?\Why is it so hot every day? response:	Hmm... because it's summer?
context: Kuu-chan, are you okay?\Why is it so hot every day?\Hmm... because it's summer? response:	It sure is.
context: Kuu-chan, are you okay?\Why is it so hot every day?\Hmm... because it's summer?\It sure is. response:	Yeah...
context: Kuu-chan, are you okay?\Why is it so hot every day?\Hmm... because it's summer?\It sure is.\Yeah... response:	That's right! When it's this hot in summer, I want to go to the ocean!
context: Kuu-chan, are you okay?\Why is it so hot every day?\Hmm... because it's summer?\It sure is.\Yeah...\That's right! When it's this hot in summer, I want to go to the ocean! response:	Don't you, Hina-chan?
context: Kuu-chan, are you okay?\Why is it so hot every day?\Hmm... because it's summer?\It sure is.\Yeah...\That's right! When it's this hot in summer, I want to go to the ocean!\Don't you, Hina-chan? response:	U-Uh... I've never been to the ocean, so I'm not sure.
context: Kuu-chan, are you okay?\Why is it so hot every day?\Hmm... because it's summer?\It sure is.\Yeah...\That's right! When it's this hot in summer, I want to go to the ocean!\Don't you, Hina-chan?\U-Uh... I've never been to the ocean, so I'm not sure. response:	My family lived deep in the mountains, so...
context: Why is it so hot every day?\Hmm... because it's summer?\It sure is.\Yeah...\That's right! When it's this hot in summer, I want to go to the ocean!\Don't you, Hina-chan?\U-Uh... I've never been to the ocean, so I'm not sure.\My family lived deep in the mountains, so... response:	Really?
context: Hmm... because it's summer?\It sure is.\Yeah...\That's right! When it's this hot in summer, I want to go to the ocean!\Don't you, Hina-chan?\U-Uh... I've never been to the ocean, so I'm not sure.\My family lived deep in the mountains, so...\Really? response:	Yeah.
context: It sure is.\Yeah...\That's right! When it's this hot in summer, I want to go to the ocean!\Don't you, Hina-chan?\U-Uh... I've never been to the ocean, so I'm not sure.\My family lived deep in the mountains, so...\Really?\Yeah. response:	The ocean is great!
context: Yeah...\That's right! When it's this hot in summer, I want to go to the ocean!\Don't you, Hina-chan?\U-Uh... I've never been to the ocean, so I'm not sure.\My family lived deep in the mountains, so...\Really?\Yeah.\The ocean is great! response:	Shaved ice, yakisoba, ramen, watermelon-splitting...
context: That's right! When it's this hot in summer, I want to go to the ocean!\Don't you, Hina-chan?\U-Uh... I've never been to the ocean, so I'm not sure.\My family lived deep in the mountains, so...\Really?\Yeah.\The ocean is great!\Shaved ice, yakisoba, ramen, watermelon-splitting... response:	Those all have to do with food.
context: Don't you, Hina-chan?\U-Uh... I've never been to the ocean, so I'm not sure.\My family lived deep in the mountains, so...\Really?\Yeah.\The ocean is great!\Shaved ice, yakisoba, ramen, watermelon-splitting...\Those all have to do with food. response:	Oh, morning, Yua-chan.
context: U-Uh... I've never been to the ocean, so I'm not sure.\My family lived deep in the mountains, so...\Really?\Yeah.\The ocean is great!\Shaved ice, yakisoba, ramen, watermelon-splitting...\Those all have to do with food.\Oh, morning, Yua-chan. response:	Morning.
context: My family lived deep in the mountains, so...\Really?\Yeah.\The ocean is great!\Shaved ice, yakisoba, ramen, watermelon-splitting...\Those all have to do with food.\Oh, morning, Yua-chan.\Morning. response:	Wh-What?
context: Really?\Yeah.\The ocean is great!\Shaved ice, yakisoba, ramen, watermelon-splitting...\Those all have to do with food.\Oh, morning, Yua-chan.\Morning.\Wh-What? response:	I know!
context: Yeah.\The ocean is great!\Shaved ice, yakisoba, ramen, watermelon-splitting...\Those all have to do with food.\Oh, morning, Yua-chan.\Morning.\Wh-What?\I know! response:	Let's all go to the ocean this weekend!
context: The ocean is great!\Shaved ice, yakisoba, ramen, watermelon-splitting...\Those all have to do with food.\Oh, morning, Yua-chan.\Morning.\Wh-What?\I know!\Let's all go to the ocean this weekend! response:	Huh?
context: Shaved ice, yakisoba, ramen, watermelon-splitting...\Those all have to do with food.\Oh, morning, Yua-chan.\Morning.\Wh-What?\I know!\Let's all go to the ocean this weekend!\Huh? response:	O-Oh, all right...
context: Those all have to do with food.\Oh, morning, Yua-chan.\Morning.\Wh-What?\I know!\Let's all go to the ocean this weekend!\Huh?\O-Oh, all right... response:	If you insist, I guess I don't mind going with you.
context: Oh, morning, Yua-chan.\Morning.\Wh-What?\I know!\Let's all go to the ocean this weekend!\Huh?\O-Oh, all right...\If you insist, I guess I don't mind going with you. response:	Then it's settled!
context: Morning.\Wh-What?\I know!\Let's all go to the ocean this weekend!\Huh?\O-Oh, all right...\If you insist, I guess I don't mind going with you.\Then it's settled! response:	Wait a minute... Isn't the ocean dangerous because of shark attacks?
context: Wh-What?\I know!\Let's all go to the ocean this weekend!\Huh?\O-Oh, all right...\If you insist, I guess I don't mind going with you.\Then it's settled!\Wait a minute... Isn't the ocean dangerous because of shark attacks? response:	This isn't some panic movie. It'll be fine!
context: I know!\Let's all go to the ocean this weekend!\Huh?\O-Oh, all right...\If you insist, I guess I don't mind going with you.\Then it's settled!\Wait a minute... Isn't the ocean dangerous because of shark attacks?\This isn't some panic movie. It'll be fine! response:	Really?
context: Let's all go to the ocean this weekend!\Huh?\O-Oh, all right...\If you insist, I guess I don't mind going with you.\Then it's settled!\Wait a minute... Isn't the ocean dangerous because of shark attacks?\This isn't some panic movie. It'll be fine!\Really? response:	Yeah!
context: Huh?\O-Oh, all right...\If you insist, I guess I don't mind going with you.\Then it's settled!\Wait a minute... Isn't the ocean dangerous because of shark attacks?\This isn't some panic movie. It'll be fine!\Really?\Yeah! response:	Thank goodness! I can go to the ocean without worrying, then.
context: O-Oh, all right...\If you insist, I guess I don't mind going with you.\Then it's settled!\Wait a minute... Isn't the ocean dangerous because of shark attacks?\This isn't some panic movie. It'll be fine!\Really?\Yeah!\Thank goodness! I can go to the ocean without worrying, then. response:	But animals tend to like you, Hina-chan.
context: If you insist, I guess I don't mind going with you.\Then it's settled!\Wait a minute... Isn't the ocean dangerous because of shark attacks?\This isn't some panic movie. It'll be fine!\Really?\Yeah!\Thank goodness! I can go to the ocean without worrying, then.\But animals tend to like you, Hina-chan. response:	Maybe they'll come to you when you're swimming...
context: Then it's settled!\Wait a minute... Isn't the ocean dangerous because of shark attacks?\This isn't some panic movie. It'll be fine!\Really?\Yeah!\Thank goodness! I can go to the ocean without worrying, then.\But animals tend to like you, Hina-chan.\Maybe they'll come to you when you're swimming... response:	Huh?
context: Wait a minute... Isn't the ocean dangerous because of shark attacks?\This isn't some panic movie. It'll be fine!\Really?\Yeah!\Thank goodness! I can go to the ocean without worrying, then.\But animals tend to like you, Hina-chan.\Maybe they'll come to you when you're swimming...\Huh? response:	Swim, swim... swim, swim, swim...
context: This isn't some panic movie. It'll be fine!\Really?\Yeah!\Thank goodness! I can go to the ocean without worrying, then.\But animals tend to like you, Hina-chan.\Maybe they'll come to you when you're swimming...\Huh?\Swim, swim... swim, swim, swim... response:	Kuu-chan, if it comes to it, leave me behind and run!
context: Really?\Yeah!\Thank goodness! I can go to the ocean without worrying, then.\But animals tend to like you, Hina-chan.\Maybe they'll come to you when you're swimming...\Huh?\Swim, swim... swim, swim, swim...\Kuu-chan, if it comes to it, leave me behind and run! response:	I was just kidding.
context: Yeah!\Thank goodness! I can go to the ocean without worrying, then.\But animals tend to like you, Hina-chan.\Maybe they'll come to you when you're swimming...\Huh?\Swim, swim... swim, swim, swim...\Kuu-chan, if it comes to it, leave me behind and run!\I was just kidding. response:	But if you're scared of the ocean, can't you just play on the beach?
context: Thank goodness! I can go to the ocean without worrying, then.\But animals tend to like you, Hina-chan.\Maybe they'll come to you when you're swimming...\Huh?\Swim, swim... swim, swim, swim...\Kuu-chan, if it comes to it, leave me behind and run!\I was just kidding.\But if you're scared of the ocean, can't you just play on the beach? response:	O-Oh, yeah...
context: But animals tend to like you, Hina-chan.\Maybe they'll come to you when you're swimming...\Huh?\Swim, swim... swim, swim, swim...\Kuu-chan, if it comes to it, leave me behind and run!\I was just kidding.\But if you're scared of the ocean, can't you just play on the beach?\O-Oh, yeah... response:	But if I'm going to the ocean, I would like to swim.
context: Maybe they'll come to you when you're swimming...\Huh?\Swim, swim... swim, swim, swim...\Kuu-chan, if it comes to it, leave me behind and run!\I was just kidding.\But if you're scared of the ocean, can't you just play on the beach?\O-Oh, yeah...\But if I'm going to the ocean, I would like to swim. response:	Actually, I don't even have a swimsuit...
context: Huh?\Swim, swim... swim, swim, swim...\Kuu-chan, if it comes to it, leave me behind and run!\I was just kidding.\But if you're scared of the ocean, can't you just play on the beach?\O-Oh, yeah...\But if I'm going to the ocean, I would like to swim.\Actually, I don't even have a swimsuit... response:	Then let's go buy swimsuits after school.
context: Swim, swim... swim, swim, swim...\Kuu-chan, if it comes to it, leave me behind and run!\I was just kidding.\But if you're scared of the ocean, can't you just play on the beach?\O-Oh, yeah...\But if I'm going to the ocean, I would like to swim.\Actually, I don't even have a swimsuit...\Then let's go buy swimsuits after school. response:	Good idea!
context: Kuu-chan, if it comes to it, leave me behind and run!\I was just kidding.\But if you're scared of the ocean, can't you just play on the beach?\O-Oh, yeah...\But if I'm going to the ocean, I would like to swim.\Actually, I don't even have a swimsuit...\Then let's go buy swimsuits after school.\Good idea! response:	I've been wanting a new one!
context: I was just kidding.\But if you're scared of the ocean, can't you just play on the beach?\O-Oh, yeah...\But if I'm going to the ocean, I would like to swim.\Actually, I don't even have a swimsuit...\Then let's go buy swimsuits after school.\Good idea!\I've been wanting a new one! response:	A new swimsuit...
context: But if you're scared of the ocean, can't you just play on the beach?\O-Oh, yeah...\But if I'm going to the ocean, I would like to swim.\Actually, I don't even have a swimsuit...\Then let's go buy swimsuits after school.\Good idea!\I've been wanting a new one!\A new swimsuit... response:	Will I be able to pick a swimsuit that works for me?
context: O-Oh, yeah...\But if I'm going to the ocean, I would like to swim.\Actually, I don't even have a swimsuit...\Then let's go buy swimsuits after school.\Good idea!\I've been wanting a new one!\A new swimsuit...\Will I be able to pick a swimsuit that works for me? response:	I don't know what kind is in right now...
context: But if I'm going to the ocean, I would like to swim.\Actually, I don't even have a swimsuit...\Then let's go buy swimsuits after school.\Good idea!\I've been wanting a new one!\A new swimsuit...\Will I be able to pick a swimsuit that works for me?\I don't know what kind is in right now... response:	You can just leave that to me!
context: Actually, I don't even have a swimsuit...\Then let's go buy swimsuits after school.\Good idea!\I've been wanting a new one!\A new swimsuit...\Will I be able to pick a swimsuit that works for me?\I don't know what kind is in right now...\You can just leave that to me! response:	I'll pick the perfect swimsuit for you, Hina-chan!
context: Then let's go buy swimsuits after school.\Good idea!\I've been wanting a new one!\A new swimsuit...\Will I be able to pick a swimsuit that works for me?\I don't know what kind is in right now...\You can just leave that to me!\I'll pick the perfect swimsuit for you, Hina-chan! response:	M-Mayu-chan?
context: Good idea!\I've been wanting a new one!\A new swimsuit...\Will I be able to pick a swimsuit that works for me?\I don't know what kind is in right now...\You can just leave that to me!\I'll pick the perfect swimsuit for you, Hina-chan!\M-Mayu-chan? response:	Aren't the second-year classrooms upstairs?
context: I've been wanting a new one!\A new swimsuit...\Will I be able to pick a swimsuit that works for me?\I don't know what kind is in right now...\You can just leave that to me!\I'll pick the perfect swimsuit for you, Hina-chan!\M-Mayu-chan?\Aren't the second-year classrooms upstairs? response:	I felt I was being called.
context: A new swimsuit...\Will I be able to pick a swimsuit that works for me?\I don't know what kind is in right now...\You can just leave that to me!\I'll pick the perfect swimsuit for you, Hina-chan!\M-Mayu-chan?\Aren't the second-year classrooms upstairs?\I felt I was being called. response:	The Lost Swimsuit
context: Will I be able to pick a swimsuit that works for me?\I don't know what kind is in right now...\You can just leave that to me!\I'll pick the perfect swimsuit for you, Hina-chan!\M-Mayu-chan?\Aren't the second-year classrooms upstairs?\I felt I was being called.\The Lost Swimsuit response:	Wow, this is amazing!
context: I don't know what kind is in right now...\You can just leave that to me!\I'll pick the perfect swimsuit for you, Hina-chan!\M-Mayu-chan?\Aren't the second-year classrooms upstairs?\I felt I was being called.\The Lost Swimsuit\Wow, this is amazing! response:	So this is a department store!
context: You can just leave that to me!\I'll pick the perfect swimsuit for you, Hina-chan!\M-Mayu-chan?\Aren't the second-year classrooms upstairs?\I felt I was being called.\The Lost Swimsuit\Wow, this is amazing!\So this is a department store! response:	This is my first time shopping with friends,
context: I'll pick the perfect swimsuit for you, Hina-chan!\M-Mayu-chan?\Aren't the second-year classrooms upstairs?\I felt I was being called.\The Lost Swimsuit\Wow, this is amazing!\So this is a department store!\This is my first time shopping with friends, response:	so I'm really excited!
context: M-Mayu-chan?\Aren't the second-year classrooms upstairs?\I felt I was being called.\The Lost Swimsuit\Wow, this is amazing!\So this is a department store!\This is my first time shopping with friends,\so I'm really excited! response:	It'll be my first time in the swimsuit department, so I'm excited, too!
context: Aren't the second-year classrooms upstairs?\I felt I was being called.\The Lost Swimsuit\Wow, this is amazing!\So this is a department store!\This is my first time shopping with friends,\so I'm really excited!\It'll be my first time in the swimsuit department, so I'm excited, too! response:	There are so many!
context: I felt I was being called.\The Lost Swimsuit\Wow, this is amazing!\So this is a department store!\This is my first time shopping with friends,\so I'm really excited!\It'll be my first time in the swimsuit department, so I'm excited, too!\There are so many! response:	Oh, look!
context: The Lost Swimsuit\Wow, this is amazing!\So this is a department store!\This is my first time shopping with friends,\so I'm really excited!\It'll be my first time in the swimsuit department, so I'm excited, too!\There are so many!\Oh, look! response:	That one's really cute!
context: Wow, this is amazing!\So this is a department store!\This is my first time shopping with friends,\so I'm really excited!\It'll be my first time in the swimsuit department, so I'm excited, too!\There are so many!\Oh, look!\That one's really cute! response:	Oh, you're right!
context: So this is a department store!\This is my first time shopping with friends,\so I'm really excited!\It'll be my first time in the swimsuit department, so I'm excited, too!\There are so many!\Oh, look!\That one's really cute!\Oh, you're right! response:	And how about this flowery one?
context: This is my first time shopping with friends,\so I'm really excited!\It'll be my first time in the swimsuit department, so I'm excited, too!\There are so many!\Oh, look!\That one's really cute!\Oh, you're right!\And how about this flowery one? response:	It's cute, too!
context: so I'm really excited!\It'll be my first time in the swimsuit department, so I'm excited, too!\There are so many!\Oh, look!\That one's really cute!\Oh, you're right!\And how about this flowery one?\It's cute, too! response:	And this chic style is nice, too!
context: It'll be my first time in the swimsuit department, so I'm excited, too!\There are so many!\Oh, look!\That one's really cute!\Oh, you're right!\And how about this flowery one?\It's cute, too!\And this chic style is nice, too! response:	Yeah! I want to try it on!
context: There are so many!\Oh, look!\That one's really cute!\Oh, you're right!\And how about this flowery one?\It's cute, too!\And this chic style is nice, too!\Yeah! I want to try it on! response:	Hey, you two!
context: Oh, look!\That one's really cute!\Oh, you're right!\And how about this flowery one?\It's cute, too!\And this chic style is nice, too!\Yeah! I want to try it on!\Hey, you two! response:	You're going to disturb the other customers.
context: That one's really cute!\Oh, you're right!\And how about this flowery one?\It's cute, too!\And this chic style is nice, too!\Yeah! I want to try it on!\Hey, you two!\You're going to disturb the other customers. response:	Don't be so loud.
context: Oh, you're right!\And how about this flowery one?\It's cute, too!\And this chic style is nice, too!\Yeah! I want to try it on!\Hey, you two!\You're going to disturb the other customers.\Don't be so loud. response:	Yua-chan, look at this one!
context: And how about this flowery one?\It's cute, too!\And this chic style is nice, too!\Yeah! I want to try it on!\Hey, you two!\You're going to disturb the other customers.\Don't be so loud.\Yua-chan, look at this one! response:	Let me see!
context: It's cute, too!\And this chic style is nice, too!\Yeah! I want to try it on!\Hey, you two!\You're going to disturb the other customers.\Don't be so loud.\Yua-chan, look at this one!\Let me see! response:	Wow, it's nice!
context: And this chic style is nice, too!\Yeah! I want to try it on!\Hey, you two!\You're going to disturb the other customers.\Don't be so loud.\Yua-chan, look at this one!\Let me see!\Wow, it's nice! response:	Isn't it?
context: Yeah! I want to try it on!\Hey, you two!\You're going to disturb the other customers.\Don't be so loud.\Yua-chan, look at this one!\Let me see!\Wow, it's nice!\Isn't it? response:	Mayu-chan, there are so many, I can't decide!
context: Hey, you two!\You're going to disturb the other customers.\Don't be so loud.\Yua-chan, look at this one!\Let me see!\Wow, it's nice!\Isn't it?\Mayu-chan, there are so many, I can't decide! response:	I know, but don't worry.
context: You're going to disturb the other customers.\Don't be so loud.\Yua-chan, look at this one!\Let me see!\Wow, it's nice!\Isn't it?\Mayu-chan, there are so many, I can't decide!\I know, but don't worry. response:	I'll give all my effort to helping you choose a swimsuit.
context: Don't be so loud.\Yua-chan, look at this one!\Let me see!\Wow, it's nice!\Isn't it?\Mayu-chan, there are so many, I can't decide!\I know, but don't worry.\I'll give all my effort to helping you choose a swimsuit. response:	Okay! Thanks!
context: Yua-chan, look at this one!\Let me see!\Wow, it's nice!\Isn't it?\Mayu-chan, there are so many, I can't decide!\I know, but don't worry.\I'll give all my effort to helping you choose a swimsuit.\Okay! Thanks! response:	You can count on me.
context: Let me see!\Wow, it's nice!\Isn't it?\Mayu-chan, there are so many, I can't decide!\I know, but don't worry.\I'll give all my effort to helping you choose a swimsuit.\Okay! Thanks!\You can count on me. response:	Good luck, Hina-chan...
