context: You don't have to force yourself to attend anymore. response:	Well, the joint event is a week away, right?
context: You don't have to force yourself to attend anymore.\Well, the joint event is a week away, right? response:	So I went to check on the meeting, but it was already over.
context: You don't have to force yourself to attend anymore.\Well, the joint event is a week away, right?\So I went to check on the meeting, but it was already over. response:	I was on my way home, too, when I found you.
context: You don't have to force yourself to attend anymore.\Well, the joint event is a week away, right?\So I went to check on the meeting, but it was already over.\I was on my way home, too, when I found you. response:	Oh.
context: You don't have to force yourself to attend anymore.\Well, the joint event is a week away, right?\So I went to check on the meeting, but it was already over.\I was on my way home, too, when I found you.\Oh. response:	Is this the car you drive?
context: You don't have to force yourself to attend anymore.\Well, the joint event is a week away, right?\So I went to check on the meeting, but it was already over.\I was on my way home, too, when I found you.\Oh.\Is this the car you drive? response:	It doesn't look like the one you had in summer...
context: You don't have to force yourself to attend anymore.\Well, the joint event is a week away, right?\So I went to check on the meeting, but it was already over.\I was on my way home, too, when I found you.\Oh.\Is this the car you drive?\It doesn't look like the one you had in summer... response:	Oh, that was a rental.
context: You don't have to force yourself to attend anymore.\Well, the joint event is a week away, right?\So I went to check on the meeting, but it was already over.\I was on my way home, too, when I found you.\Oh.\Is this the car you drive?\It doesn't look like the one you had in summer...\Oh, that was a rental. response:	This baby's mine.
context: Well, the joint event is a week away, right?\So I went to check on the meeting, but it was already over.\I was on my way home, too, when I found you.\Oh.\Is this the car you drive?\It doesn't look like the one you had in summer...\Oh, that was a rental.\This baby's mine. response:	Hikigaya...
context: So I went to check on the meeting, but it was already over.\I was on my way home, too, when I found you.\Oh.\Is this the car you drive?\It doesn't look like the one you had in summer...\Oh, that was a rental.\This baby's mine.\Hikigaya... response:	Mind if we make a little stop?
context: I was on my way home, too, when I found you.\Oh.\Is this the car you drive?\It doesn't look like the one you had in summer...\Oh, that was a rental.\This baby's mine.\Hikigaya...\Mind if we make a little stop? response:	My Teen Romantic Comedy SNAFU TOO!
context: Oh.\Is this the car you drive?\It doesn't look like the one you had in summer...\Oh, that was a rental.\This baby's mine.\Hikigaya...\Mind if we make a little stop?\My Teen Romantic Comedy SNAFU TOO! response:	Here we are.
context: Is this the car you drive?\It doesn't look like the one you had in summer...\Oh, that was a rental.\This baby's mine.\Hikigaya...\Mind if we make a little stop?\My Teen Romantic Comedy SNAFU TOO!\Here we are. response:	Mihama Bridge
context: It doesn't look like the one you had in summer...\Oh, that was a rental.\This baby's mine.\Hikigaya...\Mind if we make a little stop?\My Teen Romantic Comedy SNAFU TOO!\Here we are.\Mihama Bridge response:	I won't lose!
context: Oh, that was a rental.\This baby's mine.\Hikigaya...\Mind if we make a little stop?\My Teen Romantic Comedy SNAFU TOO!\Here we are.\Mihama Bridge\I won't lose! response:	I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!
context: This baby's mine.\Hikigaya...\Mind if we make a little stop?\My Teen Romantic Comedy SNAFU TOO!\Here we are.\Mihama Bridge\I won't lose!\I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever! response:	Hikigaya!
context: Hikigaya...\Mind if we make a little stop?\My Teen Romantic Comedy SNAFU TOO!\Here we are.\Mihama Bridge\I won't lose!\I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!\Hikigaya! response:	You look kinda cool like that.
context: Mind if we make a little stop?\My Teen Romantic Comedy SNAFU TOO!\Here we are.\Mihama Bridge\I won't lose!\I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!\Hikigaya!\You look kinda cool like that. response:	Because I'm trying to look cool.
context: My Teen Romantic Comedy SNAFU TOO!\Here we are.\Mihama Bridge\I won't lose!\I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!\Hikigaya!\You look kinda cool like that.\Because I'm trying to look cool. response:	So, how are things going?
context: Here we are.\Mihama Bridge\I won't lose!\I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!\Hikigaya!\You look kinda cool like that.\Because I'm trying to look cool.\So, how are things going? response:	It's looking pretty bad.
context: Mihama Bridge\I won't lose!\I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!\Hikigaya!\You look kinda cool like that.\Because I'm trying to look cool.\So, how are things going?\It's looking pretty bad. response:	What's looking bad?
context: I won't lose!\I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!\Hikigaya!\You look kinda cool like that.\Because I'm trying to look cool.\So, how are things going?\It's looking pretty bad.\What's looking bad? response:	It's hard to say exactly...
context: I love Yuu-kun-chan! 4 month anniversary!! We'll be together forever!\Hikigaya!\You look kinda cool like that.\Because I'm trying to look cool.\So, how are things going?\It's looking pretty bad.\What's looking bad?\It's hard to say exactly... response:	Well, try telling me anyway.
context: Hikigaya!\You look kinda cool like that.\Because I'm trying to look cool.\So, how are things going?\It's looking pretty bad.\What's looking bad?\It's hard to say exactly...\Well, try telling me anyway. response:	Okay...
context: You look kinda cool like that.\Because I'm trying to look cool.\So, how are things going?\It's looking pretty bad.\What's looking bad?\It's hard to say exactly...\Well, try telling me anyway.\Okay... response:	Then...
context: Because I'm trying to look cool.\So, how are things going?\It's looking pretty bad.\What's looking bad?\It's hard to say exactly...\Well, try telling me anyway.\Okay...\Then... response:	I guess time is the problem.
context: So, how are things going?\It's looking pretty bad.\What's looking bad?\It's hard to say exactly...\Well, try telling me anyway.\Okay...\Then...\I guess time is the problem. response:	I don't see how we can turn this situation around in a week.
context: It's looking pretty bad.\What's looking bad?\It's hard to say exactly...\Well, try telling me anyway.\Okay...\Then...\I guess time is the problem.\I don't see how we can turn this situation around in a week. response:	Tamanawa and Isshiki are both scared
context: What's looking bad?\It's hard to say exactly...\Well, try telling me anyway.\Okay...\Then...\I guess time is the problem.\I don't see how we can turn this situation around in a week.\Tamanawa and Isshiki are both scared response:	to think of this thing failing because of them.
context: It's hard to say exactly...\Well, try telling me anyway.\Okay...\Then...\I guess time is the problem.\I don't see how we can turn this situation around in a week.\Tamanawa and Isshiki are both scared\to think of this thing failing because of them. response:	So, to distribute the responsibility, they ask for others' opinions
context: Well, try telling me anyway.\Okay...\Then...\I guess time is the problem.\I don't see how we can turn this situation around in a week.\Tamanawa and Isshiki are both scared\to think of this thing failing because of them.\So, to distribute the responsibility, they ask for others' opinions response:	Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading
context: Okay...\Then...\I guess time is the problem.\I don't see how we can turn this situation around in a week.\Tamanawa and Isshiki are both scared\to think of this thing failing because of them.\So, to distribute the responsibility, they ask for others' opinions\Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading response:	and try to implement those.
context: Then...\I guess time is the problem.\I don't see how we can turn this situation around in a week.\Tamanawa and Isshiki are both scared\to think of this thing failing because of them.\So, to distribute the responsibility, they ask for others' opinions\Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading\and try to implement those. response:	And the result is this plateau we're stuck on.
context: I guess time is the problem.\I don't see how we can turn this situation around in a week.\Tamanawa and Isshiki are both scared\to think of this thing failing because of them.\So, to distribute the responsibility, they ask for others' opinions\Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading\and try to implement those.\And the result is this plateau we're stuck on. response:	We were wrong not to decide
context: I don't see how we can turn this situation around in a week.\Tamanawa and Isshiki are both scared\to think of this thing failing because of them.\So, to distribute the responsibility, they ask for others' opinions\Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading\and try to implement those.\And the result is this plateau we're stuck on.\We were wrong not to decide response:	who's on top, and who should bear the responsibility.
context: Tamanawa and Isshiki are both scared\to think of this thing failing because of them.\So, to distribute the responsibility, they ask for others' opinions\Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading\and try to implement those.\And the result is this plateau we're stuck on.\We were wrong not to decide\who's on top, and who should bear the responsibility. response:	I guess that's about it.
context: to think of this thing failing because of them.\So, to distribute the responsibility, they ask for others' opinions\Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading\and try to implement those.\And the result is this plateau we're stuck on.\We were wrong not to decide\who's on top, and who should bear the responsibility.\I guess that's about it. response:	You have a good eye.
context: So, to distribute the responsibility, they ask for others' opinions\Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading\and try to implement those.\And the result is this plateau we're stuck on.\We were wrong not to decide\who's on top, and who should bear the responsibility.\I guess that's about it.\You have a good eye. response:	You're very good at reading people's mental states.
context: Christmas Event -Orchestra -Band -Jazz concert -Choir -Dance -Play -Gospel -Musical -Dramatic reading\and try to implement those.\And the result is this plateau we're stuck on.\We were wrong not to decide\who's on top, and who should bear the responsibility.\I guess that's about it.\You have a good eye.\You're very good at reading people's mental states. response:	I'm not...
context: and try to implement those.\And the result is this plateau we're stuck on.\We were wrong not to decide\who's on top, and who should bear the responsibility.\I guess that's about it.\You have a good eye.\You're very good at reading people's mental states.\I'm not... response:	But...
context: And the result is this plateau we're stuck on.\We were wrong not to decide\who's on top, and who should bear the responsibility.\I guess that's about it.\You have a good eye.\You're very good at reading people's mental states.\I'm not...\But... response:	You don't understand emotions.
context: We were wrong not to decide\who's on top, and who should bear the responsibility.\I guess that's about it.\You have a good eye.\You're very good at reading people's mental states.\I'm not...\But...\You don't understand emotions. response:	One's mental state and the emotions they feel aren't always equal.
context: who's on top, and who should bear the responsibility.\I guess that's about it.\You have a good eye.\You're very good at reading people's mental states.\I'm not...\But...\You don't understand emotions.\One's mental state and the emotions they feel aren't always equal. response:	That's why they sometimes reach conclusions that seem completely illogical.
context: I guess that's about it.\You have a good eye.\You're very good at reading people's mental states.\I'm not...\But...\You don't understand emotions.\One's mental state and the emotions they feel aren't always equal.\That's why they sometimes reach conclusions that seem completely illogical. response:	That's why Yukinoshita, Yuigahama, and you
context: You have a good eye.\You're very good at reading people's mental states.\I'm not...\But...\You don't understand emotions.\One's mental state and the emotions they feel aren't always equal.\That's why they sometimes reach conclusions that seem completely illogical.\That's why Yukinoshita, Yuigahama, and you response:	all give wrong answers, too.
context: You're very good at reading people's mental states.\I'm not...\But...\You don't understand emotions.\One's mental state and the emotions they feel aren't always equal.\That's why they sometimes reach conclusions that seem completely illogical.\That's why Yukinoshita, Yuigahama, and you\all give wrong answers, too. response:	Uh, they have nothing to do with this, do they?
context: I'm not...\But...\You don't understand emotions.\One's mental state and the emotions they feel aren't always equal.\That's why they sometimes reach conclusions that seem completely illogical.\That's why Yukinoshita, Yuigahama, and you\all give wrong answers, too.\Uh, they have nothing to do with this, do they? response:	They're the ones I was asking you about in the first place.
context: But...\You don't understand emotions.\One's mental state and the emotions they feel aren't always equal.\That's why they sometimes reach conclusions that seem completely illogical.\That's why Yukinoshita, Yuigahama, and you\all give wrong answers, too.\Uh, they have nothing to do with this, do they?\They're the ones I was asking you about in the first place. response:	But, well...
context: You don't understand emotions.\One's mental state and the emotions they feel aren't always equal.\That's why they sometimes reach conclusions that seem completely illogical.\That's why Yukinoshita, Yuigahama, and you\all give wrong answers, too.\Uh, they have nothing to do with this, do they?\They're the ones I was asking you about in the first place.\But, well... response:	In essence, they're both the same.
context: One's mental state and the emotions they feel aren't always equal.\That's why they sometimes reach conclusions that seem completely illogical.\That's why Yukinoshita, Yuigahama, and you\all give wrong answers, too.\Uh, they have nothing to do with this, do they?\They're the ones I was asking you about in the first place.\But, well...\In essence, they're both the same. response:	Both problems have the same root.
context: That's why they sometimes reach conclusions that seem completely illogical.\That's why Yukinoshita, Yuigahama, and you\all give wrong answers, too.\Uh, they have nothing to do with this, do they?\They're the ones I was asking you about in the first place.\But, well...\In essence, they're both the same.\Both problems have the same root. response:	It's in the heart.
context: That's why Yukinoshita, Yuigahama, and you\all give wrong answers, too.\Uh, they have nothing to do with this, do they?\They're the ones I was asking you about in the first place.\But, well...\In essence, they're both the same.\Both problems have the same root.\It's in the heart. response:	But that's not something you can understand by thinking, is it?
context: all give wrong answers, too.\Uh, they have nothing to do with this, do they?\They're the ones I was asking you about in the first place.\But, well...\In essence, they're both the same.\Both problems have the same root.\It's in the heart.\But that's not something you can understand by thinking, is it? response:	You don't understand?
context: Uh, they have nothing to do with this, do they?\They're the ones I was asking you about in the first place.\But, well...\In essence, they're both the same.\Both problems have the same root.\It's in the heart.\But that's not something you can understand by thinking, is it?\You don't understand? response:	Then think harder.
context: They're the ones I was asking you about in the first place.\But, well...\In essence, they're both the same.\Both problems have the same root.\It's in the heart.\But that's not something you can understand by thinking, is it?\You don't understand?\Then think harder. response:	If you can only think in terms of calculations, then calculate it.
context: But, well...\In essence, they're both the same.\Both problems have the same root.\It's in the heart.\But that's not something you can understand by thinking, is it?\You don't understand?\Then think harder.\If you can only think in terms of calculations, then calculate it. response:	Lay out all the answers,
context: In essence, they're both the same.\Both problems have the same root.\It's in the heart.\But that's not something you can understand by thinking, is it?\You don't understand?\Then think harder.\If you can only think in terms of calculations, then calculate it.\Lay out all the answers, response:	and knock them out one by one via process of elimination.
