context: Just a little farther till we're at Kame House. Hang in there, Gohan. response:	Right.
context: Just a little farther till we're at Kame House. Hang in there, Gohan.\Right. response:	H- hey, over there...
context: Just a little farther till we're at Kame House. Hang in there, Gohan.\Right.\H- hey, over there... response:	T- that's the direction we just came from.
context: Just a little farther till we're at Kame House. Hang in there, Gohan.\Right.\H- hey, over there...\T- that's the direction we just came from. response:	What could it be? It's awfully bright. A star?
context: Just a little farther till we're at Kame House. Hang in there, Gohan.\Right.\H- hey, over there...\T- that's the direction we just came from.\What could it be? It's awfully bright. A star? response:	No, it doesn't appear to be a star...
context: Just a little farther till we're at Kame House. Hang in there, Gohan.\Right.\H- hey, over there...\T- that's the direction we just came from.\What could it be? It's awfully bright. A star?\No, it doesn't appear to be a star... response:	This can't be!
context: Just a little farther till we're at Kame House. Hang in there, Gohan.\Right.\H- hey, over there...\T- that's the direction we just came from.\What could it be? It's awfully bright. A star?\No, it doesn't appear to be a star...\This can't be! response:	T- this is impossible!
context: Just a little farther till we're at Kame House. Hang in there, Gohan.\Right.\H- hey, over there...\T- that's the direction we just came from.\What could it be? It's awfully bright. A star?\No, it doesn't appear to be a star...\This can't be!\T- this is impossible! response:	W- what is that? There's a tremendous Ki rising up.
context: Right.\H- hey, over there...\T- that's the direction we just came from.\What could it be? It's awfully bright. A star?\No, it doesn't appear to be a star...\This can't be!\T- this is impossible!\W- what is that? There's a tremendous Ki rising up. response:	Father's Ki hasn't risen again, right?
context: H- hey, over there...\T- that's the direction we just came from.\What could it be? It's awfully bright. A star?\No, it doesn't appear to be a star...\This can't be!\T- this is impossible!\W- what is that? There's a tremendous Ki rising up.\Father's Ki hasn't risen again, right? response:	N- no. This nasty feeling is coming from the other one's Ki.
context: T- that's the direction we just came from.\What could it be? It's awfully bright. A star?\No, it doesn't appear to be a star...\This can't be!\T- this is impossible!\W- what is that? There's a tremendous Ki rising up.\Father's Ki hasn't risen again, right?\N- no. This nasty feeling is coming from the other one's Ki. response:	And you know, that's an incredible amount of Ki. What's going on!?
context: What could it be? It's awfully bright. A star?\No, it doesn't appear to be a star...\This can't be!\T- this is impossible!\W- what is that? There's a tremendous Ki rising up.\Father's Ki hasn't risen again, right?\N- no. This nasty feeling is coming from the other one's Ki.\And you know, that's an incredible amount of Ki. What's going on!? response:	F- Father...
context: No, it doesn't appear to be a star...\This can't be!\T- this is impossible!\W- what is that? There's a tremendous Ki rising up.\Father's Ki hasn't risen again, right?\N- no. This nasty feeling is coming from the other one's Ki.\And you know, that's an incredible amount of Ki. What's going on!?\F- Father... response:	Gohan!
context: This can't be!\T- this is impossible!\W- what is that? There's a tremendous Ki rising up.\Father's Ki hasn't risen again, right?\N- no. This nasty feeling is coming from the other one's Ki.\And you know, that's an incredible amount of Ki. What's going on!?\F- Father...\Gohan! response:	I- I'm going back.
