context: Looks like Freeza is out and about, all right. response:	And so then, right there, I told him...
context: Looks like Freeza is out and about, all right.\And so then, right there, I told him... response:	Wait, hold on now...
context: Looks like Freeza is out and about, all right.\And so then, right there, I told him...\Wait, hold on now... response:	What's this?
context: Looks like Freeza is out and about, all right.\And so then, right there, I told him...\Wait, hold on now...\What's this? response:	-What was that!? -What's going on!?
context: Looks like Freeza is out and about, all right.\And so then, right there, I told him...\Wait, hold on now...\What's this?\-What was that!? -What's going on!? response:	W- what was that explosion just now?!
context: Looks like Freeza is out and about, all right.\And so then, right there, I told him...\Wait, hold on now...\What's this?\-What was that!? -What's going on!?\W- what was that explosion just now?! response:	V- V- V-
context: Looks like Freeza is out and about, all right.\And so then, right there, I told him...\Wait, hold on now...\What's this?\-What was that!? -What's going on!?\W- what was that explosion just now?!\V- V- V- response:	Vegeta!
context: Looks like Freeza is out and about, all right.\And so then, right there, I told him...\Wait, hold on now...\What's this?\-What was that!? -What's going on!?\W- what was that explosion just now?!\V- V- V-\Vegeta! response:	Damn!
context: And so then, right there, I told him...\Wait, hold on now...\What's this?\-What was that!? -What's going on!?\W- what was that explosion just now?!\V- V- V-\Vegeta!\Damn! response:	Hey!
context: Wait, hold on now...\What's this?\-What was that!? -What's going on!?\W- what was that explosion just now?!\V- V- V-\Vegeta!\Damn!\Hey! response:	Where are the Dragon Balls?
context: What's this?\-What was that!? -What's going on!?\W- what was that explosion just now?!\V- V- V-\Vegeta!\Damn!\Hey!\Where are the Dragon Balls? response:	Look at all of you, lined up so loyally!
context: -What was that!? -What's going on!?\W- what was that explosion just now?!\V- V- V-\Vegeta!\Damn!\Hey!\Where are the Dragon Balls?\Look at all of you, lined up so loyally! response:	If you don't want to tell me...
context: W- what was that explosion just now?!\V- V- V-\Vegeta!\Damn!\Hey!\Where are the Dragon Balls?\Look at all of you, lined up so loyally!\If you don't want to tell me... response:	Lousy small fry.
context: V- V- V-\Vegeta!\Damn!\Hey!\Where are the Dragon Balls?\Look at all of you, lined up so loyally!\If you don't want to tell me...\Lousy small fry. response:	You can swear your allegiance to Freeza from the Other Side now.
context: Vegeta!\Damn!\Hey!\Where are the Dragon Balls?\Look at all of you, lined up so loyally!\If you don't want to tell me...\Lousy small fry.\You can swear your allegiance to Freeza from the Other Side now. response:	Damn it all, Freeza...
context: Damn!\Hey!\Where are the Dragon Balls?\Look at all of you, lined up so loyally!\If you don't want to tell me...\Lousy small fry.\You can swear your allegiance to Freeza from the Other Side now.\Damn it all, Freeza... response:	Seeing as how Ginyu stayed behind,
