context: At 18:00 Space Standard Time, response:	a GDF Special Forces unit set up transmission satellites
context: At 18:00 Space Standard Time,\a GDF Special Forces unit set up transmission satellites response:	to replace the ones destroyed by the United Pan-Galactic Empire,
context: At 18:00 Space Standard Time,\a GDF Special Forces unit set up transmission satellites\to replace the ones destroyed by the United Pan-Galactic Empire, response:	also known as Wulgaru.
context: At 18:00 Space Standard Time,\a GDF Special Forces unit set up transmission satellites\to replace the ones destroyed by the United Pan-Galactic Empire,\also known as Wulgaru. response:	However, the unit was rushed by a Wulgaru squad.
context: At 18:00 Space Standard Time,\a GDF Special Forces unit set up transmission satellites\to replace the ones destroyed by the United Pan-Galactic Empire,\also known as Wulgaru.\However, the unit was rushed by a Wulgaru squad. response:	Although they tried to counter the attack, they were nonetheless overpowered
context: At 18:00 Space Standard Time,\a GDF Special Forces unit set up transmission satellites\to replace the ones destroyed by the United Pan-Galactic Empire,\also known as Wulgaru.\However, the unit was rushed by a Wulgaru squad.\Although they tried to counter the attack, they were nonetheless overpowered response:	and the replacement transmission satellites were destroyed.
context: At 18:00 Space Standard Time,\a GDF Special Forces unit set up transmission satellites\to replace the ones destroyed by the United Pan-Galactic Empire,\also known as Wulgaru.\However, the unit was rushed by a Wulgaru squad.\Although they tried to counter the attack, they were nonetheless overpowered\and the replacement transmission satellites were destroyed. response:	Consequentially, we are currently unable to send transmissions to Undina.
context: At 18:00 Space Standard Time,\a GDF Special Forces unit set up transmission satellites\to replace the ones destroyed by the United Pan-Galactic Empire,\also known as Wulgaru.\However, the unit was rushed by a Wulgaru squad.\Although they tried to counter the attack, they were nonetheless overpowered\and the replacement transmission satellites were destroyed.\Consequentially, we are currently unable to send transmissions to Undina. response:	Several years have passed since the invading
context: a GDF Special Forces unit set up transmission satellites\to replace the ones destroyed by the United Pan-Galactic Empire,\also known as Wulgaru.\However, the unit was rushed by a Wulgaru squad.\Although they tried to counter the attack, they were nonetheless overpowered\and the replacement transmission satellites were destroyed.\Consequentially, we are currently unable to send transmissions to Undina.\Several years have passed since the invading response:	Surprise Attack
context: to replace the ones destroyed by the United Pan-Galactic Empire,\also known as Wulgaru.\However, the unit was rushed by a Wulgaru squad.\Although they tried to counter the attack, they were nonetheless overpowered\and the replacement transmission satellites were destroyed.\Consequentially, we are currently unable to send transmissions to Undina.\Several years have passed since the invading\Surprise Attack response:	Wulgaru army suddenly appeared in our solar system,
context: also known as Wulgaru.\However, the unit was rushed by a Wulgaru squad.\Although they tried to counter the attack, they were nonetheless overpowered\and the replacement transmission satellites were destroyed.\Consequentially, we are currently unable to send transmissions to Undina.\Several years have passed since the invading\Surprise Attack\Wulgaru army suddenly appeared in our solar system, response:	but we still do not know the
context: However, the unit was rushed by a Wulgaru squad.\Although they tried to counter the attack, they were nonetheless overpowered\and the replacement transmission satellites were destroyed.\Consequentially, we are currently unable to send transmissions to Undina.\Several years have passed since the invading\Surprise Attack\Wulgaru army suddenly appeared in our solar system,\but we still do not know the response:	motive behind their invasion and acts of destruction.
context: Although they tried to counter the attack, they were nonetheless overpowered\and the replacement transmission satellites were destroyed.\Consequentially, we are currently unable to send transmissions to Undina.\Several years have passed since the invading\Surprise Attack\Wulgaru army suddenly appeared in our solar system,\but we still do not know the\motive behind their invasion and acts of destruction. response:	The news keeps going on about us.
context: and the replacement transmission satellites were destroyed.\Consequentially, we are currently unable to send transmissions to Undina.\Several years have passed since the invading\Surprise Attack\Wulgaru army suddenly appeared in our solar system,\but we still do not know the\motive behind their invasion and acts of destruction.\The news keeps going on about us. response:	So Wulgaru are actually called the Half Fried Rice Tofu Empire...
context: Consequentially, we are currently unable to send transmissions to Undina.\Several years have passed since the invading\Surprise Attack\Wulgaru army suddenly appeared in our solar system,\but we still do not know the\motive behind their invasion and acts of destruction.\The news keeps going on about us.\So Wulgaru are actually called the Half Fried Rice Tofu Empire... response:	That wasn't even close...
context: Several years have passed since the invading\Surprise Attack\Wulgaru army suddenly appeared in our solar system,\but we still do not know the\motive behind their invasion and acts of destruction.\The news keeps going on about us.\So Wulgaru are actually called the Half Fried Rice Tofu Empire...\That wasn't even close... response:	Are you too stupid to even have common sense?
context: Surprise Attack\Wulgaru army suddenly appeared in our solar system,\but we still do not know the\motive behind their invasion and acts of destruction.\The news keeps going on about us.\So Wulgaru are actually called the Half Fried Rice Tofu Empire...\That wasn't even close...\Are you too stupid to even have common sense? response:	I can go through life without common sense!
context: Wulgaru army suddenly appeared in our solar system,\but we still do not know the\motive behind their invasion and acts of destruction.\The news keeps going on about us.\So Wulgaru are actually called the Half Fried Rice Tofu Empire...\That wasn't even close...\Are you too stupid to even have common sense?\I can go through life without common sense! response:	What type of retort was that?
context: but we still do not know the\motive behind their invasion and acts of destruction.\The news keeps going on about us.\So Wulgaru are actually called the Half Fried Rice Tofu Empire...\That wasn't even close...\Are you too stupid to even have common sense?\I can go through life without common sense!\What type of retort was that? response:	They keep showing the clip where I botched it.
context: motive behind their invasion and acts of destruction.\The news keeps going on about us.\So Wulgaru are actually called the Half Fried Rice Tofu Empire...\That wasn't even close...\Are you too stupid to even have common sense?\I can go through life without common sense!\What type of retort was that?\They keep showing the clip where I botched it. response:	Check out my Asagi Special.
context: The news keeps going on about us.\So Wulgaru are actually called the Half Fried Rice Tofu Empire...\That wasn't even close...\Are you too stupid to even have common sense?\I can go through life without common sense!\What type of retort was that?\They keep showing the clip where I botched it.\Check out my Asagi Special. response:	Knock it off! Not before my checkup.
context: So Wulgaru are actually called the Half Fried Rice Tofu Empire...\That wasn't even close...\Are you too stupid to even have common sense?\I can go through life without common sense!\What type of retort was that?\They keep showing the clip where I botched it.\Check out my Asagi Special.\Knock it off! Not before my checkup. response:	Man, even our cutting-edge units look pathetic...
context: That wasn't even close...\Are you too stupid to even have common sense?\I can go through life without common sense!\What type of retort was that?\They keep showing the clip where I botched it.\Check out my Asagi Special.\Knock it off! Not before my checkup.\Man, even our cutting-edge units look pathetic... response:	Sorry to have kept you waiting.
context: Are you too stupid to even have common sense?\I can go through life without common sense!\What type of retort was that?\They keep showing the clip where I botched it.\Check out my Asagi Special.\Knock it off! Not before my checkup.\Man, even our cutting-edge units look pathetic...\Sorry to have kept you waiting. response:	Nah, you didn't make us wait any!
