context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	neiki yori sotto yoake ga kuru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: = LOGO END =\= OP START =\= MAIN START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = OP START =\= MAIN START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai yo kimi to tooku he
context: = MAIN START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we would go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	The fur traders and fur-processing dealers all revolted at once.
context: Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\The fur traders and fur-processing dealers all revolted at once. response:	How did it come to this?
context: we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\The fur traders and fur-processing dealers all revolted at once.\How did it come to this? response:	They publicized the outcome of the meeting too quickly.
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\The fur traders and fur-processing dealers all revolted at once.\How did it come to this?\They publicized the outcome of the meeting too quickly. response:	When they tried to put up the sign in the town center announcing the outcome,
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\The fur traders and fur-processing dealers all revolted at once.\How did it come to this?\They publicized the outcome of the meeting too quickly.\When they tried to put up the sign in the town center announcing the outcome, response:	all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.
context: Shining eyes\Your singing voice\Let's share it\The fur traders and fur-processing dealers all revolted at once.\How did it come to this?\They publicized the outcome of the meeting too quickly.\When they tried to put up the sign in the town center announcing the outcome,\all the merchants rushed in wielding fur tools as weapons and demanded they revoke it. response:	Um...
context: Your singing voice\Let's share it\The fur traders and fur-processing dealers all revolted at once.\How did it come to this?\They publicized the outcome of the meeting too quickly.\When they tried to put up the sign in the town center announcing the outcome,\all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.\Um... response:	Don't worry.
context: Let's share it\The fur traders and fur-processing dealers all revolted at once.\How did it come to this?\They publicized the outcome of the meeting too quickly.\When they tried to put up the sign in the town center announcing the outcome,\all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.\Um...\Don't worry. response:	Even if they're unhappy with the Fifty-man meeting,
context: The fur traders and fur-processing dealers all revolted at once.\How did it come to this?\They publicized the outcome of the meeting too quickly.\When they tried to put up the sign in the town center announcing the outcome,\all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.\Um...\Don't worry.\Even if they're unhappy with the Fifty-man meeting, response:	they wouldn't go so far as to attack the scribe's house.
context: How did it come to this?\They publicized the outcome of the meeting too quickly.\When they tried to put up the sign in the town center announcing the outcome,\all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.\Um...\Don't worry.\Even if they're unhappy with the Fifty-man meeting,\they wouldn't go so far as to attack the scribe's house. response:	O-Okay.
context: They publicized the outcome of the meeting too quickly.\When they tried to put up the sign in the town center announcing the outcome,\all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.\Um...\Don't worry.\Even if they're unhappy with the Fifty-man meeting,\they wouldn't go so far as to attack the scribe's house.\O-Okay. response:	Wolf and Endless Tears
context: When they tried to put up the sign in the town center announcing the outcome,\all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.\Um...\Don't worry.\Even if they're unhappy with the Fifty-man meeting,\they wouldn't go so far as to attack the scribe's house.\O-Okay.\Wolf and Endless Tears response:	They can't overturn the decision they made, can they?
context: all the merchants rushed in wielding fur tools as weapons and demanded they revoke it.\Um...\Don't worry.\Even if they're unhappy with the Fifty-man meeting,\they wouldn't go so far as to attack the scribe's house.\O-Okay.\Wolf and Endless Tears\They can't overturn the decision they made, can they? response:	Of course not.
context: Um...\Don't worry.\Even if they're unhappy with the Fifty-man meeting,\they wouldn't go so far as to attack the scribe's house.\O-Okay.\Wolf and Endless Tears\They can't overturn the decision they made, can they?\Of course not. response:	The authority of the meeting rides on the resolution they came to.
context: Don't worry.\Even if they're unhappy with the Fifty-man meeting,\they wouldn't go so far as to attack the scribe's house.\O-Okay.\Wolf and Endless Tears\They can't overturn the decision they made, can they?\Of course not.\The authority of the meeting rides on the resolution they came to. response:	The merchants from outside the city have already broken in.
context: Even if they're unhappy with the Fifty-man meeting,\they wouldn't go so far as to attack the scribe's house.\O-Okay.\Wolf and Endless Tears\They can't overturn the decision they made, can they?\Of course not.\The authority of the meeting rides on the resolution they came to.\The merchants from outside the city have already broken in. response:	They're spilling blood trying to stop the uprising, but it's probably pointless.
context: they wouldn't go so far as to attack the scribe's house.\O-Okay.\Wolf and Endless Tears\They can't overturn the decision they made, can they?\Of course not.\The authority of the meeting rides on the resolution they came to.\The merchants from outside the city have already broken in.\They're spilling blood trying to stop the uprising, but it's probably pointless. response:	What about our fur dealings?
context: O-Okay.\Wolf and Endless Tears\They can't overturn the decision they made, can they?\Of course not.\The authority of the meeting rides on the resolution they came to.\The merchants from outside the city have already broken in.\They're spilling blood trying to stop the uprising, but it's probably pointless.\What about our fur dealings? response:	The decision made at the meeting was as my sources suggested.
