context: Doing things that bring attention to myself... response:	That is what I, Yoshikage Kira, hate the most.
context: Doing things that bring attention to myself...\That is what I, Yoshikage Kira, hate the most. response:	And to think that I'm experiencing this humiliation in front of total strangers...
context: Doing things that bring attention to myself...\That is what I, Yoshikage Kira, hate the most.\And to think that I'm experiencing this humiliation in front of total strangers... response:	To think that the invincible auto-pilot Heart Attack would get caught...
context: Doing things that bring attention to myself...\That is what I, Yoshikage Kira, hate the most.\And to think that I'm experiencing this humiliation in front of total strangers...\To think that the invincible auto-pilot Heart Attack would get caught... response:	Damn... I have to undo this spell somehow...
context: Doing things that bring attention to myself...\That is what I, Yoshikage Kira, hate the most.\And to think that I'm experiencing this humiliation in front of total strangers...\To think that the invincible auto-pilot Heart Attack would get caught...\Damn... I have to undo this spell somehow... response:	Hey, mister. You okay?
context: Doing things that bring attention to myself...\That is what I, Yoshikage Kira, hate the most.\And to think that I'm experiencing this humiliation in front of total strangers...\To think that the invincible auto-pilot Heart Attack would get caught...\Damn... I have to undo this spell somehow...\Hey, mister. You okay? response:	You sick or something?
context: Doing things that bring attention to myself...\That is what I, Yoshikage Kira, hate the most.\And to think that I'm experiencing this humiliation in front of total strangers...\To think that the invincible auto-pilot Heart Attack would get caught...\Damn... I have to undo this spell somehow...\Hey, mister. You okay?\You sick or something? response:	Want me to call your mommy?
context: Doing things that bring attention to myself...\That is what I, Yoshikage Kira, hate the most.\And to think that I'm experiencing this humiliation in front of total strangers...\To think that the invincible auto-pilot Heart Attack would get caught...\Damn... I have to undo this spell somehow...\Hey, mister. You okay?\You sick or something?\Want me to call your mommy? response:	It's nothing. Get lost.
context: That is what I, Yoshikage Kira, hate the most.\And to think that I'm experiencing this humiliation in front of total strangers...\To think that the invincible auto-pilot Heart Attack would get caught...\Damn... I have to undo this spell somehow...\Hey, mister. You okay?\You sick or something?\Want me to call your mommy?\It's nothing. Get lost. response:	Hey, hey, hey, did you hear that?
context: And to think that I'm experiencing this humiliation in front of total strangers...\To think that the invincible auto-pilot Heart Attack would get caught...\Damn... I have to undo this spell somehow...\Hey, mister. You okay?\You sick or something?\Want me to call your mommy?\It's nothing. Get lost.\Hey, hey, hey, did you hear that? response:	You seeing some sweet dreams during the day after drinking too much, mister?
context: To think that the invincible auto-pilot Heart Attack would get caught...\Damn... I have to undo this spell somehow...\Hey, mister. You okay?\You sick or something?\Want me to call your mommy?\It's nothing. Get lost.\Hey, hey, hey, did you hear that?\You seeing some sweet dreams during the day after drinking too much, mister? response:	Is it fun? Does it feel good?
context: Damn... I have to undo this spell somehow...\Hey, mister. You okay?\You sick or something?\Want me to call your mommy?\It's nothing. Get lost.\Hey, hey, hey, did you hear that?\You seeing some sweet dreams during the day after drinking too much, mister?\Is it fun? Does it feel good? response:	Grasp
context: Hey, mister. You okay?\You sick or something?\Want me to call your mommy?\It's nothing. Get lost.\Hey, hey, hey, did you hear that?\You seeing some sweet dreams during the day after drinking too much, mister?\Is it fun? Does it feel good?\Grasp response:	That's a nice suit you've got on.
context: You sick or something?\Want me to call your mommy?\It's nothing. Get lost.\Hey, hey, hey, did you hear that?\You seeing some sweet dreams during the day after drinking too much, mister?\Is it fun? Does it feel good?\Grasp\That's a nice suit you've got on. response:	We've been fired and don't have any money.
context: Want me to call your mommy?\It's nothing. Get lost.\Hey, hey, hey, did you hear that?\You seeing some sweet dreams during the day after drinking too much, mister?\Is it fun? Does it feel good?\Grasp\That's a nice suit you've got on.\We've been fired and don't have any money. response:	We can't even get any bitches.
context: It's nothing. Get lost.\Hey, hey, hey, did you hear that?\You seeing some sweet dreams during the day after drinking too much, mister?\Is it fun? Does it feel good?\Grasp\That's a nice suit you've got on.\We've been fired and don't have any money.\We can't even get any bitches. response:	Seeing guys like you piss me off.
context: Hey, hey, hey, did you hear that?\You seeing some sweet dreams during the day after drinking too much, mister?\Is it fun? Does it feel good?\Grasp\That's a nice suit you've got on.\We've been fired and don't have any money.\We can't even get any bitches.\Seeing guys like you piss me off. response:	At least try to defend yourself.
context: You seeing some sweet dreams during the day after drinking too much, mister?\Is it fun? Does it feel good?\Grasp\That's a nice suit you've got on.\We've been fired and don't have any money.\We can't even get any bitches.\Seeing guys like you piss me off.\At least try to defend yourself. response:	Hey, mister. Your shoelaces are untied.
context: Is it fun? Does it feel good?\Grasp\That's a nice suit you've got on.\We've been fired and don't have any money.\We can't even get any bitches.\Seeing guys like you piss me off.\At least try to defend yourself.\Hey, mister. Your shoelaces are untied. response:	I'll tie them for you.
context: Grasp\That's a nice suit you've got on.\We've been fired and don't have any money.\We can't even get any bitches.\Seeing guys like you piss me off.\At least try to defend yourself.\Hey, mister. Your shoelaces are untied.\I'll tie them for you. response:	A square knot! That's super nice of you!
context: That's a nice suit you've got on.\We've been fired and don't have any money.\We can't even get any bitches.\Seeing guys like you piss me off.\At least try to defend yourself.\Hey, mister. Your shoelaces are untied.\I'll tie them for you.\A square knot! That's super nice of you! response:	H-Hey, what's wrong?
context: We've been fired and don't have any money.\We can't even get any bitches.\Seeing guys like you piss me off.\At least try to defend yourself.\Hey, mister. Your shoelaces are untied.\I'll tie them for you.\A square knot! That's super nice of you!\H-Hey, what's wrong? response:	Deadly Queen's first bomb.
context: We can't even get any bitches.\Seeing guys like you piss me off.\At least try to defend yourself.\Hey, mister. Your shoelaces are untied.\I'll tie them for you.\A square knot! That's super nice of you!\H-Hey, what's wrong?\Deadly Queen's first bomb. response:	It turns anything it touches into a bomb.
context: Seeing guys like you piss me off.\At least try to defend yourself.\Hey, mister. Your shoelaces are untied.\I'll tie them for you.\A square knot! That's super nice of you!\H-Hey, what's wrong?\Deadly Queen's first bomb.\It turns anything it touches into a bomb. response:	Th-The doctor! Call the doctor!
context: At least try to defend yourself.\Hey, mister. Your shoelaces are untied.\I'll tie them for you.\A square knot! That's super nice of you!\H-Hey, what's wrong?\Deadly Queen's first bomb.\It turns anything it touches into a bomb.\Th-The doctor! Call the doctor! response:	What a terrible day.
context: Hey, mister. Your shoelaces are untied.\I'll tie them for you.\A square knot! That's super nice of you!\H-Hey, what's wrong?\Deadly Queen's first bomb.\It turns anything it touches into a bomb.\Th-The doctor! Call the doctor!\What a terrible day. response:	Get me a doctor!
