context: Kiss Him, Not Me response:	Let The Shipping Wars Begin!
context: Kiss Him, Not Me\Let The Shipping Wars Begin! response:	Serinuma-senpai!
context: Kiss Him, Not Me\Let The Shipping Wars Begin!\Serinuma-senpai! response:	Good morning.
context: Kiss Him, Not Me\Let The Shipping Wars Begin!\Serinuma-senpai!\Good morning. response:	What's up with that?
context: Kiss Him, Not Me\Let The Shipping Wars Begin!\Serinuma-senpai!\Good morning.\What's up with that? response:	Serinuma! Morning.
context: Kiss Him, Not Me\Let The Shipping Wars Begin!\Serinuma-senpai!\Good morning.\What's up with that?\Serinuma! Morning. response:	Morning.
context: Kiss Him, Not Me\Let The Shipping Wars Begin!\Serinuma-senpai!\Good morning.\What's up with that?\Serinuma! Morning.\Morning. response:	Serinuma-san.
context: Kiss Him, Not Me\Let The Shipping Wars Begin!\Serinuma-senpai!\Good morning.\What's up with that?\Serinuma! Morning.\Morning.\Serinuma-san. response:	Serinuma-san.
context: Let The Shipping Wars Begin!\Serinuma-senpai!\Good morning.\What's up with that?\Serinuma! Morning.\Morning.\Serinuma-san.\Serinuma-san. response:	Seems like you don't have a fever.
context: Serinuma-senpai!\Good morning.\What's up with that?\Serinuma! Morning.\Morning.\Serinuma-san.\Serinuma-san.\Seems like you don't have a fever. response:	Wha
context: Good morning.\What's up with that?\Serinuma! Morning.\Morning.\Serinuma-san.\Serinuma-san.\Seems like you don't have a fever.\Wha response:	Huh?
context: What's up with that?\Serinuma! Morning.\Morning.\Serinuma-san.\Serinuma-san.\Seems like you don't have a fever.\Wha\Huh? response:	Mutsumi-senpai!
context: Serinuma! Morning.\Morning.\Serinuma-san.\Serinuma-san.\Seems like you don't have a fever.\Wha\Huh?\Mutsumi-senpai! response:	Senpai, what's the matter?
context: Morning.\Serinuma-san.\Serinuma-san.\Seems like you don't have a fever.\Wha\Huh?\Mutsumi-senpai!\Senpai, what's the matter? response:	You're acting strange.
context: Serinuma-san.\Serinuma-san.\Seems like you don't have a fever.\Wha\Huh?\Mutsumi-senpai!\Senpai, what's the matter?\You're acting strange. response:	Shima-chan. The truth is, I...
context: Serinuma-san.\Seems like you don't have a fever.\Wha\Huh?\Mutsumi-senpai!\Senpai, what's the matter?\You're acting strange.\Shima-chan. The truth is, I... response:	I found someone special to me.
context: Seems like you don't have a fever.\Wha\Huh?\Mutsumi-senpai!\Senpai, what's the matter?\You're acting strange.\Shima-chan. The truth is, I...\I found someone special to me. response:	Wh-Who is it?!
context: Wha\Huh?\Mutsumi-senpai!\Senpai, what's the matter?\You're acting strange.\Shima-chan. The truth is, I...\I found someone special to me.\Wh-Who is it?! response:	It's...
context: Huh?\Mutsumi-senpai!\Senpai, what's the matter?\You're acting strange.\Shima-chan. The truth is, I...\I found someone special to me.\Wh-Who is it?!\It's... response:	Akane-chan from Katchu Ranbu, Kachu Rabu for short!
context: Mutsumi-senpai!\Senpai, what's the matter?\You're acting strange.\Shima-chan. The truth is, I...\I found someone special to me.\Wh-Who is it?!\It's...\Akane-chan from Katchu Ranbu, Kachu Rabu for short! response:	The anime just started, but the first second I saw him, I was like,
