context: What on earth! response:	Look at that!
context: What on earth!\Look at that! response:	It's closing in!
context: What on earth!\Look at that!\It's closing in! response:	Who's available?
context: What on earth!\Look at that!\It's closing in!\Who's available? response:	We have word that Lightning Max and Smile Man are on their way.
context: What on earth!\Look at that!\It's closing in!\Who's available?\We have word that Lightning Max and Smile Man are on their way. response:	Get me that threat level assessment!
context: What on earth!\Look at that!\It's closing in!\Who's available?\We have word that Lightning Max and Smile Man are on their way.\Get me that threat level assessment! response:	As you can see, loud explosions are going off behind me!
context: What on earth!\Look at that!\It's closing in!\Who's available?\We have word that Lightning Max and Smile Man are on their way.\Get me that threat level assessment!\As you can see, loud explosions are going off behind me! response:	The damage left by the monster is at an unprecedented scale.
context: What on earth!\Look at that!\It's closing in!\Who's available?\We have word that Lightning Max and Smile Man are on their way.\Get me that threat level assessment!\As you can see, loud explosions are going off behind me!\The damage left by the monster is at an unprecedented scale. response:	HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-
context: Look at that!\It's closing in!\Who's available?\We have word that Lightning Max and Smile Man are on their way.\Get me that threat level assessment!\As you can see, loud explosions are going off behind me!\The damage left by the monster is at an unprecedented scale.\HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level- response:	Guess I'll go.
context: It's closing in!\Who's available?\We have word that Lightning Max and Smile Man are on their way.\Get me that threat level assessment!\As you can see, loud explosions are going off behind me!\The damage left by the monster is at an unprecedented scale.\HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-\Guess I'll go. response:	JUSTICE ENFORCEMENT
context: Who's available?\We have word that Lightning Max and Smile Man are on their way.\Get me that threat level assessment!\As you can see, loud explosions are going off behind me!\The damage left by the monster is at an unprecedented scale.\HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-\Guess I'll go.\JUSTICE ENFORCEMENT response:	Daddy! Mommy!
context: We have word that Lightning Max and Smile Man are on their way.\Get me that threat level assessment!\As you can see, loud explosions are going off behind me!\The damage left by the monster is at an unprecedented scale.\HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-\Guess I'll go.\JUSTICE ENFORCEMENT\Daddy! Mommy! response:	And who do we have here?
context: Get me that threat level assessment!\As you can see, loud explosions are going off behind me!\The damage left by the monster is at an unprecedented scale.\HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-\Guess I'll go.\JUSTICE ENFORCEMENT\Daddy! Mommy!\And who do we have here? response:	Just a guy who's a hero for fun.
