context: I can't see Yano. response:	Summer vacation is so boring.
context: I can't see Yano.\Summer vacation is so boring. response:	Rehearsal!!
context: I can't see Yano.\Summer vacation is so boring.\Rehearsal!! response:	Rehearsal!!
context: I can't see Yano.\Summer vacation is so boring.\Rehearsal!!\Rehearsal!! response:	Good morning!
context: I can't see Yano.\Summer vacation is so boring.\Rehearsal!!\Rehearsal!!\Good morning! response:	Morning!
context: I can't see Yano.\Summer vacation is so boring.\Rehearsal!!\Rehearsal!!\Good morning!\Morning! response:	Everyone's already here.
context: I can't see Yano.\Summer vacation is so boring.\Rehearsal!!\Rehearsal!!\Good morning!\Morning!\Everyone's already here. response:	Let's get all the desks pushed to the front.
context: I can't see Yano.\Summer vacation is so boring.\Rehearsal!!\Rehearsal!!\Good morning!\Morning!\Everyone's already here.\Let's get all the desks pushed to the front. response:	I wonder if Yano's in the bathroom or something...
context: Summer vacation is so boring.\Rehearsal!!\Rehearsal!!\Good morning!\Morning!\Everyone's already here.\Let's get all the desks pushed to the front.\I wonder if Yano's in the bathroom or something... response:	Huh? It's from Yano.
context: Rehearsal!!\Rehearsal!!\Good morning!\Morning!\Everyone's already here.\Let's get all the desks pushed to the front.\I wonder if Yano's in the bathroom or something...\Huh? It's from Yano. response:	He can't make it today.
context: Rehearsal!!\Good morning!\Morning!\Everyone's already here.\Let's get all the desks pushed to the front.\I wonder if Yano's in the bathroom or something...\Huh? It's from Yano.\He can't make it today. response:	Take a look.
context: Good morning!\Morning!\Everyone's already here.\Let's get all the desks pushed to the front.\I wonder if Yano's in the bathroom or something...\Huh? It's from Yano.\He can't make it today.\Take a look. response:	Sorry. I can't make it to rehearsal today, so get some to stand in for me.
context: Morning!\Everyone's already here.\Let's get all the desks pushed to the front.\I wonder if Yano's in the bathroom or something...\Huh? It's from Yano.\He can't make it today.\Take a look.\Sorry. I can't make it to rehearsal today, so get some to stand in for me. response:	Sorry. I can't make it to rehearsal today, so get some to stand in for me.
context: Everyone's already here.\Let's get all the desks pushed to the front.\I wonder if Yano's in the bathroom or something...\Huh? It's from Yano.\He can't make it today.\Take a look.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\Sorry. I can't make it to rehearsal today, so get some to stand in for me. response:	We can't even start without the lead! Call him back!
context: Let's get all the desks pushed to the front.\I wonder if Yano's in the bathroom or something...\Huh? It's from Yano.\He can't make it today.\Take a look.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\We can't even start without the lead! Call him back! response:	He must've turned off his cell phone. It's impossible.
context: I wonder if Yano's in the bathroom or something...\Huh? It's from Yano.\He can't make it today.\Take a look.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\We can't even start without the lead! Call him back!\He must've turned off his cell phone. It's impossible. response:	He has no sense of responsibility.
context: Huh? It's from Yano.\He can't make it today.\Take a look.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\We can't even start without the lead! Call him back!\He must've turned off his cell phone. It's impossible.\He has no sense of responsibility. response:	Don't worry. He'll get things done when they need to be done.
context: He can't make it today.\Take a look.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\We can't even start without the lead! Call him back!\He must've turned off his cell phone. It's impossible.\He has no sense of responsibility.\Don't worry. He'll get things done when they need to be done. response:	That's not the real problem here...
context: Take a look.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\We can't even start without the lead! Call him back!\He must've turned off his cell phone. It's impossible.\He has no sense of responsibility.\Don't worry. He'll get things done when they need to be done.\That's not the real problem here... response:	Geez... and I was looking forward to today, too...
context: Sorry. I can't make it to rehearsal today, so get some to stand in for me.\Sorry. I can't make it to rehearsal today, so get some to stand in for me.\We can't even start without the lead! Call him back!\He must've turned off his cell phone. It's impossible.\He has no sense of responsibility.\Don't worry. He'll get things done when they need to be done.\That's not the real problem here...\Geez... and I was looking forward to today, too... response:	Usotsuki na anata nakimushi no atashi
context: Sorry. I can't make it to rehearsal today, so get some to stand in for me.\We can't even start without the lead! Call him back!\He must've turned off his cell phone. It's impossible.\He has no sense of responsibility.\Don't worry. He'll get things done when they need to be done.\That's not the real problem here...\Geez... and I was looking forward to today, too...\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: We can't even start without the lead! Call him back!\He must've turned off his cell phone. It's impossible.\He has no sense of responsibility.\Don't worry. He'll get things done when they need to be done.\That's not the real problem here...\Geez... and I was looking forward to today, too...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: He must've turned off his cell phone. It's impossible.\He has no sense of responsibility.\Don't worry. He'll get things done when they need to be done.\That's not the real problem here...\Geez... and I was looking forward to today, too...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
