context: Good morning! response:	Kirisaki-san!
context: Good morning!\Kirisaki-san! response:	G-Good morning!
context: Good morning!\Kirisaki-san!\G-Good morning! response:	The other day,
context: Good morning!\Kirisaki-san!\G-Good morning!\The other day, response:	your favorite soccer team won, didn't they?
context: Good morning!\Kirisaki-san!\G-Good morning!\The other day,\your favorite soccer team won, didn't they? response:	Oh, so you watched last night's game!
context: Good morning!\Kirisaki-san!\G-Good morning!\The other day,\your favorite soccer team won, didn't they?\Oh, so you watched last night's game! response:	Yep, that's right! That makes three games in a row!
context: Good morning!\Kirisaki-san!\G-Good morning!\The other day,\your favorite soccer team won, didn't they?\Oh, so you watched last night's game!\Yep, that's right! That makes three games in a row! response:	Really, that's awesome!
context: Good morning!\Kirisaki-san!\G-Good morning!\The other day,\your favorite soccer team won, didn't they?\Oh, so you watched last night's game!\Yep, that's right! That makes three games in a row!\Really, that's awesome! response:	I guess you could chalk it up to the Friend Notebook.
context: Kirisaki-san!\G-Good morning!\The other day,\your favorite soccer team won, didn't they?\Oh, so you watched last night's game!\Yep, that's right! That makes three games in a row!\Really, that's awesome!\I guess you could chalk it up to the Friend Notebook. response:	Ever since that day,
context: G-Good morning!\The other day,\your favorite soccer team won, didn't they?\Oh, so you watched last night's game!\Yep, that's right! That makes three games in a row!\Really, that's awesome!\I guess you could chalk it up to the Friend Notebook.\Ever since that day, response:	Kirisaki has been slowly warming up to the class.
context: The other day,\your favorite soccer team won, didn't they?\Oh, so you watched last night's game!\Yep, that's right! That makes three games in a row!\Really, that's awesome!\I guess you could chalk it up to the Friend Notebook.\Ever since that day,\Kirisaki has been slowly warming up to the class. response:	Well, she wasn't the shy type to begin with,
context: your favorite soccer team won, didn't they?\Oh, so you watched last night's game!\Yep, that's right! That makes three games in a row!\Really, that's awesome!\I guess you could chalk it up to the Friend Notebook.\Ever since that day,\Kirisaki has been slowly warming up to the class.\Well, she wasn't the shy type to begin with, response:	so maybe she just needed a little help getting back into her natural state.
context: Oh, so you watched last night's game!\Yep, that's right! That makes three games in a row!\Really, that's awesome!\I guess you could chalk it up to the Friend Notebook.\Ever since that day,\Kirisaki has been slowly warming up to the class.\Well, she wasn't the shy type to begin with,\so maybe she just needed a little help getting back into her natural state. response:	Man, life is good!
context: Yep, that's right! That makes three games in a row!\Really, that's awesome!\I guess you could chalk it up to the Friend Notebook.\Ever since that day,\Kirisaki has been slowly warming up to the class.\Well, she wasn't the shy type to begin with,\so maybe she just needed a little help getting back into her natural state.\Man, life is good! response:	Now this is the high school life that I dreamed of!
context: Really, that's awesome!\I guess you could chalk it up to the Friend Notebook.\Ever since that day,\Kirisaki has been slowly warming up to the class.\Well, she wasn't the shy type to begin with,\so maybe she just needed a little help getting back into her natural state.\Man, life is good!\Now this is the high school life that I dreamed of! response:	Even plants and animals sound like a blast to me now!
context: I guess you could chalk it up to the Friend Notebook.\Ever since that day,\Kirisaki has been slowly warming up to the class.\Well, she wasn't the shy type to begin with,\so maybe she just needed a little help getting back into her natural state.\Man, life is good!\Now this is the high school life that I dreamed of!\Even plants and animals sound like a blast to me now! response:	Well, good for you.
context: Ever since that day,\Kirisaki has been slowly warming up to the class.\Well, she wasn't the shy type to begin with,\so maybe she just needed a little help getting back into her natural state.\Man, life is good!\Now this is the high school life that I dreamed of!\Even plants and animals sound like a blast to me now!\Well, good for you. response:	Hey, listen to this!
context: Kirisaki has been slowly warming up to the class.\Well, she wasn't the shy type to begin with,\so maybe she just needed a little help getting back into her natural state.\Man, life is good!\Now this is the high school life that I dreamed of!\Even plants and animals sound like a blast to me now!\Well, good for you.\Hey, listen to this! response:	The girls and I made plans to go to McDonald's after school!
context: Well, she wasn't the shy type to begin with,\so maybe she just needed a little help getting back into her natural state.\Man, life is good!\Now this is the high school life that I dreamed of!\Even plants and animals sound like a blast to me now!\Well, good for you.\Hey, listen to this!\The girls and I made plans to go to McDonald's after school! response:	Are you jealous or what?
context: so maybe she just needed a little help getting back into her natural state.\Man, life is good!\Now this is the high school life that I dreamed of!\Even plants and animals sound like a blast to me now!\Well, good for you.\Hey, listen to this!\The girls and I made plans to go to McDonald's after school!\Are you jealous or what? response:	Is that right? I go there a lot too, you know.
context: Man, life is good!\Now this is the high school life that I dreamed of!\Even plants and animals sound like a blast to me now!\Well, good for you.\Hey, listen to this!\The girls and I made plans to go to McDonald's after school!\Are you jealous or what?\Is that right? I go there a lot too, you know. response:	Now if only I could break up with this little bean sprout, my life would be perfect!
context: Now this is the high school life that I dreamed of!\Even plants and animals sound like a blast to me now!\Well, good for you.\Hey, listen to this!\The girls and I made plans to go to McDonald's after school!\Are you jealous or what?\Is that right? I go there a lot too, you know.\Now if only I could break up with this little bean sprout, my life would be perfect! response:	Back at'cha, Princess Gorilla.
context: Even plants and animals sound like a blast to me now!\Well, good for you.\Hey, listen to this!\The girls and I made plans to go to McDonald's after school!\Are you jealous or what?\Is that right? I go there a lot too, you know.\Now if only I could break up with this little bean sprout, my life would be perfect!\Back at'cha, Princess Gorilla. response:	For the longest time, she would only give me hostile looks,
context: Well, good for you.\Hey, listen to this!\The girls and I made plans to go to McDonald's after school!\Are you jealous or what?\Is that right? I go there a lot too, you know.\Now if only I could break up with this little bean sprout, my life would be perfect!\Back at'cha, Princess Gorilla.\For the longest time, she would only give me hostile looks, response:	but these days, I think I'm beginning to see her smile more often.
context: Hey, listen to this!\The girls and I made plans to go to McDonald's after school!\Are you jealous or what?\Is that right? I go there a lot too, you know.\Now if only I could break up with this little bean sprout, my life would be perfect!\Back at'cha, Princess Gorilla.\For the longest time, she would only give me hostile looks,\but these days, I think I'm beginning to see her smile more often. response:	What are you staring at, you super-pervert? You're creeping me out!
context: The girls and I made plans to go to McDonald's after school!\Are you jealous or what?\Is that right? I go there a lot too, you know.\Now if only I could break up with this little bean sprout, my life would be perfect!\Back at'cha, Princess Gorilla.\For the longest time, she would only give me hostile looks,\but these days, I think I'm beginning to see her smile more often.\What are you staring at, you super-pervert? You're creeping me out! response:	Nope, she hasn't changed at all.
context: Are you jealous or what?\Is that right? I go there a lot too, you know.\Now if only I could break up with this little bean sprout, my life would be perfect!\Back at'cha, Princess Gorilla.\For the longest time, she would only give me hostile looks,\but these days, I think I'm beginning to see her smile more often.\What are you staring at, you super-pervert? You're creeping me out!\Nope, she hasn't changed at all. response:	C'mon! We're going to get this done ASAP!
