context: What name do I give that feeling that was born that night? response:	Sweet words like love or adore just don't sound right.
context: What name do I give that feeling that was born that night?\Sweet words like love or adore just don't sound right. response:	Perhaps envy and irritation mixed in with jealousy.
context: What name do I give that feeling that was born that night?\Sweet words like love or adore just don't sound right.\Perhaps envy and irritation mixed in with jealousy. response:	And moreover, desire.
context: What name do I give that feeling that was born that night?\Sweet words like love or adore just don't sound right.\Perhaps envy and irritation mixed in with jealousy.\And moreover, desire. response:	Even now I get anxious.
context: What name do I give that feeling that was born that night?\Sweet words like love or adore just don't sound right.\Perhaps envy and irritation mixed in with jealousy.\And moreover, desire.\Even now I get anxious. response:	Because sometimes I feel that this daily life,
context: What name do I give that feeling that was born that night?\Sweet words like love or adore just don't sound right.\Perhaps envy and irritation mixed in with jealousy.\And moreover, desire.\Even now I get anxious.\Because sometimes I feel that this daily life, response:	living together with Ren, is nothing but a dream.
context: What name do I give that feeling that was born that night?\Sweet words like love or adore just don't sound right.\Perhaps envy and irritation mixed in with jealousy.\And moreover, desire.\Even now I get anxious.\Because sometimes I feel that this daily life,\living together with Ren, is nothing but a dream. response:	Ren was a bright light that lightened the boring life I lived until then.
context: What name do I give that feeling that was born that night?\Sweet words like love or adore just don't sound right.\Perhaps envy and irritation mixed in with jealousy.\And moreover, desire.\Even now I get anxious.\Because sometimes I feel that this daily life,\living together with Ren, is nothing but a dream.\Ren was a bright light that lightened the boring life I lived until then. response:	But no matter how hard I try, he still remains outta my reach.
context: Sweet words like love or adore just don't sound right.\Perhaps envy and irritation mixed in with jealousy.\And moreover, desire.\Even now I get anxious.\Because sometimes I feel that this daily life,\living together with Ren, is nothing but a dream.\Ren was a bright light that lightened the boring life I lived until then.\But no matter how hard I try, he still remains outta my reach. response:	Nana...
context: Perhaps envy and irritation mixed in with jealousy.\And moreover, desire.\Even now I get anxious.\Because sometimes I feel that this daily life,\living together with Ren, is nothing but a dream.\Ren was a bright light that lightened the boring life I lived until then.\But no matter how hard I try, he still remains outta my reach.\Nana... response:	I'm going to Tokyo.
context: And moreover, desire.\Even now I get anxious.\Because sometimes I feel that this daily life,\living together with Ren, is nothing but a dream.\Ren was a bright light that lightened the boring life I lived until then.\But no matter how hard I try, he still remains outta my reach.\Nana...\I'm going to Tokyo. response:	You live your life however you like.
context: Even now I get anxious.\Because sometimes I feel that this daily life,\living together with Ren, is nothing but a dream.\Ren was a bright light that lightened the boring life I lived until then.\But no matter how hard I try, he still remains outta my reach.\Nana...\I'm going to Tokyo.\You live your life however you like. response:	When I was darkness at that time
context: Because sometimes I feel that this daily life,\living together with Ren, is nothing but a dream.\Ren was a bright light that lightened the boring life I lived until then.\But no matter how hard I try, he still remains outta my reach.\Nana...\I'm going to Tokyo.\You live your life however you like.\When I was darkness at that time response:	With trembling lips
