context: Hey, Nana. response:	Do you remember the first time we met?
context: Hey, Nana.\Do you remember the first time we met? response:	I'm the type who believes in things like fate.
context: Hey, Nana.\Do you remember the first time we met?\I'm the type who believes in things like fate. response:	So I think it was fate.
context: Hey, Nana.\Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate. response:	You can laugh if you want.
context: Hey, Nana.\Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want. response:	When I was darkness at that time
context: Hey, Nana.\Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\When I was darkness at that time response:	With trembling lips
context: Hey, Nana.\Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Hey, Nana.\Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: So I think it was fate.\You can laugh if you want.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: You can laugh if you want.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
