context: As a present for our classmate Futa's birthday, response:	I went to Waka's house to bake a ball-shaped cake.
context: As a present for our classmate Futa's birthday,\I went to Waka's house to bake a ball-shaped cake. response:	But in Waka's brother Shun's room,
context: As a present for our classmate Futa's birthday,\I went to Waka's house to bake a ball-shaped cake.\But in Waka's brother Shun's room, response:	I found this raggedy old science book.
context: As a present for our classmate Futa's birthday,\I went to Waka's house to bake a ball-shaped cake.\But in Waka's brother Shun's room,\I found this raggedy old science book. response:	I had seen it in my dad's lab before he went missing three years ago.
context: As a present for our classmate Futa's birthday,\I went to Waka's house to bake a ball-shaped cake.\But in Waka's brother Shun's room,\I found this raggedy old science book.\I had seen it in my dad's lab before he went missing three years ago. response:	But then suddenly, the book...
context: As a present for our classmate Futa's birthday,\I went to Waka's house to bake a ball-shaped cake.\But in Waka's brother Shun's room,\I found this raggedy old science book.\I had seen it in my dad's lab before he went missing three years ago.\But then suddenly, the book... response:	The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert
context: As a present for our classmate Futa's birthday,\I went to Waka's house to bake a ball-shaped cake.\But in Waka's brother Shun's room,\I found this raggedy old science book.\I had seen it in my dad's lab before he went missing three years ago.\But then suddenly, the book...\The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert response:	Is this the harbor?
context: As a present for our classmate Futa's birthday,\I went to Waka's house to bake a ball-shaped cake.\But in Waka's brother Shun's room,\I found this raggedy old science book.\I had seen it in my dad's lab before he went missing three years ago.\But then suddenly, the book...\The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert\Is this the harbor? response:	Yes, this is where I met the Eastern man I mentioned before.
context: I went to Waka's house to bake a ball-shaped cake.\But in Waka's brother Shun's room,\I found this raggedy old science book.\I had seen it in my dad's lab before he went missing three years ago.\But then suddenly, the book...\The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert\Is this the harbor?\Yes, this is where I met the Eastern man I mentioned before. response:	Then maybe...
context: But in Waka's brother Shun's room,\I found this raggedy old science book.\I had seen it in my dad's lab before he went missing three years ago.\But then suddenly, the book...\The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert\Is this the harbor?\Yes, this is where I met the Eastern man I mentioned before.\Then maybe... response:	Papa...
context: I found this raggedy old science book.\I had seen it in my dad's lab before he went missing three years ago.\But then suddenly, the book...\The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert\Is this the harbor?\Yes, this is where I met the Eastern man I mentioned before.\Then maybe...\Papa... response:	Papa!
context: I had seen it in my dad's lab before he went missing three years ago.\But then suddenly, the book...\The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert\Is this the harbor?\Yes, this is where I met the Eastern man I mentioned before.\Then maybe...\Papa...\Papa! response:	Papa! If you're here, answer me!
context: But then suddenly, the book...\The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert\Is this the harbor?\Yes, this is where I met the Eastern man I mentioned before.\Then maybe...\Papa...\Papa!\Papa! If you're here, answer me! response:	Please! Papa!
context: The Year 1600 (What is now) London, England Episode 2 Sorrowful Gilbert\Is this the harbor?\Yes, this is where I met the Eastern man I mentioned before.\Then maybe...\Papa...\Papa!\Papa! If you're here, answer me!\Please! Papa! response:	Answer me! Papa!
context: Is this the harbor?\Yes, this is where I met the Eastern man I mentioned before.\Then maybe...\Papa...\Papa!\Papa! If you're here, answer me!\Please! Papa!\Answer me! Papa! response:	Hey there! You okay, little lady?
context: Yes, this is where I met the Eastern man I mentioned before.\Then maybe...\Papa...\Papa!\Papa! If you're here, answer me!\Please! Papa!\Answer me! Papa!\Hey there! You okay, little lady? response:	Tha-
context: Then maybe...\Papa...\Papa!\Papa! If you're here, answer me!\Please! Papa!\Answer me! Papa!\Hey there! You okay, little lady?\Tha- response:	I'm sorry! Forgive me! I'm sorry! Forgive me!
