context: So return to the capital response:	What the hell are you playing at?!
context: So return to the capital\What the hell are you playing at?! response:	Curse you! How dare you take Princess Melty hostage!
context: So return to the capital\What the hell are you playing at?!\Curse you! How dare you take Princess Melty hostage! response:	Hostage?
context: So return to the capital\What the hell are you playing at?!\Curse you! How dare you take Princess Melty hostage!\Hostage? response:	Fellow knights! Justice is on our side!
context: So return to the capital\What the hell are you playing at?!\Curse you! How dare you take Princess Melty hostage!\Hostage?\Fellow knights! Justice is on our side! response:	Destroy the Devil of the Shield!
context: So return to the capital\What the hell are you playing at?!\Curse you! How dare you take Princess Melty hostage!\Hostage?\Fellow knights! Justice is on our side!\Destroy the Devil of the Shield! response:	Resorting to calling me a devil now, huh?
context: So return to the capital\What the hell are you playing at?!\Curse you! How dare you take Princess Melty hostage!\Hostage?\Fellow knights! Justice is on our side!\Destroy the Devil of the Shield!\Resorting to calling me a devil now, huh? response:	Raphtalia! Filo!
context: So return to the capital\What the hell are you playing at?!\Curse you! How dare you take Princess Melty hostage!\Hostage?\Fellow knights! Justice is on our side!\Destroy the Devil of the Shield!\Resorting to calling me a devil now, huh?\Raphtalia! Filo! response:	R-Retreat!
context: What the hell are you playing at?!\Curse you! How dare you take Princess Melty hostage!\Hostage?\Fellow knights! Justice is on our side!\Destroy the Devil of the Shield!\Resorting to calling me a devil now, huh?\Raphtalia! Filo!\R-Retreat! response:	Oh no! Run away!
context: Curse you! How dare you take Princess Melty hostage!\Hostage?\Fellow knights! Justice is on our side!\Destroy the Devil of the Shield!\Resorting to calling me a devil now, huh?\Raphtalia! Filo!\R-Retreat!\Oh no! Run away! response:	Wanna chase them down?
context: Hostage?\Fellow knights! Justice is on our side!\Destroy the Devil of the Shield!\Resorting to calling me a devil now, huh?\Raphtalia! Filo!\R-Retreat!\Oh no! Run away!\Wanna chase them down? response:	Nah.
context: Fellow knights! Justice is on our side!\Destroy the Devil of the Shield!\Resorting to calling me a devil now, huh?\Raphtalia! Filo!\R-Retreat!\Oh no! Run away!\Wanna chase them down?\Nah. response:	Are you okay, Mel-san?
context: Destroy the Devil of the Shield!\Resorting to calling me a devil now, huh?\Raphtalia! Filo!\R-Retreat!\Oh no! Run away!\Wanna chase them down?\Nah.\Are you okay, Mel-san? response:	The Rising of the Shield Hero
context: Resorting to calling me a devil now, huh?\Raphtalia! Filo!\R-Retreat!\Oh no! Run away!\Wanna chase them down?\Nah.\Are you okay, Mel-san?\The Rising of the Shield Hero response:	The Devil of the Shield
context: Raphtalia! Filo!\R-Retreat!\Oh no! Run away!\Wanna chase them down?\Nah.\Are you okay, Mel-san?\The Rising of the Shield Hero\The Devil of the Shield response:	Mel-chan...
context: R-Retreat!\Oh no! Run away!\Wanna chase them down?\Nah.\Are you okay, Mel-san?\The Rising of the Shield Hero\The Devil of the Shield\Mel-chan... response:	Naofumi-sama...
context: Oh no! Run away!\Wanna chase them down?\Nah.\Are you okay, Mel-san?\The Rising of the Shield Hero\The Devil of the Shield\Mel-chan...\Naofumi-sama... response:	How'd it go?
context: Wanna chase them down?\Nah.\Are you okay, Mel-san?\The Rising of the Shield Hero\The Devil of the Shield\Mel-chan...\Naofumi-sama...\How'd it go? response:	The altered footage has made its way to the nearby towns and villages.
context: Nah.\Are you okay, Mel-san?\The Rising of the Shield Hero\The Devil of the Shield\Mel-chan...\Naofumi-sama...\How'd it go?\The altered footage has made its way to the nearby towns and villages. response:	Entering them would be too risky.
context: Are you okay, Mel-san?\The Rising of the Shield Hero\The Devil of the Shield\Mel-chan...\Naofumi-sama...\How'd it go?\The altered footage has made its way to the nearby towns and villages.\Entering them would be too risky. response:	I see.
context: The Rising of the Shield Hero\The Devil of the Shield\Mel-chan...\Naofumi-sama...\How'd it go?\The altered footage has made its way to the nearby towns and villages.\Entering them would be too risky.\I see. response:	Isn't that...
context: The Devil of the Shield\Mel-chan...\Naofumi-sama...\How'd it go?\The altered footage has made its way to the nearby towns and villages.\Entering them would be too risky.\I see.\Isn't that... response:	Why'd you try to kill the second princess in front of us?
context: Mel-chan...\Naofumi-sama...\How'd it go?\The altered footage has made its way to the nearby towns and villages.\Entering them would be too risky.\I see.\Isn't that...\Why'd you try to kill the second princess in front of us? response:	Answer me!
context: Naofumi-sama...\How'd it go?\The altered footage has made its way to the nearby towns and villages.\Entering them would be too risky.\I see.\Isn't that...\Why'd you try to kill the second princess in front of us?\Answer me! response:	I have nothing to say to the devil!
context: How'd it go?\The altered footage has made its way to the nearby towns and villages.\Entering them would be too risky.\I see.\Isn't that...\Why'd you try to kill the second princess in front of us?\Answer me!\I have nothing to say to the devil! response:	That's a rosary from the Three Heroes Church.
context: The altered footage has made its way to the nearby towns and villages.\Entering them would be too risky.\I see.\Isn't that...\Why'd you try to kill the second princess in front of us?\Answer me!\I have nothing to say to the devil!\That's a rosary from the Three Heroes Church. response:	The Three Heroes Church?
context: Entering them would be too risky.\I see.\Isn't that...\Why'd you try to kill the second princess in front of us?\Answer me!\I have nothing to say to the devil!\That's a rosary from the Three Heroes Church.\The Three Heroes Church? response:	Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.
context: I see.\Isn't that...\Why'd you try to kill the second princess in front of us?\Answer me!\I have nothing to say to the devil!\That's a rosary from the Three Heroes Church.\The Three Heroes Church?\Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes. response:	That reminds me... I saw it at the church in the capital, too.
context: Isn't that...\Why'd you try to kill the second princess in front of us?\Answer me!\I have nothing to say to the devil!\That's a rosary from the Three Heroes Church.\The Three Heroes Church?\Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.\That reminds me... I saw it at the church in the capital, too. response:	The three heroes other than the Shield, huh?
context: Why'd you try to kill the second princess in front of us?\Answer me!\I have nothing to say to the devil!\That's a rosary from the Three Heroes Church.\The Three Heroes Church?\Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.\That reminds me... I saw it at the church in the capital, too.\The three heroes other than the Shield, huh? response:	You'll learn just how grave the sin of disturbing our country's order is!
context: Answer me!\I have nothing to say to the devil!\That's a rosary from the Three Heroes Church.\The Three Heroes Church?\Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.\That reminds me... I saw it at the church in the capital, too.\The three heroes other than the Shield, huh?\You'll learn just how grave the sin of disturbing our country's order is! response:	What was that about?
context: I have nothing to say to the devil!\That's a rosary from the Three Heroes Church.\The Three Heroes Church?\Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.\That reminds me... I saw it at the church in the capital, too.\The three heroes other than the Shield, huh?\You'll learn just how grave the sin of disturbing our country's order is!\What was that about? response:	Dunno, but it's probably another one of the king's schemes.
context: That's a rosary from the Three Heroes Church.\The Three Heroes Church?\Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.\That reminds me... I saw it at the church in the capital, too.\The three heroes other than the Shield, huh?\You'll learn just how grave the sin of disturbing our country's order is!\What was that about?\Dunno, but it's probably another one of the king's schemes. response:	Thanks to her stupid dad, we're stuck here with nowhere to go.
context: The Three Heroes Church?\Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.\That reminds me... I saw it at the church in the capital, too.\The three heroes other than the Shield, huh?\You'll learn just how grave the sin of disturbing our country's order is!\What was that about?\Dunno, but it's probably another one of the king's schemes.\Thanks to her stupid dad, we're stuck here with nowhere to go. response:	My father can't be behind this.
context: Melromarc's state religion, which worships the Sword, Spear, and Bow Heroes.\That reminds me... I saw it at the church in the capital, too.\The three heroes other than the Shield, huh?\You'll learn just how grave the sin of disturbing our country's order is!\What was that about?\Dunno, but it's probably another one of the king's schemes.\Thanks to her stupid dad, we're stuck here with nowhere to go.\My father can't be behind this. response:	Who else could've ordered it?
context: That reminds me... I saw it at the church in the capital, too.\The three heroes other than the Shield, huh?\You'll learn just how grave the sin of disturbing our country's order is!\What was that about?\Dunno, but it's probably another one of the king's schemes.\Thanks to her stupid dad, we're stuck here with nowhere to go.\My father can't be behind this.\Who else could've ordered it? response:	My sister, probably.
context: The three heroes other than the Shield, huh?\You'll learn just how grave the sin of disturbing our country's order is!\What was that about?\Dunno, but it's probably another one of the king's schemes.\Thanks to her stupid dad, we're stuck here with nowhere to go.\My father can't be behind this.\Who else could've ordered it?\My sister, probably. response:	So she's trying to kill you and take your place as crown princess?
context: You'll learn just how grave the sin of disturbing our country's order is!\What was that about?\Dunno, but it's probably another one of the king's schemes.\Thanks to her stupid dad, we're stuck here with nowhere to go.\My father can't be behind this.\Who else could've ordered it?\My sister, probably.\So she's trying to kill you and take your place as crown princess? response:	But the knights who attacked you are under the king's direct control, right?
context: What was that about?\Dunno, but it's probably another one of the king's schemes.\Thanks to her stupid dad, we're stuck here with nowhere to go.\My father can't be behind this.\Who else could've ordered it?\My sister, probably.\So she's trying to kill you and take your place as crown princess?\But the knights who attacked you are under the king's direct control, right? response:	It'd be natural to assume he's in on this.
context: Dunno, but it's probably another one of the king's schemes.\Thanks to her stupid dad, we're stuck here with nowhere to go.\My father can't be behind this.\Who else could've ordered it?\My sister, probably.\So she's trying to kill you and take your place as crown princess?\But the knights who attacked you are under the king's direct control, right?\It'd be natural to assume he's in on this. response:	Knowing them,
context: Thanks to her stupid dad, we're stuck here with nowhere to go.\My father can't be behind this.\Who else could've ordered it?\My sister, probably.\So she's trying to kill you and take your place as crown princess?\But the knights who attacked you are under the king's direct control, right?\It'd be natural to assume he's in on this.\Knowing them, response:	they want to frame The Devil of the Shield for this whole plot, huh?
context: My father can't be behind this.\Who else could've ordered it?\My sister, probably.\So she's trying to kill you and take your place as crown princess?\But the knights who attacked you are under the king's direct control, right?\It'd be natural to assume he's in on this.\Knowing them,\they want to frame The Devil of the Shield for this whole plot, huh? response:	Father would never!
context: Who else could've ordered it?\My sister, probably.\So she's trying to kill you and take your place as crown princess?\But the knights who attacked you are under the king's direct control, right?\It'd be natural to assume he's in on this.\Knowing them,\they want to frame The Devil of the Shield for this whole plot, huh?\Father would never! response:	What makes you so sure?
context: My sister, probably.\So she's trying to kill you and take your place as crown princess?\But the knights who attacked you are under the king's direct control, right?\It'd be natural to assume he's in on this.\Knowing them,\they want to frame The Devil of the Shield for this whole plot, huh?\Father would never!\What makes you so sure? response:	Because Father is...
context: So she's trying to kill you and take your place as crown princess?\But the knights who attacked you are under the king's direct control, right?\It'd be natural to assume he's in on this.\Knowing them,\they want to frame The Devil of the Shield for this whole plot, huh?\Father would never!\What makes you so sure?\Because Father is... response:	Why stick up for a scumbag like him?
context: But the knights who attacked you are under the king's direct control, right?\It'd be natural to assume he's in on this.\Knowing them,\they want to frame The Devil of the Shield for this whole plot, huh?\Father would never!\What makes you so sure?\Because Father is...\Why stick up for a scumbag like him? response:	You're wrong.
context: It'd be natural to assume he's in on this.\Knowing them,\they want to frame The Devil of the Shield for this whole plot, huh?\Father would never!\What makes you so sure?\Because Father is...\Why stick up for a scumbag like him?\You're wrong. response:	Mel-chan...
context: Knowing them,\they want to frame The Devil of the Shield for this whole plot, huh?\Father would never!\What makes you so sure?\Because Father is...\Why stick up for a scumbag like him?\You're wrong.\Mel-chan... response:	You're wrong!
context: they want to frame The Devil of the Shield for this whole plot, huh?\Father would never!\What makes you so sure?\Because Father is...\Why stick up for a scumbag like him?\You're wrong.\Mel-chan...\You're wrong! response:	Why won't either of you understand?
context: Father would never!\What makes you so sure?\Because Father is...\Why stick up for a scumbag like him?\You're wrong.\Mel-chan...\You're wrong!\Why won't either of you understand? response:	This is no time to be fighting among yourselves!
context: What makes you so sure?\Because Father is...\Why stick up for a scumbag like him?\You're wrong.\Mel-chan...\You're wrong!\Why won't either of you understand?\This is no time to be fighting among yourselves! response:	Talk to Father one more time!
context: Because Father is...\Why stick up for a scumbag like him?\You're wrong.\Mel-chan...\You're wrong!\Why won't either of you understand?\This is no time to be fighting among yourselves!\Talk to Father one more time! response:	Naofumi-sama...
context: Why stick up for a scumbag like him?\You're wrong.\Mel-chan...\You're wrong!\Why won't either of you understand?\This is no time to be fighting among yourselves!\Talk to Father one more time!\Naofumi-sama... response:	Don't cry, Mel-chan.
context: You're wrong.\Mel-chan...\You're wrong!\Why won't either of you understand?\This is no time to be fighting among yourselves!\Talk to Father one more time!\Naofumi-sama...\Don't cry, Mel-chan. response:	I'm here for you.
