context: Why? response:	Mari.
context: Why?\Mari. response:	Now...
context: Why?\Mari.\Now... response:	Will you teach me how to use this armillary compass of yours?
context: Why?\Mari.\Now...\Will you teach me how to use this armillary compass of yours? response:	I asked them, but they're awfully stubborn.
context: Why?\Mari.\Now...\Will you teach me how to use this armillary compass of yours?\I asked them, but they're awfully stubborn. response:	Mari!
context: Why?\Mari.\Now...\Will you teach me how to use this armillary compass of yours?\I asked them, but they're awfully stubborn.\Mari! response:	Don't tell him!
context: Why?\Mari.\Now...\Will you teach me how to use this armillary compass of yours?\I asked them, but they're awfully stubborn.\Mari!\Don't tell him! response:	Pipe down!
context: Why?\Mari.\Now...\Will you teach me how to use this armillary compass of yours?\I asked them, but they're awfully stubborn.\Mari!\Don't tell him!\Pipe down! response:	What was that?!
context: Mari.\Now...\Will you teach me how to use this armillary compass of yours?\I asked them, but they're awfully stubborn.\Mari!\Don't tell him!\Pipe down!\What was that?! response:	You brat...
context: Now...\Will you teach me how to use this armillary compass of yours?\I asked them, but they're awfully stubborn.\Mari!\Don't tell him!\Pipe down!\What was that?!\You brat... response:	Stop it! Don't hurt them!
context: Will you teach me how to use this armillary compass of yours?\I asked them, but they're awfully stubborn.\Mari!\Don't tell him!\Pipe down!\What was that?!\You brat...\Stop it! Don't hurt them! response:	Certainly, I won't...
context: I asked them, but they're awfully stubborn.\Mari!\Don't tell him!\Pipe down!\What was that?!\You brat...\Stop it! Don't hurt them!\Certainly, I won't... response:	Fine.
context: Mari!\Don't tell him!\Pipe down!\What was that?!\You brat...\Stop it! Don't hurt them!\Certainly, I won't...\Fine. response:	Mari...
context: Don't tell him!\Pipe down!\What was that?!\You brat...\Stop it! Don't hurt them!\Certainly, I won't...\Fine.\Mari... response:	You're a smart girl.
context: Pipe down!\What was that?!\You brat...\Stop it! Don't hurt them!\Certainly, I won't...\Fine.\Mari...\You're a smart girl. response:	Mama... Where is she?
