context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	You must be in the middle of conducting business if you're coming at this time.
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You must be in the middle of conducting business if you're coming at this time. response:	You need a certificate?
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You must be in the middle of conducting business if you're coming at this time.\You need a certificate? response:	Yes.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You must be in the middle of conducting business if you're coming at this time.\You need a certificate?\Yes. response:	I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You must be in the middle of conducting business if you're coming at this time.\You need a certificate?\Yes.\I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name. response:	I agree.
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\You must be in the middle of conducting business if you're coming at this time.\You need a certificate?\Yes.\I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.\I agree. response:	That's right, is there anyone in the Trading Guild who's heading to Ramtra?
context: A shivering night,\or the ends of the Earth, let's go and see it.\You must be in the middle of conducting business if you're coming at this time.\You need a certificate?\Yes.\I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.\I agree.\That's right, is there anyone in the Trading Guild who's heading to Ramtra? response:	Geez, everyone is coming in here saying that.
context: or the ends of the Earth, let's go and see it.\You must be in the middle of conducting business if you're coming at this time.\You need a certificate?\Yes.\I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.\I agree.\That's right, is there anyone in the Trading Guild who's heading to Ramtra?\Geez, everyone is coming in here saying that. response:	Did you fall for a shepherd lady?
context: You must be in the middle of conducting business if you're coming at this time.\You need a certificate?\Yes.\I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.\I agree.\That's right, is there anyone in the Trading Guild who's heading to Ramtra?\Geez, everyone is coming in here saying that.\Did you fall for a shepherd lady? response:	No, not at all.
context: You need a certificate?\Yes.\I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.\I agree.\That's right, is there anyone in the Trading Guild who's heading to Ramtra?\Geez, everyone is coming in here saying that.\Did you fall for a shepherd lady?\No, not at all. response:	The only one who could safely walk in that area is that girl.
context: Yes.\I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.\I agree.\That's right, is there anyone in the Trading Guild who's heading to Ramtra?\Geez, everyone is coming in here saying that.\Did you fall for a shepherd lady?\No, not at all.\The only one who could safely walk in that area is that girl. response:	You understand what the church thinks about it without me saying anything, right?
context: I wish you'd hurry up and become a merchant who makes others flinch at the mention of your name.\I agree.\That's right, is there anyone in the Trading Guild who's heading to Ramtra?\Geez, everyone is coming in here saying that.\Did you fall for a shepherd lady?\No, not at all.\The only one who could safely walk in that area is that girl.\You understand what the church thinks about it without me saying anything, right? response:	If you don't want to get into trouble, don't get yourself involved.
context: I agree.\That's right, is there anyone in the Trading Guild who's heading to Ramtra?\Geez, everyone is coming in here saying that.\Did you fall for a shepherd lady?\No, not at all.\The only one who could safely walk in that area is that girl.\You understand what the church thinks about it without me saying anything, right?\If you don't want to get into trouble, don't get yourself involved. response:	Well...
context: That's right, is there anyone in the Trading Guild who's heading to Ramtra?\Geez, everyone is coming in here saying that.\Did you fall for a shepherd lady?\No, not at all.\The only one who could safely walk in that area is that girl.\You understand what the church thinks about it without me saying anything, right?\If you don't want to get into trouble, don't get yourself involved.\Well... response:	That fairy, Nora, is a girl you'd like.
context: Geez, everyone is coming in here saying that.\Did you fall for a shepherd lady?\No, not at all.\The only one who could safely walk in that area is that girl.\You understand what the church thinks about it without me saying anything, right?\If you don't want to get into trouble, don't get yourself involved.\Well...\That fairy, Nora, is a girl you'd like. response:	Please stop that.
context: Did you fall for a shepherd lady?\No, not at all.\The only one who could safely walk in that area is that girl.\You understand what the church thinks about it without me saying anything, right?\If you don't want to get into trouble, don't get yourself involved.\Well...\That fairy, Nora, is a girl you'd like.\Please stop that. response:	So, is there some place you want the certificate addressed to? Or unsigned?
context: No, not at all.\The only one who could safely walk in that area is that girl.\You understand what the church thinks about it without me saying anything, right?\If you don't want to get into trouble, don't get yourself involved.\Well...\That fairy, Nora, is a girl you'd like.\Please stop that.\So, is there some place you want the certificate addressed to? Or unsigned? response:	Yes, please address it to the Remerio Company.
