context: Come on, Nat! response:	Why are you following me?!
context: Come on, Nat!\Why are you following me?! response:	Shut up!
context: Come on, Nat!\Why are you following me?!\Shut up! response:	I'm responsible for the area just above yours, Riko!
context: Come on, Nat!\Why are you following me?!\Shut up!\I'm responsible for the area just above yours, Riko! response:	Oh, that's right...
context: Come on, Nat!\Why are you following me?!\Shut up!\I'm responsible for the area just above yours, Riko!\Oh, that's right... response:	Well, at least help me carry the Relics on the way home, then.
context: Come on, Nat!\Why are you following me?!\Shut up!\I'm responsible for the area just above yours, Riko!\Oh, that's right...\Well, at least help me carry the Relics on the way home, then. response:	Why?!
context: Come on, Nat!\Why are you following me?!\Shut up!\I'm responsible for the area just above yours, Riko!\Oh, that's right...\Well, at least help me carry the Relics on the way home, then.\Why?! response:	Well, today my haul needs to receive the highest valuation out of all the Red Whistles!
context: Come on, Nat!\Why are you following me?!\Shut up!\I'm responsible for the area just above yours, Riko!\Oh, that's right...\Well, at least help me carry the Relics on the way home, then.\Why?!\Well, today my haul needs to receive the highest valuation out of all the Red Whistles! response:	Doubt that'll happen.
context: Why are you following me?!\Shut up!\I'm responsible for the area just above yours, Riko!\Oh, that's right...\Well, at least help me carry the Relics on the way home, then.\Why?!\Well, today my haul needs to receive the highest valuation out of all the Red Whistles!\Doubt that'll happen. response:	This area's mostly been searched already...
context: Shut up!\I'm responsible for the area just above yours, Riko!\Oh, that's right...\Well, at least help me carry the Relics on the way home, then.\Why?!\Well, today my haul needs to receive the highest valuation out of all the Red Whistles!\Doubt that'll happen.\This area's mostly been searched already... response:	and there's not much anything rare left.
context: I'm responsible for the area just above yours, Riko!\Oh, that's right...\Well, at least help me carry the Relics on the way home, then.\Why?!\Well, today my haul needs to receive the highest valuation out of all the Red Whistles!\Doubt that'll happen.\This area's mostly been searched already...\and there's not much anything rare left. response:	That's why it's gonna come down to quantity!
context: Oh, that's right...\Well, at least help me carry the Relics on the way home, then.\Why?!\Well, today my haul needs to receive the highest valuation out of all the Red Whistles!\Doubt that'll happen.\This area's mostly been searched already...\and there's not much anything rare left.\That's why it's gonna come down to quantity! response:	You okay with that?
context: Well, at least help me carry the Relics on the way home, then.\Why?!\Well, today my haul needs to receive the highest valuation out of all the Red Whistles!\Doubt that'll happen.\This area's mostly been searched already...\and there's not much anything rare left.\That's why it's gonna come down to quantity!\You okay with that? response:	How about fudging the numbers... with that thing you swiped the other day?
context: Why?!\Well, today my haul needs to receive the highest valuation out of all the Red Whistles!\Doubt that'll happen.\This area's mostly been searched already...\and there's not much anything rare left.\That's why it's gonna come down to quantity!\You okay with that?\How about fudging the numbers... with that thing you swiped the other day? response:	The Star Compass?
context: Well, today my haul needs to receive the highest valuation out of all the Red Whistles!\Doubt that'll happen.\This area's mostly been searched already...\and there's not much anything rare left.\That's why it's gonna come down to quantity!\You okay with that?\How about fudging the numbers... with that thing you swiped the other day?\The Star Compass? response:	I can't do that!
context: Doubt that'll happen.\This area's mostly been searched already...\and there's not much anything rare left.\That's why it's gonna come down to quantity!\You okay with that?\How about fudging the numbers... with that thing you swiped the other day?\The Star Compass?\I can't do that! response:	It guides its user toward the truth of the Abyss, after all.
context: This area's mostly been searched already...\and there's not much anything rare left.\That's why it's gonna come down to quantity!\You okay with that?\How about fudging the numbers... with that thing you swiped the other day?\The Star Compass?\I can't do that!\It guides its user toward the truth of the Abyss, after all. response:	Besides... if it's found out I was hiding it...
context: and there's not much anything rare left.\That's why it's gonna come down to quantity!\You okay with that?\How about fudging the numbers... with that thing you swiped the other day?\The Star Compass?\I can't do that!\It guides its user toward the truth of the Abyss, after all.\Besides... if it's found out I was hiding it... response:	I'll get a worse punishment this time than being strung up naked.
context: That's why it's gonna come down to quantity!\You okay with that?\How about fudging the numbers... with that thing you swiped the other day?\The Star Compass?\I can't do that!\It guides its user toward the truth of the Abyss, after all.\Besides... if it's found out I was hiding it...\I'll get a worse punishment this time than being strung up naked. response:	Talk about traumatizing a little girl!
context: You okay with that?\How about fudging the numbers... with that thing you swiped the other day?\The Star Compass?\I can't do that!\It guides its user toward the truth of the Abyss, after all.\Besides... if it's found out I was hiding it...\I'll get a worse punishment this time than being strung up naked.\Talk about traumatizing a little girl! response:	Well, be careful.
context: How about fudging the numbers... with that thing you swiped the other day?\The Star Compass?\I can't do that!\It guides its user toward the truth of the Abyss, after all.\Besides... if it's found out I was hiding it...\I'll get a worse punishment this time than being strung up naked.\Talk about traumatizing a little girl!\Well, be careful. response:	Ah, the big gondola.
context: The Star Compass?\I can't do that!\It guides its user toward the truth of the Abyss, after all.\Besides... if it's found out I was hiding it...\I'll get a worse punishment this time than being strung up naked.\Talk about traumatizing a little girl!\Well, be careful.\Ah, the big gondola. response:	Huh?!
context: I can't do that!\It guides its user toward the truth of the Abyss, after all.\Besides... if it's found out I was hiding it...\I'll get a worse punishment this time than being strung up naked.\Talk about traumatizing a little girl!\Well, be careful.\Ah, the big gondola.\Huh?! response:	Wow!
context: It guides its user toward the truth of the Abyss, after all.\Besides... if it's found out I was hiding it...\I'll get a worse punishment this time than being strung up naked.\Talk about traumatizing a little girl!\Well, be careful.\Ah, the big gondola.\Huh?!\Wow! response:	Nat, look at that! It's the 600-meter group!
context: Besides... if it's found out I was hiding it...\I'll get a worse punishment this time than being strung up naked.\Talk about traumatizing a little girl!\Well, be careful.\Ah, the big gondola.\Huh?!\Wow!\Nat, look at that! It's the 600-meter group! response:	I know, okay?
context: I'll get a worse punishment this time than being strung up naked.\Talk about traumatizing a little girl!\Well, be careful.\Ah, the big gondola.\Huh?!\Wow!\Nat, look at that! It's the 600-meter group!\I know, okay? response:	Ah, it already went out of sight...
context: Talk about traumatizing a little girl!\Well, be careful.\Ah, the big gondola.\Huh?!\Wow!\Nat, look at that! It's the 600-meter group!\I know, okay?\Ah, it already went out of sight... response:	Lucky them... I wish I could ride it.
context: Well, be careful.\Ah, the big gondola.\Huh?!\Wow!\Nat, look at that! It's the 600-meter group!\I know, okay?\Ah, it already went out of sight...\Lucky them... I wish I could ride it. response:	Say... isn't it kinda quiet today?
context: Ah, the big gondola.\Huh?!\Wow!\Nat, look at that! It's the 600-meter group!\I know, okay?\Ah, it already went out of sight...\Lucky them... I wish I could ride it.\Say... isn't it kinda quiet today? response:	Probably'cause there aren't any hammerbeaks around...
context: Huh?!\Wow!\Nat, look at that! It's the 600-meter group!\I know, okay?\Ah, it already went out of sight...\Lucky them... I wish I could ride it.\Say... isn't it kinda quiet today?\Probably'cause there aren't any hammerbeaks around... response:	I can't hear them singing at all, anyway.
context: Wow!\Nat, look at that! It's the 600-meter group!\I know, okay?\Ah, it already went out of sight...\Lucky them... I wish I could ride it.\Say... isn't it kinda quiet today?\Probably'cause there aren't any hammerbeaks around...\I can't hear them singing at all, anyway. response:	You're right.
context: Nat, look at that! It's the 600-meter group!\I know, okay?\Ah, it already went out of sight...\Lucky them... I wish I could ride it.\Say... isn't it kinda quiet today?\Probably'cause there aren't any hammerbeaks around...\I can't hear them singing at all, anyway.\You're right. response:	Well, should make it easier to work.
context: I know, okay?\Ah, it already went out of sight...\Lucky them... I wish I could ride it.\Say... isn't it kinda quiet today?\Probably'cause there aren't any hammerbeaks around...\I can't hear them singing at all, anyway.\You're right.\Well, should make it easier to work. response:	Those guys take anything shiny back to their nests, after all.
context: Ah, it already went out of sight...\Lucky them... I wish I could ride it.\Say... isn't it kinda quiet today?\Probably'cause there aren't any hammerbeaks around...\I can't hear them singing at all, anyway.\You're right.\Well, should make it easier to work.\Those guys take anything shiny back to their nests, after all. response:	Wait! Why are you going on ahead of me?!
context: Lucky them... I wish I could ride it.\Say... isn't it kinda quiet today?\Probably'cause there aren't any hammerbeaks around...\I can't hear them singing at all, anyway.\You're right.\Well, should make it easier to work.\Those guys take anything shiny back to their nests, after all.\Wait! Why are you going on ahead of me?! response:	I'm the one who takes the lead!
context: Say... isn't it kinda quiet today?\Probably'cause there aren't any hammerbeaks around...\I can't hear them singing at all, anyway.\You're right.\Well, should make it easier to work.\Those guys take anything shiny back to their nests, after all.\Wait! Why are you going on ahead of me?!\I'm the one who takes the lead! response:	Huh?!
context: Probably'cause there aren't any hammerbeaks around...\I can't hear them singing at all, anyway.\You're right.\Well, should make it easier to work.\Those guys take anything shiny back to their nests, after all.\Wait! Why are you going on ahead of me?!\I'm the one who takes the lead!\Huh?! response:	I'm gonna go all out excavating today!
context: I can't hear them singing at all, anyway.\You're right.\Well, should make it easier to work.\Those guys take anything shiny back to their nests, after all.\Wait! Why are you going on ahead of me?!\I'm the one who takes the lead!\Huh?!\I'm gonna go all out excavating today! response:	I'll get so much stuff Leader will be at a loss for words!
context: You're right.\Well, should make it easier to work.\Those guys take anything shiny back to their nests, after all.\Wait! Why are you going on ahead of me?!\I'm the one who takes the lead!\Huh?!\I'm gonna go all out excavating today!\I'll get so much stuff Leader will be at a loss for words! response:	Alright, let's do this! I'm gonna get the number one assessment!
context: Well, should make it easier to work.\Those guys take anything shiny back to their nests, after all.\Wait! Why are you going on ahead of me?!\I'm the one who takes the lead!\Huh?!\I'm gonna go all out excavating today!\I'll get so much stuff Leader will be at a loss for words!\Alright, let's do this! I'm gonna get the number one assessment! response:	Hup!
context: Those guys take anything shiny back to their nests, after all.\Wait! Why are you going on ahead of me?!\I'm the one who takes the lead!\Huh?!\I'm gonna go all out excavating today!\I'll get so much stuff Leader will be at a loss for words!\Alright, let's do this! I'm gonna get the number one assessment!\Hup! response:	There's one!
context: Wait! Why are you going on ahead of me?!\I'm the one who takes the lead!\Huh?!\I'm gonna go all out excavating today!\I'll get so much stuff Leader will be at a loss for words!\Alright, let's do this! I'm gonna get the number one assessment!\Hup!\There's one! response:	Two!
context: I'm the one who takes the lead!\Huh?!\I'm gonna go all out excavating today!\I'll get so much stuff Leader will be at a loss for words!\Alright, let's do this! I'm gonna get the number one assessment!\Hup!\There's one!\Two! response:	Three!
context: Huh?!\I'm gonna go all out excavating today!\I'll get so much stuff Leader will be at a loss for words!\Alright, let's do this! I'm gonna get the number one assessment!\Hup!\There's one!\Two!\Three! response:	Four...
context: I'm gonna go all out excavating today!\I'll get so much stuff Leader will be at a loss for words!\Alright, let's do this! I'm gonna get the number one assessment!\Hup!\There's one!\Two!\Three!\Four... response:	Five!
context: I'll get so much stuff Leader will be at a loss for words!\Alright, let's do this! I'm gonna get the number one assessment!\Hup!\There's one!\Two!\Three!\Four...\Five! response:	A skeleton of someone in prayer.
context: Alright, let's do this! I'm gonna get the number one assessment!\Hup!\There's one!\Two!\Three!\Four...\Five!\A skeleton of someone in prayer. response:	First time I've seen one in quite a while, so it came as a shock.
context: Hup!\There's one!\Two!\Three!\Four...\Five!\A skeleton of someone in prayer.\First time I've seen one in quite a while, so it came as a shock. response:	Sorry for disturbing you.
context: There's one!\Two!\Three!\Four...\Five!\A skeleton of someone in prayer.\First time I've seen one in quite a while, so it came as a shock.\Sorry for disturbing you. response:	At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.
context: Two!\Three!\Four...\Five!\A skeleton of someone in prayer.\First time I've seen one in quite a while, so it came as a shock.\Sorry for disturbing you.\At this rate, it's only a matter of time until I'm bumped up to the 600-meter group. response:	Heavy...
context: Three!\Four...\Five!\A skeleton of someone in prayer.\First time I've seen one in quite a while, so it came as a shock.\Sorry for disturbing you.\At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.\Heavy... response:	Hey, Nat! Help me out!
context: Four...\Five!\A skeleton of someone in prayer.\First time I've seen one in quite a while, so it came as a shock.\Sorry for disturbing you.\At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.\Heavy...\Hey, Nat! Help me out! response:	This is seriously heavy. Where'd he run off to...?
context: Five!\A skeleton of someone in prayer.\First time I've seen one in quite a while, so it came as a shock.\Sorry for disturbing you.\At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.\Heavy...\Hey, Nat! Help me out!\This is seriously heavy. Where'd he run off to...? response:	Damn it, Nat.
context: A skeleton of someone in prayer.\First time I've seen one in quite a while, so it came as a shock.\Sorry for disturbing you.\At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.\Heavy...\Hey, Nat! Help me out!\This is seriously heavy. Where'd he run off to...?\Damn it, Nat. response:	A crimson splitjaw?
context: First time I've seen one in quite a while, so it came as a shock.\Sorry for disturbing you.\At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.\Heavy...\Hey, Nat! Help me out!\This is seriously heavy. Where'd he run off to...?\Damn it, Nat.\A crimson splitjaw? response:	What's it doing this far up?!
