context: Wow! response:	Incredible!
context: Wow!\Incredible! response:	I can't believe it! There are so many people at Yunosagi!
context: Wow!\Incredible!\I can't believe it! There are so many people at Yunosagi! response:	People also visit from outside the prefecture.
context: Wow!\Incredible!\I can't believe it! There are so many people at Yunosagi!\People also visit from outside the prefecture. response:	Oh yeah, the wishing plaques!
context: Wow!\Incredible!\I can't believe it! There are so many people at Yunosagi!\People also visit from outside the prefecture.\Oh yeah, the wishing plaques! response:	Fret not. We all have them.
context: Wow!\Incredible!\I can't believe it! There are so many people at Yunosagi!\People also visit from outside the prefecture.\Oh yeah, the wishing plaques!\Fret not. We all have them. response:	Isn't it a little too early to give up?
context: Wow!\Incredible!\I can't believe it! There are so many people at Yunosagi!\People also visit from outside the prefecture.\Oh yeah, the wishing plaques!\Fret not. We all have them.\Isn't it a little too early to give up? response:	What is your prob
context: Wow!\Incredible!\I can't believe it! There are so many people at Yunosagi!\People also visit from outside the prefecture.\Oh yeah, the wishing plaques!\Fret not. We all have them.\Isn't it a little too early to give up?\What is your prob response:	FM: Ko Sub: (non title) in Yunosagi just now.
context: Incredible!\I can't believe it! There are so many people at Yunosagi!\People also visit from outside the prefecture.\Oh yeah, the wishing plaques!\Fret not. We all have them.\Isn't it a little too early to give up?\What is your prob\FM: Ko Sub: (non title) in Yunosagi just now. response:	Sorry, I need to go pick up Ko!
context: I can't believe it! There are so many people at Yunosagi!\People also visit from outside the prefecture.\Oh yeah, the wishing plaques!\Fret not. We all have them.\Isn't it a little too early to give up?\What is your prob\FM: Ko Sub: (non title) in Yunosagi just now.\Sorry, I need to go pick up Ko! response:	Wait! Should I drive you?
context: People also visit from outside the prefecture.\Oh yeah, the wishing plaques!\Fret not. We all have them.\Isn't it a little too early to give up?\What is your prob\FM: Ko Sub: (non title) in Yunosagi just now.\Sorry, I need to go pick up Ko!\Wait! Should I drive you? response:	It's fine! Go and fest it up without me!
