context: Pre! Preparation! response:	I'm not strong
context: Pre! Preparation!\I'm not strong response:	But pre! Pre-parade!
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade! response:	I'll catch you someday!
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday! response:	P-re-prepare, p-re-prepare, p-re-prepare, cracking apart
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart response:	P-re-prepare, p-re-prepare, p-re-prepare
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare response:	If you're not paying attention, be prepared for a poking attack from my fingers
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers response:	I'm little, but I'll squish you; you're as tiny as a flea to me
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me response:	What I want is a plastic heart (plus, plus, but it's a minus)
context: I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus) response:	But that's boring; when I'd notice it, I'd have won against you
context: But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you response:	Love is something that's bittersweet
context: I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet response:	Simple and clear yet complex and strange stuff
