context: Well then, I'll head to the bath. response:	I guess I'll join you.
context: Well then, I'll head to the bath.\I guess I'll join you. response:	Let's see...
context: Well then, I'll head to the bath.\I guess I'll join you.\Let's see... response:	What's this about? I'm at the onsen right now.
context: Well then, I'll head to the bath.\I guess I'll join you.\Let's see...\What's this about? I'm at the onsen right now. response:	Subaru-sama, please...
context: Well then, I'll head to the bath.\I guess I'll join you.\Let's see...\What's this about? I'm at the onsen right now.\Subaru-sama, please... response:	That is...
context: Well then, I'll head to the bath.\I guess I'll join you.\Let's see...\What's this about? I'm at the onsen right now.\Subaru-sama, please...\That is... response:	The prize from the contest.
context: Well then, I'll head to the bath.\I guess I'll join you.\Let's see...\What's this about? I'm at the onsen right now.\Subaru-sama, please...\That is...\The prize from the contest. response:	You'll do anything because I have this ticket, right?
context: Well then, I'll head to the bath.\I guess I'll join you.\Let's see...\What's this about? I'm at the onsen right now.\Subaru-sama, please...\That is...\The prize from the contest.\You'll do anything because I have this ticket, right? response:	Yes...
context: I guess I'll join you.\Let's see...\What's this about? I'm at the onsen right now.\Subaru-sama, please...\That is...\The prize from the contest.\You'll do anything because I have this ticket, right?\Yes... response:	Would you please read this book aloud for me?
context: Let's see...\What's this about? I'm at the onsen right now.\Subaru-sama, please...\That is...\The prize from the contest.\You'll do anything because I have this ticket, right?\Yes...\Would you please read this book aloud for me? response:	Of course.
context: What's this about? I'm at the onsen right now.\Subaru-sama, please...\That is...\The prize from the contest.\You'll do anything because I have this ticket, right?\Yes...\Would you please read this book aloud for me?\Of course. response:	How exciting!
context: Subaru-sama, please...\That is...\The prize from the contest.\You'll do anything because I have this ticket, right?\Yes...\Would you please read this book aloud for me?\Of course.\How exciting! response:	Jirou-kin and Barusu,
context: That is...\The prize from the contest.\You'll do anything because I have this ticket, right?\Yes...\Would you please read this book aloud for me?\Of course.\How exciting!\Jirou-kin and Barusu, response:	Eloping!
context: The prize from the contest.\You'll do anything because I have this ticket, right?\Yes...\Would you please read this book aloud for me?\Of course.\How exciting!\Jirou-kin and Barusu,\Eloping! response:	What?
context: You'll do anything because I have this ticket, right?\Yes...\Would you please read this book aloud for me?\Of course.\How exciting!\Jirou-kin and Barusu,\Eloping!\What? response:	Jirou-kin, it's my first time.
context: Yes...\Would you please read this book aloud for me?\Of course.\How exciting!\Jirou-kin and Barusu,\Eloping!\What?\Jirou-kin, it's my first time. response:	What is this erotic novel?
context: Would you please read this book aloud for me?\Of course.\How exciting!\Jirou-kin and Barusu,\Eloping!\What?\Jirou-kin, it's my first time.\What is this erotic novel? response:	Yes, at that place, take your glasses off...
context: Of course.\How exciting!\Jirou-kin and Barusu,\Eloping!\What?\Jirou-kin, it's my first time.\What is this erotic novel?\Yes, at that place, take your glasses off... response:	Barusu...
context: How exciting!\Jirou-kin and Barusu,\Eloping!\What?\Jirou-kin, it's my first time.\What is this erotic novel?\Yes, at that place, take your glasses off...\Barusu... response:	Jirou-kin...
