context: Huh? response:	The bread I'd bought is gone and has been replaced by three 100-yen coins.
context: Huh?\The bread I'd bought is gone and has been replaced by three 100-yen coins. response:	Do I take that as a sign of sincerity?
context: Huh?\The bread I'd bought is gone and has been replaced by three 100-yen coins.\Do I take that as a sign of sincerity? response:	Tohsaka.
context: Huh?\The bread I'd bought is gone and has been replaced by three 100-yen coins.\Do I take that as a sign of sincerity?\Tohsaka. response:	Tohsaka!
context: Huh?\The bread I'd bought is gone and has been replaced by three 100-yen coins.\Do I take that as a sign of sincerity?\Tohsaka.\Tohsaka! response:	You in here?
context: Huh?\The bread I'd bought is gone and has been replaced by three 100-yen coins.\Do I take that as a sign of sincerity?\Tohsaka.\Tohsaka!\You in here? response:	I wonder what this is?
context: Huh?\The bread I'd bought is gone and has been replaced by three 100-yen coins.\Do I take that as a sign of sincerity?\Tohsaka.\Tohsaka!\You in here?\I wonder what this is? response:	Sorry.
context: Huh?\The bread I'd bought is gone and has been replaced by three 100-yen coins.\Do I take that as a sign of sincerity?\Tohsaka.\Tohsaka!\You in here?\I wonder what this is?\Sorry. response:	It'll just take a little longer...
context: The bread I'd bought is gone and has been replaced by three 100-yen coins.\Do I take that as a sign of sincerity?\Tohsaka.\Tohsaka!\You in here?\I wonder what this is?\Sorry.\It'll just take a little longer... response:	Shirou, how are you feeling?
context: Do I take that as a sign of sincerity?\Tohsaka.\Tohsaka!\You in here?\I wonder what this is?\Sorry.\It'll just take a little longer...\Shirou, how are you feeling? response:	The numbness on my left side is gone. It still feels a little heavy, though.
context: Tohsaka.\Tohsaka!\You in here?\I wonder what this is?\Sorry.\It'll just take a little longer...\Shirou, how are you feeling?\The numbness on my left side is gone. It still feels a little heavy, though. response:	That is good news.
context: Tohsaka!\You in here?\I wonder what this is?\Sorry.\It'll just take a little longer...\Shirou, how are you feeling?\The numbness on my left side is gone. It still feels a little heavy, though.\That is good news. response:	Good morning, Rin.
context: You in here?\I wonder what this is?\Sorry.\It'll just take a little longer...\Shirou, how are you feeling?\The numbness on my left side is gone. It still feels a little heavy, though.\That is good news.\Good morning, Rin. response:	'Morning...
context: I wonder what this is?\Sorry.\It'll just take a little longer...\Shirou, how are you feeling?\The numbness on my left side is gone. It still feels a little heavy, though.\That is good news.\Good morning, Rin.\'Morning... response:	You seem to have slept quite soundly last night.
context: Sorry.\It'll just take a little longer...\Shirou, how are you feeling?\The numbness on my left side is gone. It still feels a little heavy, though.\That is good news.\Good morning, Rin.\'Morning...\You seem to have slept quite soundly last night. response:	Not really. Somebody was making noise past midnight.
context: It'll just take a little longer...\Shirou, how are you feeling?\The numbness on my left side is gone. It still feels a little heavy, though.\That is good news.\Good morning, Rin.\'Morning...\You seem to have slept quite soundly last night.\Not really. Somebody was making noise past midnight. response:	Oh, we're going out today. Hurry up and get ready.
context: Shirou, how are you feeling?\The numbness on my left side is gone. It still feels a little heavy, though.\That is good news.\Good morning, Rin.\'Morning...\You seem to have slept quite soundly last night.\Not really. Somebody was making noise past midnight.\Oh, we're going out today. Hurry up and get ready. response:	Going out? Where?
context: The numbness on my left side is gone. It still feels a little heavy, though.\That is good news.\Good morning, Rin.\'Morning...\You seem to have slept quite soundly last night.\Not really. Somebody was making noise past midnight.\Oh, we're going out today. Hurry up and get ready.\Going out? Where? response:	The next town over.
context: That is good news.\Good morning, Rin.\'Morning...\You seem to have slept quite soundly last night.\Not really. Somebody was making noise past midnight.\Oh, we're going out today. Hurry up and get ready.\Going out? Where?\The next town over. response:	To do what?
