context: I heard you're Embryo's knight. response:	I wanted to see how strong you've become.
context: I heard you're Embryo's knight.\I wanted to see how strong you've become. response:	I'm disappointed, Salia.
context: I heard you're Embryo's knight.\I wanted to see how strong you've become.\I'm disappointed, Salia. response:	Jill.
context: I heard you're Embryo's knight.\I wanted to see how strong you've become.\I'm disappointed, Salia.\Jill. response:	It's been a while, Salia.
context: I heard you're Embryo's knight.\I wanted to see how strong you've become.\I'm disappointed, Salia.\Jill.\It's been a while, Salia. response:	Why did you come here, after so long?
context: I heard you're Embryo's knight.\I wanted to see how strong you've become.\I'm disappointed, Salia.\Jill.\It's been a while, Salia.\Why did you come here, after so long? response:	To see my ex, of course.
context: I heard you're Embryo's knight.\I wanted to see how strong you've become.\I'm disappointed, Salia.\Jill.\It's been a while, Salia.\Why did you come here, after so long?\To see my ex, of course. response:	Haven't you heard?
context: I heard you're Embryo's knight.\I wanted to see how strong you've become.\I'm disappointed, Salia.\Jill.\It's been a while, Salia.\Why did you come here, after so long?\To see my ex, of course.\Haven't you heard? response:	I was Embryo's lover.
context: I wanted to see how strong you've become.\I'm disappointed, Salia.\Jill.\It's been a while, Salia.\Why did you come here, after so long?\To see my ex, of course.\Haven't you heard?\I was Embryo's lover. response:	Now, move.
context: I'm disappointed, Salia.\Jill.\It's been a while, Salia.\Why did you come here, after so long?\To see my ex, of course.\Haven't you heard?\I was Embryo's lover.\Now, move. response:	I won't believe anything you say anymore.
context: Jill.\It's been a while, Salia.\Why did you come here, after so long?\To see my ex, of course.\Haven't you heard?\I was Embryo's lover.\Now, move.\I won't believe anything you say anymore. response:	I'm Embryo's knight.
context: It's been a while, Salia.\Why did you come here, after so long?\To see my ex, of course.\Haven't you heard?\I was Embryo's lover.\Now, move.\I won't believe anything you say anymore.\I'm Embryo's knight. response:	Salia, Captain of the Diamond Rose Knights!
context: Why did you come here, after so long?\To see my ex, of course.\Haven't you heard?\I was Embryo's lover.\Now, move.\I won't believe anything you say anymore.\I'm Embryo's knight.\Salia, Captain of the Diamond Rose Knights! response:	I won't let you go to him.
context: To see my ex, of course.\Haven't you heard?\I was Embryo's lover.\Now, move.\I won't believe anything you say anymore.\I'm Embryo's knight.\Salia, Captain of the Diamond Rose Knights!\I won't let you go to him. response:	Hear that, Ange?
context: Haven't you heard?\I was Embryo's lover.\Now, move.\I won't believe anything you say anymore.\I'm Embryo's knight.\Salia, Captain of the Diamond Rose Knights!\I won't let you go to him.\Hear that, Ange? response:	Huh?
context: I was Embryo's lover.\Now, move.\I won't believe anything you say anymore.\I'm Embryo's knight.\Salia, Captain of the Diamond Rose Knights!\I won't let you go to him.\Hear that, Ange?\Huh? response:	I bet we can go to Aura, though.
context: Now, move.\I won't believe anything you say anymore.\I'm Embryo's knight.\Salia, Captain of the Diamond Rose Knights!\I won't let you go to him.\Hear that, Ange?\Huh?\I bet we can go to Aura, though. response:	All right, I'll take it!
context: I won't believe anything you say anymore.\I'm Embryo's knight.\Salia, Captain of the Diamond Rose Knights!\I won't let you go to him.\Hear that, Ange?\Huh?\I bet we can go to Aura, though.\All right, I'll take it! response:	Stop, Ange!
context: I'm Embryo's knight.\Salia, Captain of the Diamond Rose Knights!\I won't let you go to him.\Hear that, Ange?\Huh?\I bet we can go to Aura, though.\All right, I'll take it!\Stop, Ange! response:	Aren't you going to fight me?
context: Salia, Captain of the Diamond Rose Knights!\I won't let you go to him.\Hear that, Ange?\Huh?\I bet we can go to Aura, though.\All right, I'll take it!\Stop, Ange!\Aren't you going to fight me? response:	If you get in my way, I'll cut you!
