context: That bastard! Where the hell did he go? response:	If I go into the alley, I'll only get cornered.
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered. response:	Guess I'll head back out for now, and
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and response:	What should I do?
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do? response:	I can't cause a commotion now and risk getting noticed by the perpetrator.
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator. response:	Hey, you...
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you... response:	Is someone chasing you, by any chance?
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance? response:	Uh...
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\Uh... response:	If you're in trouble, I can help you!
context: If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\Uh...\If you're in trouble, I can help you! response:	Have we met somewhere before?
context: Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\Uh...\If you're in trouble, I can help you!\Have we met somewhere before? response:	I think this is the first time.
context: What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\Uh...\If you're in trouble, I can help you!\Have we met somewhere before?\I think this is the first time. response:	But what about your pursuers?
context: I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\Uh...\If you're in trouble, I can help you!\Have we met somewhere before?\I think this is the first time.\But what about your pursuers? response:	If you don't get going, they're going to catch up to you.
context: Hey, you...\Is someone chasing you, by any chance?\Uh...\If you're in trouble, I can help you!\Have we met somewhere before?\I think this is the first time.\But what about your pursuers?\If you don't get going, they're going to catch up to you. response:	Gotcha.
context: Is someone chasing you, by any chance?\Uh...\If you're in trouble, I can help you!\Have we met somewhere before?\I think this is the first time.\But what about your pursuers?\If you don't get going, they're going to catch up to you.\Gotcha. response:	The thing is, I'd like to avoid any trouble if I can.
context: Uh...\If you're in trouble, I can help you!\Have we met somewhere before?\I think this is the first time.\But what about your pursuers?\If you don't get going, they're going to catch up to you.\Gotcha.\The thing is, I'd like to avoid any trouble if I can. response:	Okay!
context: If you're in trouble, I can help you!\Have we met somewhere before?\I think this is the first time.\But what about your pursuers?\If you don't get going, they're going to catch up to you.\Gotcha.\The thing is, I'd like to avoid any trouble if I can.\Okay! response:	Then come on! This way!
context: Have we met somewhere before?\I think this is the first time.\But what about your pursuers?\If you don't get going, they're going to catch up to you.\Gotcha.\The thing is, I'd like to avoid any trouble if I can.\Okay!\Then come on! This way! response:	Hey, come back here!
context: I think this is the first time.\But what about your pursuers?\If you don't get going, they're going to catch up to you.\Gotcha.\The thing is, I'd like to avoid any trouble if I can.\Okay!\Then come on! This way!\Hey, come back here! response:	Don't tell me this girl is...
context: But what about your pursuers?\If you don't get going, they're going to catch up to you.\Gotcha.\The thing is, I'd like to avoid any trouble if I can.\Okay!\Then come on! This way!\Hey, come back here!\Don't tell me this girl is... response:	a Strega?
context: If you don't get going, they're going to catch up to you.\Gotcha.\The thing is, I'd like to avoid any trouble if I can.\Okay!\Then come on! This way!\Hey, come back here!\Don't tell me this girl is...\a Strega? response:	Battle Song
context: Gotcha.\The thing is, I'd like to avoid any trouble if I can.\Okay!\Then come on! This way!\Hey, come back here!\Don't tell me this girl is...\a Strega?\Battle Song response:	Since we've come this far, I guess we should be in the clear for now.
context: The thing is, I'd like to avoid any trouble if I can.\Okay!\Then come on! This way!\Hey, come back here!\Don't tell me this girl is...\a Strega?\Battle Song\Since we've come this far, I guess we should be in the clear for now. response:	Thanks. I really owe you one.
context: Okay!\Then come on! This way!\Hey, come back here!\Don't tell me this girl is...\a Strega?\Battle Song\Since we've come this far, I guess we should be in the clear for now.\Thanks. I really owe you one. response:	So? Why were they chasing you?
context: Then come on! This way!\Hey, come back here!\Don't tell me this girl is...\a Strega?\Battle Song\Since we've come this far, I guess we should be in the clear for now.\Thanks. I really owe you one.\So? Why were they chasing you? response:	Did they rip you off?
context: Hey, come back here!\Don't tell me this girl is...\a Strega?\Battle Song\Since we've come this far, I guess we should be in the clear for now.\Thanks. I really owe you one.\So? Why were they chasing you?\Did they rip you off? response:	Well, it's complicated.
context: Don't tell me this girl is...\a Strega?\Battle Song\Since we've come this far, I guess we should be in the clear for now.\Thanks. I really owe you one.\So? Why were they chasing you?\Did they rip you off?\Well, it's complicated. response:	I see.
context: a Strega?\Battle Song\Since we've come this far, I guess we should be in the clear for now.\Thanks. I really owe you one.\So? Why were they chasing you?\Did they rip you off?\Well, it's complicated.\I see. response:	Well, you don't have to tell me if you don't want to.
context: Battle Song\Since we've come this far, I guess we should be in the clear for now.\Thanks. I really owe you one.\So? Why were they chasing you?\Did they rip you off?\Well, it's complicated.\I see.\Well, you don't have to tell me if you don't want to. response:	But if you're planning to head back, I'd wait a little longer if I were you.
context: Since we've come this far, I guess we should be in the clear for now.\Thanks. I really owe you one.\So? Why were they chasing you?\Did they rip you off?\Well, it's complicated.\I see.\Well, you don't have to tell me if you don't want to.\But if you're planning to head back, I'd wait a little longer if I were you. response:	With Rotlicht being kind of on edge, and all.
context: Thanks. I really owe you one.\So? Why were they chasing you?\Did they rip you off?\Well, it's complicated.\I see.\Well, you don't have to tell me if you don't want to.\But if you're planning to head back, I'd wait a little longer if I were you.\With Rotlicht being kind of on edge, and all. response:	It is?
context: So? Why were they chasing you?\Did they rip you off?\Well, it's complicated.\I see.\Well, you don't have to tell me if you don't want to.\But if you're planning to head back, I'd wait a little longer if I were you.\With Rotlicht being kind of on edge, and all.\It is? response:	Since there's a Festa underway right now...
context: Did they rip you off?\Well, it's complicated.\I see.\Well, you don't have to tell me if you don't want to.\But if you're planning to head back, I'd wait a little longer if I were you.\With Rotlicht being kind of on edge, and all.\It is?\Since there's a Festa underway right now... response:	The police have been cracking down way harder than usual.
context: Well, it's complicated.\I see.\Well, you don't have to tell me if you don't want to.\But if you're planning to head back, I'd wait a little longer if I were you.\With Rotlicht being kind of on edge, and all.\It is?\Since there's a Festa underway right now...\The police have been cracking down way harder than usual. response:	So the mafia running Rotlicht are acting pretty paranoid.
