context: Wow! response:	It feels so good!
context: Wow!\It feels so good! response:	Hey, do you think I'll be able to do this, too?
context: Wow!\It feels so good!\Hey, do you think I'll be able to do this, too? response:	Yeah.
context: Wow!\It feels so good!\Hey, do you think I'll be able to do this, too?\Yeah. response:	Of course you will. You're my little brother.
context: Wow!\It feels so good!\Hey, do you think I'll be able to do this, too?\Yeah.\Of course you will. You're my little brother. response:	Mob Psycho 100
context: Wow!\It feels so good!\Hey, do you think I'll be able to do this, too?\Yeah.\Of course you will. You're my little brother.\Mob Psycho 100 response:	Discord To Become One
context: Wow!\It feels so good!\Hey, do you think I'll be able to do this, too?\Yeah.\Of course you will. You're my little brother.\Mob Psycho 100\Discord To Become One response:	Spirits and Such Consultation Office
context: Wow!\It feels so good!\Hey, do you think I'll be able to do this, too?\Yeah.\Of course you will. You're my little brother.\Mob Psycho 100\Discord To Become One\Spirits and Such Consultation Office response:	We will now begin the seance.
context: It feels so good!\Hey, do you think I'll be able to do this, too?\Yeah.\Of course you will. You're my little brother.\Mob Psycho 100\Discord To Become One\Spirits and Such Consultation Office\We will now begin the seance. response:	Client: Hitoshi
context: Hey, do you think I'll be able to do this, too?\Yeah.\Of course you will. You're my little brother.\Mob Psycho 100\Discord To Become One\Spirits and Such Consultation Office\We will now begin the seance.\Client: Hitoshi response:	I-Is that you, Dad?
context: Yeah.\Of course you will. You're my little brother.\Mob Psycho 100\Discord To Become One\Spirits and Such Consultation Office\We will now begin the seance.\Client: Hitoshi\I-Is that you, Dad? response:	Do you know who I am?
context: Of course you will. You're my little brother.\Mob Psycho 100\Discord To Become One\Spirits and Such Consultation Office\We will now begin the seance.\Client: Hitoshi\I-Is that you, Dad?\Do you know who I am? response:	Oh, Hitoshi...
context: Mob Psycho 100\Discord To Become One\Spirits and Such Consultation Office\We will now begin the seance.\Client: Hitoshi\I-Is that you, Dad?\Do you know who I am?\Oh, Hitoshi... response:	I never thought the day would come when I got to see your face again...
context: Discord To Become One\Spirits and Such Consultation Office\We will now begin the seance.\Client: Hitoshi\I-Is that you, Dad?\Do you know who I am?\Oh, Hitoshi...\I never thought the day would come when I got to see your face again... response:	Dad...
context: Spirits and Such Consultation Office\We will now begin the seance.\Client: Hitoshi\I-Is that you, Dad?\Do you know who I am?\Oh, Hitoshi...\I never thought the day would come when I got to see your face again...\Dad... response:	When did you learn to speak Japanese so well?
context: We will now begin the seance.\Client: Hitoshi\I-Is that you, Dad?\Do you know who I am?\Oh, Hitoshi...\I never thought the day would come when I got to see your face again...\Dad...\When did you learn to speak Japanese so well? response:	Okay, logging out for a sec.
context: Client: Hitoshi\I-Is that you, Dad?\Do you know who I am?\Oh, Hitoshi...\I never thought the day would come when I got to see your face again...\Dad...\When did you learn to speak Japanese so well?\Okay, logging out for a sec. response:	Huh?
context: I-Is that you, Dad?\Do you know who I am?\Oh, Hitoshi...\I never thought the day would come when I got to see your face again...\Dad...\When did you learn to speak Japanese so well?\Okay, logging out for a sec.\Huh? response:	Sorry, I'm not getting a very good signal.
context: Do you know who I am?\Oh, Hitoshi...\I never thought the day would come when I got to see your face again...\Dad...\When did you learn to speak Japanese so well?\Okay, logging out for a sec.\Huh?\Sorry, I'm not getting a very good signal. response:	Were you satisfied?
context: Oh, Hitoshi...\I never thought the day would come when I got to see your face again...\Dad...\When did you learn to speak Japanese so well?\Okay, logging out for a sec.\Huh?\Sorry, I'm not getting a very good signal.\Were you satisfied? response:	No!
context: I never thought the day would come when I got to see your face again...\Dad...\When did you learn to speak Japanese so well?\Okay, logging out for a sec.\Huh?\Sorry, I'm not getting a very good signal.\Were you satisfied?\No! response:	Please call him back!
context: Dad...\When did you learn to speak Japanese so well?\Okay, logging out for a sec.\Huh?\Sorry, I'm not getting a very good signal.\Were you satisfied?\No!\Please call him back! response:	Hey, please calm down.
context: When did you learn to speak Japanese so well?\Okay, logging out for a sec.\Huh?\Sorry, I'm not getting a very good signal.\Were you satisfied?\No!\Please call him back!\Hey, please calm down. response:	Seances take a lot of concentration.
context: Okay, logging out for a sec.\Huh?\Sorry, I'm not getting a very good signal.\Were you satisfied?\No!\Please call him back!\Hey, please calm down.\Seances take a lot of concentration. response:	By the way, where is your father from?
