context: Puella Magi Meduka Magica Episode 12 response:	CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...
context: Puella Magi Meduka Magica Episode 12\CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT... response:	there aren't any Majuu like those we battle now, right?
context: Puella Magi Meduka Magica Episode 12\CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...\there aren't any Majuu like those we battle now, right? response:	ED
context: Puella Magi Meduka Magica Episode 12\CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...\there aren't any Majuu like those we battle now, right?\ED response:	Homura-chan, sorry.
context: Puella Magi Meduka Magica Episode 12\CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...\there aren't any Majuu like those we battle now, right?\ED\Homura-chan, sorry. response:	I want to become a Magical Girl.
context: Puella Magi Meduka Magica Episode 12\CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...\there aren't any Majuu like those we battle now, right?\ED\Homura-chan, sorry.\I want to become a Magical Girl. response:	Madoka...
context: Puella Magi Meduka Magica Episode 12\CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...\there aren't any Majuu like those we battle now, right?\ED\Homura-chan, sorry.\I want to become a Magical Girl.\Madoka... response:	How can this...
context: Puella Magi Meduka Magica Episode 12\CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...\there aren't any Majuu like those we battle now, right?\ED\Homura-chan, sorry.\I want to become a Magical Girl.\Madoka...\How can this... response:	I finally understood.
context: CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...\there aren't any Majuu like those we battle now, right?\ED\Homura-chan, sorry.\I want to become a Magical Girl.\Madoka...\How can this...\I finally understood. response:	I finally found a wish that I want fulfilled.
context: there aren't any Majuu like those we battle now, right?\ED\Homura-chan, sorry.\I want to become a Magical Girl.\Madoka...\How can this...\I finally understood.\I finally found a wish that I want fulfilled. response:	That's why I want to use this life.
context: ED\Homura-chan, sorry.\I want to become a Magical Girl.\Madoka...\How can this...\I finally understood.\I finally found a wish that I want fulfilled.\That's why I want to use this life. response:	Stop! If you do that...
context: Homura-chan, sorry.\I want to become a Magical Girl.\Madoka...\How can this...\I finally understood.\I finally found a wish that I want fulfilled.\That's why I want to use this life.\Stop! If you do that... response:	If you do that, I...
context: I want to become a Magical Girl.\Madoka...\How can this...\I finally understood.\I finally found a wish that I want fulfilled.\That's why I want to use this life.\Stop! If you do that...\If you do that, I... response:	What have I...?!
context: Madoka...\How can this...\I finally understood.\I finally found a wish that I want fulfilled.\That's why I want to use this life.\Stop! If you do that...\If you do that, I...\What have I...?! response:	Sorry, I'm really sorry.
context: How can this...\I finally understood.\I finally found a wish that I want fulfilled.\That's why I want to use this life.\Stop! If you do that...\If you do that, I...\What have I...?!\Sorry, I'm really sorry. response:	All this time,
