context: I'm going to run in the Hakone Ekiden. response:	Starting today, I'm going to win over all the guys.
context: I'm going to run in the Hakone Ekiden.\Starting today, I'm going to win over all the guys. response:	That includes you,
context: I'm going to run in the Hakone Ekiden.\Starting today, I'm going to win over all the guys.\That includes you, response:	Sendai Josei High School graduate,
context: I'm going to run in the Hakone Ekiden.\Starting today, I'm going to win over all the guys.\That includes you,\Sendai Josei High School graduate, response:	Kurahara Kakeru.
context: I'm going to run in the Hakone Ekiden.\Starting today, I'm going to win over all the guys.\That includes you,\Sendai Josei High School graduate,\Kurahara Kakeru. response:	Just who are you?
context: I'm going to run in the Hakone Ekiden.\Starting today, I'm going to win over all the guys.\That includes you,\Sendai Josei High School graduate,\Kurahara Kakeru.\Just who are you? response:	There, there.
context: I'm going to run in the Hakone Ekiden.\Starting today, I'm going to win over all the guys.\That includes you,\Sendai Josei High School graduate,\Kurahara Kakeru.\Just who are you?\There, there. response:	You must be hungry.
context: I'm going to run in the Hakone Ekiden.\Starting today, I'm going to win over all the guys.\That includes you,\Sendai Josei High School graduate,\Kurahara Kakeru.\Just who are you?\There, there.\You must be hungry. response:	Let's head back. Time for breakfast.
context: Starting today, I'm going to win over all the guys.\That includes you,\Sendai Josei High School graduate,\Kurahara Kakeru.\Just who are you?\There, there.\You must be hungry.\Let's head back. Time for breakfast. response:	Run with the Wind
context: That includes you,\Sendai Josei High School graduate,\Kurahara Kakeru.\Just who are you?\There, there.\You must be hungry.\Let's head back. Time for breakfast.\Run with the Wind response:	We can't.
context: Sendai Josei High School graduate,\Kurahara Kakeru.\Just who are you?\There, there.\You must be hungry.\Let's head back. Time for breakfast.\Run with the Wind\We can't. response:	Not Hakone.
context: Kurahara Kakeru.\Just who are you?\There, there.\You must be hungry.\Let's head back. Time for breakfast.\Run with the Wind\We can't.\Not Hakone. response:	There's no way.
context: Just who are you?\There, there.\You must be hungry.\Let's head back. Time for breakfast.\Run with the Wind\We can't.\Not Hakone.\There's no way. response:	No one knows that for sure.
context: There, there.\You must be hungry.\Let's head back. Time for breakfast.\Run with the Wind\We can't.\Not Hakone.\There's no way.\No one knows that for sure. response:	I know.
context: You must be hungry.\Let's head back. Time for breakfast.\Run with the Wind\We can't.\Not Hakone.\There's no way.\No one knows that for sure.\I know. response:	The top track and field teams train every day for years,
context: Let's head back. Time for breakfast.\Run with the Wind\We can't.\Not Hakone.\There's no way.\No one knows that for sure.\I know.\The top track and field teams train every day for years, response:	but only a handful of them even qualify.
context: Run with the Wind\We can't.\Not Hakone.\There's no way.\No one knows that for sure.\I know.\The top track and field teams train every day for years,\but only a handful of them even qualify. response:	That's the kind of race it is.
context: We can't.\Not Hakone.\There's no way.\No one knows that for sure.\I know.\The top track and field teams train every day for years,\but only a handful of them even qualify.\That's the kind of race it is. response:	You know a lot about Hakone Ekiden?
context: Not Hakone.\There's no way.\No one knows that for sure.\I know.\The top track and field teams train every day for years,\but only a handful of them even qualify.\That's the kind of race it is.\You know a lot about Hakone Ekiden? response:	Don't worry.
context: There's no way.\No one knows that for sure.\I know.\The top track and field teams train every day for years,\but only a handful of them even qualify.\That's the kind of race it is.\You know a lot about Hakone Ekiden?\Don't worry. response:	Dreams do come true if you try.
context: No one knows that for sure.\I know.\The top track and field teams train every day for years,\but only a handful of them even qualify.\That's the kind of race it is.\You know a lot about Hakone Ekiden?\Don't worry.\Dreams do come true if you try. response:	Nico-chan Senpai has track and field experience.
context: I know.\The top track and field teams train every day for years,\but only a handful of them even qualify.\That's the kind of race it is.\You know a lot about Hakone Ekiden?\Don't worry.\Dreams do come true if you try.\Nico-chan Senpai has track and field experience. response:	What?
context: The top track and field teams train every day for years,\but only a handful of them even qualify.\That's the kind of race it is.\You know a lot about Hakone Ekiden?\Don't worry.\Dreams do come true if you try.\Nico-chan Senpai has track and field experience.\What? response:	Yuki made it to a prefectural kendo tournament with his team.
context: but only a handful of them even qualify.\That's the kind of race it is.\You know a lot about Hakone Ekiden?\Don't worry.\Dreams do come true if you try.\Nico-chan Senpai has track and field experience.\What?\Yuki made it to a prefectural kendo tournament with his team. response:	The twins and King played soccer for three years in high school.
context: That's the kind of race it is.\You know a lot about Hakone Ekiden?\Don't worry.\Dreams do come true if you try.\Nico-chan Senpai has track and field experience.\What?\Yuki made it to a prefectural kendo tournament with his team.\The twins and King played soccer for three years in high school. response:	Shindo used to walk ten kilometers through the mountains to get to school and back everyday.
context: You know a lot about Hakone Ekiden?\Don't worry.\Dreams do come true if you try.\Nico-chan Senpai has track and field experience.\What?\Yuki made it to a prefectural kendo tournament with his team.\The twins and King played soccer for three years in high school.\Shindo used to walk ten kilometers through the mountains to get to school and back everyday. response:	That's not a sport.
context: Don't worry.\Dreams do come true if you try.\Nico-chan Senpai has track and field experience.\What?\Yuki made it to a prefectural kendo tournament with his team.\The twins and King played soccer for three years in high school.\Shindo used to walk ten kilometers through the mountains to get to school and back everyday.\That's not a sport. response:	And Musa has a hidden talent.
context: Dreams do come true if you try.\Nico-chan Senpai has track and field experience.\What?\Yuki made it to a prefectural kendo tournament with his team.\The twins and King played soccer for three years in high school.\Shindo used to walk ten kilometers through the mountains to get to school and back everyday.\That's not a sport.\And Musa has a hidden talent. response:	It's prejudiced to think black people are fast runners.
context: Nico-chan Senpai has track and field experience.\What?\Yuki made it to a prefectural kendo tournament with his team.\The twins and King played soccer for three years in high school.\Shindo used to walk ten kilometers through the mountains to get to school and back everyday.\That's not a sport.\And Musa has a hidden talent.\It's prejudiced to think black people are fast runners. response:	I confirmed in the bath that you've got good muscles.
