context: Yes? Yes. response:	Mama?
context: Yes? Yes.\Mama? response:	What's wrong, Mama?
context: Yes? Yes.\Mama?\What's wrong, Mama? response:	The flight... Papa's flight...
context: Yes? Yes.\Mama?\What's wrong, Mama?\The flight... Papa's flight... response:	Do you really think you'll be able to kill Yin when you find her?
context: Yes? Yes.\Mama?\What's wrong, Mama?\The flight... Papa's flight...\Do you really think you'll be able to kill Yin when you find her? response:	She's just a doll.
context: Yes? Yes.\Mama?\What's wrong, Mama?\The flight... Papa's flight...\Do you really think you'll be able to kill Yin when you find her?\She's just a doll. response:	Why did you save her the other day?
context: Yes? Yes.\Mama?\What's wrong, Mama?\The flight... Papa's flight...\Do you really think you'll be able to kill Yin when you find her?\She's just a doll.\Why did you save her the other day? response:	I have a lead. They're trying to get far away.
context: Yes? Yes.\Mama?\What's wrong, Mama?\The flight... Papa's flight...\Do you really think you'll be able to kill Yin when you find her?\She's just a doll.\Why did you save her the other day?\I have a lead. They're trying to get far away. response:	I'll leave it to you.
context: Mama?\What's wrong, Mama?\The flight... Papa's flight...\Do you really think you'll be able to kill Yin when you find her?\She's just a doll.\Why did you save her the other day?\I have a lead. They're trying to get far away.\I'll leave it to you. response:	Does your power always have to be so extravagant?
context: What's wrong, Mama?\The flight... Papa's flight...\Do you really think you'll be able to kill Yin when you find her?\She's just a doll.\Why did you save her the other day?\I have a lead. They're trying to get far away.\I'll leave it to you.\Does your power always have to be so extravagant? response:	Aren't spectacles fascinating?
context: The flight... Papa's flight...\Do you really think you'll be able to kill Yin when you find her?\She's just a doll.\Why did you save her the other day?\I have a lead. They're trying to get far away.\I'll leave it to you.\Does your power always have to be so extravagant?\Aren't spectacles fascinating? response:	It's more like La traviata than it is Aida.
context: Do you really think you'll be able to kill Yin when you find her?\She's just a doll.\Why did you save her the other day?\I have a lead. They're trying to get far away.\I'll leave it to you.\Does your power always have to be so extravagant?\Aren't spectacles fascinating?\It's more like La traviata than it is Aida. response:	I'm serious.
context: She's just a doll.\Why did you save her the other day?\I have a lead. They're trying to get far away.\I'll leave it to you.\Does your power always have to be so extravagant?\Aren't spectacles fascinating?\It's more like La traviata than it is Aida.\I'm serious. response:	In that case, I'll explain it to you seriously.
context: Why did you save her the other day?\I have a lead. They're trying to get far away.\I'll leave it to you.\Does your power always have to be so extravagant?\Aren't spectacles fascinating?\It's more like La traviata than it is Aida.\I'm serious.\In that case, I'll explain it to you seriously. response:	All particles vibrate,
context: I have a lead. They're trying to get far away.\I'll leave it to you.\Does your power always have to be so extravagant?\Aren't spectacles fascinating?\It's more like La traviata than it is Aida.\I'm serious.\In that case, I'll explain it to you seriously.\All particles vibrate, response:	so when I hit them with their vibrational frequency, they'll begin to resonate.
context: I'll leave it to you.\Does your power always have to be so extravagant?\Aren't spectacles fascinating?\It's more like La traviata than it is Aida.\I'm serious.\In that case, I'll explain it to you seriously.\All particles vibrate,\so when I hit them with their vibrational frequency, they'll begin to resonate. response:	In other words, the vibration is amplified to the point of destruction. Do you get it?
context: Does your power always have to be so extravagant?\Aren't spectacles fascinating?\It's more like La traviata than it is Aida.\I'm serious.\In that case, I'll explain it to you seriously.\All particles vibrate,\so when I hit them with their vibrational frequency, they'll begin to resonate.\In other words, the vibration is amplified to the point of destruction. Do you get it? response:	Sort of.
context: Aren't spectacles fascinating?\It's more like La traviata than it is Aida.\I'm serious.\In that case, I'll explain it to you seriously.\All particles vibrate,\so when I hit them with their vibrational frequency, they'll begin to resonate.\In other words, the vibration is amplified to the point of destruction. Do you get it?\Sort of. response:	In any case, that's what my ability is about.
context: It's more like La traviata than it is Aida.\I'm serious.\In that case, I'll explain it to you seriously.\All particles vibrate,\so when I hit them with their vibrational frequency, they'll begin to resonate.\In other words, the vibration is amplified to the point of destruction. Do you get it?\Sort of.\In any case, that's what my ability is about. response:	That's why I can destroy any object I want,
context: I'm serious.\In that case, I'll explain it to you seriously.\All particles vibrate,\so when I hit them with their vibrational frequency, they'll begin to resonate.\In other words, the vibration is amplified to the point of destruction. Do you get it?\Sort of.\In any case, that's what my ability is about.\That's why I can destroy any object I want, response:	even the most obscure of things.
context: In that case, I'll explain it to you seriously.\All particles vibrate,\so when I hit them with their vibrational frequency, they'll begin to resonate.\In other words, the vibration is amplified to the point of destruction. Do you get it?\Sort of.\In any case, that's what my ability is about.\That's why I can destroy any object I want,\even the most obscure of things. response:	Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...
context: All particles vibrate,\so when I hit them with their vibrational frequency, they'll begin to resonate.\In other words, the vibration is amplified to the point of destruction. Do you get it?\Sort of.\In any case, that's what my ability is about.\That's why I can destroy any object I want,\even the most obscure of things.\Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and... response:	Boss, lend me some money.
context: so when I hit them with their vibrational frequency, they'll begin to resonate.\In other words, the vibration is amplified to the point of destruction. Do you get it?\Sort of.\In any case, that's what my ability is about.\That's why I can destroy any object I want,\even the most obscure of things.\Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...\Boss, lend me some money. response:	We also need to buy something to eat.
context: In other words, the vibration is amplified to the point of destruction. Do you get it?\Sort of.\In any case, that's what my ability is about.\That's why I can destroy any object I want,\even the most obscure of things.\Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...\Boss, lend me some money.\We also need to buy something to eat. response:	You're on the job, you know. What are you going to do if you get drunk?
context: Sort of.\In any case, that's what my ability is about.\That's why I can destroy any object I want,\even the most obscure of things.\Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...\Boss, lend me some money.\We also need to buy something to eat.\You're on the job, you know. What are you going to do if you get drunk? response:	No problem! I fall asleep whenever I get drunk.
context: In any case, that's what my ability is about.\That's why I can destroy any object I want,\even the most obscure of things.\Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...\Boss, lend me some money.\We also need to buy something to eat.\You're on the job, you know. What are you going to do if you get drunk?\No problem! I fall asleep whenever I get drunk. response:	No, that's not the issue.
context: That's why I can destroy any object I want,\even the most obscure of things.\Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...\Boss, lend me some money.\We also need to buy something to eat.\You're on the job, you know. What are you going to do if you get drunk?\No problem! I fall asleep whenever I get drunk.\No, that's not the issue. response:	Why don't you want to go home, Kirsi?
context: even the most obscure of things.\Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...\Boss, lend me some money.\We also need to buy something to eat.\You're on the job, you know. What are you going to do if you get drunk?\No problem! I fall asleep whenever I get drunk.\No, that's not the issue.\Why don't you want to go home, Kirsi? response:	Aren't you happy about going back to your homeland?
context: Yeah, and the original chestnut glutton rice, harvest rice kokeshi doll, and...\Boss, lend me some money.\We also need to buy something to eat.\You're on the job, you know. What are you going to do if you get drunk?\No problem! I fall asleep whenever I get drunk.\No, that's not the issue.\Why don't you want to go home, Kirsi?\Aren't you happy about going back to your homeland? response:	I'm not going.
context: Boss, lend me some money.\We also need to buy something to eat.\You're on the job, you know. What are you going to do if you get drunk?\No problem! I fall asleep whenever I get drunk.\No, that's not the issue.\Why don't you want to go home, Kirsi?\Aren't you happy about going back to your homeland?\I'm not going. response:	Why not?
context: We also need to buy something to eat.\You're on the job, you know. What are you going to do if you get drunk?\No problem! I fall asleep whenever I get drunk.\No, that's not the issue.\Why don't you want to go home, Kirsi?\Aren't you happy about going back to your homeland?\I'm not going.\Why not? response:	I don't know.
context: You're on the job, you know. What are you going to do if you get drunk?\No problem! I fall asleep whenever I get drunk.\No, that's not the issue.\Why don't you want to go home, Kirsi?\Aren't you happy about going back to your homeland?\I'm not going.\Why not?\I don't know. response:	Kirsi, how do I say this...
context: No problem! I fall asleep whenever I get drunk.\No, that's not the issue.\Why don't you want to go home, Kirsi?\Aren't you happy about going back to your homeland?\I'm not going.\Why not?\I don't know.\Kirsi, how do I say this... response:	You're not the same person I once knew.
context: No, that's not the issue.\Why don't you want to go home, Kirsi?\Aren't you happy about going back to your homeland?\I'm not going.\Why not?\I don't know.\Kirsi, how do I say this...\You're not the same person I once knew. response:	I heard there were many people who became like you after a certain point in time.
context: Why don't you want to go home, Kirsi?\Aren't you happy about going back to your homeland?\I'm not going.\Why not?\I don't know.\Kirsi, how do I say this...\You're not the same person I once knew.\I heard there were many people who became like you after a certain point in time. response:	Your emotions seem unstable... Yes, you must be ill.
