context: That peddler said it was just behind that mountain pass. response:	More like three mountains.
context: That peddler said it was just behind that mountain pass.\More like three mountains. response:	Bro's picked up a weird habit too.
context: That peddler said it was just behind that mountain pass.\More like three mountains.\Bro's picked up a weird habit too. response:	Dororo, a horse.
context: That peddler said it was just behind that mountain pass.\More like three mountains.\Bro's picked up a weird habit too.\Dororo, a horse. response:	Yeah, we should've gotten one if it was going to be this far.
context: That peddler said it was just behind that mountain pass.\More like three mountains.\Bro's picked up a weird habit too.\Dororo, a horse.\Yeah, we should've gotten one if it was going to be this far. response:	I'm not walking any further even if that blacksmith isn't here.
context: That peddler said it was just behind that mountain pass.\More like three mountains.\Bro's picked up a weird habit too.\Dororo, a horse.\Yeah, we should've gotten one if it was going to be this far.\I'm not walking any further even if that blacksmith isn't here. response:	No, I need this.
context: That peddler said it was just behind that mountain pass.\More like three mountains.\Bro's picked up a weird habit too.\Dororo, a horse.\Yeah, we should've gotten one if it was going to be this far.\I'm not walking any further even if that blacksmith isn't here.\No, I need this. response:	If not here, we walk more.
context: That peddler said it was just behind that mountain pass.\More like three mountains.\Bro's picked up a weird habit too.\Dororo, a horse.\Yeah, we should've gotten one if it was going to be this far.\I'm not walking any further even if that blacksmith isn't here.\No, I need this.\If not here, we walk more. response:	I know, I didn't really mean that.
context: More like three mountains.\Bro's picked up a weird habit too.\Dororo, a horse.\Yeah, we should've gotten one if it was going to be this far.\I'm not walking any further even if that blacksmith isn't here.\No, I need this.\If not here, we walk more.\I know, I didn't really mean that. response:	Okay.
context: Bro's picked up a weird habit too.\Dororo, a horse.\Yeah, we should've gotten one if it was going to be this far.\I'm not walking any further even if that blacksmith isn't here.\No, I need this.\If not here, we walk more.\I know, I didn't really mean that.\Okay. response:	I think he said the swordmaker's name was Munetsuna.
context: Dororo, a horse.\Yeah, we should've gotten one if it was going to be this far.\I'm not walking any further even if that blacksmith isn't here.\No, I need this.\If not here, we walk more.\I know, I didn't really mean that.\Okay.\I think he said the swordmaker's name was Munetsuna. response:	All right, let's go bro.
context: Yeah, we should've gotten one if it was going to be this far.\I'm not walking any further even if that blacksmith isn't here.\No, I need this.\If not here, we walk more.\I know, I didn't really mean that.\Okay.\I think he said the swordmaker's name was Munetsuna.\All right, let's go bro. response:	Betrayed this world
