context: The All Magic Knights Thanksgiving Festa response:	It appeared as though humanity would be destroyed by the demons.
context: The All Magic Knights Thanksgiving Festa\It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: The All Magic Knights Thanksgiving Festa\It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: The All Magic Knights Thanksgiving Festa\It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Clover Kingdom Royal Capital
context: The All Magic Knights Thanksgiving Festa\It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital response:	Time has passed, and the title
context: The All Magic Knights Thanksgiving Festa\It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title response:	of the Wizard King has been passed down through generations.
context: The All Magic Knights Thanksgiving Festa\It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations. response:	The Wizard King commands the Magic Knights, and they protect the kingdom together.
context: The All Magic Knights Thanksgiving Festa\It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together. response:	The Magic Knights are comprised of nine squads of mages
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages response:	that specialize in combat, all under the command of the Wizard King.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King. response:	This band of heroes protects the kingdom with their lives.
context: He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives. response:	To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.
context: Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom. response:	And now,
context: Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\And now, response:	a passionate and intense battle between the Magic Knights Captains is about to begin!
