context: The Third Plate response:	One
context: The Third Plate\One response:	Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.
context: The Third Plate\One\Totsuki Teahouse Culinary Academy has produced numerous renowned chefs. response:	Totsuki
context: The Third Plate\One\Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.\Totsuki response:	There, a group of individuals who have been given unlimited privileges and funds exists.
context: The Third Plate\One\Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.\Totsuki\There, a group of individuals who have been given unlimited privileges and funds exists. response:	They are ten powerful figures who have no equal
context: The Third Plate\One\Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.\Totsuki\There, a group of individuals who have been given unlimited privileges and funds exists.\They are ten powerful figures who have no equal response:	the Totsuki Elite Ten Council!
context: The Third Plate\One\Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.\Totsuki\There, a group of individuals who have been given unlimited privileges and funds exists.\They are ten powerful figures who have no equal\the Totsuki Elite Ten Council! response:	Hey, Soma-kun.
context: The Third Plate\One\Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.\Totsuki\There, a group of individuals who have been given unlimited privileges and funds exists.\They are ten powerful figures who have no equal\the Totsuki Elite Ten Council!\Hey, Soma-kun. response:	Hey, Soma-kun!
context: One\Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.\Totsuki\There, a group of individuals who have been given unlimited privileges and funds exists.\They are ten powerful figures who have no equal\the Totsuki Elite Ten Council!\Hey, Soma-kun.\Hey, Soma-kun! response:	What's up, Tadokoro?
context: Totsuki Teahouse Culinary Academy has produced numerous renowned chefs.\Totsuki\There, a group of individuals who have been given unlimited privileges and funds exists.\They are ten powerful figures who have no equal\the Totsuki Elite Ten Council!\Hey, Soma-kun.\Hey, Soma-kun!\What's up, Tadokoro? response:	Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.
context: Totsuki\There, a group of individuals who have been given unlimited privileges and funds exists.\They are ten powerful figures who have no equal\the Totsuki Elite Ten Council!\Hey, Soma-kun.\Hey, Soma-kun!\What's up, Tadokoro?\Oh, um, I just think it's not safe to be lost in your thoughts when you're driving. response:	Oh, sorry.
context: There, a group of individuals who have been given unlimited privileges and funds exists.\They are ten powerful figures who have no equal\the Totsuki Elite Ten Council!\Hey, Soma-kun.\Hey, Soma-kun!\What's up, Tadokoro?\Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.\Oh, sorry. response:	You're right.
context: They are ten powerful figures who have no equal\the Totsuki Elite Ten Council!\Hey, Soma-kun.\Hey, Soma-kun!\What's up, Tadokoro?\Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.\Oh, sorry.\You're right. response:	I just got this scooter.
context: the Totsuki Elite Ten Council!\Hey, Soma-kun.\Hey, Soma-kun!\What's up, Tadokoro?\Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.\Oh, sorry.\You're right.\I just got this scooter. response:	It'd be sad if I got into an accident.
context: Hey, Soma-kun.\Hey, Soma-kun!\What's up, Tadokoro?\Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.\Oh, sorry.\You're right.\I just got this scooter.\It'd be sad if I got into an accident. response:	So were you thinking about the Elite Ten?
context: Hey, Soma-kun!\What's up, Tadokoro?\Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.\Oh, sorry.\You're right.\I just got this scooter.\It'd be sad if I got into an accident.\So were you thinking about the Elite Ten? response:	Yeah, I guess.
context: What's up, Tadokoro?\Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.\Oh, sorry.\You're right.\I just got this scooter.\It'd be sad if I got into an accident.\So were you thinking about the Elite Ten?\Yeah, I guess. response:	That's right.
context: Oh, um, I just think it's not safe to be lost in your thoughts when you're driving.\Oh, sorry.\You're right.\I just got this scooter.\It'd be sad if I got into an accident.\So were you thinking about the Elite Ten?\Yeah, I guess.\That's right. response:	Soma-kun, myself, and others who made it to the main Autumn Elections tournament
context: Oh, sorry.\You're right.\I just got this scooter.\It'd be sad if I got into an accident.\So were you thinking about the Elite Ten?\Yeah, I guess.\That's right.\Soma-kun, myself, and others who made it to the main Autumn Elections tournament response:	finally met them yesterday.
context: You're right.\I just got this scooter.\It'd be sad if I got into an accident.\So were you thinking about the Elite Ten?\Yeah, I guess.\That's right.\Soma-kun, myself, and others who made it to the main Autumn Elections tournament\finally met them yesterday. response:	Culinary virtuosos who stand above all others at the pinnacle of Totsuki
context: I just got this scooter.\It'd be sad if I got into an accident.\So were you thinking about the Elite Ten?\Yeah, I guess.\That's right.\Soma-kun, myself, and others who made it to the main Autumn Elections tournament\finally met them yesterday.\Culinary virtuosos who stand above all others at the pinnacle of Totsuki response:	the Totsuki Elite Ten!
context: It'd be sad if I got into an accident.\So were you thinking about the Elite Ten?\Yeah, I guess.\That's right.\Soma-kun, myself, and others who made it to the main Autumn Elections tournament\finally met them yesterday.\Culinary virtuosos who stand above all others at the pinnacle of Totsuki\the Totsuki Elite Ten! response:	The Totsuki Elite Ten have arrived.
context: So were you thinking about the Elite Ten?\Yeah, I guess.\That's right.\Soma-kun, myself, and others who made it to the main Autumn Elections tournament\finally met them yesterday.\Culinary virtuosos who stand above all others at the pinnacle of Totsuki\the Totsuki Elite Ten!\The Totsuki Elite Ten have arrived. response:	High School Division, 2nd Year
context: Yeah, I guess.\That's right.\Soma-kun, myself, and others who made it to the main Autumn Elections tournament\finally met them yesterday.\Culinary virtuosos who stand above all others at the pinnacle of Totsuki\the Totsuki Elite Ten!\The Totsuki Elite Ten have arrived.\High School Division, 2nd Year response:	High School Division, 2nd Year
context: That's right.\Soma-kun, myself, and others who made it to the main Autumn Elections tournament\finally met them yesterday.\Culinary virtuosos who stand above all others at the pinnacle of Totsuki\the Totsuki Elite Ten!\The Totsuki Elite Ten have arrived.\High School Division, 2nd Year\High School Division, 2nd Year response:	High School Division, 2nd Year
context: Soma-kun, myself, and others who made it to the main Autumn Elections tournament\finally met them yesterday.\Culinary virtuosos who stand above all others at the pinnacle of Totsuki\the Totsuki Elite Ten!\The Totsuki Elite Ten have arrived.\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year response:	High School Division, 2nd Year
context: finally met them yesterday.\Culinary virtuosos who stand above all others at the pinnacle of Totsuki\the Totsuki Elite Ten!\The Totsuki Elite Ten have arrived.\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year response:	High School Division, 3rd Year
context: Culinary virtuosos who stand above all others at the pinnacle of Totsuki\the Totsuki Elite Ten!\The Totsuki Elite Ten have arrived.\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 3rd Year response:	High School Division, 3rd Year
context: the Totsuki Elite Ten!\The Totsuki Elite Ten have arrived.\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 3rd Year\High School Division, 3rd Year response:	Momo
context: The Totsuki Elite Ten have arrived.\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 3rd Year\High School Division, 3rd Year\Momo response:	High School Division, 3rd Year
context: High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 3rd Year\High School Division, 3rd Year\Momo\High School Division, 3rd Year response:	The Third Seat
context: High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 3rd Year\High School Division, 3rd Year\Momo\High School Division, 3rd Year\The Third Seat response:	Megishima Tosuke
context: High School Division, 2nd Year\High School Division, 2nd Year\High School Division, 3rd Year\High School Division, 3rd Year\Momo\High School Division, 3rd Year\The Third Seat\Megishima Tosuke response:	High School Division, 3rd Year
context: High School Division, 2nd Year\High School Division, 3rd Year\High School Division, 3rd Year\Momo\High School Division, 3rd Year\The Third Seat\Megishima Tosuke\High School Division, 3rd Year response:	High School Division, 3rd Year
context: High School Division, 3rd Year\High School Division, 3rd Year\Momo\High School Division, 3rd Year\The Third Seat\Megishima Tosuke\High School Division, 3rd Year\High School Division, 3rd Year response:	Tsukasa
context: High School Division, 3rd Year\Momo\High School Division, 3rd Year\The Third Seat\Megishima Tosuke\High School Division, 3rd Year\High School Division, 3rd Year\Tsukasa response:	Eishi
context: Momo\High School Division, 3rd Year\The Third Seat\Megishima Tosuke\High School Division, 3rd Year\High School Division, 3rd Year\Tsukasa\Eishi response:	And of course Soma-kun went right up to the A-team of upperclassmen...
context: High School Division, 3rd Year\The Third Seat\Megishima Tosuke\High School Division, 3rd Year\High School Division, 3rd Year\Tsukasa\Eishi\And of course Soma-kun went right up to the A-team of upperclassmen... response:	I want to join the Elite Ten right now.
