context: You've got plenty blooming lately right in your own garden. response:	Oh, there's much more to it than being in full bloom.
context: You've got plenty blooming lately right in your own garden.\Oh, there's much more to it than being in full bloom. response:	When I was darkness at that time
context: You've got plenty blooming lately right in your own garden.\Oh, there's much more to it than being in full bloom.\When I was darkness at that time response:	With trembling lips
context: You've got plenty blooming lately right in your own garden.\Oh, there's much more to it than being in full bloom.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: You've got plenty blooming lately right in your own garden.\Oh, there's much more to it than being in full bloom.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: You've got plenty blooming lately right in your own garden.\Oh, there's much more to it than being in full bloom.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: You've got plenty blooming lately right in your own garden.\Oh, there's much more to it than being in full bloom.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: You've got plenty blooming lately right in your own garden.\Oh, there's much more to it than being in full bloom.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: Oh, there's much more to it than being in full bloom.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Tsumo!
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tsumo! response:	Six thousand all.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tsumo!\Six thousand all. response:	No way. Come on, give me a break.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tsumo!\Six thousand all.\No way. Come on, give me a break. response:	Wow, this guy's really strong. Though his attitude sucks.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tsumo!\Six thousand all.\No way. Come on, give me a break.\Wow, this guy's really strong. Though his attitude sucks. response:	Shit. At least no one can beat me in Shichi Narabe.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Tsumo!\Six thousand all.\No way. Come on, give me a break.\Wow, this guy's really strong. Though his attitude sucks.\Shit. At least no one can beat me in Shichi Narabe. response:	- Shichi Narabe? - It's popular now.
context: I'm a broken rose\I wanna need your love\Tsumo!\Six thousand all.\No way. Come on, give me a break.\Wow, this guy's really strong. Though his attitude sucks.\Shit. At least no one can beat me in Shichi Narabe.\- Shichi Narabe? - It's popular now. response:	Among our band members, that is.
context: I wanna need your love\Tsumo!\Six thousand all.\No way. Come on, give me a break.\Wow, this guy's really strong. Though his attitude sucks.\Shit. At least no one can beat me in Shichi Narabe.\- Shichi Narabe? - It's popular now.\Among our band members, that is. response:	Every night during the tour we play Shichi Narabe.
context: Tsumo!\Six thousand all.\No way. Come on, give me a break.\Wow, this guy's really strong. Though his attitude sucks.\Shit. At least no one can beat me in Shichi Narabe.\- Shichi Narabe? - It's popular now.\Among our band members, that is.\Every night during the tour we play Shichi Narabe. response:	It's Naoki's fault for bringing a pack of cards along.
context: Six thousand all.\No way. Come on, give me a break.\Wow, this guy's really strong. Though his attitude sucks.\Shit. At least no one can beat me in Shichi Narabe.\- Shichi Narabe? - It's popular now.\Among our band members, that is.\Every night during the tour we play Shichi Narabe.\It's Naoki's fault for bringing a pack of cards along. response:	This isn't some school field trip.
context: No way. Come on, give me a break.\Wow, this guy's really strong. Though his attitude sucks.\Shit. At least no one can beat me in Shichi Narabe.\- Shichi Narabe? - It's popular now.\Among our band members, that is.\Every night during the tour we play Shichi Narabe.\It's Naoki's fault for bringing a pack of cards along.\This isn't some school field trip. response:	Shichi Narabe?
context: Wow, this guy's really strong. Though his attitude sucks.\Shit. At least no one can beat me in Shichi Narabe.\- Shichi Narabe? - It's popular now.\Among our band members, that is.\Every night during the tour we play Shichi Narabe.\It's Naoki's fault for bringing a pack of cards along.\This isn't some school field trip.\Shichi Narabe? response:	The Trapnest members play this game every night?
context: Shit. At least no one can beat me in Shichi Narabe.\- Shichi Narabe? - It's popular now.\Among our band members, that is.\Every night during the tour we play Shichi Narabe.\It's Naoki's fault for bringing a pack of cards along.\This isn't some school field trip.\Shichi Narabe?\The Trapnest members play this game every night? response:	I'm beginning to think that Shichi Narabe is a really cool game.
context: - Shichi Narabe? - It's popular now.\Among our band members, that is.\Every night during the tour we play Shichi Narabe.\It's Naoki's fault for bringing a pack of cards along.\This isn't some school field trip.\Shichi Narabe?\The Trapnest members play this game every night?\I'm beginning to think that Shichi Narabe is a really cool game. response:	And a game Ren's excited about, saying he won't lose to anyone.
context: Among our band members, that is.\Every night during the tour we play Shichi Narabe.\It's Naoki's fault for bringing a pack of cards along.\This isn't some school field trip.\Shichi Narabe?\The Trapnest members play this game every night?\I'm beginning to think that Shichi Narabe is a really cool game.\And a game Ren's excited about, saying he won't lose to anyone. response:	Is it fun? That Shichi Narabe?
context: Every night during the tour we play Shichi Narabe.\It's Naoki's fault for bringing a pack of cards along.\This isn't some school field trip.\Shichi Narabe?\The Trapnest members play this game every night?\I'm beginning to think that Shichi Narabe is a really cool game.\And a game Ren's excited about, saying he won't lose to anyone.\Is it fun? That Shichi Narabe? response:	Huh? You don't know it?
context: It's Naoki's fault for bringing a pack of cards along.\This isn't some school field trip.\Shichi Narabe?\The Trapnest members play this game every night?\I'm beginning to think that Shichi Narabe is a really cool game.\And a game Ren's excited about, saying he won't lose to anyone.\Is it fun? That Shichi Narabe?\Huh? You don't know it? response:	How can you live life without running into Shichi Narabe at some point?
context: This isn't some school field trip.\Shichi Narabe?\The Trapnest members play this game every night?\I'm beginning to think that Shichi Narabe is a really cool game.\And a game Ren's excited about, saying he won't lose to anyone.\Is it fun? That Shichi Narabe?\Huh? You don't know it?\How can you live life without running into Shichi Narabe at some point? response:	I'd like to know too, Shin.
context: Shichi Narabe?\The Trapnest members play this game every night?\I'm beginning to think that Shichi Narabe is a really cool game.\And a game Ren's excited about, saying he won't lose to anyone.\Is it fun? That Shichi Narabe?\Huh? You don't know it?\How can you live life without running into Shichi Narabe at some point?\I'd like to know too, Shin. response:	So do I.
