context: Everyone, brace yourselves and listen well! response:	I have an extremely important announcement to make.
context: Everyone, brace yourselves and listen well!\I have an extremely important announcement to make. response:	What?
context: Everyone, brace yourselves and listen well!\I have an extremely important announcement to make.\What? response:	From the day after we return to the guild from Tenroujima...
context: Everyone, brace yourselves and listen well!\I have an extremely important announcement to make.\What?\From the day after we return to the guild from Tenroujima... response:	I'm gonna introduce a women's only dress code!
context: Everyone, brace yourselves and listen well!\I have an extremely important announcement to make.\What?\From the day after we return to the guild from Tenroujima...\I'm gonna introduce a women's only dress code! response:	You gotta choose between a nurse outfit or a school swimsuit!
context: Everyone, brace yourselves and listen well!\I have an extremely important announcement to make.\What?\From the day after we return to the guild from Tenroujima...\I'm gonna introduce a women's only dress code!\You gotta choose between a nurse outfit or a school swimsuit! response:	I ain't heard about this!
context: Everyone, brace yourselves and listen well!\I have an extremely important announcement to make.\What?\From the day after we return to the guild from Tenroujima...\I'm gonna introduce a women's only dress code!\You gotta choose between a nurse outfit or a school swimsuit!\I ain't heard about this! response:	I see. Sounds like fun.
context: Everyone, brace yourselves and listen well!\I have an extremely important announcement to make.\What?\From the day after we return to the guild from Tenroujima...\I'm gonna introduce a women's only dress code!\You gotta choose between a nurse outfit or a school swimsuit!\I ain't heard about this!\I see. Sounds like fun. response:	Don't encourage him!
context: I have an extremely important announcement to make.\What?\From the day after we return to the guild from Tenroujima...\I'm gonna introduce a women's only dress code!\You gotta choose between a nurse outfit or a school swimsuit!\I ain't heard about this!\I see. Sounds like fun.\Don't encourage him! response:	You're supposed to be mad about this!
context: What?\From the day after we return to the guild from Tenroujima...\I'm gonna introduce a women's only dress code!\You gotta choose between a nurse outfit or a school swimsuit!\I ain't heard about this!\I see. Sounds like fun.\Don't encourage him!\You're supposed to be mad about this! response:	Master... This is no time for jokes.
context: From the day after we return to the guild from Tenroujima...\I'm gonna introduce a women's only dress code!\You gotta choose between a nurse outfit or a school swimsuit!\I ain't heard about this!\I see. Sounds like fun.\Don't encourage him!\You're supposed to be mad about this!\Master... This is no time for jokes. response:	I'm sorry! I was just caught up...
context: I'm gonna introduce a women's only dress code!\You gotta choose between a nurse outfit or a school swimsuit!\I ain't heard about this!\I see. Sounds like fun.\Don't encourage him!\You're supposed to be mad about this!\Master... This is no time for jokes.\I'm sorry! I was just caught up... response:	Zeref...
context: You gotta choose between a nurse outfit or a school swimsuit!\I ain't heard about this!\I see. Sounds like fun.\Don't encourage him!\You're supposed to be mad about this!\Master... This is no time for jokes.\I'm sorry! I was just caught up...\Zeref... response:	The Right to Love.
context: I ain't heard about this!\I see. Sounds like fun.\Don't encourage him!\You're supposed to be mad about this!\Master... This is no time for jokes.\I'm sorry! I was just caught up...\Zeref...\The Right to Love. response:	The Zeref... is standing before my eyes...
context: I see. Sounds like fun.\Don't encourage him!\You're supposed to be mad about this!\Master... This is no time for jokes.\I'm sorry! I was just caught up...\Zeref...\The Right to Love.\The Zeref... is standing before my eyes... response:	Is this a dream? Or reality?
context: Don't encourage him!\You're supposed to be mad about this!\Master... This is no time for jokes.\I'm sorry! I was just caught up...\Zeref...\The Right to Love.\The Zeref... is standing before my eyes...\Is this a dream? Or reality? response:	The keys!
context: You're supposed to be mad about this!\Master... This is no time for jokes.\I'm sorry! I was just caught up...\Zeref...\The Right to Love.\The Zeref... is standing before my eyes...\Is this a dream? Or reality?\The keys! response:	Bring the keys!
context: Master... This is no time for jokes.\I'm sorry! I was just caught up...\Zeref...\The Right to Love.\The Zeref... is standing before my eyes...\Is this a dream? Or reality?\The keys!\Bring the keys! response:	We...
context: I'm sorry! I was just caught up...\Zeref...\The Right to Love.\The Zeref... is standing before my eyes...\Is this a dream? Or reality?\The keys!\Bring the keys!\We... response:	We can't move...
context: Zeref...\The Right to Love.\The Zeref... is standing before my eyes...\Is this a dream? Or reality?\The keys!\Bring the keys!\We...\We can't move... response:	There's no need.
context: The Right to Love.\The Zeref... is standing before my eyes...\Is this a dream? Or reality?\The keys!\Bring the keys!\We...\We can't move...\There's no need. response:	I am awake.
context: The Zeref... is standing before my eyes...\Is this a dream? Or reality?\The keys!\Bring the keys!\We...\We can't move...\There's no need.\I am awake. response:	Maybe I'm not one to talk,
context: Is this a dream? Or reality?\The keys!\Bring the keys!\We...\We can't move...\There's no need.\I am awake.\Maybe I'm not one to talk, response:	but how many lives did you take in order to get these keys?
context: The keys!\Bring the keys!\We...\We can't move...\There's no need.\I am awake.\Maybe I'm not one to talk,\but how many lives did you take in order to get these keys? response:	Such a tragedy.
context: Bring the keys!\We...\We can't move...\There's no need.\I am awake.\Maybe I'm not one to talk,\but how many lives did you take in order to get these keys?\Such a tragedy. response:	Those keys were nothing more than illusions.
context: We...\We can't move...\There's no need.\I am awake.\Maybe I'm not one to talk,\but how many lives did you take in order to get these keys?\Such a tragedy.\Those keys were nothing more than illusions. response:	W-What?!
context: We can't move...\There's no need.\I am awake.\Maybe I'm not one to talk,\but how many lives did you take in order to get these keys?\Such a tragedy.\Those keys were nothing more than illusions.\W-What?! response:	Just one of the stories made by a sect of the believers in the Black Wizard Zeref...
context: There's no need.\I am awake.\Maybe I'm not one to talk,\but how many lives did you take in order to get these keys?\Such a tragedy.\Those keys were nothing more than illusions.\W-What?!\Just one of the stories made by a sect of the believers in the Black Wizard Zeref... response:	The Keys To Resurrect Zeref.
context: I am awake.\Maybe I'm not one to talk,\but how many lives did you take in order to get these keys?\Such a tragedy.\Those keys were nothing more than illusions.\W-What?!\Just one of the stories made by a sect of the believers in the Black Wizard Zeref...\The Keys To Resurrect Zeref. response:	Were you fooled by that dusty old fairy tale?
context: Maybe I'm not one to talk,\but how many lives did you take in order to get these keys?\Such a tragedy.\Those keys were nothing more than illusions.\W-What?!\Just one of the stories made by a sect of the believers in the Black Wizard Zeref...\The Keys To Resurrect Zeref.\Were you fooled by that dusty old fairy tale? response:	I was never asleep in the first place.
context: but how many lives did you take in order to get these keys?\Such a tragedy.\Those keys were nothing more than illusions.\W-What?!\Just one of the stories made by a sect of the believers in the Black Wizard Zeref...\The Keys To Resurrect Zeref.\Were you fooled by that dusty old fairy tale?\I was never asleep in the first place. response:	The man you see before you is the Black Wizard Zeref.
context: Such a tragedy.\Those keys were nothing more than illusions.\W-What?!\Just one of the stories made by a sect of the believers in the Black Wizard Zeref...\The Keys To Resurrect Zeref.\Were you fooled by that dusty old fairy tale?\I was never asleep in the first place.\The man you see before you is the Black Wizard Zeref. response:	You were never asleep?!
context: Those keys were nothing more than illusions.\W-What?!\Just one of the stories made by a sect of the believers in the Black Wizard Zeref...\The Keys To Resurrect Zeref.\Were you fooled by that dusty old fairy tale?\I was never asleep in the first place.\The man you see before you is the Black Wizard Zeref.\You were never asleep?! response:	I used my eye and saw you!
context: W-What?!\Just one of the stories made by a sect of the believers in the Black Wizard Zeref...\The Keys To Resurrect Zeref.\Were you fooled by that dusty old fairy tale?\I was never asleep in the first place.\The man you see before you is the Black Wizard Zeref.\You were never asleep?!\I used my eye and saw you! response:	I saw you, not even able to defeat one of my servants!
context: Just one of the stories made by a sect of the believers in the Black Wizard Zeref...\The Keys To Resurrect Zeref.\Were you fooled by that dusty old fairy tale?\I was never asleep in the first place.\The man you see before you is the Black Wizard Zeref.\You were never asleep?!\I used my eye and saw you!\I saw you, not even able to defeat one of my servants! response:	Then I can skip to the chase.
context: The Keys To Resurrect Zeref.\Were you fooled by that dusty old fairy tale?\I was never asleep in the first place.\The man you see before you is the Black Wizard Zeref.\You were never asleep?!\I used my eye and saw you!\I saw you, not even able to defeat one of my servants!\Then I can skip to the chase. response:	That was what I was capable of...
