context: What was that? response:	They're after the Aurora!
context: What was that?\They're after the Aurora! response:	Wait, that ship...
context: What was that?\They're after the Aurora!\Wait, that ship... response:	Get a grip, everyone! We're under attack!
context: What was that?\They're after the Aurora!\Wait, that ship...\Get a grip, everyone! We're under attack! response:	Seal all bulkheads.
context: What was that?\They're after the Aurora!\Wait, that ship...\Get a grip, everyone! We're under attack!\Seal all bulkheads. response:	Prepare to submerge.
context: What was that?\They're after the Aurora!\Wait, that ship...\Get a grip, everyone! We're under attack!\Seal all bulkheads.\Prepare to submerge. response:	Roger.
context: What was that?\They're after the Aurora!\Wait, that ship...\Get a grip, everyone! We're under attack!\Seal all bulkheads.\Prepare to submerge.\Roger. response:	Stop!
context: What was that?\They're after the Aurora!\Wait, that ship...\Get a grip, everyone! We're under attack!\Seal all bulkheads.\Prepare to submerge.\Roger.\Stop! response:	They've stopped firing.
context: They're after the Aurora!\Wait, that ship...\Get a grip, everyone! We're under attack!\Seal all bulkheads.\Prepare to submerge.\Roger.\Stop!\They've stopped firing. response:	Ange, Vivian and another unit are engaging the enemy Para-mails.
context: Wait, that ship...\Get a grip, everyone! We're under attack!\Seal all bulkheads.\Prepare to submerge.\Roger.\Stop!\They've stopped firing.\Ange, Vivian and another unit are engaging the enemy Para-mails. response:	Maybe they're trying to protect us.
context: Get a grip, everyone! We're under attack!\Seal all bulkheads.\Prepare to submerge.\Roger.\Stop!\They've stopped firing.\Ange, Vivian and another unit are engaging the enemy Para-mails.\Maybe they're trying to protect us. response:	Do they even know who's fault this is? For crying out loud...
context: Seal all bulkheads.\Prepare to submerge.\Roger.\Stop!\They've stopped firing.\Ange, Vivian and another unit are engaging the enemy Para-mails.\Maybe they're trying to protect us.\Do they even know who's fault this is? For crying out loud... response:	Hurry, please, Aurora!
context: Prepare to submerge.\Roger.\Stop!\They've stopped firing.\Ange, Vivian and another unit are engaging the enemy Para-mails.\Maybe they're trying to protect us.\Do they even know who's fault this is? For crying out loud...\Hurry, please, Aurora! response:	Catch!
context: Roger.\Stop!\They've stopped firing.\Ange, Vivian and another unit are engaging the enemy Para-mails.\Maybe they're trying to protect us.\Do they even know who's fault this is? For crying out loud...\Hurry, please, Aurora!\Catch! response:	Get out of my way.
context: Stop!\They've stopped firing.\Ange, Vivian and another unit are engaging the enemy Para-mails.\Maybe they're trying to protect us.\Do they even know who's fault this is? For crying out loud...\Hurry, please, Aurora!\Catch!\Get out of my way. response:	Whoa! Danger!
context: They've stopped firing.\Ange, Vivian and another unit are engaging the enemy Para-mails.\Maybe they're trying to protect us.\Do they even know who's fault this is? For crying out loud...\Hurry, please, Aurora!\Catch!\Get out of my way.\Whoa! Danger! response:	Go, Bunbunmaru!
context: Ange, Vivian and another unit are engaging the enemy Para-mails.\Maybe they're trying to protect us.\Do they even know who's fault this is? For crying out loud...\Hurry, please, Aurora!\Catch!\Get out of my way.\Whoa! Danger!\Go, Bunbunmaru! response:	Bad girl, Vivi-chan.
context: Maybe they're trying to protect us.\Do they even know who's fault this is? For crying out loud...\Hurry, please, Aurora!\Catch!\Get out of my way.\Whoa! Danger!\Go, Bunbunmaru!\Bad girl, Vivi-chan. response:	Momoka!
context: Do they even know who's fault this is? For crying out loud...\Hurry, please, Aurora!\Catch!\Get out of my way.\Whoa! Danger!\Go, Bunbunmaru!\Bad girl, Vivi-chan.\Momoka! response:	Light of Mana!
context: Hurry, please, Aurora!\Catch!\Get out of my way.\Whoa! Danger!\Go, Bunbunmaru!\Bad girl, Vivi-chan.\Momoka!\Light of Mana! response:	Light of Mana!
context: Catch!\Get out of my way.\Whoa! Danger!\Go, Bunbunmaru!\Bad girl, Vivi-chan.\Momoka!\Light of Mana!\Light of Mana! response:	Light of Mana!
context: Get out of my way.\Whoa! Danger!\Go, Bunbunmaru!\Bad girl, Vivi-chan.\Momoka!\Light of Mana!\Light of Mana!\Light of Mana! response:	All bulkheads sealed.
context: Whoa! Danger!\Go, Bunbunmaru!\Bad girl, Vivi-chan.\Momoka!\Light of Mana!\Light of Mana!\Light of Mana!\All bulkheads sealed. response:	Aurora submerged. Full speed ahead.
context: Go, Bunbunmaru!\Bad girl, Vivi-chan.\Momoka!\Light of Mana!\Light of Mana!\Light of Mana!\All bulkheads sealed.\Aurora submerged. Full speed ahead. response:	That's far enough.
context: Bad girl, Vivi-chan.\Momoka!\Light of Mana!\Light of Mana!\Light of Mana!\All bulkheads sealed.\Aurora submerged. Full speed ahead.\That's far enough. response:	Why are you doing this?
context: Momoka!\Light of Mana!\Light of Mana!\Light of Mana!\All bulkheads sealed.\Aurora submerged. Full speed ahead.\That's far enough.\Why are you doing this? response:	Aren't your friends on that ship?
