context: Do you believe in the urban legend? response:	You can retrieve what you once lost inside the gate.
context: Do you believe in the urban legend?\You can retrieve what you once lost inside the gate. response:	However, it comes at a substantial price.
context: Do you believe in the urban legend?\You can retrieve what you once lost inside the gate.\However, it comes at a substantial price. response:	I wonder what that price is.
context: Do you believe in the urban legend?\You can retrieve what you once lost inside the gate.\However, it comes at a substantial price.\I wonder what that price is. response:	Who knows?
context: Do you believe in the urban legend?\You can retrieve what you once lost inside the gate.\However, it comes at a substantial price.\I wonder what that price is.\Who knows? response:	You don't believe me, do you?
context: Do you believe in the urban legend?\You can retrieve what you once lost inside the gate.\However, it comes at a substantial price.\I wonder what that price is.\Who knows?\You don't believe me, do you? response:	To tell you the truth, neither do I.
context: Do you believe in the urban legend?\You can retrieve what you once lost inside the gate.\However, it comes at a substantial price.\I wonder what that price is.\Who knows?\You don't believe me, do you?\To tell you the truth, neither do I. response:	I'm Corinna Moku, a third-year student at Beijing University.
context: Do you believe in the urban legend?\You can retrieve what you once lost inside the gate.\However, it comes at a substantial price.\I wonder what that price is.\Who knows?\You don't believe me, do you?\To tell you the truth, neither do I.\I'm Corinna Moku, a third-year student at Beijing University. response:	I'm Li Shun Sheng.
context: You can retrieve what you once lost inside the gate.\However, it comes at a substantial price.\I wonder what that price is.\Who knows?\You don't believe me, do you?\To tell you the truth, neither do I.\I'm Corinna Moku, a third-year student at Beijing University.\I'm Li Shun Sheng. response:	Nice to meet you.
context: However, it comes at a substantial price.\I wonder what that price is.\Who knows?\You don't believe me, do you?\To tell you the truth, neither do I.\I'm Corinna Moku, a third-year student at Beijing University.\I'm Li Shun Sheng.\Nice to meet you. response:	It's larger than I thought.
context: I wonder what that price is.\Who knows?\You don't believe me, do you?\To tell you the truth, neither do I.\I'm Corinna Moku, a third-year student at Beijing University.\I'm Li Shun Sheng.\Nice to meet you.\It's larger than I thought. response:	Infiltrate PANDORA's research facility.
context: Who knows?\You don't believe me, do you?\To tell you the truth, neither do I.\I'm Corinna Moku, a third-year student at Beijing University.\I'm Li Shun Sheng.\Nice to meet you.\It's larger than I thought.\Infiltrate PANDORA's research facility. response:	Are you serious?
context: You don't believe me, do you?\To tell you the truth, neither do I.\I'm Corinna Moku, a third-year student at Beijing University.\I'm Li Shun Sheng.\Nice to meet you.\It's larger than I thought.\Infiltrate PANDORA's research facility.\Are you serious? response:	It's right by the gate.
context: To tell you the truth, neither do I.\I'm Corinna Moku, a third-year student at Beijing University.\I'm Li Shun Sheng.\Nice to meet you.\It's larger than I thought.\Infiltrate PANDORA's research facility.\Are you serious?\It's right by the gate. response:	If a contractor goes near a hot spot, he might lose control.
context: I'm Corinna Moku, a third-year student at Beijing University.\I'm Li Shun Sheng.\Nice to meet you.\It's larger than I thought.\Infiltrate PANDORA's research facility.\Are you serious?\It's right by the gate.\If a contractor goes near a hot spot, he might lose control. response:	Maybe.
context: I'm Li Shun Sheng.\Nice to meet you.\It's larger than I thought.\Infiltrate PANDORA's research facility.\Are you serious?\It's right by the gate.\If a contractor goes near a hot spot, he might lose control.\Maybe. response:	Besides, I don't think he'll be able to pass the initial security check.
context: Nice to meet you.\It's larger than I thought.\Infiltrate PANDORA's research facility.\Are you serious?\It's right by the gate.\If a contractor goes near a hot spot, he might lose control.\Maybe.\Besides, I don't think he'll be able to pass the initial security check. response:	That might be true, but the syndicate is serious.
context: It's larger than I thought.\Infiltrate PANDORA's research facility.\Are you serious?\It's right by the gate.\If a contractor goes near a hot spot, he might lose control.\Maybe.\Besides, I don't think he'll be able to pass the initial security check.\That might be true, but the syndicate is serious. response:	What do they want me to do?
context: Infiltrate PANDORA's research facility.\Are you serious?\It's right by the gate.\If a contractor goes near a hot spot, he might lose control.\Maybe.\Besides, I don't think he'll be able to pass the initial security check.\That might be true, but the syndicate is serious.\What do they want me to do? response:	Retrieval.
context: Are you serious?\It's right by the gate.\If a contractor goes near a hot spot, he might lose control.\Maybe.\Besides, I don't think he'll be able to pass the initial security check.\That might be true, but the syndicate is serious.\What do they want me to do?\Retrieval. response:	Retrieval?
context: It's right by the gate.\If a contractor goes near a hot spot, he might lose control.\Maybe.\Besides, I don't think he'll be able to pass the initial security check.\That might be true, but the syndicate is serious.\What do they want me to do?\Retrieval.\Retrieval? response:	Two weeks ago, there was an incident involving an explosion at the research facility.
context: If a contractor goes near a hot spot, he might lose control.\Maybe.\Besides, I don't think he'll be able to pass the initial security check.\That might be true, but the syndicate is serious.\What do they want me to do?\Retrieval.\Retrieval?\Two weeks ago, there was an incident involving an explosion at the research facility. response:	Two security guards were killed.
context: Maybe.\Besides, I don't think he'll be able to pass the initial security check.\That might be true, but the syndicate is serious.\What do they want me to do?\Retrieval.\Retrieval?\Two weeks ago, there was an incident involving an explosion at the research facility.\Two security guards were killed. response:	PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.
context: Besides, I don't think he'll be able to pass the initial security check.\That might be true, but the syndicate is serious.\What do they want me to do?\Retrieval.\Retrieval?\Two weeks ago, there was an incident involving an explosion at the research facility.\Two security guards were killed.\PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring. response:	A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered
context: That might be true, but the syndicate is serious.\What do they want me to do?\Retrieval.\Retrieval?\Two weeks ago, there was an incident involving an explosion at the research facility.\Two security guards were killed.\PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.\A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered response:	in order to steal the gate-proprietary substance referred to as the meteor fragment.
context: What do they want me to do?\Retrieval.\Retrieval?\Two weeks ago, there was an incident involving an explosion at the research facility.\Two security guards were killed.\PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.\A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered\in order to steal the gate-proprietary substance referred to as the meteor fragment. response:	It still hasn't been transported outside of the wall, has it?
context: Retrieval.\Retrieval?\Two weeks ago, there was an incident involving an explosion at the research facility.\Two security guards were killed.\PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.\A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered\in order to steal the gate-proprietary substance referred to as the meteor fragment.\It still hasn't been transported outside of the wall, has it? response:	That's how the syndicate sees the situation.
context: Retrieval?\Two weeks ago, there was an incident involving an explosion at the research facility.\Two security guards were killed.\PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.\A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered\in order to steal the gate-proprietary substance referred to as the meteor fragment.\It still hasn't been transported outside of the wall, has it?\That's how the syndicate sees the situation. response:	What's to be done after the retrieval?
context: Two weeks ago, there was an incident involving an explosion at the research facility.\Two security guards were killed.\PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.\A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered\in order to steal the gate-proprietary substance referred to as the meteor fragment.\It still hasn't been transported outside of the wall, has it?\That's how the syndicate sees the situation.\What's to be done after the retrieval? response:	You're to transport it out of the gate in their place.
context: Two security guards were killed.\PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.\A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered\in order to steal the gate-proprietary substance referred to as the meteor fragment.\It still hasn't been transported outside of the wall, has it?\That's how the syndicate sees the situation.\What's to be done after the retrieval?\You're to transport it out of the gate in their place. response:	Don't worry.
context: PANDORA, responsible for the investigation, concluded that it was a structural accident caused by faulty wiring.\A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered\in order to steal the gate-proprietary substance referred to as the meteor fragment.\It still hasn't been transported outside of the wall, has it?\That's how the syndicate sees the situation.\What's to be done after the retrieval?\You're to transport it out of the gate in their place.\Don't worry. response:	Just do as you're told.
context: A few days ago, a covert CIA agent discovered that the explosion was intentionally triggered\in order to steal the gate-proprietary substance referred to as the meteor fragment.\It still hasn't been transported outside of the wall, has it?\That's how the syndicate sees the situation.\What's to be done after the retrieval?\You're to transport it out of the gate in their place.\Don't worry.\Just do as you're told. response:	It's just business as usual.
context: in order to steal the gate-proprietary substance referred to as the meteor fragment.\It still hasn't been transported outside of the wall, has it?\That's how the syndicate sees the situation.\What's to be done after the retrieval?\You're to transport it out of the gate in their place.\Don't worry.\Just do as you're told.\It's just business as usual. response:	Do you consider yourself a patient person?
