context: Signs response:	Opening 1st Frame
context: Signs\Opening 1st Frame response:	Ending
context: Signs\Opening 1st Frame\Ending response:	The Recon Corps left to find a route to Shiganshina,
context: Signs\Opening 1st Frame\Ending\The Recon Corps left to find a route to Shiganshina, response:	but instead they encountered a cunning female-form Titan.
context: Signs\Opening 1st Frame\Ending\The Recon Corps left to find a route to Shiganshina,\but instead they encountered a cunning female-form Titan. response:	As soldiers died one after another,
context: Signs\Opening 1st Frame\Ending\The Recon Corps left to find a route to Shiganshina,\but instead they encountered a cunning female-form Titan.\As soldiers died one after another, response:	the column headed into a nearby forest of giant trees,
context: Signs\Opening 1st Frame\Ending\The Recon Corps left to find a route to Shiganshina,\but instead they encountered a cunning female-form Titan.\As soldiers died one after another,\the column headed into a nearby forest of giant trees, response:	though none of the troops knew the reason.
context: Signs\Opening 1st Frame\Ending\The Recon Corps left to find a route to Shiganshina,\but instead they encountered a cunning female-form Titan.\As soldiers died one after another,\the column headed into a nearby forest of giant trees,\though none of the troops knew the reason. response:	If the Levi Squad doesn't stop it, who else will?
context: Opening 1st Frame\Ending\The Recon Corps left to find a route to Shiganshina,\but instead they encountered a cunning female-form Titan.\As soldiers died one after another,\the column headed into a nearby forest of giant trees,\though none of the troops knew the reason.\If the Levi Squad doesn't stop it, who else will? response:	Another fatality!
context: Ending\The Recon Corps left to find a route to Shiganshina,\but instead they encountered a cunning female-form Titan.\As soldiers died one after another,\the column headed into a nearby forest of giant trees,\though none of the troops knew the reason.\If the Levi Squad doesn't stop it, who else will?\Another fatality! response:	We might've been able to save him!
context: The Recon Corps left to find a route to Shiganshina,\but instead they encountered a cunning female-form Titan.\As soldiers died one after another,\the column headed into a nearby forest of giant trees,\though none of the troops knew the reason.\If the Levi Squad doesn't stop it, who else will?\Another fatality!\We might've been able to save him! response:	Decide.
context: but instead they encountered a cunning female-form Titan.\As soldiers died one after another,\the column headed into a nearby forest of giant trees,\though none of the troops knew the reason.\If the Levi Squad doesn't stop it, who else will?\Another fatality!\We might've been able to save him!\Decide. response:	Will you trust only in your own strength?
context: As soldiers died one after another,\the column headed into a nearby forest of giant trees,\though none of the troops knew the reason.\If the Levi Squad doesn't stop it, who else will?\Another fatality!\We might've been able to save him!\Decide.\Will you trust only in your own strength? response:	Or will you put your faith in the Recon Corps, including myself?
