context: A Village Out in the Boonies: Hage response:	Here we go again...
context: A Village Out in the Boonies: Hage\Here we go again... response:	There, there...
context: A Village Out in the Boonies: Hage\Here we go again...\There, there... response:	There you are.
context: A Village Out in the Boonies: Hage\Here we go again...\There, there...\There you are. response:	Those two finally calmed down.
context: A Village Out in the Boonies: Hage\Here we go again...\There, there...\There you are.\Those two finally calmed down. response:	Are they brothers... or perhaps twins?
context: A Village Out in the Boonies: Hage\Here we go again...\There, there...\There you are.\Those two finally calmed down.\Are they brothers... or perhaps twins? response:	No, they're not.
context: A Village Out in the Boonies: Hage\Here we go again...\There, there...\There you are.\Those two finally calmed down.\Are they brothers... or perhaps twins?\No, they're not. response:	This one is rather calm, but this one...
context: A Village Out in the Boonies: Hage\Here we go again...\There, there...\There you are.\Those two finally calmed down.\Are they brothers... or perhaps twins?\No, they're not.\This one is rather calm, but this one... response:	seems like he has a lot of spunk.
context: Here we go again...\There, there...\There you are.\Those two finally calmed down.\Are they brothers... or perhaps twins?\No, they're not.\This one is rather calm, but this one...\seems like he has a lot of spunk. response:	First of all, they don't look a thing alike.
context: There, there...\There you are.\Those two finally calmed down.\Are they brothers... or perhaps twins?\No, they're not.\This one is rather calm, but this one...\seems like he has a lot of spunk.\First of all, they don't look a thing alike. response:	Hm? Yuno...
context: There you are.\Those two finally calmed down.\Are they brothers... or perhaps twins?\No, they're not.\This one is rather calm, but this one...\seems like he has a lot of spunk.\First of all, they don't look a thing alike.\Hm? Yuno... response:	Let's see. And the spunky one over here is
context: Those two finally calmed down.\Are they brothers... or perhaps twins?\No, they're not.\This one is rather calm, but this one...\seems like he has a lot of spunk.\First of all, they don't look a thing alike.\Hm? Yuno...\Let's see. And the spunky one over here is response:	Hey! You're a bit too spunky...
context: Are they brothers... or perhaps twins?\No, they're not.\This one is rather calm, but this one...\seems like he has a lot of spunk.\First of all, they don't look a thing alike.\Hm? Yuno...\Let's see. And the spunky one over here is\Hey! You're a bit too spunky... response:	Asta, eh?
context: No, they're not.\This one is rather calm, but this one...\seems like he has a lot of spunk.\First of all, they don't look a thing alike.\Hm? Yuno...\Let's see. And the spunky one over here is\Hey! You're a bit too spunky...\Asta, eh? response:	Right! You two don't need to worry about a thing anymore.
context: This one is rather calm, but this one...\seems like he has a lot of spunk.\First of all, they don't look a thing alike.\Hm? Yuno...\Let's see. And the spunky one over here is\Hey! You're a bit too spunky...\Asta, eh?\Right! You two don't need to worry about a thing anymore. response:	Starting today, this is your new home...
context: seems like he has a lot of spunk.\First of all, they don't look a thing alike.\Hm? Yuno...\Let's see. And the spunky one over here is\Hey! You're a bit too spunky...\Asta, eh?\Right! You two don't need to worry about a thing anymore.\Starting today, this is your new home... response:	Asta, Yuno.
context: First of all, they don't look a thing alike.\Hm? Yuno...\Let's see. And the spunky one over here is\Hey! You're a bit too spunky...\Asta, eh?\Right! You two don't need to worry about a thing anymore.\Starting today, this is your new home...\Asta, Yuno. response:	15 Years Later
context: Hm? Yuno...\Let's see. And the spunky one over here is\Hey! You're a bit too spunky...\Asta, eh?\Right! You two don't need to worry about a thing anymore.\Starting today, this is your new home...\Asta, Yuno.\15 Years Later response:	Hopefully, we'll have a great harvest this year.
context: Let's see. And the spunky one over here is\Hey! You're a bit too spunky...\Asta, eh?\Right! You two don't need to worry about a thing anymore.\Starting today, this is your new home...\Asta, Yuno.\15 Years Later\Hopefully, we'll have a great harvest this year. response:	Yeah.
context: Hey! You're a bit too spunky...\Asta, eh?\Right! You two don't need to worry about a thing anymore.\Starting today, this is your new home...\Asta, Yuno.\15 Years Later\Hopefully, we'll have a great harvest this year.\Yeah. response:	Hup.
context: Asta, eh?\Right! You two don't need to worry about a thing anymore.\Starting today, this is your new home...\Asta, Yuno.\15 Years Later\Hopefully, we'll have a great harvest this year.\Yeah.\Hup. response:	Sister Lily!
context: Right! You two don't need to worry about a thing anymore.\Starting today, this is your new home...\Asta, Yuno.\15 Years Later\Hopefully, we'll have a great harvest this year.\Yeah.\Hup.\Sister Lily! response:	What the...
context: Starting today, this is your new home...\Asta, Yuno.\15 Years Later\Hopefully, we'll have a great harvest this year.\Yeah.\Hup.\Sister Lily!\What the... response:	Must be that runt from the church again.
context: Asta, Yuno.\15 Years Later\Hopefully, we'll have a great harvest this year.\Yeah.\Hup.\Sister Lily!\What the...\Must be that runt from the church again. response:	I'll become the Wizard King someday and make you happy!
context: 15 Years Later\Hopefully, we'll have a great harvest this year.\Yeah.\Hup.\Sister Lily!\What the...\Must be that runt from the church again.\I'll become the Wizard King someday and make you happy! response:	So please marry me!
context: Hopefully, we'll have a great harvest this year.\Yeah.\Hup.\Sister Lily!\What the...\Must be that runt from the church again.\I'll become the Wizard King someday and make you happy!\So please marry me! response:	I'm sorry, Asta, but I'm everyone's sister.
context: Yeah.\Hup.\Sister Lily!\What the...\Must be that runt from the church again.\I'll become the Wizard King someday and make you happy!\So please marry me!\I'm sorry, Asta, but I'm everyone's sister. response:	Not yet!
context: Hup.\Sister Lily!\What the...\Must be that runt from the church again.\I'll become the Wizard King someday and make you happy!\So please marry me!\I'm sorry, Asta, but I'm everyone's sister.\Not yet! response:	Um... I'm sorry.
context: Sister Lily!\What the...\Must be that runt from the church again.\I'll become the Wizard King someday and make you happy!\So please marry me!\I'm sorry, Asta, but I'm everyone's sister.\Not yet!\Um... I'm sorry. response:	I'm not giving up yet!
context: What the...\Must be that runt from the church again.\I'll become the Wizard King someday and make you happy!\So please marry me!\I'm sorry, Asta, but I'm everyone's sister.\Not yet!\Um... I'm sorry.\I'm not giving up yet! response:	Er, um... But...
context: Must be that runt from the church again.\I'll become the Wizard King someday and make you happy!\So please marry me!\I'm sorry, Asta, but I'm everyone's sister.\Not yet!\Um... I'm sorry.\I'm not giving up yet!\Er, um... But... response:	I'm not giving up!
context: I'll become the Wizard King someday and make you happy!\So please marry me!\I'm sorry, Asta, but I'm everyone's sister.\Not yet!\Um... I'm sorry.\I'm not giving up yet!\Er, um... But...\I'm not giving up! response:	I'm really sorry!
context: So please marry me!\I'm sorry, Asta, but I'm everyone's sister.\Not yet!\Um... I'm sorry.\I'm not giving up yet!\Er, um... But...\I'm not giving up!\I'm really sorry! response:	One more time, Sister Lily!
context: I'm sorry, Asta, but I'm everyone's sister.\Not yet!\Um... I'm sorry.\I'm not giving up yet!\Er, um... But...\I'm not giving up!\I'm really sorry!\One more time, Sister Lily! response:	Stop pestering me!
context: Not yet!\Um... I'm sorry.\I'm not giving up yet!\Er, um... But...\I'm not giving up!\I'm really sorry!\One more time, Sister Lily!\Stop pestering me! response:	Water Creation Magic: Holy Fist of Love!
context: Um... I'm sorry.\I'm not giving up yet!\Er, um... But...\I'm not giving up!\I'm really sorry!\One more time, Sister Lily!\Stop pestering me!\Water Creation Magic: Holy Fist of Love! response:	I-I'm sorry, Asta.
context: I'm not giving up yet!\Er, um... But...\I'm not giving up!\I'm really sorry!\One more time, Sister Lily!\Stop pestering me!\Water Creation Magic: Holy Fist of Love!\I-I'm sorry, Asta. response:	I used magic from my grimoire without thinking...
context: Er, um... But...\I'm not giving up!\I'm really sorry!\One more time, Sister Lily!\Stop pestering me!\Water Creation Magic: Holy Fist of Love!\I-I'm sorry, Asta.\I used magic from my grimoire without thinking... response:	Well done, sister.
context: I'm not giving up!\I'm really sorry!\One more time, Sister Lily!\Stop pestering me!\Water Creation Magic: Holy Fist of Love!\I-I'm sorry, Asta.\I used magic from my grimoire without thinking...\Well done, sister. response:	No mercy whatsoever.
context: I'm really sorry!\One more time, Sister Lily!\Stop pestering me!\Water Creation Magic: Holy Fist of Love!\I-I'm sorry, Asta.\I used magic from my grimoire without thinking...\Well done, sister.\No mercy whatsoever. response:	I-I... It just happened..
context: One more time, Sister Lily!\Stop pestering me!\Water Creation Magic: Holy Fist of Love!\I-I'm sorry, Asta.\I used magic from my grimoire without thinking...\Well done, sister.\No mercy whatsoever.\I-I... It just happened.. response:	I'm not done yet!
context: Stop pestering me!\Water Creation Magic: Holy Fist of Love!\I-I'm sorry, Asta.\I used magic from my grimoire without thinking...\Well done, sister.\No mercy whatsoever.\I-I... It just happened..\I'm not done yet! response:	Sheesh.
