context: Is that... response:	Could that be...
context: Is that...\Could that be... response:	The Skytree?!
context: Is that...\Could that be...\The Skytree?! response:	No, that's just a transmission tower.
context: Is that...\Could that be...\The Skytree?!\No, that's just a transmission tower. response:	Samurai of the East
context: Is that...\Could that be...\The Skytree?!\No, that's just a transmission tower.\Samurai of the East response:	Nekoma Metropolitan High School
context: Is that...\Could that be...\The Skytree?!\No, that's just a transmission tower.\Samurai of the East\Nekoma Metropolitan High School response:	Here we are, Tokyo!
context: Is that...\Could that be...\The Skytree?!\No, that's just a transmission tower.\Samurai of the East\Nekoma Metropolitan High School\Here we are, Tokyo! response:	The scenery's not that different from Miyagi.
context: Is that...\Could that be...\The Skytree?!\No, that's just a transmission tower.\Samurai of the East\Nekoma Metropolitan High School\Here we are, Tokyo!\The scenery's not that different from Miyagi. response:	Well, we're in the suburbs.
context: Could that be...\The Skytree?!\No, that's just a transmission tower.\Samurai of the East\Nekoma Metropolitan High School\Here we are, Tokyo!\The scenery's not that different from Miyagi.\Well, we're in the suburbs. response:	Walk faster!
context: The Skytree?!\No, that's just a transmission tower.\Samurai of the East\Nekoma Metropolitan High School\Here we are, Tokyo!\The scenery's not that different from Miyagi.\Well, we're in the suburbs.\Walk faster! response:	Actually, hey...
context: No, that's just a transmission tower.\Samurai of the East\Nekoma Metropolitan High School\Here we are, Tokyo!\The scenery's not that different from Miyagi.\Well, we're in the suburbs.\Walk faster!\Actually, hey... response:	Aren't we missing some people?
context: Samurai of the East\Nekoma Metropolitan High School\Here we are, Tokyo!\The scenery's not that different from Miyagi.\Well, we're in the suburbs.\Walk faster!\Actually, hey...\Aren't we missing some people? response:	Actually...
context: Nekoma Metropolitan High School\Here we are, Tokyo!\The scenery's not that different from Miyagi.\Well, we're in the suburbs.\Walk faster!\Actually, hey...\Aren't we missing some people?\Actually... response:	This is how awesome...
context: Here we are, Tokyo!\The scenery's not that different from Miyagi.\Well, we're in the suburbs.\Walk faster!\Actually, hey...\Aren't we missing some people?\Actually...\This is how awesome... response:	You both barely got over 40 points...
context: The scenery's not that different from Miyagi.\Well, we're in the suburbs.\Walk faster!\Actually, hey...\Aren't we missing some people?\Actually...\This is how awesome...\You both barely got over 40 points... response:	What? Hinata, you failed English?
context: Well, we're in the suburbs.\Walk faster!\Actually, hey...\Aren't we missing some people?\Actually...\This is how awesome...\You both barely got over 40 points...\What? Hinata, you failed English? response:	But you were so confident...
context: Walk faster!\Actually, hey...\Aren't we missing some people?\Actually...\This is how awesome...\You both barely got over 40 points...\What? Hinata, you failed English?\But you were so confident... response:	Apparently, he figured out right before time was up
context: Actually, hey...\Aren't we missing some people?\Actually...\This is how awesome...\You both barely got over 40 points...\What? Hinata, you failed English?\But you were so confident...\Apparently, he figured out right before time was up response:	that he'd filled in all his answers off by one.
context: Aren't we missing some people?\Actually...\This is how awesome...\You both barely got over 40 points...\What? Hinata, you failed English?\But you were so confident...\Apparently, he figured out right before time was up\that he'd filled in all his answers off by one. response:	Seriously?
context: Actually...\This is how awesome...\You both barely got over 40 points...\What? Hinata, you failed English?\But you were so confident...\Apparently, he figured out right before time was up\that he'd filled in all his answers off by one.\Seriously? response:	Sadly, the English teacher, Ono-sensei, won't let things like that slide.
context: This is how awesome...\You both barely got over 40 points...\What? Hinata, you failed English?\But you were so confident...\Apparently, he figured out right before time was up\that he'd filled in all his answers off by one.\Seriously?\Sadly, the English teacher, Ono-sensei, won't let things like that slide. response:	Yeah, Yachi-san was really shocked.
context: You both barely got over 40 points...\What? Hinata, you failed English?\But you were so confident...\Apparently, he figured out right before time was up\that he'd filled in all his answers off by one.\Seriously?\Sadly, the English teacher, Ono-sensei, won't let things like that slide.\Yeah, Yachi-san was really shocked. response:	They're right... They're right!
context: What? Hinata, you failed English?\But you were so confident...\Apparently, he figured out right before time was up\that he'd filled in all his answers off by one.\Seriously?\Sadly, the English teacher, Ono-sensei, won't let things like that slide.\Yeah, Yachi-san was really shocked.\They're right... They're right! response:	And Kageyama failed modern lit...
context: But you were so confident...\Apparently, he figured out right before time was up\that he'd filled in all his answers off by one.\Seriously?\Sadly, the English teacher, Ono-sensei, won't let things like that slide.\Yeah, Yachi-san was really shocked.\They're right... They're right!\And Kageyama failed modern lit... response:	Apparently, there were a lot of reading comprehension questions this time around.
context: Apparently, he figured out right before time was up\that he'd filled in all his answers off by one.\Seriously?\Sadly, the English teacher, Ono-sensei, won't let things like that slide.\Yeah, Yachi-san was really shocked.\They're right... They're right!\And Kageyama failed modern lit...\Apparently, there were a lot of reading comprehension questions this time around. response:	But he'd concentrated on memorization when he studied.
context: that he'd filled in all his answers off by one.\Seriously?\Sadly, the English teacher, Ono-sensei, won't let things like that slide.\Yeah, Yachi-san was really shocked.\They're right... They're right!\And Kageyama failed modern lit...\Apparently, there were a lot of reading comprehension questions this time around.\But he'd concentrated on memorization when he studied. response:	Wow, he got a perfect score on kanji. Dang...
context: Seriously?\Sadly, the English teacher, Ono-sensei, won't let things like that slide.\Yeah, Yachi-san was really shocked.\They're right... They're right!\And Kageyama failed modern lit...\Apparently, there were a lot of reading comprehension questions this time around.\But he'd concentrated on memorization when he studied.\Wow, he got a perfect score on kanji. Dang... response:	Well, don't be too discouraged.
context: Sadly, the English teacher, Ono-sensei, won't let things like that slide.\Yeah, Yachi-san was really shocked.\They're right... They're right!\And Kageyama failed modern lit...\Apparently, there were a lot of reading comprehension questions this time around.\But he'd concentrated on memorization when he studied.\Wow, he got a perfect score on kanji. Dang...\Well, don't be too discouraged. response:	This won't be the only time we have away games...
context: Yeah, Yachi-san was really shocked.\They're right... They're right!\And Kageyama failed modern lit...\Apparently, there were a lot of reading comprehension questions this time around.\But he'd concentrated on memorization when he studied.\Wow, he got a perfect score on kanji. Dang...\Well, don't be too discouraged.\This won't be the only time we have away games... response:	How are we gonna get to Tokyo?
context: They're right... They're right!\And Kageyama failed modern lit...\Apparently, there were a lot of reading comprehension questions this time around.\But he'd concentrated on memorization when he studied.\Wow, he got a perfect score on kanji. Dang...\Well, don't be too discouraged.\This won't be the only time we have away games...\How are we gonna get to Tokyo? response:	Should we run?
context: And Kageyama failed modern lit...\Apparently, there were a lot of reading comprehension questions this time around.\But he'd concentrated on memorization when he studied.\Wow, he got a perfect score on kanji. Dang...\Well, don't be too discouraged.\This won't be the only time we have away games...\How are we gonna get to Tokyo?\Should we run? response:	Nah, we need bikes.
context: Apparently, there were a lot of reading comprehension questions this time around.\But he'd concentrated on memorization when he studied.\Wow, he got a perfect score on kanji. Dang...\Well, don't be too discouraged.\This won't be the only time we have away games...\How are we gonna get to Tokyo?\Should we run?\Nah, we need bikes. response:	They're totally planning on going.
context: But he'd concentrated on memorization when he studied.\Wow, he got a perfect score on kanji. Dang...\Well, don't be too discouraged.\This won't be the only time we have away games...\How are we gonna get to Tokyo?\Should we run?\Nah, we need bikes.\They're totally planning on going. response:	Hey, you two.
context: Wow, he got a perfect score on kanji. Dang...\Well, don't be too discouraged.\This won't be the only time we have away games...\How are we gonna get to Tokyo?\Should we run?\Nah, we need bikes.\They're totally planning on going.\Hey, you two. response:	Huh?
context: Well, don't be too discouraged.\This won't be the only time we have away games...\How are we gonna get to Tokyo?\Should we run?\Nah, we need bikes.\They're totally planning on going.\Hey, you two.\Huh? response:	So the power duo's taking some supplementary exams right now?
context: This won't be the only time we have away games...\How are we gonna get to Tokyo?\Should we run?\Nah, we need bikes.\They're totally planning on going.\Hey, you two.\Huh?\So the power duo's taking some supplementary exams right now? response:	Yeah... But, well...
context: How are we gonna get to Tokyo?\Should we run?\Nah, we need bikes.\They're totally planning on going.\Hey, you two.\Huh?\So the power duo's taking some supplementary exams right now?\Yeah... But, well... response:	Th...
context: Should we run?\Nah, we need bikes.\They're totally planning on going.\Hey, you two.\Huh?\So the power duo's taking some supplementary exams right now?\Yeah... But, well...\Th... response:	Th...
context: Nah, we need bikes.\They're totally planning on going.\Hey, you two.\Huh?\So the power duo's taking some supplementary exams right now?\Yeah... But, well...\Th...\Th... response:	There're two girls now!
context: They're totally planning on going.\Hey, you two.\Huh?\So the power duo's taking some supplementary exams right now?\Yeah... But, well...\Th...\Th...\There're two girls now! response:	Now they've got a pretty one and a cute one!
context: Hey, you two.\Huh?\So the power duo's taking some supplementary exams right now?\Yeah... But, well...\Th...\Th...\There're two girls now!\Now they've got a pretty one and a cute one! response:	A mohawk... Tokyo's intense.
context: Huh?\So the power duo's taking some supplementary exams right now?\Yeah... But, well...\Th...\Th...\There're two girls now!\Now they've got a pretty one and a cute one!\A mohawk... Tokyo's intense. response:	Do you see, Tora?
context: So the power duo's taking some supplementary exams right now?\Yeah... But, well...\Th...\Th...\There're two girls now!\Now they've got a pretty one and a cute one!\A mohawk... Tokyo's intense.\Do you see, Tora? response:	Samurai of the East
context: Yeah... But, well...\Th...\Th...\There're two girls now!\Now they've got a pretty one and a cute one!\A mohawk... Tokyo's intense.\Do you see, Tora?\Samurai of the East response:	This is what Karasuno's true ability looks like.
context: Th...\Th...\There're two girls now!\Now they've got a pretty one and a cute one!\A mohawk... Tokyo's intense.\Do you see, Tora?\Samurai of the East\This is what Karasuno's true ability looks like. response:	So bright!
context: Th...\There're two girls now!\Now they've got a pretty one and a cute one!\A mohawk... Tokyo's intense.\Do you see, Tora?\Samurai of the East\This is what Karasuno's true ability looks like.\So bright! response:	Let's go.
context: There're two girls now!\Now they've got a pretty one and a cute one!\A mohawk... Tokyo's intense.\Do you see, Tora?\Samurai of the East\This is what Karasuno's true ability looks like.\So bright!\Let's go. response:	R-Right...
context: Now they've got a pretty one and a cute one!\A mohawk... Tokyo's intense.\Do you see, Tora?\Samurai of the East\This is what Karasuno's true ability looks like.\So bright!\Let's go.\R-Right... response:	All right. When you're all ready, come to the gym.
context: A mohawk... Tokyo's intense.\Do you see, Tora?\Samurai of the East\This is what Karasuno's true ability looks like.\So bright!\Let's go.\R-Right...\All right. When you're all ready, come to the gym. response:	The other guys are already there.
context: Do you see, Tora?\Samurai of the East\This is what Karasuno's true ability looks like.\So bright!\Let's go.\R-Right...\All right. When you're all ready, come to the gym.\The other guys are already there. response:	Yeah.
context: Samurai of the East\This is what Karasuno's true ability looks like.\So bright!\Let's go.\R-Right...\All right. When you're all ready, come to the gym.\The other guys are already there.\Yeah. response:	Haikyu!!
context: This is what Karasuno's true ability looks like.\So bright!\Let's go.\R-Right...\All right. When you're all ready, come to the gym.\The other guys are already there.\Yeah.\Haikyu!! response:	Episode 4: Center Ace
context: So bright!\Let's go.\R-Right...\All right. When you're all ready, come to the gym.\The other guys are already there.\Yeah.\Haikyu!!\Episode 4: Center Ace response:	Well, well...
context: Let's go.\R-Right...\All right. When you're all ready, come to the gym.\The other guys are already there.\Yeah.\Haikyu!!\Episode 4: Center Ace\Well, well... response:	You two look unusually serious.
context: R-Right...\All right. When you're all ready, come to the gym.\The other guys are already there.\Yeah.\Haikyu!!\Episode 4: Center Ace\Well, well...\You two look unusually serious. response:	You guys only failed one test, right?
context: All right. When you're all ready, come to the gym.\The other guys are already there.\Yeah.\Haikyu!!\Episode 4: Center Ace\Well, well...\You two look unusually serious.\You guys only failed one test, right? response:	Then you should be able to finish your supplementary exam in the morning.
context: The other guys are already there.\Yeah.\Haikyu!!\Episode 4: Center Ace\Well, well...\You two look unusually serious.\You guys only failed one test, right?\Then you should be able to finish your supplementary exam in the morning. response:	After that, I'll call your savior.
context: Yeah.\Haikyu!!\Episode 4: Center Ace\Well, well...\You two look unusually serious.\You guys only failed one test, right?\Then you should be able to finish your supplementary exam in the morning.\After that, I'll call your savior. response:	Do your best!
context: Haikyu!!\Episode 4: Center Ace\Well, well...\You two look unusually serious.\You guys only failed one test, right?\Then you should be able to finish your supplementary exam in the morning.\After that, I'll call your savior.\Do your best! response:	Hey, failure boys.
context: Episode 4: Center Ace\Well, well...\You two look unusually serious.\You guys only failed one test, right?\Then you should be able to finish your supplementary exam in the morning.\After that, I'll call your savior.\Do your best!\Hey, failure boys. response:	Karasuno Cafeteria
context: Well, well...\You two look unusually serious.\You guys only failed one test, right?\Then you should be able to finish your supplementary exam in the morning.\After that, I'll call your savior.\Do your best!\Hey, failure boys.\Karasuno Cafeteria response:	Get in.
context: You two look unusually serious.\You guys only failed one test, right?\Then you should be able to finish your supplementary exam in the morning.\After that, I'll call your savior.\Do your best!\Hey, failure boys.\Karasuno Cafeteria\Get in. response:	A-Are you Tanaka-san's older sister?
context: You guys only failed one test, right?\Then you should be able to finish your supplementary exam in the morning.\After that, I'll call your savior.\Do your best!\Hey, failure boys.\Karasuno Cafeteria\Get in.\A-Are you Tanaka-san's older sister? response:	Call me Saeko-nesan.
context: Then you should be able to finish your supplementary exam in the morning.\After that, I'll call your savior.\Do your best!\Hey, failure boys.\Karasuno Cafeteria\Get in.\A-Are you Tanaka-san's older sister?\Call me Saeko-nesan. response:	I'll get you two to Tokyo in no time.
context: After that, I'll call your savior.\Do your best!\Hey, failure boys.\Karasuno Cafeteria\Get in.\A-Are you Tanaka-san's older sister?\Call me Saeko-nesan.\I'll get you two to Tokyo in no time. response:	Saeko-nesan!
context: Do your best!\Hey, failure boys.\Karasuno Cafeteria\Get in.\A-Are you Tanaka-san's older sister?\Call me Saeko-nesan.\I'll get you two to Tokyo in no time.\Saeko-nesan! response:	Karasuno Cafeteria
context: Hey, failure boys.\Karasuno Cafeteria\Get in.\A-Are you Tanaka-san's older sister?\Call me Saeko-nesan.\I'll get you two to Tokyo in no time.\Saeko-nesan!\Karasuno Cafeteria response:	All right, here we go!
context: Karasuno Cafeteria\Get in.\A-Are you Tanaka-san's older sister?\Call me Saeko-nesan.\I'll get you two to Tokyo in no time.\Saeko-nesan!\Karasuno Cafeteria\All right, here we go! response:	Yeah!
context: Get in.\A-Are you Tanaka-san's older sister?\Call me Saeko-nesan.\I'll get you two to Tokyo in no time.\Saeko-nesan!\Karasuno Cafeteria\All right, here we go!\Yeah! response:	However, the safety and comfort of the ride absolutely cannot be guaranteed.
context: A-Are you Tanaka-san's older sister?\Call me Saeko-nesan.\I'll get you two to Tokyo in no time.\Saeko-nesan!\Karasuno Cafeteria\All right, here we go!\Yeah!\However, the safety and comfort of the ride absolutely cannot be guaranteed. response:	However, the safety and comfort of the ride absolutely cannot be guaranteed.
context: Call me Saeko-nesan.\I'll get you two to Tokyo in no time.\Saeko-nesan!\Karasuno Cafeteria\All right, here we go!\Yeah!\However, the safety and comfort of the ride absolutely cannot be guaranteed.\However, the safety and comfort of the ride absolutely cannot be guaranteed. response:	Thank you for your understanding.
context: I'll get you two to Tokyo in no time.\Saeko-nesan!\Karasuno Cafeteria\All right, here we go!\Yeah!\However, the safety and comfort of the ride absolutely cannot be guaranteed.\However, the safety and comfort of the ride absolutely cannot be guaranteed.\Thank you for your understanding. response:	It's been a long time,
context: Saeko-nesan!\Karasuno Cafeteria\All right, here we go!\Yeah!\However, the safety and comfort of the ride absolutely cannot be guaranteed.\However, the safety and comfort of the ride absolutely cannot be guaranteed.\Thank you for your understanding.\It's been a long time, response:	Nekomata-sensei.
context: Karasuno Cafeteria\All right, here we go!\Yeah!\However, the safety and comfort of the ride absolutely cannot be guaranteed.\However, the safety and comfort of the ride absolutely cannot be guaranteed.\Thank you for your understanding.\It's been a long time,\Nekomata-sensei. response:	Glad you could come all this way.
context: All right, here we go!\Yeah!\However, the safety and comfort of the ride absolutely cannot be guaranteed.\However, the safety and comfort of the ride absolutely cannot be guaranteed.\Thank you for your understanding.\It's been a long time,\Nekomata-sensei.\Glad you could come all this way. response:	Thank you so much for letting us participate in the group practices.
context: Yeah!\However, the safety and comfort of the ride absolutely cannot be guaranteed.\However, the safety and comfort of the ride absolutely cannot be guaranteed.\Thank you for your understanding.\It's been a long time,\Nekomata-sensei.\Glad you could come all this way.\Thank you so much for letting us participate in the group practices. response:	Not a problem. I'm looking forward to seeing
context: However, the safety and comfort of the ride absolutely cannot be guaranteed.\However, the safety and comfort of the ride absolutely cannot be guaranteed.\Thank you for your understanding.\It's been a long time,\Nekomata-sensei.\Glad you could come all this way.\Thank you so much for letting us participate in the group practices.\Not a problem. I'm looking forward to seeing response:	just how much stronger they've grown.
context: However, the safety and comfort of the ride absolutely cannot be guaranteed.\Thank you for your understanding.\It's been a long time,\Nekomata-sensei.\Glad you could come all this way.\Thank you so much for letting us participate in the group practices.\Not a problem. I'm looking forward to seeing\just how much stronger they've grown. response:	Let's play!
