context: The universe has a beginning, but no end. response:	Infinite.
context: The universe has a beginning, but no end.\Infinite. response:	The stars, too, have a beginning,
context: The universe has a beginning, but no end.\Infinite.\The stars, too, have a beginning, response:	but their own power leads to their destruction.
context: The universe has a beginning, but no end.\Infinite.\The stars, too, have a beginning,\but their own power leads to their destruction. response:	Finite.
context: The universe has a beginning, but no end.\Infinite.\The stars, too, have a beginning,\but their own power leads to their destruction.\Finite. response:	History dictates that it is the wise who are most foolish.
context: The universe has a beginning, but no end.\Infinite.\The stars, too, have a beginning,\but their own power leads to their destruction.\Finite.\History dictates that it is the wise who are most foolish. response:	One could call this a final warning from God,
context: The universe has a beginning, but no end.\Infinite.\The stars, too, have a beginning,\but their own power leads to their destruction.\Finite.\History dictates that it is the wise who are most foolish.\One could call this a final warning from God, response:	to those who can still resist.
context: The universe has a beginning, but no end.\Infinite.\The stars, too, have a beginning,\but their own power leads to their destruction.\Finite.\History dictates that it is the wise who are most foolish.\One could call this a final warning from God,\to those who can still resist. response:	Okarin!
context: Infinite.\The stars, too, have a beginning,\but their own power leads to their destruction.\Finite.\History dictates that it is the wise who are most foolish.\One could call this a final warning from God,\to those who can still resist.\Okarin! response:	Let's go.
context: The stars, too, have a beginning,\but their own power leads to their destruction.\Finite.\History dictates that it is the wise who are most foolish.\One could call this a final warning from God,\to those who can still resist.\Okarin!\Let's go. response:	Prologue
context: but their own power leads to their destruction.\Finite.\History dictates that it is the wise who are most foolish.\One could call this a final warning from God,\to those who can still resist.\Okarin!\Let's go.\Prologue response:	to
context: Finite.\History dictates that it is the wise who are most foolish.\One could call this a final warning from God,\to those who can still resist.\Okarin!\Let's go.\Prologue\to response:	the
context: History dictates that it is the wise who are most foolish.\One could call this a final warning from God,\to those who can still resist.\Okarin!\Let's go.\Prologue\to\the response:	Prologue
context: One could call this a final warning from God,\to those who can still resist.\Okarin!\Let's go.\Prologue\to\the\Prologue response:	Prologue
context: to those who can still resist.\Okarin!\Let's go.\Prologue\to\the\Prologue\Prologue response:	Prologue
context: Okarin!\Let's go.\Prologue\to\the\Prologue\Prologue\Prologue response:	Prologue
context: Let's go.\Prologue\to\the\Prologue\Prologue\Prologue\Prologue response:	Prologue
context: Prologue\to\the\Prologue\Prologue\Prologue\Prologue\Prologue response:	Prologue
context: to\the\Prologue\Prologue\Prologue\Prologue\Prologue\Prologue response:	Prologue
context: the\Prologue\Prologue\Prologue\Prologue\Prologue\Prologue\Prologue response:	to
context: Prologue\Prologue\Prologue\Prologue\Prologue\Prologue\Prologue\to response:	to
context: Prologue\Prologue\Prologue\Prologue\Prologue\Prologue\to\to response:	to
context: Prologue\Prologue\Prologue\Prologue\Prologue\to\to\to response:	to
context: Prologue\Prologue\Prologue\Prologue\to\to\to\to response:	to
