context: At times, he'll use his spiritual powers to help people. response:	At others, he'll use his Wind Tunnel to subjugate demons.
context: At times, he'll use his spiritual powers to help people.\At others, he'll use his Wind Tunnel to subjugate demons. response:	In orderto destroy our arch-enemy Naraku,
context: At times, he'll use his spiritual powers to help people.\At others, he'll use his Wind Tunnel to subjugate demons.\In orderto destroy our arch-enemy Naraku, response:	Miroku journeys togetherwith us.
context: At times, he'll use his spiritual powers to help people.\At others, he'll use his Wind Tunnel to subjugate demons.\In orderto destroy our arch-enemy Naraku,\Miroku journeys togetherwith us. response:	He seems to love women and making money,
context: At times, he'll use his spiritual powers to help people.\At others, he'll use his Wind Tunnel to subjugate demons.\In orderto destroy our arch-enemy Naraku,\Miroku journeys togetherwith us.\He seems to love women and making money, response:	but at critical times, he's very dependable.
context: At times, he'll use his spiritual powers to help people.\At others, he'll use his Wind Tunnel to subjugate demons.\In orderto destroy our arch-enemy Naraku,\Miroku journeys togetherwith us.\He seems to love women and making money,\but at critical times, he's very dependable. response:	I shall be off now.
context: At times, he'll use his spiritual powers to help people.\At others, he'll use his Wind Tunnel to subjugate demons.\In orderto destroy our arch-enemy Naraku,\Miroku journeys togetherwith us.\He seems to love women and making money,\but at critical times, he's very dependable.\I shall be off now. response:	MasterMonk, thank you so much for everything.
context: At times, he'll use his spiritual powers to help people.\At others, he'll use his Wind Tunnel to subjugate demons.\In orderto destroy our arch-enemy Naraku,\Miroku journeys togetherwith us.\He seems to love women and making money,\but at critical times, he's very dependable.\I shall be off now.\MasterMonk, thank you so much for everything. response:	Now we can live in peace.
context: At others, he'll use his Wind Tunnel to subjugate demons.\In orderto destroy our arch-enemy Naraku,\Miroku journeys togetherwith us.\He seems to love women and making money,\but at critical times, he's very dependable.\I shall be off now.\MasterMonk, thank you so much for everything.\Now we can live in peace. response:	You saved ourvillage.
context: In orderto destroy our arch-enemy Naraku,\Miroku journeys togetherwith us.\He seems to love women and making money,\but at critical times, he's very dependable.\I shall be off now.\MasterMonk, thank you so much for everything.\Now we can live in peace.\You saved ourvillage. response:	No such thing! I only did what had to be done.
context: Miroku journeys togetherwith us.\He seems to love women and making money,\but at critical times, he's very dependable.\I shall be off now.\MasterMonk, thank you so much for everything.\Now we can live in peace.\You saved ourvillage.\No such thing! I only did what had to be done. response:	Good-bye.
context: He seems to love women and making money,\but at critical times, he's very dependable.\I shall be off now.\MasterMonk, thank you so much for everything.\Now we can live in peace.\You saved ourvillage.\No such thing! I only did what had to be done.\Good-bye. response:	MasterMonk! Please tell us your name at least!
context: but at critical times, he's very dependable.\I shall be off now.\MasterMonk, thank you so much for everything.\Now we can live in peace.\You saved ourvillage.\No such thing! I only did what had to be done.\Good-bye.\MasterMonk! Please tell us your name at least! response:	My name is Miroku.
context: I shall be off now.\MasterMonk, thank you so much for everything.\Now we can live in peace.\You saved ourvillage.\No such thing! I only did what had to be done.\Good-bye.\MasterMonk! Please tell us your name at least!\My name is Miroku. response:	Miroku is my name.
context: MasterMonk, thank you so much for everything.\Now we can live in peace.\You saved ourvillage.\No such thing! I only did what had to be done.\Good-bye.\MasterMonk! Please tell us your name at least!\My name is Miroku.\Miroku is my name. response:	Lately, we only sleep in the open fields.
context: Now we can live in peace.\You saved ourvillage.\No such thing! I only did what had to be done.\Good-bye.\MasterMonk! Please tell us your name at least!\My name is Miroku.\Miroku is my name.\Lately, we only sleep in the open fields. response:	How I long for a good night's sleep with a roof over ourheads.
context: You saved ourvillage.\No such thing! I only did what had to be done.\Good-bye.\MasterMonk! Please tell us your name at least!\My name is Miroku.\Miroku is my name.\Lately, we only sleep in the open fields.\How I long for a good night's sleep with a roof over ourheads. response:	- Look! Avillage! - Huh?
context: No such thing! I only did what had to be done.\Good-bye.\MasterMonk! Please tell us your name at least!\My name is Miroku.\Miroku is my name.\Lately, we only sleep in the open fields.\How I long for a good night's sleep with a roof over ourheads.\- Look! Avillage! - Huh? response:	Really?
context: Good-bye.\MasterMonk! Please tell us your name at least!\My name is Miroku.\Miroku is my name.\Lately, we only sleep in the open fields.\How I long for a good night's sleep with a roof over ourheads.\- Look! Avillage! - Huh?\Really? response:	I'm so glad!
context: MasterMonk! Please tell us your name at least!\My name is Miroku.\Miroku is my name.\Lately, we only sleep in the open fields.\How I long for a good night's sleep with a roof over ourheads.\- Look! Avillage! - Huh?\Really?\I'm so glad! response:	We'll be able to sleep indoors tonight!
context: My name is Miroku.\Miroku is my name.\Lately, we only sleep in the open fields.\How I long for a good night's sleep with a roof over ourheads.\- Look! Avillage! - Huh?\Really?\I'm so glad!\We'll be able to sleep indoors tonight! response:	Perhaps we'll get news about Naraku.
context: Miroku is my name.\Lately, we only sleep in the open fields.\How I long for a good night's sleep with a roof over ourheads.\- Look! Avillage! - Huh?\Really?\I'm so glad!\We'll be able to sleep indoors tonight!\Perhaps we'll get news about Naraku. response:	Well then, let's go!
context: Lately, we only sleep in the open fields.\How I long for a good night's sleep with a roof over ourheads.\- Look! Avillage! - Huh?\Really?\I'm so glad!\We'll be able to sleep indoors tonight!\Perhaps we'll get news about Naraku.\Well then, let's go! response:	Yeah!
context: How I long for a good night's sleep with a roof over ourheads.\- Look! Avillage! - Huh?\Really?\I'm so glad!\We'll be able to sleep indoors tonight!\Perhaps we'll get news about Naraku.\Well then, let's go!\Yeah! response:	All nice and clean now.
context: - Look! Avillage! - Huh?\Really?\I'm so glad!\We'll be able to sleep indoors tonight!\Perhaps we'll get news about Naraku.\Well then, let's go!\Yeah!\All nice and clean now. response:	Huh?! T-That's!
context: Really?\I'm so glad!\We'll be able to sleep indoors tonight!\Perhaps we'll get news about Naraku.\Well then, let's go!\Yeah!\All nice and clean now.\Huh?! T-That's! response:	Miroku!
context: I'm so glad!\We'll be able to sleep indoors tonight!\Perhaps we'll get news about Naraku.\Well then, let's go!\Yeah!\All nice and clean now.\Huh?! T-That's!\Miroku! response:	It's Miroku!
context: We'll be able to sleep indoors tonight!\Perhaps we'll get news about Naraku.\Well then, let's go!\Yeah!\All nice and clean now.\Huh?! T-That's!\Miroku!\It's Miroku! response:	Miroku is coming!
context: Perhaps we'll get news about Naraku.\Well then, let's go!\Yeah!\All nice and clean now.\Huh?! T-That's!\Miroku!\It's Miroku!\Miroku is coming! response:	It's Miroku! He's coming!
context: Well then, let's go!\Yeah!\All nice and clean now.\Huh?! T-That's!\Miroku!\It's Miroku!\Miroku is coming!\It's Miroku! He's coming! response:	Get inside!
context: Yeah!\All nice and clean now.\Huh?! T-That's!\Miroku!\It's Miroku!\Miroku is coming!\It's Miroku! He's coming!\Get inside! response:	- Huh? - Miroku is coming?
