context: Tatara Nishi High School response:	Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking
context: Tatara Nishi High School\Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking response:	on a trip to Antarctica next month.
context: Tatara Nishi High School\Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking\on a trip to Antarctica next month. response:	Please come forward.
context: Tatara Nishi High School\Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking\on a trip to Antarctica next month.\Please come forward. response:	Um...
context: Tatara Nishi High School\Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking\on a trip to Antarctica next month.\Please come forward.\Um... response:	It's still a little hard to believe this is happening,
context: Tatara Nishi High School\Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking\on a trip to Antarctica next month.\Please come forward.\Um...\It's still a little hard to believe this is happening, response:	but I'll do my best where I'm going!
context: Tatara Nishi High School\Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking\on a trip to Antarctica next month.\Please come forward.\Um...\It's still a little hard to believe this is happening,\but I'll do my best where I'm going! response:	I'm going.
context: Tatara Nishi High School\Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking\on a trip to Antarctica next month.\Please come forward.\Um...\It's still a little hard to believe this is happening,\but I'll do my best where I'm going!\I'm going. response:	You shouldn't have waited so long.
context: Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking\on a trip to Antarctica next month.\Please come forward.\Um...\It's still a little hard to believe this is happening,\but I'll do my best where I'm going!\I'm going.\You shouldn't have waited so long. response:	But...
context: on a trip to Antarctica next month.\Please come forward.\Um...\It's still a little hard to believe this is happening,\but I'll do my best where I'm going!\I'm going.\You shouldn't have waited so long.\But... response:	It made me happy.
context: Please come forward.\Um...\It's still a little hard to believe this is happening,\but I'll do my best where I'm going!\I'm going.\You shouldn't have waited so long.\But...\It made me happy. response:	You're very smart, Megumi-chan.
context: Um...\It's still a little hard to believe this is happening,\but I'll do my best where I'm going!\I'm going.\You shouldn't have waited so long.\But...\It made me happy.\You're very smart, Megumi-chan. response:	I felt like I had become a big sister.
context: It's still a little hard to believe this is happening,\but I'll do my best where I'm going!\I'm going.\You shouldn't have waited so long.\But...\It made me happy.\You're very smart, Megumi-chan.\I felt like I had become a big sister. response:	Mari-chan.
context: but I'll do my best where I'm going!\I'm going.\You shouldn't have waited so long.\But...\It made me happy.\You're very smart, Megumi-chan.\I felt like I had become a big sister.\Mari-chan. response:	We can play together tomorrow, too.
context: I'm going.\You shouldn't have waited so long.\But...\It made me happy.\You're very smart, Megumi-chan.\I felt like I had become a big sister.\Mari-chan.\We can play together tomorrow, too. response:	1 Like 1 Comment
context: You shouldn't have waited so long.\But...\It made me happy.\You're very smart, Megumi-chan.\I felt like I had become a big sister.\Mari-chan.\We can play together tomorrow, too.\1 Like 1 Comment response:	100kgAllTogether GirlsTea TheMadness
context: But...\It made me happy.\You're very smart, Megumi-chan.\I felt like I had become a big sister.\Mari-chan.\We can play together tomorrow, too.\1 Like 1 Comment\100kgAllTogether GirlsTea TheMadness response:	This is the new Antarctic Icebreaker ship,
context: It made me happy.\You're very smart, Megumi-chan.\I felt like I had become a big sister.\Mari-chan.\We can play together tomorrow, too.\1 Like 1 Comment\100kgAllTogether GirlsTea TheMadness\This is the new Antarctic Icebreaker ship, response:	modified from the Shirase II,
context: You're very smart, Megumi-chan.\I felt like I had become a big sister.\Mari-chan.\We can play together tomorrow, too.\1 Like 1 Comment\100kgAllTogether GirlsTea TheMadness\This is the new Antarctic Icebreaker ship,\modified from the Shirase II, response:	the Shichishinya Penguin Manju!
context: I felt like I had become a big sister.\Mari-chan.\We can play together tomorrow, too.\1 Like 1 Comment\100kgAllTogether GirlsTea TheMadness\This is the new Antarctic Icebreaker ship,\modified from the Shirase II,\the Shichishinya Penguin Manju! response:	Its basic performance hasn't changed,
context: Mari-chan.\We can play together tomorrow, too.\1 Like 1 Comment\100kgAllTogether GirlsTea TheMadness\This is the new Antarctic Icebreaker ship,\modified from the Shirase II,\the Shichishinya Penguin Manju!\Its basic performance hasn't changed, response:	but there have been some internal modifications,
context: We can play together tomorrow, too.\1 Like 1 Comment\100kgAllTogether GirlsTea TheMadness\This is the new Antarctic Icebreaker ship,\modified from the Shirase II,\the Shichishinya Penguin Manju!\Its basic performance hasn't changed,\but there have been some internal modifications, response:	and as you can see, it's had a big external makeover!
context: 1 Like 1 Comment\100kgAllTogether GirlsTea TheMadness\This is the new Antarctic Icebreaker ship,\modified from the Shirase II,\the Shichishinya Penguin Manju!\Its basic performance hasn't changed,\but there have been some internal modifications,\and as you can see, it's had a big external makeover! response:	Let's go inside!
context: 100kgAllTogether GirlsTea TheMadness\This is the new Antarctic Icebreaker ship,\modified from the Shirase II,\the Shichishinya Penguin Manju!\Its basic performance hasn't changed,\but there have been some internal modifications,\and as you can see, it's had a big external makeover!\Let's go inside! response:	But the truth is, we won't get to board it until we reach Australia.
context: This is the new Antarctic Icebreaker ship,\modified from the Shirase II,\the Shichishinya Penguin Manju!\Its basic performance hasn't changed,\but there have been some internal modifications,\and as you can see, it's had a big external makeover!\Let's go inside!\But the truth is, we won't get to board it until we reach Australia. response:	So, let's make the jump to Australia right now!
context: modified from the Shirase II,\the Shichishinya Penguin Manju!\Its basic performance hasn't changed,\but there have been some internal modifications,\and as you can see, it's had a big external makeover!\Let's go inside!\But the truth is, we won't get to board it until we reach Australia.\So, let's make the jump to Australia right now! response:	One, two...
context: the Shichishinya Penguin Manju!\Its basic performance hasn't changed,\but there have been some internal modifications,\and as you can see, it's had a big external makeover!\Let's go inside!\But the truth is, we won't get to board it until we reach Australia.\So, let's make the jump to Australia right now!\One, two... response:	Jump!
context: Its basic performance hasn't changed,\but there have been some internal modifications,\and as you can see, it's had a big external makeover!\Let's go inside!\But the truth is, we won't get to board it until we reach Australia.\So, let's make the jump to Australia right now!\One, two...\Jump! response:	Okay! That's a wrap!
context: but there have been some internal modifications,\and as you can see, it's had a big external makeover!\Let's go inside!\But the truth is, we won't get to board it until we reach Australia.\So, let's make the jump to Australia right now!\One, two...\Jump!\Okay! That's a wrap! response:	What a total pro!
context: and as you can see, it's had a big external makeover!\Let's go inside!\But the truth is, we won't get to board it until we reach Australia.\So, let's make the jump to Australia right now!\One, two...\Jump!\Okay! That's a wrap!\What a total pro! response:	You're amazing!
context: Let's go inside!\But the truth is, we won't get to board it until we reach Australia.\So, let's make the jump to Australia right now!\One, two...\Jump!\Okay! That's a wrap!\What a total pro!\You're amazing! response:	You don't have to make fun of me.
context: But the truth is, we won't get to board it until we reach Australia.\So, let's make the jump to Australia right now!\One, two...\Jump!\Okay! That's a wrap!\What a total pro!\You're amazing!\You don't have to make fun of me. response:	We're not! We're not!
context: So, let's make the jump to Australia right now!\One, two...\Jump!\Okay! That's a wrap!\What a total pro!\You're amazing!\You don't have to make fun of me.\We're not! We're not! response:	We genuinely respect you.
context: One, two...\Jump!\Okay! That's a wrap!\What a total pro!\You're amazing!\You don't have to make fun of me.\We're not! We're not!\We genuinely respect you. response:	By comparison, our next report's not until we reach Australia,
context: Jump!\Okay! That's a wrap!\What a total pro!\You're amazing!\You don't have to make fun of me.\We're not! We're not!\We genuinely respect you.\By comparison, our next report's not until we reach Australia, response:	but look at her freaking out already.
context: Okay! That's a wrap!\What a total pro!\You're amazing!\You don't have to make fun of me.\We're not! We're not!\We genuinely respect you.\By comparison, our next report's not until we reach Australia,\but look at her freaking out already. response:	I-I'm here in Autsralia. Wait! I mean...
context: What a total pro!\You're amazing!\You don't have to make fun of me.\We're not! We're not!\We genuinely respect you.\By comparison, our next report's not until we reach Australia,\but look at her freaking out already.\I-I'm here in Autsralia. Wait! I mean... response:	I have to jump first...
context: You're amazing!\You don't have to make fun of me.\We're not! We're not!\We genuinely respect you.\By comparison, our next report's not until we reach Australia,\but look at her freaking out already.\I-I'm here in Autsralia. Wait! I mean...\I have to jump first... response:	then land.
context: You don't have to make fun of me.\We're not! We're not!\We genuinely respect you.\By comparison, our next report's not until we reach Australia,\but look at her freaking out already.\I-I'm here in Autsralia. Wait! I mean...\I have to jump first...\then land. response:	Wait, no!
context: We're not! We're not!\We genuinely respect you.\By comparison, our next report's not until we reach Australia,\but look at her freaking out already.\I-I'm here in Autsralia. Wait! I mean...\I have to jump first...\then land.\Wait, no! response:	Land, then jump?
context: We genuinely respect you.\By comparison, our next report's not until we reach Australia,\but look at her freaking out already.\I-I'm here in Autsralia. Wait! I mean...\I have to jump first...\then land.\Wait, no!\Land, then jump? response:	Land?
context: By comparison, our next report's not until we reach Australia,\but look at her freaking out already.\I-I'm here in Autsralia. Wait! I mean...\I have to jump first...\then land.\Wait, no!\Land, then jump?\Land? response:	Land means...
context: but look at her freaking out already.\I-I'm here in Autsralia. Wait! I mean...\I have to jump first...\then land.\Wait, no!\Land, then jump?\Land?\Land means... response:	Shirase-san, calm down.
context: I-I'm here in Autsralia. Wait! I mean...\I have to jump first...\then land.\Wait, no!\Land, then jump?\Land?\Land means...\Shirase-san, calm down. response:	What am I gonna do?! I can't land in Australia!
context: I have to jump first...\then land.\Wait, no!\Land, then jump?\Land?\Land means...\Shirase-san, calm down.\What am I gonna do?! I can't land in Australia! response:	They can work it out in editing.
context: then land.\Wait, no!\Land, then jump?\Land?\Land means...\Shirase-san, calm down.\What am I gonna do?! I can't land in Australia!\They can work it out in editing. response:	For now, just do your vocal warm-ups.
context: Wait, no!\Land, then jump?\Land?\Land means...\Shirase-san, calm down.\What am I gonna do?! I can't land in Australia!\They can work it out in editing.\For now, just do your vocal warm-ups. response:	Have you been doing your warm-ups?
context: Land, then jump?\Land?\Land means...\Shirase-san, calm down.\What am I gonna do?! I can't land in Australia!\They can work it out in editing.\For now, just do your vocal warm-ups.\Have you been doing your warm-ups? response:	She sells seashells on the sea floor.
context: Land?\Land means...\Shirase-san, calm down.\What am I gonna do?! I can't land in Australia!\They can work it out in editing.\For now, just do your vocal warm-ups.\Have you been doing your warm-ups?\She sells seashells on the sea floor. response:	Not quite right, but close enough.
context: Land means...\Shirase-san, calm down.\What am I gonna do?! I can't land in Australia!\They can work it out in editing.\For now, just do your vocal warm-ups.\Have you been doing your warm-ups?\She sells seashells on the sea floor.\Not quite right, but close enough. response:	Why would a person sell seashells?
context: Shirase-san, calm down.\What am I gonna do?! I can't land in Australia!\They can work it out in editing.\For now, just do your vocal warm-ups.\Have you been doing your warm-ups?\She sells seashells on the sea floor.\Not quite right, but close enough.\Why would a person sell seashells? response:	Please don't try to dissect it.
context: What am I gonna do?! I can't land in Australia!\They can work it out in editing.\For now, just do your vocal warm-ups.\Have you been doing your warm-ups?\She sells seashells on the sea floor.\Not quite right, but close enough.\Why would a person sell seashells?\Please don't try to dissect it. response:	What happened to her?
context: They can work it out in editing.\For now, just do your vocal warm-ups.\Have you been doing your warm-ups?\She sells seashells on the sea floor.\Not quite right, but close enough.\Why would a person sell seashells?\Please don't try to dissect it.\What happened to her? response:	She spoke just fine at morning assembly...
context: For now, just do your vocal warm-ups.\Have you been doing your warm-ups?\She sells seashells on the sea floor.\Not quite right, but close enough.\Why would a person sell seashells?\Please don't try to dissect it.\What happened to her?\She spoke just fine at morning assembly... response:	Because there's no one she sees as an enemy here.
context: Have you been doing your warm-ups?\She sells seashells on the sea floor.\Not quite right, but close enough.\Why would a person sell seashells?\Please don't try to dissect it.\What happened to her?\She spoke just fine at morning assembly...\Because there's no one she sees as an enemy here. response:	When someone she's hostile to is around, it's like
context: She sells seashells on the sea floor.\Not quite right, but close enough.\Why would a person sell seashells?\Please don't try to dissect it.\What happened to her?\She spoke just fine at morning assembly...\Because there's no one she sees as an enemy here.\When someone she's hostile to is around, it's like response:	the screw you! switch gets flipped on.
context: Not quite right, but close enough.\Why would a person sell seashells?\Please don't try to dissect it.\What happened to her?\She spoke just fine at morning assembly...\Because there's no one she sees as an enemy here.\When someone she's hostile to is around, it's like\the screw you! switch gets flipped on. response:	Ah, I see.
context: Why would a person sell seashells?\Please don't try to dissect it.\What happened to her?\She spoke just fine at morning assembly...\Because there's no one she sees as an enemy here.\When someone she's hostile to is around, it's like\the screw you! switch gets flipped on.\Ah, I see. response:	You! You're talking about me, aren't you?
context: Please don't try to dissect it.\What happened to her?\She spoke just fine at morning assembly...\Because there's no one she sees as an enemy here.\When someone she's hostile to is around, it's like\the screw you! switch gets flipped on.\Ah, I see.\You! You're talking about me, aren't you? response:	We're really getting on this thing, huh?
context: What happened to her?\She spoke just fine at morning assembly...\Because there's no one she sees as an enemy here.\When someone she's hostile to is around, it's like\the screw you! switch gets flipped on.\Ah, I see.\You! You're talking about me, aren't you?\We're really getting on this thing, huh? response:	Yeah.
context: She spoke just fine at morning assembly...\Because there's no one she sees as an enemy here.\When someone she's hostile to is around, it's like\the screw you! switch gets flipped on.\Ah, I see.\You! You're talking about me, aren't you?\We're really getting on this thing, huh?\Yeah. response:	Have you finished packing?
context: Because there's no one she sees as an enemy here.\When someone she's hostile to is around, it's like\the screw you! switch gets flipped on.\Ah, I see.\You! You're talking about me, aren't you?\We're really getting on this thing, huh?\Yeah.\Have you finished packing? response:	Not yet. There's a lot to think about, isn't there?
context: When someone she's hostile to is around, it's like\the screw you! switch gets flipped on.\Ah, I see.\You! You're talking about me, aren't you?\We're really getting on this thing, huh?\Yeah.\Have you finished packing?\Not yet. There's a lot to think about, isn't there? response:	Is there?
context: the screw you! switch gets flipped on.\Ah, I see.\You! You're talking about me, aren't you?\We're really getting on this thing, huh?\Yeah.\Have you finished packing?\Not yet. There's a lot to think about, isn't there?\Is there? response:	Including our body weight, we're allowed 100 kilograms all together.
context: Ah, I see.\You! You're talking about me, aren't you?\We're really getting on this thing, huh?\Yeah.\Have you finished packing?\Not yet. There's a lot to think about, isn't there?\Is there?\Including our body weight, we're allowed 100 kilograms all together. response:	It should be more than enough.
context: You! You're talking about me, aren't you?\We're really getting on this thing, huh?\Yeah.\Have you finished packing?\Not yet. There's a lot to think about, isn't there?\Is there?\Including our body weight, we're allowed 100 kilograms all together.\It should be more than enough. response:	Yeah, but we're staying for three months, right?
context: We're really getting on this thing, huh?\Yeah.\Have you finished packing?\Not yet. There's a lot to think about, isn't there?\Is there?\Including our body weight, we're allowed 100 kilograms all together.\It should be more than enough.\Yeah, but we're staying for three months, right? response:	Yeah! That's over 90 changes of clothes!
context: Yeah.\Have you finished packing?\Not yet. There's a lot to think about, isn't there?\Is there?\Including our body weight, we're allowed 100 kilograms all together.\It should be more than enough.\Yeah, but we're staying for three months, right?\Yeah! That's over 90 changes of clothes! response:	Do laundry occasionally.
context: Have you finished packing?\Not yet. There's a lot to think about, isn't there?\Is there?\Including our body weight, we're allowed 100 kilograms all together.\It should be more than enough.\Yeah, but we're staying for three months, right?\Yeah! That's over 90 changes of clothes!\Do laundry occasionally. response:	Oh, right!
context: Not yet. There's a lot to think about, isn't there?\Is there?\Including our body weight, we're allowed 100 kilograms all together.\It should be more than enough.\Yeah, but we're staying for three months, right?\Yeah! That's over 90 changes of clothes!\Do laundry occasionally.\Oh, right! response:	Although it's a journey, once we arrive, we'll just be living life like normal.
context: Is there?\Including our body weight, we're allowed 100 kilograms all together.\It should be more than enough.\Yeah, but we're staying for three months, right?\Yeah! That's over 90 changes of clothes!\Do laundry occasionally.\Oh, right!\Although it's a journey, once we arrive, we'll just be living life like normal. response:	And there'll be lots of work to do, so they say it'll pass quickly...
context: Including our body weight, we're allowed 100 kilograms all together.\It should be more than enough.\Yeah, but we're staying for three months, right?\Yeah! That's over 90 changes of clothes!\Do laundry occasionally.\Oh, right!\Although it's a journey, once we arrive, we'll just be living life like normal.\And there'll be lots of work to do, so they say it'll pass quickly... response:	But when you start thinking and packing things into the boxes,
context: It should be more than enough.\Yeah, but we're staying for three months, right?\Yeah! That's over 90 changes of clothes!\Do laundry occasionally.\Oh, right!\Although it's a journey, once we arrive, we'll just be living life like normal.\And there'll be lots of work to do, so they say it'll pass quickly...\But when you start thinking and packing things into the boxes, response:	it does end up being quite a lot...
context: Yeah, but we're staying for three months, right?\Yeah! That's over 90 changes of clothes!\Do laundry occasionally.\Oh, right!\Although it's a journey, once we arrive, we'll just be living life like normal.\And there'll be lots of work to do, so they say it'll pass quickly...\But when you start thinking and packing things into the boxes,\it does end up being quite a lot... response:	Is it that much?
context: Yeah! That's over 90 changes of clothes!\Do laundry occasionally.\Oh, right!\Although it's a journey, once we arrive, we'll just be living life like normal.\And there'll be lots of work to do, so they say it'll pass quickly...\But when you start thinking and packing things into the boxes,\it does end up being quite a lot...\Is it that much? response:	Hey, have you not even gotten started?
context: Do laundry occasionally.\Oh, right!\Although it's a journey, once we arrive, we'll just be living life like normal.\And there'll be lots of work to do, so they say it'll pass quickly...\But when you start thinking and packing things into the boxes,\it does end up being quite a lot...\Is it that much?\Hey, have you not even gotten started? response:	But it just needs to be less than 100 kilograms, including body weight, right?
