context: I say yes response:	Stay with me
context: I say yes\Stay with me response:	I say yes
context: I say yes\Stay with me\I say yes response:	For e ver
context: I say yes\Stay with me\I say yes\For e ver response:	Ill be by your side forever
context: I say yes\Stay with me\I say yes\For e ver\Ill be by your side forever response:	No matter how the future tests us
context: I say yes\Stay with me\I say yes\For e ver\Ill be by your side forever\No matter how the future tests us response:	Im sure
context: I say yes\Stay with me\I say yes\For e ver\Ill be by your side forever\No matter how the future tests us\Im sure response:	Ah, its our destiny
context: I say yes\Stay with me\I say yes\For e ver\Ill be by your side forever\No matter how the future tests us\Im sure\Ah, its our destiny response:	I was able to meet you
context: Stay with me\I say yes\For e ver\Ill be by your side forever\No matter how the future tests us\Im sure\Ah, its our destiny\I was able to meet you response:	Because I heard your voice
context: I say yes\For e ver\Ill be by your side forever\No matter how the future tests us\Im sure\Ah, its our destiny\I was able to meet you\Because I heard your voice response:	Yeah, even if crisis events
context: For e ver\Ill be by your side forever\No matter how the future tests us\Im sure\Ah, its our destiny\I was able to meet you\Because I heard your voice\Yeah, even if crisis events response:	Press on at me
context: Ill be by your side forever\No matter how the future tests us\Im sure\Ah, its our destiny\I was able to meet you\Because I heard your voice\Yeah, even if crisis events\Press on at me response:	If I'm with you, then I can overcome them
context: No matter how the future tests us\Im sure\Ah, its our destiny\I was able to meet you\Because I heard your voice\Yeah, even if crisis events\Press on at me\If I'm with you, then I can overcome them response:	Palpitations and competitive spirit
context: Im sure\Ah, its our destiny\I was able to meet you\Because I heard your voice\Yeah, even if crisis events\Press on at me\If I'm with you, then I can overcome them\Palpitations and competitive spirit response:	Excite me on the contrary, but -
context: Ah, its our destiny\I was able to meet you\Because I heard your voice\Yeah, even if crisis events\Press on at me\If I'm with you, then I can overcome them\Palpitations and competitive spirit\Excite me on the contrary, but - response:	I only want to protect you
context: I was able to meet you\Because I heard your voice\Yeah, even if crisis events\Press on at me\If I'm with you, then I can overcome them\Palpitations and competitive spirit\Excite me on the contrary, but -\I only want to protect you response:	We were born in distant worlds
context: Because I heard your voice\Yeah, even if crisis events\Press on at me\If I'm with you, then I can overcome them\Palpitations and competitive spirit\Excite me on the contrary, but -\I only want to protect you\We were born in distant worlds response:	Ill be by your side forever
context: Yeah, even if crisis events\Press on at me\If I'm with you, then I can overcome them\Palpitations and competitive spirit\Excite me on the contrary, but -\I only want to protect you\We were born in distant worlds\Ill be by your side forever response:	Lets change any future into hope
context: Press on at me\If I'm with you, then I can overcome them\Palpitations and competitive spirit\Excite me on the contrary, but -\I only want to protect you\We were born in distant worlds\Ill be by your side forever\Lets change any future into hope response:	Don't touch! S
context: If I'm with you, then I can overcome them\Palpitations and competitive spirit\Excite me on the contrary, but -\I only want to protect you\We were born in distant worlds\Ill be by your side forever\Lets change any future into hope\Don't touch! S response:	Touch me S
context: Palpitations and competitive spirit\Excite me on the contrary, but -\I only want to protect you\We were born in distant worlds\Ill be by your side forever\Lets change any future into hope\Don't touch! S\Touch me S response:	Be right here! close to me
context: Excite me on the contrary, but -\I only want to protect you\We were born in distant worlds\Ill be by your side forever\Lets change any future into hope\Don't touch! S\Touch me S\Be right here! close to me response:	Always, always look at me at all times
context: I only want to protect you\We were born in distant worlds\Ill be by your side forever\Lets change any future into hope\Don't touch! S\Touch me S\Be right here! close to me\Always, always look at me at all times response:	You looked away, didnt you? At other girls
context: We were born in distant worlds\Ill be by your side forever\Lets change any future into hope\Don't touch! S\Touch me S\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls response:	Ill punish those who are wavering and insolent
context: Ill be by your side forever\Lets change any future into hope\Don't touch! S\Touch me S\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent response:	Dont touch! Because I wont listen to excuses
