context: Nothing lets you call the students of Seika flies. response:	I demand an apology from you.
context: Nothing lets you call the students of Seika flies.\I demand an apology from you. response:	Ayuzawa Misaki-san.
context: Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ayuzawa Misaki-san. response:	Will you join us at Miyabigaoka's Student Council?
context: Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ayuzawa Misaki-san.\Will you join us at Miyabigaoka's Student Council? response:	I will guarantee everything.
context: Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ayuzawa Misaki-san.\Will you join us at Miyabigaoka's Student Council?\I will guarantee everything. response:	I'm serious.
context: Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ayuzawa Misaki-san.\Will you join us at Miyabigaoka's Student Council?\I will guarantee everything.\I'm serious. response:	Apparently that's what dominant is.
context: Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ayuzawa Misaki-san.\Will you join us at Miyabigaoka's Student Council?\I will guarantee everything.\I'm serious.\Apparently that's what dominant is. response:	I've had enough of you playing around with me.
context: Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ayuzawa Misaki-san.\Will you join us at Miyabigaoka's Student Council?\I will guarantee everything.\I'm serious.\Apparently that's what dominant is.\I've had enough of you playing around with me. response:	You're one of Miyabigaoka's...
context: I demand an apology from you.\Ayuzawa Misaki-san.\Will you join us at Miyabigaoka's Student Council?\I will guarantee everything.\I'm serious.\Apparently that's what dominant is.\I've had enough of you playing around with me.\You're one of Miyabigaoka's... response:	I'm the Vice President of the Student Council, Maki.
context: Ayuzawa Misaki-san.\Will you join us at Miyabigaoka's Student Council?\I will guarantee everything.\I'm serious.\Apparently that's what dominant is.\I've had enough of you playing around with me.\You're one of Miyabigaoka's...\I'm the Vice President of the Student Council, Maki. response:	Do you need something from me?
context: Will you join us at Miyabigaoka's Student Council?\I will guarantee everything.\I'm serious.\Apparently that's what dominant is.\I've had enough of you playing around with me.\You're one of Miyabigaoka's...\I'm the Vice President of the Student Council, Maki.\Do you need something from me? response:	May I have a moment with you?
context: I will guarantee everything.\I'm serious.\Apparently that's what dominant is.\I've had enough of you playing around with me.\You're one of Miyabigaoka's...\I'm the Vice President of the Student Council, Maki.\Do you need something from me?\May I have a moment with you? response:	You guys.
context: I'm serious.\Apparently that's what dominant is.\I've had enough of you playing around with me.\You're one of Miyabigaoka's...\I'm the Vice President of the Student Council, Maki.\Do you need something from me?\May I have a moment with you?\You guys. response:	Yes.
context: Apparently that's what dominant is.\I've had enough of you playing around with me.\You're one of Miyabigaoka's...\I'm the Vice President of the Student Council, Maki.\Do you need something from me?\May I have a moment with you?\You guys.\Yes. response:	Please accept them.
context: I've had enough of you playing around with me.\You're one of Miyabigaoka's...\I'm the Vice President of the Student Council, Maki.\Do you need something from me?\May I have a moment with you?\You guys.\Yes.\Please accept them. response:	They're gifts from President Igarashi.
context: You're one of Miyabigaoka's...\I'm the Vice President of the Student Council, Maki.\Do you need something from me?\May I have a moment with you?\You guys.\Yes.\Please accept them.\They're gifts from President Igarashi. response:	No, I really can't accept these gifts.
