context: If I saw everyone again right now... response:	I know that I'd depend on them just as much as I did back then.
context: If I saw everyone again right now...\I know that I'd depend on them just as much as I did back then. response:	I'm scared of that.
context: If I saw everyone again right now...\I know that I'd depend on them just as much as I did back then.\I'm scared of that. response:	That's why I can't move from this spot.
context: If I saw everyone again right now...\I know that I'd depend on them just as much as I did back then.\I'm scared of that.\That's why I can't move from this spot. response:	Hey, Nana. The midsummer flowers will bloom
context: If I saw everyone again right now...\I know that I'd depend on them just as much as I did back then.\I'm scared of that.\That's why I can't move from this spot.\Hey, Nana. The midsummer flowers will bloom response:	along Tamagawa again this year.
context: If I saw everyone again right now...\I know that I'd depend on them just as much as I did back then.\I'm scared of that.\That's why I can't move from this spot.\Hey, Nana. The midsummer flowers will bloom\along Tamagawa again this year. response:	We'll all be waiting for you in room 707.
context: If I saw everyone again right now...\I know that I'd depend on them just as much as I did back then.\I'm scared of that.\That's why I can't move from this spot.\Hey, Nana. The midsummer flowers will bloom\along Tamagawa again this year.\We'll all be waiting for you in room 707. response:	I even made matching yukatas for us.
context: If I saw everyone again right now...\I know that I'd depend on them just as much as I did back then.\I'm scared of that.\That's why I can't move from this spot.\Hey, Nana. The midsummer flowers will bloom\along Tamagawa again this year.\We'll all be waiting for you in room 707.\I even made matching yukatas for us. response:	Yeah, yeah Yeah, yeah
context: I know that I'd depend on them just as much as I did back then.\I'm scared of that.\That's why I can't move from this spot.\Hey, Nana. The midsummer flowers will bloom\along Tamagawa again this year.\We'll all be waiting for you in room 707.\I even made matching yukatas for us.\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'm scared of that.\That's why I can't move from this spot.\Hey, Nana. The midsummer flowers will bloom\along Tamagawa again this year.\We'll all be waiting for you in room 707.\I even made matching yukatas for us.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Baby I'm standing alone
context: That's why I can't move from this spot.\Hey, Nana. The midsummer flowers will bloom\along Tamagawa again this year.\We'll all be waiting for you in room 707.\I even made matching yukatas for us.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone response:	An unforgettable rainy day
context: Hey, Nana. The midsummer flowers will bloom\along Tamagawa again this year.\We'll all be waiting for you in room 707.\I even made matching yukatas for us.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day response:	Chasing after your shadow
context: along Tamagawa again this year.\We'll all be waiting for you in room 707.\I even made matching yukatas for us.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow response:	And it's over, it's like sand now
context: We'll all be waiting for you in room 707.\I even made matching yukatas for us.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now response:	I sigh every night
context: I even made matching yukatas for us.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night response:	I scream like a child and cried
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried response:	It hangs there quietly, my sorrow
context: Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow response:	Please, please God, forgive my sins
context: Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins response:	I don't need to hide no more
context: An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more response:	Flowing toward the turquoise light
context: Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light response:	Just keep going on
context: And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on response:	You've got the chance now
context: I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now response:	You've got the power
context: I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power response:	Know you gotta be so true to yourself
context: It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself response:	I show you my life now
context: Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now response:	I show you my love now
context: I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now response:	I show you my everything yeah yeah
context: Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah response:	You'd better change now You'd better catch now
context: Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now response:	Don't ever change so be yourself
context: You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself response:	I'll show you my strength now
