context: It's alright. response:	So...
context: It's alright.\So... response:	It's not that you didn't know how to deal with things.
context: It's alright.\So...\It's not that you didn't know how to deal with things. response:	It's just that no one showed you how to.
context: It's alright.\So...\It's not that you didn't know how to deal with things.\It's just that no one showed you how to. response:	Then...
context: It's alright.\So...\It's not that you didn't know how to deal with things.\It's just that no one showed you how to.\Then... response:	Will you become my friend?
context: It's alright.\So...\It's not that you didn't know how to deal with things.\It's just that no one showed you how to.\Then...\Will you become my friend? response:	Please?
context: It's alright.\So...\It's not that you didn't know how to deal with things.\It's just that no one showed you how to.\Then...\Will you become my friend?\Please? response:	Madness can't be suppressed, huh?
context: It's alright.\So...\It's not that you didn't know how to deal with things.\It's just that no one showed you how to.\Then...\Will you become my friend?\Please?\Madness can't be suppressed, huh? response:	You were quite wrong...
context: So...\It's not that you didn't know how to deal with things.\It's just that no one showed you how to.\Then...\Will you become my friend?\Please?\Madness can't be suppressed, huh?\You were quite wrong... response:	Besides, I don't like your taste in music.
context: It's not that you didn't know how to deal with things.\It's just that no one showed you how to.\Then...\Will you become my friend?\Please?\Madness can't be suppressed, huh?\You were quite wrong...\Besides, I don't like your taste in music. response:	Off he goes...
context: It's just that no one showed you how to.\Then...\Will you become my friend?\Please?\Madness can't be suppressed, huh?\You were quite wrong...\Besides, I don't like your taste in music.\Off he goes... response:	Oh well, this key can open it anytime.
context: Then...\Will you become my friend?\Please?\Madness can't be suppressed, huh?\You were quite wrong...\Besides, I don't like your taste in music.\Off he goes...\Oh well, this key can open it anytime. response:	Still, that girl's power...
context: Will you become my friend?\Please?\Madness can't be suppressed, huh?\You were quite wrong...\Besides, I don't like your taste in music.\Off he goes...\Oh well, this key can open it anytime.\Still, that girl's power... response:	Could it be the wavelength of the Great Devil?
context: Please?\Madness can't be suppressed, huh?\You were quite wrong...\Besides, I don't like your taste in music.\Off he goes...\Oh well, this key can open it anytime.\Still, that girl's power...\Could it be the wavelength of the Great Devil? response:	The black blood has stopped...
context: Madness can't be suppressed, huh?\You were quite wrong...\Besides, I don't like your taste in music.\Off he goes...\Oh well, this key can open it anytime.\Still, that girl's power...\Could it be the wavelength of the Great Devil?\The black blood has stopped... response:	It seems like we have a winner for the second battle.
context: You were quite wrong...\Besides, I don't like your taste in music.\Off he goes...\Oh well, this key can open it anytime.\Still, that girl's power...\Could it be the wavelength of the Great Devil?\The black blood has stopped...\It seems like we have a winner for the second battle. response:	Both souls' responses have eased up.
