context: Did you not hear me? I said to let me pass. response:	I have no business with you, Assassin.
context: Did you not hear me? I said to let me pass.\I have no business with you, Assassin. response:	And did you not hear me when I said to force your way through?
context: Did you not hear me? I said to let me pass.\I have no business with you, Assassin.\And did you not hear me when I said to force your way through? response:	If you do not hurry, your Master's life will be lost.
context: Did you not hear me? I said to let me pass.\I have no business with you, Assassin.\And did you not hear me when I said to force your way through?\If you do not hurry, your Master's life will be lost. response:	Don't be so angry at Assassin, Caster.
context: Did you not hear me? I said to let me pass.\I have no business with you, Assassin.\And did you not hear me when I said to force your way through?\If you do not hurry, your Master's life will be lost.\Don't be so angry at Assassin, Caster. response:	He faces Saber.
context: Did you not hear me? I said to let me pass.\I have no business with you, Assassin.\And did you not hear me when I said to force your way through?\If you do not hurry, your Master's life will be lost.\Don't be so angry at Assassin, Caster.\He faces Saber. response:	I don't know who that samurai is,
context: Did you not hear me? I said to let me pass.\I have no business with you, Assassin.\And did you not hear me when I said to force your way through?\If you do not hurry, your Master's life will be lost.\Don't be so angry at Assassin, Caster.\He faces Saber.\I don't know who that samurai is, response:	but to hold Saber at bay, he is a master swordsman indeed.
context: Did you not hear me? I said to let me pass.\I have no business with you, Assassin.\And did you not hear me when I said to force your way through?\If you do not hurry, your Master's life will be lost.\Don't be so angry at Assassin, Caster.\He faces Saber.\I don't know who that samurai is,\but to hold Saber at bay, he is a master swordsman indeed. response:	Shouldn't you be complimenting him instead?
context: I have no business with you, Assassin.\And did you not hear me when I said to force your way through?\If you do not hurry, your Master's life will be lost.\Don't be so angry at Assassin, Caster.\He faces Saber.\I don't know who that samurai is,\but to hold Saber at bay, he is a master swordsman indeed.\Shouldn't you be complimenting him instead? response:	Surely you jest.
context: And did you not hear me when I said to force your way through?\If you do not hurry, your Master's life will be lost.\Don't be so angry at Assassin, Caster.\He faces Saber.\I don't know who that samurai is,\but to hold Saber at bay, he is a master swordsman indeed.\Shouldn't you be complimenting him instead?\Surely you jest. response:	I should hardly call him a hero if he failed to stop the likes of you.
context: If you do not hurry, your Master's life will be lost.\Don't be so angry at Assassin, Caster.\He faces Saber.\I don't know who that samurai is,\but to hold Saber at bay, he is a master swordsman indeed.\Shouldn't you be complimenting him instead?\Surely you jest.\I should hardly call him a hero if he failed to stop the likes of you. response:	That man lacks the skills to make a master swordsman reveal their name.
context: Don't be so angry at Assassin, Caster.\He faces Saber.\I don't know who that samurai is,\but to hold Saber at bay, he is a master swordsman indeed.\Shouldn't you be complimenting him instead?\Surely you jest.\I should hardly call him a hero if he failed to stop the likes of you.\That man lacks the skills to make a master swordsman reveal their name. response:	Saber is here?
context: He faces Saber.\I don't know who that samurai is,\but to hold Saber at bay, he is a master swordsman indeed.\Shouldn't you be complimenting him instead?\Surely you jest.\I should hardly call him a hero if he failed to stop the likes of you.\That man lacks the skills to make a master swordsman reveal their name.\Saber is here? response:	How can this be?
context: I don't know who that samurai is,\but to hold Saber at bay, he is a master swordsman indeed.\Shouldn't you be complimenting him instead?\Surely you jest.\I should hardly call him a hero if he failed to stop the likes of you.\That man lacks the skills to make a master swordsman reveal their name.\Saber is here?\How can this be? response:	Weight, power, speed... I have the advantage in all of them.
context: but to hold Saber at bay, he is a master swordsman indeed.\Shouldn't you be complimenting him instead?\Surely you jest.\I should hardly call him a hero if he failed to stop the likes of you.\That man lacks the skills to make a master swordsman reveal their name.\Saber is here?\How can this be?\Weight, power, speed... I have the advantage in all of them. response:	Why can I not break his defense?
context: Shouldn't you be complimenting him instead?\Surely you jest.\I should hardly call him a hero if he failed to stop the likes of you.\That man lacks the skills to make a master swordsman reveal their name.\Saber is here?\How can this be?\Weight, power, speed... I have the advantage in all of them.\Why can I not break his defense? response:	Oh, well done.
context: Surely you jest.\I should hardly call him a hero if he failed to stop the likes of you.\That man lacks the skills to make a master swordsman reveal their name.\Saber is here?\How can this be?\Weight, power, speed... I have the advantage in all of them.\Why can I not break his defense?\Oh, well done. response:	I should have taken your head seven times, but it remains attached.
context: I should hardly call him a hero if he failed to stop the likes of you.\That man lacks the skills to make a master swordsman reveal their name.\Saber is here?\How can this be?\Weight, power, speed... I have the advantage in all of them.\Why can I not break his defense?\Oh, well done.\I should have taken your head seven times, but it remains attached. response:	It appears Western swordplay is more than mere flailing, after all.
context: That man lacks the skills to make a master swordsman reveal their name.\Saber is here?\How can this be?\Weight, power, speed... I have the advantage in all of them.\Why can I not break his defense?\Oh, well done.\I should have taken your head seven times, but it remains attached.\It appears Western swordplay is more than mere flailing, after all. response:	And you, as well. For a man of such slight build, your technique is impressive.
context: Saber is here?\How can this be?\Weight, power, speed... I have the advantage in all of them.\Why can I not break his defense?\Oh, well done.\I should have taken your head seven times, but it remains attached.\It appears Western swordplay is more than mere flailing, after all.\And you, as well. For a man of such slight build, your technique is impressive. response:	If nothing else, you are skilled in trickery.
context: How can this be?\Weight, power, speed... I have the advantage in all of them.\Why can I not break his defense?\Oh, well done.\I should have taken your head seven times, but it remains attached.\It appears Western swordplay is more than mere flailing, after all.\And you, as well. For a man of such slight build, your technique is impressive.\If nothing else, you are skilled in trickery. response:	Of course. You have the edge in both strength and spirit.
context: Weight, power, speed... I have the advantage in all of them.\Why can I not break his defense?\Oh, well done.\I should have taken your head seven times, but it remains attached.\It appears Western swordplay is more than mere flailing, after all.\And you, as well. For a man of such slight build, your technique is impressive.\If nothing else, you are skilled in trickery.\Of course. You have the edge in both strength and spirit. response:	That leaves me only my wiles to defeat you.
context: Why can I not break his defense?\Oh, well done.\I should have taken your head seven times, but it remains attached.\It appears Western swordplay is more than mere flailing, after all.\And you, as well. For a man of such slight build, your technique is impressive.\If nothing else, you are skilled in trickery.\Of course. You have the edge in both strength and spirit.\That leaves me only my wiles to defeat you. response:	I have nearly adjusted to your invisible sword, as well.
context: Oh, well done.\I should have taken your head seven times, but it remains attached.\It appears Western swordplay is more than mere flailing, after all.\And you, as well. For a man of such slight build, your technique is impressive.\If nothing else, you are skilled in trickery.\Of course. You have the edge in both strength and spirit.\That leaves me only my wiles to defeat you.\I have nearly adjusted to your invisible sword, as well. response:	Just from that brief exchange?
context: I should have taken your head seven times, but it remains attached.\It appears Western swordplay is more than mere flailing, after all.\And you, as well. For a man of such slight build, your technique is impressive.\If nothing else, you are skilled in trickery.\Of course. You have the edge in both strength and spirit.\That leaves me only my wiles to defeat you.\I have nearly adjusted to your invisible sword, as well.\Just from that brief exchange? response:	Does this Servant surpass me so greatly in sword technique?
context: It appears Western swordplay is more than mere flailing, after all.\And you, as well. For a man of such slight build, your technique is impressive.\If nothing else, you are skilled in trickery.\Of course. You have the edge in both strength and spirit.\That leaves me only my wiles to defeat you.\I have nearly adjusted to your invisible sword, as well.\Just from that brief exchange?\Does this Servant surpass me so greatly in sword technique? response:	Now, let us continue.
context: And you, as well. For a man of such slight build, your technique is impressive.\If nothing else, you are skilled in trickery.\Of course. You have the edge in both strength and spirit.\That leaves me only my wiles to defeat you.\I have nearly adjusted to your invisible sword, as well.\Just from that brief exchange?\Does this Servant surpass me so greatly in sword technique?\Now, let us continue. response:	Show me what you are really capable of, Saber.
context: If nothing else, you are skilled in trickery.\Of course. You have the edge in both strength and spirit.\That leaves me only my wiles to defeat you.\I have nearly adjusted to your invisible sword, as well.\Just from that brief exchange?\Does this Servant surpass me so greatly in sword technique?\Now, let us continue.\Show me what you are really capable of, Saber. response:	Shirou... Hold on.
context: Of course. You have the edge in both strength and spirit.\That leaves me only my wiles to defeat you.\I have nearly adjusted to your invisible sword, as well.\Just from that brief exchange?\Does this Servant surpass me so greatly in sword technique?\Now, let us continue.\Show me what you are really capable of, Saber.\Shirou... Hold on. response:	From what you've said, your Masters work together?
context: That leaves me only my wiles to defeat you.\I have nearly adjusted to your invisible sword, as well.\Just from that brief exchange?\Does this Servant surpass me so greatly in sword technique?\Now, let us continue.\Show me what you are really capable of, Saber.\Shirou... Hold on.\From what you've said, your Masters work together? response:	Work together?
context: I have nearly adjusted to your invisible sword, as well.\Just from that brief exchange?\Does this Servant surpass me so greatly in sword technique?\Now, let us continue.\Show me what you are really capable of, Saber.\Shirou... Hold on.\From what you've said, your Masters work together?\Work together? response:	Yes...
context: Just from that brief exchange?\Does this Servant surpass me so greatly in sword technique?\Now, let us continue.\Show me what you are really capable of, Saber.\Shirou... Hold on.\From what you've said, your Masters work together?\Work together?\Yes... response:	Assassin guards the gate, and Caster lurks within.
context: Does this Servant surpass me so greatly in sword technique?\Now, let us continue.\Show me what you are really capable of, Saber.\Shirou... Hold on.\From what you've said, your Masters work together?\Work together?\Yes...\Assassin guards the gate, and Caster lurks within. response:	Isn't it obvious these two are allied?
context: Now, let us continue.\Show me what you are really capable of, Saber.\Shirou... Hold on.\From what you've said, your Masters work together?\Work together?\Yes...\Assassin guards the gate, and Caster lurks within.\Isn't it obvious these two are allied? response:	It isn't particularly unusual.
context: Show me what you are really capable of, Saber.\Shirou... Hold on.\From what you've said, your Masters work together?\Work together?\Yes...\Assassin guards the gate, and Caster lurks within.\Isn't it obvious these two are allied?\It isn't particularly unusual. response:	For example, you and Rin have joined forces.
context: Shirou... Hold on.\From what you've said, your Masters work together?\Work together?\Yes...\Assassin guards the gate, and Caster lurks within.\Isn't it obvious these two are allied?\It isn't particularly unusual.\For example, you and Rin have joined forces. response:	Me? Work with that dog?
context: From what you've said, your Masters work together?\Work together?\Yes...\Assassin guards the gate, and Caster lurks within.\Isn't it obvious these two are allied?\It isn't particularly unusual.\For example, you and Rin have joined forces.\Me? Work with that dog? response:	With Assassin, who is no more than my pawn?
context: Work together?\Yes...\Assassin guards the gate, and Caster lurks within.\Isn't it obvious these two are allied?\It isn't particularly unusual.\For example, you and Rin have joined forces.\Me? Work with that dog?\With Assassin, who is no more than my pawn? response:	Your pawn?
context: Yes...\Assassin guards the gate, and Caster lurks within.\Isn't it obvious these two are allied?\It isn't particularly unusual.\For example, you and Rin have joined forces.\Me? Work with that dog?\With Assassin, who is no more than my pawn?\Your pawn? response:	Yes.
context: Assassin guards the gate, and Caster lurks within.\Isn't it obvious these two are allied?\It isn't particularly unusual.\For example, you and Rin have joined forces.\Me? Work with that dog?\With Assassin, who is no more than my pawn?\Your pawn?\Yes. response:	That dog has no Master, you see.
context: Isn't it obvious these two are allied?\It isn't particularly unusual.\For example, you and Rin have joined forces.\Me? Work with that dog?\With Assassin, who is no more than my pawn?\Your pawn?\Yes.\That dog has no Master, you see. response:	What?
context: It isn't particularly unusual.\For example, you and Rin have joined forces.\Me? Work with that dog?\With Assassin, who is no more than my pawn?\Your pawn?\Yes.\That dog has no Master, you see.\What? response:	Caster,
context: For example, you and Rin have joined forces.\Me? Work with that dog?\With Assassin, who is no more than my pawn?\Your pawn?\Yes.\That dog has no Master, you see.\What?\Caster, response:	you broke the rules!
context: Me? Work with that dog?\With Assassin, who is no more than my pawn?\Your pawn?\Yes.\That dog has no Master, you see.\What?\Caster,\you broke the rules! response:	What's wrong with a mage such as myself summoning a Servant?
context: With Assassin, who is no more than my pawn?\Your pawn?\Yes.\That dog has no Master, you see.\What?\Caster,\you broke the rules!\What's wrong with a mage such as myself summoning a Servant? response:	Caster summoned Assassin?
context: Your pawn?\Yes.\That dog has no Master, you see.\What?\Caster,\you broke the rules!\What's wrong with a mage such as myself summoning a Servant?\Caster summoned Assassin? response:	You're saying that a Servant summoned another Servant?
