context: Thank you, Lucy-san! response:	I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!
context: Thank you, Lucy-san!\I can't hold a candle to Cancer, but I'm pretty good if I do say so myself! response:	Yes, you're really good!
context: Thank you, Lucy-san!\I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!\Yes, you're really good! response:	And it feels great doing this outdoors, doesn't it?
context: Thank you, Lucy-san!\I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!\Yes, you're really good!\And it feels great doing this outdoors, doesn't it? response:	Not to mention unusually quiet!
context: Thank you, Lucy-san!\I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!\Yes, you're really good!\And it feels great doing this outdoors, doesn't it?\Not to mention unusually quiet! response:	It actually feels kind of peaceful.
context: Thank you, Lucy-san!\I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!\Yes, you're really good!\And it feels great doing this outdoors, doesn't it?\Not to mention unusually quiet!\It actually feels kind of peaceful. response:	Although with this guild, you know the peace isn't going to last long...
context: Thank you, Lucy-san!\I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!\Yes, you're really good!\And it feels great doing this outdoors, doesn't it?\Not to mention unusually quiet!\It actually feels kind of peaceful.\Although with this guild, you know the peace isn't going to last long... response:	You're probably right.
context: Thank you, Lucy-san!\I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!\Yes, you're really good!\And it feels great doing this outdoors, doesn't it?\Not to mention unusually quiet!\It actually feels kind of peaceful.\Although with this guild, you know the peace isn't going to last long...\You're probably right. response:	Hey!
context: I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!\Yes, you're really good!\And it feels great doing this outdoors, doesn't it?\Not to mention unusually quiet!\It actually feels kind of peaceful.\Although with this guild, you know the peace isn't going to last long...\You're probably right.\Hey! response:	See?
context: Yes, you're really good!\And it feels great doing this outdoors, doesn't it?\Not to mention unusually quiet!\It actually feels kind of peaceful.\Although with this guild, you know the peace isn't going to last long...\You're probably right.\Hey!\See? response:	This peace didn't last long at all...
context: And it feels great doing this outdoors, doesn't it?\Not to mention unusually quiet!\It actually feels kind of peaceful.\Although with this guild, you know the peace isn't going to last long...\You're probably right.\Hey!\See?\This peace didn't last long at all... response:	Hey, Happy!
context: Not to mention unusually quiet!\It actually feels kind of peaceful.\Although with this guild, you know the peace isn't going to last long...\You're probably right.\Hey!\See?\This peace didn't last long at all...\Hey, Happy! response:	Fish?!
context: It actually feels kind of peaceful.\Although with this guild, you know the peace isn't going to last long...\You're probably right.\Hey!\See?\This peace didn't last long at all...\Hey, Happy!\Fish?! response:	Oh, just Natsu...
context: Although with this guild, you know the peace isn't going to last long...\You're probably right.\Hey!\See?\This peace didn't last long at all...\Hey, Happy!\Fish?!\Oh, just Natsu... response:	Don't give me just Natsu!
context: You're probably right.\Hey!\See?\This peace didn't last long at all...\Hey, Happy!\Fish?!\Oh, just Natsu...\Don't give me just Natsu! response:	What are you mad about?
context: Hey!\See?\This peace didn't last long at all...\Hey, Happy!\Fish?!\Oh, just Natsu...\Don't give me just Natsu!\What are you mad about? response:	At any rate, dream or not, all those fish were there for the taking...
context: See?\This peace didn't last long at all...\Hey, Happy!\Fish?!\Oh, just Natsu...\Don't give me just Natsu!\What are you mad about?\At any rate, dream or not, all those fish were there for the taking... response:	I was shocked...
context: This peace didn't last long at all...\Hey, Happy!\Fish?!\Oh, just Natsu...\Don't give me just Natsu!\What are you mad about?\At any rate, dream or not, all those fish were there for the taking...\I was shocked... response:	Hey!
context: Hey, Happy!\Fish?!\Oh, just Natsu...\Don't give me just Natsu!\What are you mad about?\At any rate, dream or not, all those fish were there for the taking...\I was shocked...\Hey! response:	What is it you want?!
context: Fish?!\Oh, just Natsu...\Don't give me just Natsu!\What are you mad about?\At any rate, dream or not, all those fish were there for the taking...\I was shocked...\Hey!\What is it you want?! response:	You're my partner, aren't you?!
context: Oh, just Natsu...\Don't give me just Natsu!\What are you mad about?\At any rate, dream or not, all those fish were there for the taking...\I was shocked...\Hey!\What is it you want?!\You're my partner, aren't you?! response:	Yes, that's right.
context: Don't give me just Natsu!\What are you mad about?\At any rate, dream or not, all those fish were there for the taking...\I was shocked...\Hey!\What is it you want?!\You're my partner, aren't you?!\Yes, that's right. response:	And right now, I'm cleaning the backyard.
context: What are you mad about?\At any rate, dream or not, all those fish were there for the taking...\I was shocked...\Hey!\What is it you want?!\You're my partner, aren't you?!\Yes, that's right.\And right now, I'm cleaning the backyard. response:	Like this...
context: At any rate, dream or not, all those fish were there for the taking...\I was shocked...\Hey!\What is it you want?!\You're my partner, aren't you?!\Yes, that's right.\And right now, I'm cleaning the backyard.\Like this... response:	Well, sure. It's your turn!
context: I was shocked...\Hey!\What is it you want?!\You're my partner, aren't you?!\Yes, that's right.\And right now, I'm cleaning the backyard.\Like this...\Well, sure. It's your turn! response:	If it's my turn, why isn't my partner helpin' me?!
context: Hey!\What is it you want?!\You're my partner, aren't you?!\Yes, that's right.\And right now, I'm cleaning the backyard.\Like this...\Well, sure. It's your turn!\If it's my turn, why isn't my partner helpin' me?! response:	It doesn't make sense, right?!
context: What is it you want?!\You're my partner, aren't you?!\Yes, that's right.\And right now, I'm cleaning the backyard.\Like this...\Well, sure. It's your turn!\If it's my turn, why isn't my partner helpin' me?!\It doesn't make sense, right?! response:	It makes plenty sense!
context: You're my partner, aren't you?!\Yes, that's right.\And right now, I'm cleaning the backyard.\Like this...\Well, sure. It's your turn!\If it's my turn, why isn't my partner helpin' me?!\It doesn't make sense, right?!\It makes plenty sense! response:	How incredibly trivial...
context: Yes, that's right.\And right now, I'm cleaning the backyard.\Like this...\Well, sure. It's your turn!\If it's my turn, why isn't my partner helpin' me?!\It doesn't make sense, right?!\It makes plenty sense!\How incredibly trivial... response:	No, it doesn't!
context: And right now, I'm cleaning the backyard.\Like this...\Well, sure. It's your turn!\If it's my turn, why isn't my partner helpin' me?!\It doesn't make sense, right?!\It makes plenty sense!\How incredibly trivial...\No, it doesn't! response:	No different than usual, though...
context: Like this...\Well, sure. It's your turn!\If it's my turn, why isn't my partner helpin' me?!\It doesn't make sense, right?!\It makes plenty sense!\How incredibly trivial...\No, it doesn't!\No different than usual, though... response:	That's different than this.
context: Well, sure. It's your turn!\If it's my turn, why isn't my partner helpin' me?!\It doesn't make sense, right?!\It makes plenty sense!\How incredibly trivial...\No, it doesn't!\No different than usual, though...\That's different than this. response:	After all, it's not my turn today.
context: If it's my turn, why isn't my partner helpin' me?!\It doesn't make sense, right?!\It makes plenty sense!\How incredibly trivial...\No, it doesn't!\No different than usual, though...\That's different than this.\After all, it's not my turn today. response:	Happy, when did you turn so cold?!
context: It doesn't make sense, right?!\It makes plenty sense!\How incredibly trivial...\No, it doesn't!\No different than usual, though...\That's different than this.\After all, it's not my turn today.\Happy, when did you turn so cold?! response:	I'm not cold!
context: It makes plenty sense!\How incredibly trivial...\No, it doesn't!\No different than usual, though...\That's different than this.\After all, it's not my turn today.\Happy, when did you turn so cold?!\I'm not cold! response:	Look, it's a beautiful day, isn't it?
context: How incredibly trivial...\No, it doesn't!\No different than usual, though...\That's different than this.\After all, it's not my turn today.\Happy, when did you turn so cold?!\I'm not cold!\Look, it's a beautiful day, isn't it? response:	The sun is pleasantly warm...
context: No, it doesn't!\No different than usual, though...\That's different than this.\After all, it's not my turn today.\Happy, when did you turn so cold?!\I'm not cold!\Look, it's a beautiful day, isn't it?\The sun is pleasantly warm... response:	Why are you two arguing over nonsense?
context: No different than usual, though...\That's different than this.\After all, it's not my turn today.\Happy, when did you turn so cold?!\I'm not cold!\Look, it's a beautiful day, isn't it?\The sun is pleasantly warm...\Why are you two arguing over nonsense? response:	At least clean up without bitching about it!
context: That's different than this.\After all, it's not my turn today.\Happy, when did you turn so cold?!\I'm not cold!\Look, it's a beautiful day, isn't it?\The sun is pleasantly warm...\Why are you two arguing over nonsense?\At least clean up without bitching about it! response:	What's that, Gray?!
context: After all, it's not my turn today.\Happy, when did you turn so cold?!\I'm not cold!\Look, it's a beautiful day, isn't it?\The sun is pleasantly warm...\Why are you two arguing over nonsense?\At least clean up without bitching about it!\What's that, Gray?! response:	I never said I had a beef with cleaning! Happy's the one...
context: Happy, when did you turn so cold?!\I'm not cold!\Look, it's a beautiful day, isn't it?\The sun is pleasantly warm...\Why are you two arguing over nonsense?\At least clean up without bitching about it!\What's that, Gray?!\I never said I had a beef with cleaning! Happy's the one... response:	Isn't it a beautiful day, Carla?
