context: Soccer Tournament Go, 1-6! response:	Okay! Go, class 3!
context: Soccer Tournament Go, 1-6!\Okay! Go, class 3! response:	Go, go, go!
context: Soccer Tournament Go, 1-6!\Okay! Go, class 3!\Go, go, go! response:	There's no one in front of the goal!
context: Soccer Tournament Go, 1-6!\Okay! Go, class 3!\Go, go, go!\There's no one in front of the goal! response:	Oh
context: Soccer Tournament Go, 1-6!\Okay! Go, class 3!\Go, go, go!\There's no one in front of the goal!\Oh response:	I am Gouda Takeo.
context: Soccer Tournament Go, 1-6!\Okay! Go, class 3!\Go, go, go!\There's no one in front of the goal!\Oh\I am Gouda Takeo. response:	I will protect this goal!
context: Soccer Tournament Go, 1-6!\Okay! Go, class 3!\Go, go, go!\There's no one in front of the goal!\Oh\I am Gouda Takeo.\I will protect this goal! response:	Takeo's the goalkeeper? That's cheating!
context: Soccer Tournament Go, 1-6!\Okay! Go, class 3!\Go, go, go!\There's no one in front of the goal!\Oh\I am Gouda Takeo.\I will protect this goal!\Takeo's the goalkeeper? That's cheating! response:	I can barely see the goal!
context: Okay! Go, class 3!\Go, go, go!\There's no one in front of the goal!\Oh\I am Gouda Takeo.\I will protect this goal!\Takeo's the goalkeeper? That's cheating!\I can barely see the goal! response:	He's way too quick!
context: Go, go, go!\There's no one in front of the goal!\Oh\I am Gouda Takeo.\I will protect this goal!\Takeo's the goalkeeper? That's cheating!\I can barely see the goal!\He's way too quick! response:	Crap!
context: There's no one in front of the goal!\Oh\I am Gouda Takeo.\I will protect this goal!\Takeo's the goalkeeper? That's cheating!\I can barely see the goal!\He's way too quick!\Crap! response:	His throw is like a speeding bullet!
context: Oh\I am Gouda Takeo.\I will protect this goal!\Takeo's the goalkeeper? That's cheating!\I can barely see the goal!\He's way too quick!\Crap!\His throw is like a speeding bullet! response:	My Grades
context: I am Gouda Takeo.\I will protect this goal!\Takeo's the goalkeeper? That's cheating!\I can barely see the goal!\He's way too quick!\Crap!\His throw is like a speeding bullet!\My Grades response:	The guys are advancing to the finals!
context: I will protect this goal!\Takeo's the goalkeeper? That's cheating!\I can barely see the goal!\He's way too quick!\Crap!\His throw is like a speeding bullet!\My Grades\The guys are advancing to the finals! response:	Wow!
context: Takeo's the goalkeeper? That's cheating!\I can barely see the goal!\He's way too quick!\Crap!\His throw is like a speeding bullet!\My Grades\The guys are advancing to the finals!\Wow! response:	Won't they be up against third-years?
context: I can barely see the goal!\He's way too quick!\Crap!\His throw is like a speeding bullet!\My Grades\The guys are advancing to the finals!\Wow!\Won't they be up against third-years? response:	I'm totally intimidated by that goalkeeper.
context: He's way too quick!\Crap!\His throw is like a speeding bullet!\My Grades\The guys are advancing to the finals!\Wow!\Won't they be up against third-years?\I'm totally intimidated by that goalkeeper. response:	He's so tall, he's screwing up my perspective.
context: Crap!\His throw is like a speeding bullet!\My Grades\The guys are advancing to the finals!\Wow!\Won't they be up against third-years?\I'm totally intimidated by that goalkeeper.\He's so tall, he's screwing up my perspective. response:	I doubt we can get any shots past him.
context: His throw is like a speeding bullet!\My Grades\The guys are advancing to the finals!\Wow!\Won't they be up against third-years?\I'm totally intimidated by that goalkeeper.\He's so tall, he's screwing up my perspective.\I doubt we can get any shots past him. response:	First Half 0-0 Second Half 1-0
context: My Grades\The guys are advancing to the finals!\Wow!\Won't they be up against third-years?\I'm totally intimidated by that goalkeeper.\He's so tall, he's screwing up my perspective.\I doubt we can get any shots past him.\First Half 0-0 Second Half 1-0 response:	Congratulations, class 1-6.
context: The guys are advancing to the finals!\Wow!\Won't they be up against third-years?\I'm totally intimidated by that goalkeeper.\He's so tall, he's screwing up my perspective.\I doubt we can get any shots past him.\First Half 0-0 Second Half 1-0\Congratulations, class 1-6. response:	Takeo, we did it!
context: Wow!\Won't they be up against third-years?\I'm totally intimidated by that goalkeeper.\He's so tall, he's screwing up my perspective.\I doubt we can get any shots past him.\First Half 0-0 Second Half 1-0\Congratulations, class 1-6.\Takeo, we did it! response:	Well, we'd already given up before the fight even began.
context: Won't they be up against third-years?\I'm totally intimidated by that goalkeeper.\He's so tall, he's screwing up my perspective.\I doubt we can get any shots past him.\First Half 0-0 Second Half 1-0\Congratulations, class 1-6.\Takeo, we did it!\Well, we'd already given up before the fight even began. response:	Using Gouda is cheating...
context: I'm totally intimidated by that goalkeeper.\He's so tall, he's screwing up my perspective.\I doubt we can get any shots past him.\First Half 0-0 Second Half 1-0\Congratulations, class 1-6.\Takeo, we did it!\Well, we'd already given up before the fight even began.\Using Gouda is cheating... response:	It's thanks to you, Takeo!
context: He's so tall, he's screwing up my perspective.\I doubt we can get any shots past him.\First Half 0-0 Second Half 1-0\Congratulations, class 1-6.\Takeo, we did it!\Well, we'd already given up before the fight even began.\Using Gouda is cheating...\It's thanks to you, Takeo! response:	Nah, we all did this.
context: I doubt we can get any shots past him.\First Half 0-0 Second Half 1-0\Congratulations, class 1-6.\Takeo, we did it!\Well, we'd already given up before the fight even began.\Using Gouda is cheating...\It's thanks to you, Takeo!\Nah, we all did this. response:	Congrats, guys!
context: First Half 0-0 Second Half 1-0\Congratulations, class 1-6.\Takeo, we did it!\Well, we'd already given up before the fight even began.\Using Gouda is cheating...\It's thanks to you, Takeo!\Nah, we all did this.\Congrats, guys! response:	Congrats!
context: Congratulations, class 1-6.\Takeo, we did it!\Well, we'd already given up before the fight even began.\Using Gouda is cheating...\It's thanks to you, Takeo!\Nah, we all did this.\Congrats, guys!\Congrats! response:	Takeo-kun, congratulations!
context: Takeo, we did it!\Well, we'd already given up before the fight even began.\Using Gouda is cheating...\It's thanks to you, Takeo!\Nah, we all did this.\Congrats, guys!\Congrats!\Takeo-kun, congratulations! response:	Yamato...
context: Well, we'd already given up before the fight even began.\Using Gouda is cheating...\It's thanks to you, Takeo!\Nah, we all did this.\Congrats, guys!\Congrats!\Takeo-kun, congratulations!\Yamato... response:	I wonder what she's up to.
context: Using Gouda is cheating...\It's thanks to you, Takeo!\Nah, we all did this.\Congrats, guys!\Congrats!\Takeo-kun, congratulations!\Yamato...\I wonder what she's up to. response:	I hope she's okay.
context: It's thanks to you, Takeo!\Nah, we all did this.\Congrats, guys!\Congrats!\Takeo-kun, congratulations!\Yamato...\I wonder what she's up to.\I hope she's okay. response:	You Have A New Message View
context: Nah, we all did this.\Congrats, guys!\Congrats!\Takeo-kun, congratulations!\Yamato...\I wonder what she's up to.\I hope she's okay.\You Have A New Message View response:	Oh.
context: Congrats, guys!\Congrats!\Takeo-kun, congratulations!\Yamato...\I wonder what she's up to.\I hope she's okay.\You Have A New Message View\Oh. response:	Takeo-kun, how are you?
context: Congrats!\Takeo-kun, congratulations!\Yamato...\I wonder what she's up to.\I hope she's okay.\You Have A New Message View\Oh.\Takeo-kun, how are you? response:	I'm fine.
context: Takeo-kun, congratulations!\Yamato...\I wonder what she's up to.\I hope she's okay.\You Have A New Message View\Oh.\Takeo-kun, how are you?\I'm fine. response:	I'm going skating with friends.
context: Yamato...\I wonder what she's up to.\I hope she's okay.\You Have A New Message View\Oh.\Takeo-kun, how are you?\I'm fine.\I'm going skating with friends. response:	If you aren't too busy, want to join us, with your friends?
context: I wonder what she's up to.\I hope she's okay.\You Have A New Message View\Oh.\Takeo-kun, how are you?\I'm fine.\I'm going skating with friends.\If you aren't too busy, want to join us, with your friends? response:	Guess she's fine.
context: I hope she's okay.\You Have A New Message View\Oh.\Takeo-kun, how are you?\I'm fine.\I'm going skating with friends.\If you aren't too busy, want to join us, with your friends?\Guess she's fine. response:	Yamato, I'm fine, too.
context: You Have A New Message View\Oh.\Takeo-kun, how are you?\I'm fine.\I'm going skating with friends.\If you aren't too busy, want to join us, with your friends?\Guess she's fine.\Yamato, I'm fine, too. response:	Who wants to come with me today, to go skating with Yamato and her friends?
context: Oh.\Takeo-kun, how are you?\I'm fine.\I'm going skating with friends.\If you aren't too busy, want to join us, with your friends?\Guess she's fine.\Yamato, I'm fine, too.\Who wants to come with me today, to go skating with Yamato and her friends? response:	Me, me, me!
context: Takeo-kun, how are you?\I'm fine.\I'm going skating with friends.\If you aren't too busy, want to join us, with your friends?\Guess she's fine.\Yamato, I'm fine, too.\Who wants to come with me today, to go skating with Yamato and her friends?\Me, me, me! response:	You just went!
context: I'm fine.\I'm going skating with friends.\If you aren't too busy, want to join us, with your friends?\Guess she's fine.\Yamato, I'm fine, too.\Who wants to come with me today, to go skating with Yamato and her friends?\Me, me, me!\You just went! response:	It's my turn!
context: I'm going skating with friends.\If you aren't too busy, want to join us, with your friends?\Guess she's fine.\Yamato, I'm fine, too.\Who wants to come with me today, to go skating with Yamato and her friends?\Me, me, me!\You just went!\It's my turn! response:	I have a shift,
context: If you aren't too busy, want to join us, with your friends?\Guess she's fine.\Yamato, I'm fine, too.\Who wants to come with me today, to go skating with Yamato and her friends?\Me, me, me!\You just went!\It's my turn!\I have a shift, response:	but I'll just call in sick.
context: Guess she's fine.\Yamato, I'm fine, too.\Who wants to come with me today, to go skating with Yamato and her friends?\Me, me, me!\You just went!\It's my turn!\I have a shift,\but I'll just call in sick. response:	I'll go, too!
context: Yamato, I'm fine, too.\Who wants to come with me today, to go skating with Yamato and her friends?\Me, me, me!\You just went!\It's my turn!\I have a shift,\but I'll just call in sick.\I'll go, too! response:	Me, too.
context: Who wants to come with me today, to go skating with Yamato and her friends?\Me, me, me!\You just went!\It's my turn!\I have a shift,\but I'll just call in sick.\I'll go, too!\Me, too. response:	I don't like cold places.
context: Me, me, me!\You just went!\It's my turn!\I have a shift,\but I'll just call in sick.\I'll go, too!\Me, too.\I don't like cold places. response:	It'll be fine.
context: You just went!\It's my turn!\I have a shift,\but I'll just call in sick.\I'll go, too!\Me, too.\I don't like cold places.\It'll be fine. response:	I've never skated before.
context: It's my turn!\I have a shift,\but I'll just call in sick.\I'll go, too!\Me, too.\I don't like cold places.\It'll be fine.\I've never skated before. response:	Me, neither.
context: I have a shift,\but I'll just call in sick.\I'll go, too!\Me, too.\I don't like cold places.\It'll be fine.\I've never skated before.\Me, neither. response:	Takeo-kun!
context: but I'll just call in sick.\I'll go, too!\Me, too.\I don't like cold places.\It'll be fine.\I've never skated before.\Me, neither.\Takeo-kun! response:	I'm free. Five buddies can come along. Is that okay?
context: I'll go, too!\Me, too.\I don't like cold places.\It'll be fine.\I've never skated before.\Me, neither.\Takeo-kun!\I'm free. Five buddies can come along. Is that okay? response:	Sorry to keep you waiting!
context: Me, too.\I don't like cold places.\It'll be fine.\I've never skated before.\Me, neither.\Takeo-kun!\I'm free. Five buddies can come along. Is that okay?\Sorry to keep you waiting! response:	No, I wasn't waiting long.
context: I don't like cold places.\It'll be fine.\I've never skated before.\Me, neither.\Takeo-kun!\I'm free. Five buddies can come along. Is that okay?\Sorry to keep you waiting!\No, I wasn't waiting long. response:	So this is what it's like...
context: It'll be fine.\I've never skated before.\Me, neither.\Takeo-kun!\I'm free. Five buddies can come along. Is that okay?\Sorry to keep you waiting!\No, I wasn't waiting long.\So this is what it's like... response:	Triple Axel
context: I've never skated before.\Me, neither.\Takeo-kun!\I'm free. Five buddies can come along. Is that okay?\Sorry to keep you waiting!\No, I wasn't waiting long.\So this is what it's like...\Triple Axel response:	leading into
