context: The Third Plate response:	Twenty
context: The Third Plate\Twenty response:	Tadokoro Megumi, Takumi Aldini, and Dojima Gin.
context: The Third Plate\Twenty\Tadokoro Megumi, Takumi Aldini, and Dojima Gin. response:	They will be Team Dojima.
context: The Third Plate\Twenty\Tadokoro Megumi, Takumi Aldini, and Dojima Gin.\They will be Team Dojima. response:	Dojima
context: The Third Plate\Twenty\Tadokoro Megumi, Takumi Aldini, and Dojima Gin.\They will be Team Dojima.\Dojima response:	Yukihira Soma, Nakiri Erina, and Saiba Joichiro.
context: The Third Plate\Twenty\Tadokoro Megumi, Takumi Aldini, and Dojima Gin.\They will be Team Dojima.\Dojima\Yukihira Soma, Nakiri Erina, and Saiba Joichiro. response:	They will be Team Saiba.
context: The Third Plate\Twenty\Tadokoro Megumi, Takumi Aldini, and Dojima Gin.\They will be Team Dojima.\Dojima\Yukihira Soma, Nakiri Erina, and Saiba Joichiro.\They will be Team Saiba. response:	Saiba
context: The Third Plate\Twenty\Tadokoro Megumi, Takumi Aldini, and Dojima Gin.\They will be Team Dojima.\Dojima\Yukihira Soma, Nakiri Erina, and Saiba Joichiro.\They will be Team Saiba.\Saiba response:	As for the rules, you may not say a single word to each other while cooking.
context: Twenty\Tadokoro Megumi, Takumi Aldini, and Dojima Gin.\They will be Team Dojima.\Dojima\Yukihira Soma, Nakiri Erina, and Saiba Joichiro.\They will be Team Saiba.\Saiba\As for the rules, you may not say a single word to each other while cooking. response:	Food Wars
context: Tadokoro Megumi, Takumi Aldini, and Dojima Gin.\They will be Team Dojima.\Dojima\Yukihira Soma, Nakiri Erina, and Saiba Joichiro.\They will be Team Saiba.\Saiba\As for the rules, you may not say a single word to each other while cooking.\Food Wars response:	The Third Plate
context: They will be Team Dojima.\Dojima\Yukihira Soma, Nakiri Erina, and Saiba Joichiro.\They will be Team Saiba.\Saiba\As for the rules, you may not say a single word to each other while cooking.\Food Wars\The Third Plate response:	Totsuki Train Arc
context: Dojima\Yukihira Soma, Nakiri Erina, and Saiba Joichiro.\They will be Team Saiba.\Saiba\As for the rules, you may not say a single word to each other while cooking.\Food Wars\The Third Plate\Totsuki Train Arc response:	Erina's Diligent Studies
context: Yukihira Soma, Nakiri Erina, and Saiba Joichiro.\They will be Team Saiba.\Saiba\As for the rules, you may not say a single word to each other while cooking.\Food Wars\The Third Plate\Totsuki Train Arc\Erina's Diligent Studies response:	As such, there will be a Team Shokugeki on Rebun Island.
context: They will be Team Saiba.\Saiba\As for the rules, you may not say a single word to each other while cooking.\Food Wars\The Third Plate\Totsuki Train Arc\Erina's Diligent Studies\As such, there will be a Team Shokugeki on Rebun Island. response:	What do you all think?
context: Saiba\As for the rules, you may not say a single word to each other while cooking.\Food Wars\The Third Plate\Totsuki Train Arc\Erina's Diligent Studies\As such, there will be a Team Shokugeki on Rebun Island.\What do you all think? response:	Are you all right with this?
context: As for the rules, you may not say a single word to each other while cooking.\Food Wars\The Third Plate\Totsuki Train Arc\Erina's Diligent Studies\As such, there will be a Team Shokugeki on Rebun Island.\What do you all think?\Are you all right with this? response:	I'm fine with it.
context: Food Wars\The Third Plate\Totsuki Train Arc\Erina's Diligent Studies\As such, there will be a Team Shokugeki on Rebun Island.\What do you all think?\Are you all right with this?\I'm fine with it. response:	Kinokuni Nene
context: The Third Plate\Totsuki Train Arc\Erina's Diligent Studies\As such, there will be a Team Shokugeki on Rebun Island.\What do you all think?\Are you all right with this?\I'm fine with it.\Kinokuni Nene response:	What about you guys?
context: Totsuki Train Arc\Erina's Diligent Studies\As such, there will be a Team Shokugeki on Rebun Island.\What do you all think?\Are you all right with this?\I'm fine with it.\Kinokuni Nene\What about you guys? response:	Are you game?
context: Erina's Diligent Studies\As such, there will be a Team Shokugeki on Rebun Island.\What do you all think?\Are you all right with this?\I'm fine with it.\Kinokuni Nene\What about you guys?\Are you game? response:	A Team Shokugeki!
