context: Kiss Him, Not Me response:	On a Journey to the Holy Land of Kachu Rabu
context: Kiss Him, Not Me\On a Journey to the Holy Land of Kachu Rabu response:	Th-This Saturday is the anniversary of the lord's death.
context: Kiss Him, Not Me\On a Journey to the Holy Land of Kachu Rabu\Th-This Saturday is the anniversary of the lord's death. response:	Huh?
context: Kiss Him, Not Me\On a Journey to the Holy Land of Kachu Rabu\Th-This Saturday is the anniversary of the lord's death.\Huh? response:	The samurai that Kachu Rabu's lord was modeled after.
context: Kiss Him, Not Me\On a Journey to the Holy Land of Kachu Rabu\Th-This Saturday is the anniversary of the lord's death.\Huh?\The samurai that Kachu Rabu's lord was modeled after. response:	Hyakki Sametora. It's the anniversary of his death.
context: Kiss Him, Not Me\On a Journey to the Holy Land of Kachu Rabu\Th-This Saturday is the anniversary of the lord's death.\Huh?\The samurai that Kachu Rabu's lord was modeled after.\Hyakki Sametora. It's the anniversary of his death. response:	Sametora? They picked someone pretty rough.
context: Kiss Him, Not Me\On a Journey to the Holy Land of Kachu Rabu\Th-This Saturday is the anniversary of the lord's death.\Huh?\The samurai that Kachu Rabu's lord was modeled after.\Hyakki Sametora. It's the anniversary of his death.\Sametora? They picked someone pretty rough. response:	They're holding a requiem mass for him at 7 AM.
context: Kiss Him, Not Me\On a Journey to the Holy Land of Kachu Rabu\Th-This Saturday is the anniversary of the lord's death.\Huh?\The samurai that Kachu Rabu's lord was modeled after.\Hyakki Sametora. It's the anniversary of his death.\Sametora? They picked someone pretty rough.\They're holding a requiem mass for him at 7 AM. response:	So we wouldn't make it even if we left first thing in the morning.
context: On a Journey to the Holy Land of Kachu Rabu\Th-This Saturday is the anniversary of the lord's death.\Huh?\The samurai that Kachu Rabu's lord was modeled after.\Hyakki Sametora. It's the anniversary of his death.\Sametora? They picked someone pretty rough.\They're holding a requiem mass for him at 7 AM.\So we wouldn't make it even if we left first thing in the morning. response:	The night bus is already all booked!
context: Th-This Saturday is the anniversary of the lord's death.\Huh?\The samurai that Kachu Rabu's lord was modeled after.\Hyakki Sametora. It's the anniversary of his death.\Sametora? They picked someone pretty rough.\They're holding a requiem mass for him at 7 AM.\So we wouldn't make it even if we left first thing in the morning.\The night bus is already all booked! response:	How about my helicopter, then?
context: Huh?\The samurai that Kachu Rabu's lord was modeled after.\Hyakki Sametora. It's the anniversary of his death.\Sametora? They picked someone pretty rough.\They're holding a requiem mass for him at 7 AM.\So we wouldn't make it even if we left first thing in the morning.\The night bus is already all booked!\How about my helicopter, then? response:	No!
context: The samurai that Kachu Rabu's lord was modeled after.\Hyakki Sametora. It's the anniversary of his death.\Sametora? They picked someone pretty rough.\They're holding a requiem mass for him at 7 AM.\So we wouldn't make it even if we left first thing in the morning.\The night bus is already all booked!\How about my helicopter, then?\No! response:	It'll be rude to his soul if I don't go by my own means!
context: Hyakki Sametora. It's the anniversary of his death.\Sametora? They picked someone pretty rough.\They're holding a requiem mass for him at 7 AM.\So we wouldn't make it even if we left first thing in the morning.\The night bus is already all booked!\How about my helicopter, then?\No!\It'll be rude to his soul if I don't go by my own means! response:	This is...
context: Sametora? They picked someone pretty rough.\They're holding a requiem mass for him at 7 AM.\So we wouldn't make it even if we left first thing in the morning.\The night bus is already all booked!\How about my helicopter, then?\No!\It'll be rude to his soul if I don't go by my own means!\This is... response:	A pilgrimage, after all!
context: They're holding a requiem mass for him at 7 AM.\So we wouldn't make it even if we left first thing in the morning.\The night bus is already all booked!\How about my helicopter, then?\No!\It'll be rude to his soul if I don't go by my own means!\This is...\A pilgrimage, after all! response:	Shenpai!
context: So we wouldn't make it even if we left first thing in the morning.\The night bus is already all booked!\How about my helicopter, then?\No!\It'll be rude to his soul if I don't go by my own means!\This is...\A pilgrimage, after all!\Shenpai! response:	I'm so moved!
context: The night bus is already all booked!\How about my helicopter, then?\No!\It'll be rude to his soul if I don't go by my own means!\This is...\A pilgrimage, after all!\Shenpai!\I'm so moved! response:	This time, I'll slum it just like you, and we can go together!
context: How about my helicopter, then?\No!\It'll be rude to his soul if I don't go by my own means!\This is...\A pilgrimage, after all!\Shenpai!\I'm so moved!\This time, I'll slum it just like you, and we can go together! response:	Shima-chan.
context: No!\It'll be rude to his soul if I don't go by my own means!\This is...\A pilgrimage, after all!\Shenpai!\I'm so moved!\This time, I'll slum it just like you, and we can go together!\Shima-chan. response:	That was an insult just now, wasn't it?
context: It'll be rude to his soul if I don't go by my own means!\This is...\A pilgrimage, after all!\Shenpai!\I'm so moved!\This time, I'll slum it just like you, and we can go together!\Shima-chan.\That was an insult just now, wasn't it? response:	I suppose we'll have to go a day early, in that case.
context: This is...\A pilgrimage, after all!\Shenpai!\I'm so moved!\This time, I'll slum it just like you, and we can go together!\Shima-chan.\That was an insult just now, wasn't it?\I suppose we'll have to go a day early, in that case. response:	I think so. We'll have to search for a reasonable place to stay.
context: A pilgrimage, after all!\Shenpai!\I'm so moved!\This time, I'll slum it just like you, and we can go together!\Shima-chan.\That was an insult just now, wasn't it?\I suppose we'll have to go a day early, in that case.\I think so. We'll have to search for a reasonable place to stay. response:	Wait!
context: Shenpai!\I'm so moved!\This time, I'll slum it just like you, and we can go together!\Shima-chan.\That was an insult just now, wasn't it?\I suppose we'll have to go a day early, in that case.\I think so. We'll have to search for a reasonable place to stay.\Wait! response:	You'll spend the night alone together?
context: I'm so moved!\This time, I'll slum it just like you, and we can go together!\Shima-chan.\That was an insult just now, wasn't it?\I suppose we'll have to go a day early, in that case.\I think so. We'll have to search for a reasonable place to stay.\Wait!\You'll spend the night alone together? response:	What choice do we have?
context: This time, I'll slum it just like you, and we can go together!\Shima-chan.\That was an insult just now, wasn't it?\I suppose we'll have to go a day early, in that case.\I think so. We'll have to search for a reasonable place to stay.\Wait!\You'll spend the night alone together?\What choice do we have? response:	I mean, you guys aren't interested, are you?
