context: So what if you brought them over? So what if you have Drifters? response:	No matter how many of those idiots you transport here...
context: So what if you brought them over? So what if you have Drifters?\No matter how many of those idiots you transport here... response:	Black King Occupies Northern Fortress
context: So what if you brought them over? So what if you have Drifters?\No matter how many of those idiots you transport here...\Black King Occupies Northern Fortress response:	Black King Occupies Northern Fortress
context: So what if you brought them over? So what if you have Drifters?\No matter how many of those idiots you transport here...\Black King Occupies Northern Fortress\Black King Occupies Northern Fortress response:	Don't you know I'll be the victor? Don't waste your time fighting.
context: So what if you brought them over? So what if you have Drifters?\No matter how many of those idiots you transport here...\Black King Occupies Northern Fortress\Black King Occupies Northern Fortress\Don't you know I'll be the victor? Don't waste your time fighting. response:	Why don't you just meekly admit your defeat?!
context: So what if you brought them over? So what if you have Drifters?\No matter how many of those idiots you transport here...\Black King Occupies Northern Fortress\Black King Occupies Northern Fortress\Don't you know I'll be the victor? Don't waste your time fighting.\Why don't you just meekly admit your defeat?! response:	Murasaki.
context: So what if you brought them over? So what if you have Drifters?\No matter how many of those idiots you transport here...\Black King Occupies Northern Fortress\Black King Occupies Northern Fortress\Don't you know I'll be the victor? Don't waste your time fighting.\Why don't you just meekly admit your defeat?!\Murasaki. response:	Closed
context: So what if you brought them over? So what if you have Drifters?\No matter how many of those idiots you transport here...\Black King Occupies Northern Fortress\Black King Occupies Northern Fortress\Don't you know I'll be the victor? Don't waste your time fighting.\Why don't you just meekly admit your defeat?!\Murasaki.\Closed response:	Murasaki!
context: No matter how many of those idiots you transport here...\Black King Occupies Northern Fortress\Black King Occupies Northern Fortress\Don't you know I'll be the victor? Don't waste your time fighting.\Why don't you just meekly admit your defeat?!\Murasaki.\Closed\Murasaki! response:	Act 4 Active Heart
context: Black King Occupies Northern Fortress\Black King Occupies Northern Fortress\Don't you know I'll be the victor? Don't waste your time fighting.\Why don't you just meekly admit your defeat?!\Murasaki.\Closed\Murasaki!\Act 4 Active Heart response:	Those who, like yourselves, are transported from other worlds...
context: Black King Occupies Northern Fortress\Don't you know I'll be the victor? Don't waste your time fighting.\Why don't you just meekly admit your defeat?!\Murasaki.\Closed\Murasaki!\Act 4 Active Heart\Those who, like yourselves, are transported from other worlds... response:	And, those who, like Drifters, are brought to this world,
context: Don't you know I'll be the victor? Don't waste your time fighting.\Why don't you just meekly admit your defeat?!\Murasaki.\Closed\Murasaki!\Act 4 Active Heart\Those who, like yourselves, are transported from other worlds...\And, those who, like Drifters, are brought to this world, response:	but are inhuman and evil...
context: Why don't you just meekly admit your defeat?!\Murasaki.\Closed\Murasaki!\Act 4 Active Heart\Those who, like yourselves, are transported from other worlds...\And, those who, like Drifters, are brought to this world,\but are inhuman and evil... response:	Our goals as the Octobrists are to evaluate, monitor,
context: Murasaki.\Closed\Murasaki!\Act 4 Active Heart\Those who, like yourselves, are transported from other worlds...\And, those who, like Drifters, are brought to this world,\but are inhuman and evil...\Our goals as the Octobrists are to evaluate, monitor, response:	and unite those Drifters to stand against the Ends.
context: Closed\Murasaki!\Act 4 Active Heart\Those who, like yourselves, are transported from other worlds...\And, those who, like Drifters, are brought to this world,\but are inhuman and evil...\Our goals as the Octobrists are to evaluate, monitor,\and unite those Drifters to stand against the Ends. response:	Errr... can you untie me?
context: Murasaki!\Act 4 Active Heart\Those who, like yourselves, are transported from other worlds...\And, those who, like Drifters, are brought to this world,\but are inhuman and evil...\Our goals as the Octobrists are to evaluate, monitor,\and unite those Drifters to stand against the Ends.\Errr... can you untie me? response:	No way. I have no clue what you're talking about.
context: Act 4 Active Heart\Those who, like yourselves, are transported from other worlds...\And, those who, like Drifters, are brought to this world,\but are inhuman and evil...\Our goals as the Octobrists are to evaluate, monitor,\and unite those Drifters to stand against the Ends.\Errr... can you untie me?\No way. I have no clue what you're talking about. response:	Olminu from the Octobrist Organization, you totally misjudged me.
context: Those who, like yourselves, are transported from other worlds...\And, those who, like Drifters, are brought to this world,\but are inhuman and evil...\Our goals as the Octobrists are to evaluate, monitor,\and unite those Drifters to stand against the Ends.\Errr... can you untie me?\No way. I have no clue what you're talking about.\Olminu from the Octobrist Organization, you totally misjudged me. response:	I am the powerful Demon King of the Sixth Heaven. Good... Evil...
context: And, those who, like Drifters, are brought to this world,\but are inhuman and evil...\Our goals as the Octobrists are to evaluate, monitor,\and unite those Drifters to stand against the Ends.\Errr... can you untie me?\No way. I have no clue what you're talking about.\Olminu from the Octobrist Organization, you totally misjudged me.\I am the powerful Demon King of the Sixth Heaven. Good... Evil... response:	Who dares judge what I am?!
context: but are inhuman and evil...\Our goals as the Octobrists are to evaluate, monitor,\and unite those Drifters to stand against the Ends.\Errr... can you untie me?\No way. I have no clue what you're talking about.\Olminu from the Octobrist Organization, you totally misjudged me.\I am the powerful Demon King of the Sixth Heaven. Good... Evil...\Who dares judge what I am?! response:	I should be the absolute evil!
context: Our goals as the Octobrists are to evaluate, monitor,\and unite those Drifters to stand against the Ends.\Errr... can you untie me?\No way. I have no clue what you're talking about.\Olminu from the Octobrist Organization, you totally misjudged me.\I am the powerful Demon King of the Sixth Heaven. Good... Evil...\Who dares judge what I am?!\I should be the absolute evil! response:	Mutter mutter mutter
context: and unite those Drifters to stand against the Ends.\Errr... can you untie me?\No way. I have no clue what you're talking about.\Olminu from the Octobrist Organization, you totally misjudged me.\I am the powerful Demon King of the Sixth Heaven. Good... Evil...\Who dares judge what I am?!\I should be the absolute evil!\Mutter mutter mutter response:	Are you still doing that?
context: Errr... can you untie me?\No way. I have no clue what you're talking about.\Olminu from the Octobrist Organization, you totally misjudged me.\I am the powerful Demon King of the Sixth Heaven. Good... Evil...\Who dares judge what I am?!\I should be the absolute evil!\Mutter mutter mutter\Are you still doing that? response:	Aren't you embarrassed?
context: No way. I have no clue what you're talking about.\Olminu from the Octobrist Organization, you totally misjudged me.\I am the powerful Demon King of the Sixth Heaven. Good... Evil...\Who dares judge what I am?!\I should be the absolute evil!\Mutter mutter mutter\Are you still doing that?\Aren't you embarrassed? response:	Not at all.
context: Olminu from the Octobrist Organization, you totally misjudged me.\I am the powerful Demon King of the Sixth Heaven. Good... Evil...\Who dares judge what I am?!\I should be the absolute evil!\Mutter mutter mutter\Are you still doing that?\Aren't you embarrassed?\Not at all. response:	I see. As might be expected from a former hipster, you're thick-skinned.
context: I am the powerful Demon King of the Sixth Heaven. Good... Evil...\Who dares judge what I am?!\I should be the absolute evil!\Mutter mutter mutter\Are you still doing that?\Aren't you embarrassed?\Not at all.\I see. As might be expected from a former hipster, you're thick-skinned. response:	Then, which one are we supposed to be?
context: Who dares judge what I am?!\I should be the absolute evil!\Mutter mutter mutter\Are you still doing that?\Aren't you embarrassed?\Not at all.\I see. As might be expected from a former hipster, you're thick-skinned.\Then, which one are we supposed to be? response:	I don't think you are of the Ends.
context: I should be the absolute evil!\Mutter mutter mutter\Are you still doing that?\Aren't you embarrassed?\Not at all.\I see. As might be expected from a former hipster, you're thick-skinned.\Then, which one are we supposed to be?\I don't think you are of the Ends. response:	Why?
context: Mutter mutter mutter\Are you still doing that?\Aren't you embarrassed?\Not at all.\I see. As might be expected from a former hipster, you're thick-skinned.\Then, which one are we supposed to be?\I don't think you are of the Ends.\Why? response:	Those who are transported as the Ends are inhuman...
context: Are you still doing that?\Aren't you embarrassed?\Not at all.\I see. As might be expected from a former hipster, you're thick-skinned.\Then, which one are we supposed to be?\I don't think you are of the Ends.\Why?\Those who are transported as the Ends are inhuman... response:	They nourish a deep, deep loathing towards this world.
