context: He moved! response:	Is he waking up?
context: He moved!\Is he waking up? response:	Impossible! Sir Pheles, do something!
context: He moved!\Is he waking up?\Impossible! Sir Pheles, do something! response:	Right now I am but a worthless defendant.
context: He moved!\Is he waking up?\Impossible! Sir Pheles, do something!\Right now I am but a worthless defendant. response:	How could I possibly engage in this matter while the investigation is still ongoing?
context: He moved!\Is he waking up?\Impossible! Sir Pheles, do something!\Right now I am but a worthless defendant.\How could I possibly engage in this matter while the investigation is still ongoing? response:	It isn't that complicated!
context: He moved!\Is he waking up?\Impossible! Sir Pheles, do something!\Right now I am but a worthless defendant.\How could I possibly engage in this matter while the investigation is still ongoing?\It isn't that complicated! response:	Just order me to release Satan's son and turn him into a weapon for the Vatican!
context: He moved!\Is he waking up?\Impossible! Sir Pheles, do something!\Right now I am but a worthless defendant.\How could I possibly engage in this matter while the investigation is still ongoing?\It isn't that complicated!\Just order me to release Satan's son and turn him into a weapon for the Vatican! response:	I can feel...
context: He moved!\Is he waking up?\Impossible! Sir Pheles, do something!\Right now I am but a worthless defendant.\How could I possibly engage in this matter while the investigation is still ongoing?\It isn't that complicated!\Just order me to release Satan's son and turn him into a weapon for the Vatican!\I can feel... response:	The smell of Rin Okumura.
context: Is he waking up?\Impossible! Sir Pheles, do something!\Right now I am but a worthless defendant.\How could I possibly engage in this matter while the investigation is still ongoing?\It isn't that complicated!\Just order me to release Satan's son and turn him into a weapon for the Vatican!\I can feel...\The smell of Rin Okumura. response:	That way, huh?
context: Impossible! Sir Pheles, do something!\Right now I am but a worthless defendant.\How could I possibly engage in this matter while the investigation is still ongoing?\It isn't that complicated!\Just order me to release Satan's son and turn him into a weapon for the Vatican!\I can feel...\The smell of Rin Okumura.\That way, huh? response:	Ladies should stay back.
context: Right now I am but a worthless defendant.\How could I possibly engage in this matter while the investigation is still ongoing?\It isn't that complicated!\Just order me to release Satan's son and turn him into a weapon for the Vatican!\I can feel...\The smell of Rin Okumura.\That way, huh?\Ladies should stay back. response:	Shut up, you idiot! Baldy!
context: How could I possibly engage in this matter while the investigation is still ongoing?\It isn't that complicated!\Just order me to release Satan's son and turn him into a weapon for the Vatican!\I can feel...\The smell of Rin Okumura.\That way, huh?\Ladies should stay back.\Shut up, you idiot! Baldy! response:	Caliburn, give me strength.
context: It isn't that complicated!\Just order me to release Satan's son and turn him into a weapon for the Vatican!\I can feel...\The smell of Rin Okumura.\That way, huh?\Ladies should stay back.\Shut up, you idiot! Baldy!\Caliburn, give me strength. response:	Ooh Mister Arthur, you're so violent
context: Just order me to release Satan's son and turn him into a weapon for the Vatican!\I can feel...\The smell of Rin Okumura.\That way, huh?\Ladies should stay back.\Shut up, you idiot! Baldy!\Caliburn, give me strength.\Ooh Mister Arthur, you're so violent response:	Kirigakure Demon Sword Technique: Slither!
context: I can feel...\The smell of Rin Okumura.\That way, huh?\Ladies should stay back.\Shut up, you idiot! Baldy!\Caliburn, give me strength.\Ooh Mister Arthur, you're so violent\Kirigakure Demon Sword Technique: Slither! response:	Snakefang!
