context: Give it a rest. response:	You're the one who doesn't get it!
context: Give it a rest.\You're the one who doesn't get it! response:	I-I don't get it?
context: Give it a rest.\You're the one who doesn't get it!\I-I don't get it? response:	Don't worry about it! Let's go!
context: Give it a rest.\You're the one who doesn't get it!\I-I don't get it?\Don't worry about it! Let's go! response:	Why did you come? If the Hollow Shadow shows up...
context: Give it a rest.\You're the one who doesn't get it!\I-I don't get it?\Don't worry about it! Let's go!\Why did you come? If the Hollow Shadow shows up... response:	Anemia?
context: Give it a rest.\You're the one who doesn't get it!\I-I don't get it?\Don't worry about it! Let's go!\Why did you come? If the Hollow Shadow shows up...\Anemia? response:	Just hold still!
context: Give it a rest.\You're the one who doesn't get it!\I-I don't get it?\Don't worry about it! Let's go!\Why did you come? If the Hollow Shadow shows up...\Anemia?\Just hold still! response:	W-Wait, Senpai!
context: Give it a rest.\You're the one who doesn't get it!\I-I don't get it?\Don't worry about it! Let's go!\Why did you come? If the Hollow Shadow shows up...\Anemia?\Just hold still!\W-Wait, Senpai! response:	Who was that back there?
context: You're the one who doesn't get it!\I-I don't get it?\Don't worry about it! Let's go!\Why did you come? If the Hollow Shadow shows up...\Anemia?\Just hold still!\W-Wait, Senpai!\Who was that back there? response:	How did you get here? We're pretty deep in.
context: I-I don't get it?\Don't worry about it! Let's go!\Why did you come? If the Hollow Shadow shows up...\Anemia?\Just hold still!\W-Wait, Senpai!\Who was that back there?\How did you get here? We're pretty deep in. response:	I'm not sure.
context: Don't worry about it! Let's go!\Why did you come? If the Hollow Shadow shows up...\Anemia?\Just hold still!\W-Wait, Senpai!\Who was that back there?\How did you get here? We're pretty deep in.\I'm not sure. response:	I just jumped in headfirst when I saw you.
context: Why did you come? If the Hollow Shadow shows up...\Anemia?\Just hold still!\W-Wait, Senpai!\Who was that back there?\How did you get here? We're pretty deep in.\I'm not sure.\I just jumped in headfirst when I saw you. response:	That aside
context: Anemia?\Just hold still!\W-Wait, Senpai!\Who was that back there?\How did you get here? We're pretty deep in.\I'm not sure.\I just jumped in headfirst when I saw you.\That aside response:	Let's make a break for it!
context: Just hold still!\W-Wait, Senpai!\Who was that back there?\How did you get here? We're pretty deep in.\I'm not sure.\I just jumped in headfirst when I saw you.\That aside\Let's make a break for it! response:	Up you go!
context: W-Wait, Senpai!\Who was that back there?\How did you get here? We're pretty deep in.\I'm not sure.\I just jumped in headfirst when I saw you.\That aside\Let's make a break for it!\Up you go! response:	Put me down! I can run perfectly fine on my own!
context: Who was that back there?\How did you get here? We're pretty deep in.\I'm not sure.\I just jumped in headfirst when I saw you.\That aside\Let's make a break for it!\Up you go!\Put me down! I can run perfectly fine on my own! response:	Hey, Senpai!
context: How did you get here? We're pretty deep in.\I'm not sure.\I just jumped in headfirst when I saw you.\That aside\Let's make a break for it!\Up you go!\Put me down! I can run perfectly fine on my own!\Hey, Senpai! response:	Loneliness makes my cheeks wet
context: I'm not sure.\I just jumped in headfirst when I saw you.\That aside\Let's make a break for it!\Up you go!\Put me down! I can run perfectly fine on my own!\Hey, Senpai!\Loneliness makes my cheeks wet response:	Loneliness makes my cheeks wet
context: I just jumped in headfirst when I saw you.\That aside\Let's make a break for it!\Up you go!\Put me down! I can run perfectly fine on my own!\Hey, Senpai!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet response:	kodoku ga hoho wo nurasu nurasu kedo
context: That aside\Let's make a break for it!\Up you go!\Put me down! I can run perfectly fine on my own!\Hey, Senpai!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo response:	kodoku ga hoho wo nurasu nurasu kedo
