context: There's nothing in there. Both pockets are empty. response:	Other than this piece of paper...
context: There's nothing in there. Both pockets are empty.\Other than this piece of paper... response:	The scent is no longer in the pocket...
context: There's nothing in there. Both pockets are empty.\Other than this piece of paper...\The scent is no longer in the pocket... response:	Could it be...
context: There's nothing in there. Both pockets are empty.\Other than this piece of paper...\The scent is no longer in the pocket...\Could it be... response:	It's just a plain, white piece of paper.
context: There's nothing in there. Both pockets are empty.\Other than this piece of paper...\The scent is no longer in the pocket...\Could it be...\It's just a plain, white piece of paper. response:	What?!
context: There's nothing in there. Both pockets are empty.\Other than this piece of paper...\The scent is no longer in the pocket...\Could it be...\It's just a plain, white piece of paper.\What?! response:	Blam
context: There's nothing in there. Both pockets are empty.\Other than this piece of paper...\The scent is no longer in the pocket...\Could it be...\It's just a plain, white piece of paper.\What?!\Blam response:	J-Josuke!
context: There's nothing in there. Both pockets are empty.\Other than this piece of paper...\The scent is no longer in the pocket...\Could it be...\It's just a plain, white piece of paper.\What?!\Blam\J-Josuke! response:	July 15th (Thurs) 12:42 PM
context: Other than this piece of paper...\The scent is no longer in the pocket...\Could it be...\It's just a plain, white piece of paper.\What?!\Blam\J-Josuke!\July 15th (Thurs) 12:42 PM response:	Now you've done it!
context: The scent is no longer in the pocket...\Could it be...\It's just a plain, white piece of paper.\What?!\Blam\J-Josuke!\July 15th (Thurs) 12:42 PM\Now you've done it! response:	You should really be more careful.
context: Could it be...\It's just a plain, white piece of paper.\What?!\Blam\J-Josuke!\July 15th (Thurs) 12:42 PM\Now you've done it!\You should really be more careful. response:	I told you that the floor up here was burnt, too, didn't I?
context: It's just a plain, white piece of paper.\What?!\Blam\J-Josuke!\July 15th (Thurs) 12:42 PM\Now you've done it!\You should really be more careful.\I told you that the floor up here was burnt, too, didn't I? response:	I don't see anything out of the ordinary.
context: What?!\Blam\J-Josuke!\July 15th (Thurs) 12:42 PM\Now you've done it!\You should really be more careful.\I told you that the floor up here was burnt, too, didn't I?\I don't see anything out of the ordinary. response:	It's a perfectly fine back...
