context: TS response:	SCRIPT
context: TS\SCRIPT response:	Just for five seconds,
context: TS\SCRIPT\Just for five seconds, response:	I want you to draw Mr. Braun's attention,
context: TS\SCRIPT\Just for five seconds,\I want you to draw Mr. Braun's attention, response:	so he doesn't notice any shaking from the experiment.
context: TS\SCRIPT\Just for five seconds,\I want you to draw Mr. Braun's attention,\so he doesn't notice any shaking from the experiment. response:	Got it!
context: TS\SCRIPT\Just for five seconds,\I want you to draw Mr. Braun's attention,\so he doesn't notice any shaking from the experiment.\Got it! response:	I'll just have to seduce him.
context: TS\SCRIPT\Just for five seconds,\I want you to draw Mr. Braun's attention,\so he doesn't notice any shaking from the experiment.\Got it!\I'll just have to seduce him. response:	Want to touch it?
context: TS\SCRIPT\Just for five seconds,\I want you to draw Mr. Braun's attention,\so he doesn't notice any shaking from the experiment.\Got it!\I'll just have to seduce him.\Want to touch it? response:	It's pretty firm.
context: SCRIPT\Just for five seconds,\I want you to draw Mr. Braun's attention,\so he doesn't notice any shaking from the experiment.\Got it!\I'll just have to seduce him.\Want to touch it?\It's pretty firm. response:	It is.
context: Just for five seconds,\I want you to draw Mr. Braun's attention,\so he doesn't notice any shaking from the experiment.\Got it!\I'll just have to seduce him.\Want to touch it?\It's pretty firm.\It is. response:	Right?
context: I want you to draw Mr. Braun's attention,\so he doesn't notice any shaking from the experiment.\Got it!\I'll just have to seduce him.\Want to touch it?\It's pretty firm.\It is.\Right? response:	Leave it to me.
context: so he doesn't notice any shaking from the experiment.\Got it!\I'll just have to seduce him.\Want to touch it?\It's pretty firm.\It is.\Right?\Leave it to me. response:	You're seducing him, right?
context: Got it!\I'll just have to seduce him.\Want to touch it?\It's pretty firm.\It is.\Right?\Leave it to me.\You're seducing him, right? response:	Yup, what about it?
context: I'll just have to seduce him.\Want to touch it?\It's pretty firm.\It is.\Right?\Leave it to me.\You're seducing him, right?\Yup, what about it? response:	Never mind. I'm counting on you.
context: Want to touch it?\It's pretty firm.\It is.\Right?\Leave it to me.\You're seducing him, right?\Yup, what about it?\Never mind. I'm counting on you. response:	Okey-dokey.
context: It's pretty firm.\It is.\Right?\Leave it to me.\You're seducing him, right?\Yup, what about it?\Never mind. I'm counting on you.\Okey-dokey. response:	Now!
context: It is.\Right?\Leave it to me.\You're seducing him, right?\Yup, what about it?\Never mind. I'm counting on you.\Okey-dokey.\Now! response:	Assistant, go!
context: Right?\Leave it to me.\You're seducing him, right?\Yup, what about it?\Never mind. I'm counting on you.\Okey-dokey.\Now!\Assistant, go! response:	What?
context: Leave it to me.\You're seducing him, right?\Yup, what about it?\Never mind. I'm counting on you.\Okey-dokey.\Now!\Assistant, go!\What? response:	Oh, no... I failed.
context: You're seducing him, right?\Yup, what about it?\Never mind. I'm counting on you.\Okey-dokey.\Now!\Assistant, go!\What?\Oh, no... I failed. response:	How many times do I have to tell you?
context: Yup, what about it?\Never mind. I'm counting on you.\Okey-dokey.\Now!\Assistant, go!\What?\Oh, no... I failed.\How many times do I have to tell you? response:	It stopped?
context: Never mind. I'm counting on you.\Okey-dokey.\Now!\Assistant, go!\What?\Oh, no... I failed.\How many times do I have to tell you?\It stopped? response:	My assistant?
context: Okey-dokey.\Now!\Assistant, go!\What?\Oh, no... I failed.\How many times do I have to tell you?\It stopped?\My assistant? response:	No...
context: Now!\Assistant, go!\What?\Oh, no... I failed.\How many times do I have to tell you?\It stopped?\My assistant?\No... response:	What is this?
context: Assistant, go!\What?\Oh, no... I failed.\How many times do I have to tell you?\It stopped?\My assistant?\No...\What is this? response:	No way!
context: What?\Oh, no... I failed.\How many times do I have to tell you?\It stopped?\My assistant?\No...\What is this?\No way! response:	What do you mean...
context: Oh, no... I failed.\How many times do I have to tell you?\It stopped?\My assistant?\No...\What is this?\No way!\What do you mean... response:	No way?
context: How many times do I have to tell you?\It stopped?\My assistant?\No...\What is this?\No way!\What do you mean...\No way? response:	OP
context: It stopped?\My assistant?\No...\What is this?\No way!\What do you mean...\No way?\OP response:	suujuuoku mono kodou no kazu sae
context: My assistant?\No...\What is this?\No way!\What do you mean...\No way?\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: No...\What is this?\No way!\What do you mean...\No way?\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: What is this?\No way!\What do you mean...\No way?\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: No way!\What do you mean...\No way?\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: What do you mean...\No way?\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: No way?\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
