context: During the battle surrounding Nirvana with Oracion Seis, Erza fell. response:	And then we lost Lyon...
context: During the battle surrounding Nirvana with Oracion Seis, Erza fell.\And then we lost Lyon... response:	We managed to take back the kidnapped Wendy, however...
context: During the battle surrounding Nirvana with Oracion Seis, Erza fell.\And then we lost Lyon...\We managed to take back the kidnapped Wendy, however... response:	Why is Jellal here, too?
context: During the battle surrounding Nirvana with Oracion Seis, Erza fell.\And then we lost Lyon...\We managed to take back the kidnapped Wendy, however...\Why is Jellal here, too? response:	If it's love and dreams and you it'll become magical.
context: During the battle surrounding Nirvana with Oracion Seis, Erza fell.\And then we lost Lyon...\We managed to take back the kidnapped Wendy, however...\Why is Jellal here, too?\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: During the battle surrounding Nirvana with Oracion Seis, Erza fell.\And then we lost Lyon...\We managed to take back the kidnapped Wendy, however...\Why is Jellal here, too?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: During the battle surrounding Nirvana with Oracion Seis, Erza fell.\And then we lost Lyon...\We managed to take back the kidnapped Wendy, however...\Why is Jellal here, too?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: During the battle surrounding Nirvana with Oracion Seis, Erza fell.\And then we lost Lyon...\We managed to take back the kidnapped Wendy, however...\Why is Jellal here, too?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: And then we lost Lyon...\We managed to take back the kidnapped Wendy, however...\Why is Jellal here, too?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: We managed to take back the kidnapped Wendy, however...\Why is Jellal here, too?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: Why is Jellal here, too?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	That sound...
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\That sound... response:	Hey, Happy!
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\That sound...\Hey, Happy! response:	Darkness.
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\That sound...\Hey, Happy!\Darkness. response:	Lyon...
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\That sound...\Hey, Happy!\Darkness.\Lyon... response:	N-No... Lyon-sama has...
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\That sound...\Hey, Happy!\Darkness.\Lyon...\N-No... Lyon-sama has... response:	There's no way that guy's dead!
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\That sound...\Hey, Happy!\Darkness.\Lyon...\N-No... Lyon-sama has...\There's no way that guy's dead! response:	Let's search for him!
context: Now, let's cast a smile spell!\That sound...\Hey, Happy!\Darkness.\Lyon...\N-No... Lyon-sama has...\There's no way that guy's dead!\Let's search for him! response:	Come on!
context: That sound...\Hey, Happy!\Darkness.\Lyon...\N-No... Lyon-sama has...\There's no way that guy's dead!\Let's search for him!\Come on! response:	Why?
context: Hey, Happy!\Darkness.\Lyon...\N-No... Lyon-sama has...\There's no way that guy's dead!\Let's search for him!\Come on!\Why? response:	Why did Lyon-sama have to...
context: Darkness.\Lyon...\N-No... Lyon-sama has...\There's no way that guy's dead!\Let's search for him!\Come on!\Why?\Why did Lyon-sama have to... response:	Who is to blame?
context: Lyon...\N-No... Lyon-sama has...\There's no way that guy's dead!\Let's search for him!\Come on!\Why?\Why did Lyon-sama have to...\Who is to blame? response:	I know you are here. Show yourself.
