context: Hey all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, all right?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right? response:	Previously on Fairy Tail...
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail... response:	What the heck is that?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\What the heck is that? response:	We discovered a monster frozen in ice, Deliora, on Galuna Island.
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\What the heck is that?\We discovered a monster frozen in ice, Deliora, on Galuna Island. response:	Gray's teacher, Ul, traded her life in order to seal it away,
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\What the heck is that?\We discovered a monster frozen in ice, Deliora, on Galuna Island.\Gray's teacher, Ul, traded her life in order to seal it away, response:	but Lyon, Ul's more elder student, is plotting to resurrect Deliora!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\What the heck is that?\We discovered a monster frozen in ice, Deliora, on Galuna Island.\Gray's teacher, Ul, traded her life in order to seal it away,\but Lyon, Ul's more elder student, is plotting to resurrect Deliora! response:	What's the matter? That all you got?
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\What the heck is that?\We discovered a monster frozen in ice, Deliora, on Galuna Island.\Gray's teacher, Ul, traded her life in order to seal it away,\but Lyon, Ul's more elder student, is plotting to resurrect Deliora!\What's the matter? That all you got? response:	Wake up, Gray!
context: and sit back from the screen, all right?\Previously on Fairy Tail...\What the heck is that?\We discovered a monster frozen in ice, Deliora, on Galuna Island.\Gray's teacher, Ul, traded her life in order to seal it away,\but Lyon, Ul's more elder student, is plotting to resurrect Deliora!\What's the matter? That all you got?\Wake up, Gray! response:	Wake up, Gray...
context: Previously on Fairy Tail...\What the heck is that?\We discovered a monster frozen in ice, Deliora, on Galuna Island.\Gray's teacher, Ul, traded her life in order to seal it away,\but Lyon, Ul's more elder student, is plotting to resurrect Deliora!\What's the matter? That all you got?\Wake up, Gray!\Wake up, Gray... response:	Wake up, Gray!
context: What the heck is that?\We discovered a monster frozen in ice, Deliora, on Galuna Island.\Gray's teacher, Ul, traded her life in order to seal it away,\but Lyon, Ul's more elder student, is plotting to resurrect Deliora!\What's the matter? That all you got?\Wake up, Gray!\Wake up, Gray...\Wake up, Gray! response:	How lame... You got butt-whupped good.
context: We discovered a monster frozen in ice, Deliora, on Galuna Island.\Gray's teacher, Ul, traded her life in order to seal it away,\but Lyon, Ul's more elder student, is plotting to resurrect Deliora!\What's the matter? That all you got?\Wake up, Gray!\Wake up, Gray...\Wake up, Gray!\How lame... You got butt-whupped good. response:	Natsu... Why are you here?
context: Gray's teacher, Ul, traded her life in order to seal it away,\but Lyon, Ul's more elder student, is plotting to resurrect Deliora!\What's the matter? That all you got?\Wake up, Gray!\Wake up, Gray...\Wake up, Gray!\How lame... You got butt-whupped good.\Natsu... Why are you here? response:	I didn't know which direction the village was, so I climbed back up to a high spot.
context: but Lyon, Ul's more elder student, is plotting to resurrect Deliora!\What's the matter? That all you got?\Wake up, Gray!\Wake up, Gray...\Wake up, Gray!\How lame... You got butt-whupped good.\Natsu... Why are you here?\I didn't know which direction the village was, so I climbed back up to a high spot. response:	Over there! Let's head out.
context: What's the matter? That all you got?\Wake up, Gray!\Wake up, Gray...\Wake up, Gray!\How lame... You got butt-whupped good.\Natsu... Why are you here?\I didn't know which direction the village was, so I climbed back up to a high spot.\Over there! Let's head out. response:	Wait! I can walk...
context: Wake up, Gray!\Wake up, Gray...\Wake up, Gray!\How lame... You got butt-whupped good.\Natsu... Why are you here?\I didn't know which direction the village was, so I climbed back up to a high spot.\Over there! Let's head out.\Wait! I can walk... response:	Where's Lyon?
context: Wake up, Gray...\Wake up, Gray!\How lame... You got butt-whupped good.\Natsu... Why are you here?\I didn't know which direction the village was, so I climbed back up to a high spot.\Over there! Let's head out.\Wait! I can walk...\Where's Lyon? response:	Dunno. No one's here.
context: Wake up, Gray!\How lame... You got butt-whupped good.\Natsu... Why are you here?\I didn't know which direction the village was, so I climbed back up to a high spot.\Over there! Let's head out.\Wait! I can walk...\Where's Lyon?\Dunno. No one's here. response:	The ceremony's over, too.
context: How lame... You got butt-whupped good.\Natsu... Why are you here?\I didn't know which direction the village was, so I climbed back up to a high spot.\Over there! Let's head out.\Wait! I can walk...\Where's Lyon?\Dunno. No one's here.\The ceremony's over, too. response:	Crap! If Lucy's in trouble, it's our fault!
context: Natsu... Why are you here?\I didn't know which direction the village was, so I climbed back up to a high spot.\Over there! Let's head out.\Wait! I can walk...\Where's Lyon?\Dunno. No one's here.\The ceremony's over, too.\Crap! If Lucy's in trouble, it's our fault! response:	Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!
context: I didn't know which direction the village was, so I climbed back up to a high spot.\Over there! Let's head out.\Wait! I can walk...\Where's Lyon?\Dunno. No one's here.\The ceremony's over, too.\Crap! If Lucy's in trouble, it's our fault!\Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray! response:	I'm gonna do an S class quest!
context: Over there! Let's head out.\Wait! I can walk...\Where's Lyon?\Dunno. No one's here.\The ceremony's over, too.\Crap! If Lucy's in trouble, it's our fault!\Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!\I'm gonna do an S class quest! response:	They're called S class for a reason!'Cause they're outta your league!
context: Wait! I can walk...\Where's Lyon?\Dunno. No one's here.\The ceremony's over, too.\Crap! If Lucy's in trouble, it's our fault!\Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!\I'm gonna do an S class quest!\They're called S class for a reason!'Cause they're outta your league! response:	Natsu...
context: Where's Lyon?\Dunno. No one's here.\The ceremony's over, too.\Crap! If Lucy's in trouble, it's our fault!\Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!\I'm gonna do an S class quest!\They're called S class for a reason!'Cause they're outta your league!\Natsu... response:	Huh?
context: Dunno. No one's here.\The ceremony's over, too.\Crap! If Lucy's in trouble, it's our fault!\Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!\I'm gonna do an S class quest!\They're called S class for a reason!'Cause they're outta your league!\Natsu...\Huh? response:	I have no right to say anything to you.
context: The ceremony's over, too.\Crap! If Lucy's in trouble, it's our fault!\Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!\I'm gonna do an S class quest!\They're called S class for a reason!'Cause they're outta your league!\Natsu...\Huh?\I have no right to say anything to you. response:	No right at all!
context: Crap! If Lucy's in trouble, it's our fault!\Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!\I'm gonna do an S class quest!\They're called S class for a reason!'Cause they're outta your league!\Natsu...\Huh?\I have no right to say anything to you.\No right at all! response:	You gonna sit there mopin' all day'cause you lost, Gray?!
context: Stop! You'll never be able to defeat something like Deliora. It's impossible for you, Gray!\I'm gonna do an S class quest!\They're called S class for a reason!'Cause they're outta your league!\Natsu...\Huh?\I have no right to say anything to you.\No right at all!\You gonna sit there mopin' all day'cause you lost, Gray?! response:	We're Fairy Tail, damn it!
context: I'm gonna do an S class quest!\They're called S class for a reason!'Cause they're outta your league!\Natsu...\Huh?\I have no right to say anything to you.\No right at all!\You gonna sit there mopin' all day'cause you lost, Gray?!\We're Fairy Tail, damn it! response:	The guild that doesn't know the meaning of the word stop!
context: They're called S class for a reason!'Cause they're outta your league!\Natsu...\Huh?\I have no right to say anything to you.\No right at all!\You gonna sit there mopin' all day'cause you lost, Gray?!\We're Fairy Tail, damn it!\The guild that doesn't know the meaning of the word stop! response:	We only know how to keep running forward!
context: Natsu...\Huh?\I have no right to say anything to you.\No right at all!\You gonna sit there mopin' all day'cause you lost, Gray?!\We're Fairy Tail, damn it!\The guild that doesn't know the meaning of the word stop!\We only know how to keep running forward! response:	Goddammit! It's really hard to run like this!
context: Huh?\I have no right to say anything to you.\No right at all!\You gonna sit there mopin' all day'cause you lost, Gray?!\We're Fairy Tail, damn it!\The guild that doesn't know the meaning of the word stop!\We only know how to keep running forward!\Goddammit! It's really hard to run like this! response:	Natsu vs. Yuka The Wave!
context: I have no right to say anything to you.\No right at all!\You gonna sit there mopin' all day'cause you lost, Gray?!\We're Fairy Tail, damn it!\The guild that doesn't know the meaning of the word stop!\We only know how to keep running forward!\Goddammit! It's really hard to run like this!\Natsu vs. Yuka The Wave! response:	So there you have it.
context: No right at all!\You gonna sit there mopin' all day'cause you lost, Gray?!\We're Fairy Tail, damn it!\The guild that doesn't know the meaning of the word stop!\We only know how to keep running forward!\Goddammit! It's really hard to run like this!\Natsu vs. Yuka The Wave!\So there you have it. response:	The people who are coming to attack are to blame for doing this to your bodies.
context: You gonna sit there mopin' all day'cause you lost, Gray?!\We're Fairy Tail, damn it!\The guild that doesn't know the meaning of the word stop!\We only know how to keep running forward!\Goddammit! It's really hard to run like this!\Natsu vs. Yuka The Wave!\So there you have it.\The people who are coming to attack are to blame for doing this to your bodies. response:	They're coming here?
context: We're Fairy Tail, damn it!\The guild that doesn't know the meaning of the word stop!\We only know how to keep running forward!\Goddammit! It's really hard to run like this!\Natsu vs. Yuka The Wave!\So there you have it.\The people who are coming to attack are to blame for doing this to your bodies.\They're coming here? response:	Yes. But on the bright side, this is your chance to capture them!
context: The guild that doesn't know the meaning of the word stop!\We only know how to keep running forward!\Goddammit! It's really hard to run like this!\Natsu vs. Yuka The Wave!\So there you have it.\The people who are coming to attack are to blame for doing this to your bodies.\They're coming here?\Yes. But on the bright side, this is your chance to capture them! response:	Can we really pull that off?
context: We only know how to keep running forward!\Goddammit! It's really hard to run like this!\Natsu vs. Yuka The Wave!\So there you have it.\The people who are coming to attack are to blame for doing this to your bodies.\They're coming here?\Yes. But on the bright side, this is your chance to capture them!\Can we really pull that off? response:	Will it work?
context: Goddammit! It's really hard to run like this!\Natsu vs. Yuka The Wave!\So there you have it.\The people who are coming to attack are to blame for doing this to your bodies.\They're coming here?\Yes. But on the bright side, this is your chance to capture them!\Can we really pull that off?\Will it work? response:	Seriously?
context: Natsu vs. Yuka The Wave!\So there you have it.\The people who are coming to attack are to blame for doing this to your bodies.\They're coming here?\Yes. But on the bright side, this is your chance to capture them!\Can we really pull that off?\Will it work?\Seriously? response:	Those three are probably wizards, so they won't be captured so easily.
