context: Although it's already May, the wind at night still feels very cold. response:	This is no different from my home town in the mountains.
context: Although it's already May, the wind at night still feels very cold.\This is no different from my home town in the mountains. response:	I had thought that Tokyo was a warmer place.
context: Although it's already May, the wind at night still feels very cold.\This is no different from my home town in the mountains.\I had thought that Tokyo was a warmer place. response:	When I was darkness at that time
context: Although it's already May, the wind at night still feels very cold.\This is no different from my home town in the mountains.\I had thought that Tokyo was a warmer place.\When I was darkness at that time response:	With trembling lips
context: Although it's already May, the wind at night still feels very cold.\This is no different from my home town in the mountains.\I had thought that Tokyo was a warmer place.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Although it's already May, the wind at night still feels very cold.\This is no different from my home town in the mountains.\I had thought that Tokyo was a warmer place.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: Although it's already May, the wind at night still feels very cold.\This is no different from my home town in the mountains.\I had thought that Tokyo was a warmer place.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: Although it's already May, the wind at night still feels very cold.\This is no different from my home town in the mountains.\I had thought that Tokyo was a warmer place.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: This is no different from my home town in the mountains.\I had thought that Tokyo was a warmer place.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: I had thought that Tokyo was a warmer place.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Well, this may still be Tokyo, but we're way out in the suburbs.
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well, this may still be Tokyo, but we're way out in the suburbs. response:	Or rather, don't you think the weather's gone nuts?
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well, this may still be Tokyo, but we're way out in the suburbs.\Or rather, don't you think the weather's gone nuts? response:	One day it's hot like summer and then another day it gets cold enough
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well, this may still be Tokyo, but we're way out in the suburbs.\Or rather, don't you think the weather's gone nuts?\One day it's hot like summer and then another day it gets cold enough response:	to convince you we've gone back to winter.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well, this may still be Tokyo, but we're way out in the suburbs.\Or rather, don't you think the weather's gone nuts?\One day it's hot like summer and then another day it gets cold enough\to convince you we've gone back to winter. response:	Is the weather gonna get even crazier? I'm getting worried.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Well, this may still be Tokyo, but we're way out in the suburbs.\Or rather, don't you think the weather's gone nuts?\One day it's hot like summer and then another day it gets cold enough\to convince you we've gone back to winter.\Is the weather gonna get even crazier? I'm getting worried. response:	I'm a lot more worried about you,
context: I'm a broken rose\I wanna need your love\Well, this may still be Tokyo, but we're way out in the suburbs.\Or rather, don't you think the weather's gone nuts?\One day it's hot like summer and then another day it gets cold enough\to convince you we've gone back to winter.\Is the weather gonna get even crazier? I'm getting worried.\I'm a lot more worried about you, response:	Shin, the way you're headed on a direct path to destruction!
context: I wanna need your love\Well, this may still be Tokyo, but we're way out in the suburbs.\Or rather, don't you think the weather's gone nuts?\One day it's hot like summer and then another day it gets cold enough\to convince you we've gone back to winter.\Is the weather gonna get even crazier? I'm getting worried.\I'm a lot more worried about you,\Shin, the way you're headed on a direct path to destruction! response:	Why?
context: Well, this may still be Tokyo, but we're way out in the suburbs.\Or rather, don't you think the weather's gone nuts?\One day it's hot like summer and then another day it gets cold enough\to convince you we've gone back to winter.\Is the weather gonna get even crazier? I'm getting worried.\I'm a lot more worried about you,\Shin, the way you're headed on a direct path to destruction!\Why? response:	Oh, the phone.
context: Or rather, don't you think the weather's gone nuts?\One day it's hot like summer and then another day it gets cold enough\to convince you we've gone back to winter.\Is the weather gonna get even crazier? I'm getting worried.\I'm a lot more worried about you,\Shin, the way you're headed on a direct path to destruction!\Why?\Oh, the phone. response:	Hello. Oh, Mayumi? Mhm, no problem. Where are you now?
context: One day it's hot like summer and then another day it gets cold enough\to convince you we've gone back to winter.\Is the weather gonna get even crazier? I'm getting worried.\I'm a lot more worried about you,\Shin, the way you're headed on a direct path to destruction!\Why?\Oh, the phone.\Hello. Oh, Mayumi? Mhm, no problem. Where are you now? response:	Roppongi? I'm out in the suburbs right now.
context: to convince you we've gone back to winter.\Is the weather gonna get even crazier? I'm getting worried.\I'm a lot more worried about you,\Shin, the way you're headed on a direct path to destruction!\Why?\Oh, the phone.\Hello. Oh, Mayumi? Mhm, no problem. Where are you now?\Roppongi? I'm out in the suburbs right now. response:	Then do you mind if I got on a taxi? Really?!
context: Is the weather gonna get even crazier? I'm getting worried.\I'm a lot more worried about you,\Shin, the way you're headed on a direct path to destruction!\Why?\Oh, the phone.\Hello. Oh, Mayumi? Mhm, no problem. Where are you now?\Roppongi? I'm out in the suburbs right now.\Then do you mind if I got on a taxi? Really?! response:	All right!
