context: Yes, this is Control. response:	Yeah, it's Marude! Give me a situation report!
context: Yes, this is Control.\Yeah, it's Marude! Give me a situation report! response:	A band of ghouls we believe to be Aogiri Tree has attacked the branch-
context: Yes, this is Control.\Yeah, it's Marude! Give me a situation report!\A band of ghouls we believe to be Aogiri Tree has attacked the branch- response:	What happened?!
context: Yes, this is Control.\Yeah, it's Marude! Give me a situation report!\A band of ghouls we believe to be Aogiri Tree has attacked the branch-\What happened?! response:	He was the last one.
context: Yes, this is Control.\Yeah, it's Marude! Give me a situation report!\A band of ghouls we believe to be Aogiri Tree has attacked the branch-\What happened?!\He was the last one. response:	Hey, you, who are you?
context: Yes, this is Control.\Yeah, it's Marude! Give me a situation report!\A band of ghouls we believe to be Aogiri Tree has attacked the branch-\What happened?!\He was the last one.\Hey, you, who are you? response:	All done?
context: Yes, this is Control.\Yeah, it's Marude! Give me a situation report!\A band of ghouls we believe to be Aogiri Tree has attacked the branch-\What happened?!\He was the last one.\Hey, you, who are you?\All done? response:	Yeah.
context: Yes, this is Control.\Yeah, it's Marude! Give me a situation report!\A band of ghouls we believe to be Aogiri Tree has attacked the branch-\What happened?!\He was the last one.\Hey, you, who are you?\All done?\Yeah. response:	Ready to go, Eto?
context: Yeah, it's Marude! Give me a situation report!\A band of ghouls we believe to be Aogiri Tree has attacked the branch-\What happened?!\He was the last one.\Hey, you, who are you?\All done?\Yeah.\Ready to go, Eto? response:	Mm-hmm, Mr. Tatara.
context: A band of ghouls we believe to be Aogiri Tree has attacked the branch-\What happened?!\He was the last one.\Hey, you, who are you?\All done?\Yeah.\Ready to go, Eto?\Mm-hmm, Mr. Tatara. response:	Tell me, oh tell me, the way it works
context: What happened?!\He was the last one.\Hey, you, who are you?\All done?\Yeah.\Ready to go, Eto?\Mm-hmm, Mr. Tatara.\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: He was the last one.\Hey, you, who are you?\All done?\Yeah.\Ready to go, Eto?\Mm-hmm, Mr. Tatara.\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: Hey, you, who are you?\All done?\Yeah.\Ready to go, Eto?\Mm-hmm, Mr. Tatara.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: All done?\Yeah.\Ready to go, Eto?\Mm-hmm, Mr. Tatara.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: Yeah.\Ready to go, Eto?\Mm-hmm, Mr. Tatara.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: Ready to go, Eto?\Mm-hmm, Mr. Tatara.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me
context: Mm-hmm, Mr. Tatara.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me response:	In this twisted world, I'm gradually growing transparent and vanishing
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
