context: Shiiwaku, manabi... Huh? Fu-re? Re-re? response:	What was this one again?
context: Shiiwaku, manabi... Huh? Fu-re? Re-re?\What was this one again? response:	Hang on a minute...
context: Shiiwaku, manabi... Huh? Fu-re? Re-re?\What was this one again?\Hang on a minute... response:	Characters you don't have to use the kun reading for even if grammatically necessary.
context: Shiiwaku, manabi... Huh? Fu-re? Re-re?\What was this one again?\Hang on a minute...\Characters you don't have to use the kun reading for even if grammatically necessary. response:	What does that mean?!
context: Shiiwaku, manabi... Huh? Fu-re? Re-re?\What was this one again?\Hang on a minute...\Characters you don't have to use the kun reading for even if grammatically necessary.\What does that mean?! response:	You're not supposed to read them?!
context: Shiiwaku, manabi... Huh? Fu-re? Re-re?\What was this one again?\Hang on a minute...\Characters you don't have to use the kun reading for even if grammatically necessary.\What does that mean?!\You're not supposed to read them?! response:	Thanks for helping while you're studying for your test.
context: Shiiwaku, manabi... Huh? Fu-re? Re-re?\What was this one again?\Hang on a minute...\Characters you don't have to use the kun reading for even if grammatically necessary.\What does that mean?!\You're not supposed to read them?!\Thanks for helping while you're studying for your test. response:	Don't worry.
context: Shiiwaku, manabi... Huh? Fu-re? Re-re?\What was this one again?\Hang on a minute...\Characters you don't have to use the kun reading for even if grammatically necessary.\What does that mean?!\You're not supposed to read them?!\Thanks for helping while you're studying for your test.\Don't worry. response:	You gotta refresh yourself sometimes. My mind was going blank.
context: What was this one again?\Hang on a minute...\Characters you don't have to use the kun reading for even if grammatically necessary.\What does that mean?!\You're not supposed to read them?!\Thanks for helping while you're studying for your test.\Don't worry.\You gotta refresh yourself sometimes. My mind was going blank. response:	Look how hard you're working!
context: Hang on a minute...\Characters you don't have to use the kun reading for even if grammatically necessary.\What does that mean?!\You're not supposed to read them?!\Thanks for helping while you're studying for your test.\Don't worry.\You gotta refresh yourself sometimes. My mind was going blank.\Look how hard you're working! response:	I did really bad on my midterms, so I at least want to work hard for the finals.
context: Characters you don't have to use the kun reading for even if grammatically necessary.\What does that mean?!\You're not supposed to read them?!\Thanks for helping while you're studying for your test.\Don't worry.\You gotta refresh yourself sometimes. My mind was going blank.\Look how hard you're working!\I did really bad on my midterms, so I at least want to work hard for the finals. response:	Really? That's a good attitude to have.
context: What does that mean?!\You're not supposed to read them?!\Thanks for helping while you're studying for your test.\Don't worry.\You gotta refresh yourself sometimes. My mind was going blank.\Look how hard you're working!\I did really bad on my midterms, so I at least want to work hard for the finals.\Really? That's a good attitude to have. response:	If there's anything you don't understand, feel free to ask Shun.
context: You're not supposed to read them?!\Thanks for helping while you're studying for your test.\Don't worry.\You gotta refresh yourself sometimes. My mind was going blank.\Look how hard you're working!\I did really bad on my midterms, so I at least want to work hard for the finals.\Really? That's a good attitude to have.\If there's anything you don't understand, feel free to ask Shun. response:	I'm sure he can teach you a lot.
context: Thanks for helping while you're studying for your test.\Don't worry.\You gotta refresh yourself sometimes. My mind was going blank.\Look how hard you're working!\I did really bad on my midterms, so I at least want to work hard for the finals.\Really? That's a good attitude to have.\If there's anything you don't understand, feel free to ask Shun.\I'm sure he can teach you a lot. response:	Huh? Wh-Why are you bringing up Shun?
context: Don't worry.\You gotta refresh yourself sometimes. My mind was going blank.\Look how hard you're working!\I did really bad on my midterms, so I at least want to work hard for the finals.\Really? That's a good attitude to have.\If there's anything you don't understand, feel free to ask Shun.\I'm sure he can teach you a lot.\Huh? Wh-Why are you bringing up Shun? response:	He's so busy, I doubt he'd have time to help me anyway.
context: You gotta refresh yourself sometimes. My mind was going blank.\Look how hard you're working!\I did really bad on my midterms, so I at least want to work hard for the finals.\Really? That's a good attitude to have.\If there's anything you don't understand, feel free to ask Shun.\I'm sure he can teach you a lot.\Huh? Wh-Why are you bringing up Shun?\He's so busy, I doubt he'd have time to help me anyway. response:	Oh, really?
context: Look how hard you're working!\I did really bad on my midterms, so I at least want to work hard for the finals.\Really? That's a good attitude to have.\If there's anything you don't understand, feel free to ask Shun.\I'm sure he can teach you a lot.\Huh? Wh-Why are you bringing up Shun?\He's so busy, I doubt he'd have time to help me anyway.\Oh, really? response:	It seems like you two and Waka have all been studying together a lot lately.
context: I did really bad on my midterms, so I at least want to work hard for the finals.\Really? That's a good attitude to have.\If there's anything you don't understand, feel free to ask Shun.\I'm sure he can teach you a lot.\Huh? Wh-Why are you bringing up Shun?\He's so busy, I doubt he'd have time to help me anyway.\Oh, really?\It seems like you two and Waka have all been studying together a lot lately. response:	Waka's mother told me all about it.
context: Really? That's a good attitude to have.\If there's anything you don't understand, feel free to ask Shun.\I'm sure he can teach you a lot.\Huh? Wh-Why are you bringing up Shun?\He's so busy, I doubt he'd have time to help me anyway.\Oh, really?\It seems like you two and Waka have all been studying together a lot lately.\Waka's mother told me all about it. response:	Huh?!
context: If there's anything you don't understand, feel free to ask Shun.\I'm sure he can teach you a lot.\Huh? Wh-Why are you bringing up Shun?\He's so busy, I doubt he'd have time to help me anyway.\Oh, really?\It seems like you two and Waka have all been studying together a lot lately.\Waka's mother told me all about it.\Huh?! response:	Th-That was... Waka's idea...
context: I'm sure he can teach you a lot.\Huh? Wh-Why are you bringing up Shun?\He's so busy, I doubt he'd have time to help me anyway.\Oh, really?\It seems like you two and Waka have all been studying together a lot lately.\Waka's mother told me all about it.\Huh?!\Th-That was... Waka's idea... response:	Shun's being very considerate.
context: Huh? Wh-Why are you bringing up Shun?\He's so busy, I doubt he'd have time to help me anyway.\Oh, really?\It seems like you two and Waka have all been studying together a lot lately.\Waka's mother told me all about it.\Huh?!\Th-That was... Waka's idea...\Shun's being very considerate. response:	I really do love him.
context: He's so busy, I doubt he'd have time to help me anyway.\Oh, really?\It seems like you two and Waka have all been studying together a lot lately.\Waka's mother told me all about it.\Huh?!\Th-That was... Waka's idea...\Shun's being very considerate.\I really do love him. response:	Y-You love him?
context: Oh, really?\It seems like you two and Waka have all been studying together a lot lately.\Waka's mother told me all about it.\Huh?!\Th-That was... Waka's idea...\Shun's being very considerate.\I really do love him.\Y-You love him? response:	Episode 7 Morse's Inspiration
context: It seems like you two and Waka have all been studying together a lot lately.\Waka's mother told me all about it.\Huh?!\Th-That was... Waka's idea...\Shun's being very considerate.\I really do love him.\Y-You love him?\Episode 7 Morse's Inspiration response:	Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration
context: Waka's mother told me all about it.\Huh?!\Th-That was... Waka's idea...\Shun's being very considerate.\I really do love him.\Y-You love him?\Episode 7 Morse's Inspiration\Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration response:	Yeah! Eighty percent!
context: Huh?!\Th-That was... Waka's idea...\Shun's being very considerate.\I really do love him.\Y-You love him?\Episode 7 Morse's Inspiration\Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration\Yeah! Eighty percent! response:	Ichikawa, an 80 is nothing to yell about.
context: Th-That was... Waka's idea...\Shun's being very considerate.\I really do love him.\Y-You love him?\Episode 7 Morse's Inspiration\Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration\Yeah! Eighty percent!\Ichikawa, an 80 is nothing to yell about. response:	Hayase!
context: Shun's being very considerate.\I really do love him.\Y-You love him?\Episode 7 Morse's Inspiration\Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration\Yeah! Eighty percent!\Ichikawa, an 80 is nothing to yell about.\Hayase! response:	Sorry!
context: I really do love him.\Y-You love him?\Episode 7 Morse's Inspiration\Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration\Yeah! Eighty percent!\Ichikawa, an 80 is nothing to yell about.\Hayase!\Sorry! response:	Himuro!
context: Y-You love him?\Episode 7 Morse's Inspiration\Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration\Yeah! Eighty percent!\Ichikawa, an 80 is nothing to yell about.\Hayase!\Sorry!\Himuro! response:	Fujita!
context: Episode 7 Morse's Inspiration\Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration\Yeah! Eighty percent!\Ichikawa, an 80 is nothing to yell about.\Hayase!\Sorry!\Himuro!\Fujita! response:	Matsuyama!
context: Ayuhara! Ichikawa! Imai! Episode 7 Morse's Inspiration\Yeah! Eighty percent!\Ichikawa, an 80 is nothing to yell about.\Hayase!\Sorry!\Himuro!\Fujita!\Matsuyama! response:	Mizuki!
context: Yeah! Eighty percent!\Ichikawa, an 80 is nothing to yell about.\Hayase!\Sorry!\Himuro!\Fujita!\Matsuyama!\Mizuki! response:	She received the only perfect score in the class today.
context: Ichikawa, an 80 is nothing to yell about.\Hayase!\Sorry!\Himuro!\Fujita!\Matsuyama!\Mizuki!\She received the only perfect score in the class today. response:	Minami!
context: Hayase!\Sorry!\Himuro!\Fujita!\Matsuyama!\Mizuki!\She received the only perfect score in the class today.\Minami! response:	Murakami!
context: Sorry!\Himuro!\Fujita!\Matsuyama!\Mizuki!\She received the only perfect score in the class today.\Minami!\Murakami! response:	Maybe I'm just not any good at school.
context: Himuro!\Fujita!\Matsuyama!\Mizuki!\She received the only perfect score in the class today.\Minami!\Murakami!\Maybe I'm just not any good at school. response:	Welco-
context: Fujita!\Matsuyama!\Mizuki!\She received the only perfect score in the class today.\Minami!\Murakami!\Maybe I'm just not any good at school.\Welco- response:	I just came here as a customer today.
context: Matsuyama!\Mizuki!\She received the only perfect score in the class today.\Minami!\Murakami!\Maybe I'm just not any good at school.\Welco-\I just came here as a customer today. response:	Don't worry.
