context: It's a person! response:	There's- there's a person coming out of it!
context: It's a person!\There's- there's a person coming out of it! response:	W- what do those guys want!?
context: It's a person!\There's- there's a person coming out of it!\W- what do those guys want!? response:	Who are they?
context: It's a person!\There's- there's a person coming out of it!\W- what do those guys want!?\Who are they? response:	Earth, they called it, right? Not a bad planet, is it?
context: It's a person!\There's- there's a person coming out of it!\W- what do those guys want!?\Who are they?\Earth, they called it, right? Not a bad planet, is it? response:	Shall we say hello to those annoying, peeping little chicks?
context: It's a person!\There's- there's a person coming out of it!\W- what do those guys want!?\Who are they?\Earth, they called it, right? Not a bad planet, is it?\Shall we say hello to those annoying, peeping little chicks? response:	Not too hard, now.
context: It's a person!\There's- there's a person coming out of it!\W- what do those guys want!?\Who are they?\Earth, they called it, right? Not a bad planet, is it?\Shall we say hello to those annoying, peeping little chicks?\Not too hard, now. response:	What was that!?
context: It's a person!\There's- there's a person coming out of it!\W- what do those guys want!?\Who are they?\Earth, they called it, right? Not a bad planet, is it?\Shall we say hello to those annoying, peeping little chicks?\Not too hard, now.\What was that!? response:	W- what the hell did they do!?
context: There's- there's a person coming out of it!\W- what do those guys want!?\Who are they?\Earth, they called it, right? Not a bad planet, is it?\Shall we say hello to those annoying, peeping little chicks?\Not too hard, now.\What was that!?\W- what the hell did they do!? response:	W- what the-?
context: W- what do those guys want!?\Who are they?\Earth, they called it, right? Not a bad planet, is it?\Shall we say hello to those annoying, peeping little chicks?\Not too hard, now.\What was that!?\W- what the hell did they do!?\W- what the-? response:	I- it's unheard-of!
context: Who are they?\Earth, they called it, right? Not a bad planet, is it?\Shall we say hello to those annoying, peeping little chicks?\Not too hard, now.\What was that!?\W- what the hell did they do!?\W- what the-?\I- it's unheard-of! response:	Perhaps that greeting was a bit too polite.
context: Earth, they called it, right? Not a bad planet, is it?\Shall we say hello to those annoying, peeping little chicks?\Not too hard, now.\What was that!?\W- what the hell did they do!?\W- what the-?\I- it's unheard-of!\Perhaps that greeting was a bit too polite. response:	Leave it at that, Nappa. If we go at it too excessively,
context: Shall we say hello to those annoying, peeping little chicks?\Not too hard, now.\What was that!?\W- what the hell did they do!?\W- what the-?\I- it's unheard-of!\Perhaps that greeting was a bit too polite.\Leave it at that, Nappa. If we go at it too excessively, response:	we won't be able to sell this planet for a high price.
context: Not too hard, now.\What was that!?\W- what the hell did they do!?\W- what the-?\I- it's unheard-of!\Perhaps that greeting was a bit too polite.\Leave it at that, Nappa. If we go at it too excessively,\we won't be able to sell this planet for a high price. response:	O- oh, yeah.
context: What was that!?\W- what the hell did they do!?\W- what the-?\I- it's unheard-of!\Perhaps that greeting was a bit too polite.\Leave it at that, Nappa. If we go at it too excessively,\we won't be able to sell this planet for a high price.\O- oh, yeah. response:	Now that you mention it,
context: W- what the hell did they do!?\W- what the-?\I- it's unheard-of!\Perhaps that greeting was a bit too polite.\Leave it at that, Nappa. If we go at it too excessively,\we won't be able to sell this planet for a high price.\O- oh, yeah.\Now that you mention it, response:	we were going to look for those whatever-they're-called balls,
context: W- what the-?\I- it's unheard-of!\Perhaps that greeting was a bit too polite.\Leave it at that, Nappa. If we go at it too excessively,\we won't be able to sell this planet for a high price.\O- oh, yeah.\Now that you mention it,\we were going to look for those whatever-they're-called balls, response:	which can grant us any wish, huh?
context: I- it's unheard-of!\Perhaps that greeting was a bit too polite.\Leave it at that, Nappa. If we go at it too excessively,\we won't be able to sell this planet for a high price.\O- oh, yeah.\Now that you mention it,\we were going to look for those whatever-they're-called balls,\which can grant us any wish, huh? response:	Dragon Balls.
context: Perhaps that greeting was a bit too polite.\Leave it at that, Nappa. If we go at it too excessively,\we won't be able to sell this planet for a high price.\O- oh, yeah.\Now that you mention it,\we were going to look for those whatever-they're-called balls,\which can grant us any wish, huh?\Dragon Balls. response:	How about we first find the one who killed Raditz,
context: Leave it at that, Nappa. If we go at it too excessively,\we won't be able to sell this planet for a high price.\O- oh, yeah.\Now that you mention it,\we were going to look for those whatever-they're-called balls,\which can grant us any wish, huh?\Dragon Balls.\How about we first find the one who killed Raditz, response:	and ask him about the Dragon Balls?
context: we won't be able to sell this planet for a high price.\O- oh, yeah.\Now that you mention it,\we were going to look for those whatever-they're-called balls,\which can grant us any wish, huh?\Dragon Balls.\How about we first find the one who killed Raditz,\and ask him about the Dragon Balls? response:	Sure.
context: O- oh, yeah.\Now that you mention it,\we were going to look for those whatever-they're-called balls,\which can grant us any wish, huh?\Dragon Balls.\How about we first find the one who killed Raditz,\and ask him about the Dragon Balls?\Sure. response:	Now, supposing that one of those Dragon Ball things was in the area,
context: Now that you mention it,\we were going to look for those whatever-they're-called balls,\which can grant us any wish, huh?\Dragon Balls.\How about we first find the one who killed Raditz,\and ask him about the Dragon Balls?\Sure.\Now, supposing that one of those Dragon Ball things was in the area, response:	our wish for eternal life would have been wiped out,
context: we were going to look for those whatever-they're-called balls,\which can grant us any wish, huh?\Dragon Balls.\How about we first find the one who killed Raditz,\and ask him about the Dragon Balls?\Sure.\Now, supposing that one of those Dragon Ball things was in the area,\our wish for eternal life would have been wiped out, response:	thanks to that senseless greeting of yours.
context: which can grant us any wish, huh?\Dragon Balls.\How about we first find the one who killed Raditz,\and ask him about the Dragon Balls?\Sure.\Now, supposing that one of those Dragon Ball things was in the area,\our wish for eternal life would have been wiped out,\thanks to that senseless greeting of yours. response:	S- sorry about that. It completely slipped my mind.
context: Dragon Balls.\How about we first find the one who killed Raditz,\and ask him about the Dragon Balls?\Sure.\Now, supposing that one of those Dragon Ball things was in the area,\our wish for eternal life would have been wiped out,\thanks to that senseless greeting of yours.\S- sorry about that. It completely slipped my mind. response:	Well, what's done is done. First thing we need to do
context: How about we first find the one who killed Raditz,\and ask him about the Dragon Balls?\Sure.\Now, supposing that one of those Dragon Ball things was in the area,\our wish for eternal life would have been wiped out,\thanks to that senseless greeting of yours.\S- sorry about that. It completely slipped my mind.\Well, what's done is done. First thing we need to do response:	is find the guy who has the highest battle power.
context: and ask him about the Dragon Balls?\Sure.\Now, supposing that one of those Dragon Ball things was in the area,\our wish for eternal life would have been wiped out,\thanks to that senseless greeting of yours.\S- sorry about that. It completely slipped my mind.\Well, what's done is done. First thing we need to do\is find the guy who has the highest battle power. response:	He'll be the one who killed Raditz. Either him, or Kakarrot's son.
